Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9769298280287887,-38.99137804572307,0.0
2,0.005,0.01,0.9306812454498505,-115.21266033009931,0.0
3,0.01,0.015,0.884468738714277,-191.59485273726256,0.0
4,0.015,0.02,0.8382562287565101,-268.1497952327218,0.0
5,0.02,0.025,0.7920437157016385,-344.89921290467674,0.0
6,0.025,0.03,0.7458311996958067,-421.8680953572371,0.0
7,0.03,0.035,0.699607869516219,-499.0779852163622,0.0
8,0.035,0.04,0.653350579075186,-576.5095910524769,0.0
9,0.04,0.045,0.6070899426236163,-654.0827787884355,0.0
10,0.045,0.05,0.5608435565636551,-731.6876374087855,0.0
11,0.05,0.055,0.5145833005659127,-809.1631053859286,0.0
12,0.055,0.06,0.4683019291322084,-886.2639789129729,0.0
13,0.06,0.065,0.4219875992589683,-962.5377332238838,0.0
14,0.065,0.07,0.3756204248504704,-1037.1344359135385,0.0
15,0.07,0.075,0.3291695951749963,-1108.4205015279579,0.0
16,0.075,0.08,0.2829710569525588,-1174.5216018419094,0.0
17,0.08,0.085,0.26033606920614827,-1334.2203567376032,0.0
18,0.085,0.09,0.26064588138695366,-1613.0983474801726,0.0
19,0.09,0.095,0.26064267739497576,-1890.1616785329434,0.0
20,0.095,0.1,0.260641911052875,-2167.3748994497114,0.0
21,0.1,0.105,0.260641130593696,-2444.7108795476292,0.0
22,0.105,0.11,0.2606403754333693,-2722.160658127395,0.0
23,0.11,0.115,0.2606396359294401,-2999.7148915495463,0.0
24,0.115,0.12,0.2606389130314126,-3277.364349722382,0.0
25,0.12,0.125,0.2606382052026998,-3555.0998010890003,0.0
26,0.125,0.13,0.2606375118153719,-3832.9120530710265,0.0
27,0.13,0.135,0.2606368321794676,-4110.791946153492,0.0
28,0.135,0.14,0.2606361657593648,-4388.730361379802,0.0
29,0.14,0.145,0.26063551208491736,-4666.718223657899,0.0
30,0.145,0.15,0.2606348707524901,-4944.746505984498,0.0
31,0.15,0.155,0.26063424140764657,-5222.8062330845,0.0
32,0.155,0.16,0.26063362373678806,-5500.88848487863,0.0
33,0.16,0.165,0.2606330174593061,-5778.984399642161,0.0
34,0.165,0.17,0.26063242232177014,-6057.085176875121,0.0
35,0.17,0.175,0.2606318380932098,-6335.182079860954,0.0
36,0.175,0.18,0.2606312645613495,-6613.266437905785,0.0
37,0.18,0.185,0.26063070152954104,-6891.329648245636,0.0
38,0.185,0.19,0.260630148814272,-7169.363177612888,0.0
39,0.19,0.195,0.2606296062431289,-7447.35856345193,0.0
40,0.195,0.2,0.26062907365310345,-7725.307414777612,0.0
41,0.2,0.205,0.2606285508891901,-8003.201412669224,0.0
42,0.205,0.21,0.2606280378032285,-8281.032310394807,0.0
43,0.21,0.215,0.2606275342529228,-8558.791933161092,0.0
44,0.215,0.22,0.26062704010103566,-8836.472177488115,0.0
45,0.22,0.225,0.2606265552147118,-9114.065010203669,0.0
46,0.225,0.23,0.2606260794648924,-9391.56246705878,0.0
47,0.23,0.235,0.26062561272583773,-9668.95665096621,0.0
48,0.235,0.24,0.2606251548747288,-9946.239729862624,0.0
49,0.24,0.245,0.26062470579132907,-10223.40393419733,0.0
50,0.245,0.25,0.26062426535769506,-10500.44155405362,0.0
51,0.25,0.255,0.2606238334579385,-10777.34493590749,0.0
52,0.255,0.26,0.26062340997803446,-11054.106479032645,0.0
53,0.26,0.265,0.26062299480565426,-11330.718631557744,0.0
54,0.265,0.27,0.260622587830036,-11607.1738861883,0.0
55,0.27,0.275,0.2606221889418699,-11883.464775603237,0.0
56,0.275,0.28,0.26062179803321045,-12159.583867538315,0.0
57,0.28,0.285,0.2606214149974105,-12435.52375956922,0.0
58,0.285,0.29,0.2606210397290492,-12711.277073609723,0.0
59,0.29,0.295,0.26062067212390866,-12986.83645014138,0.0
60,0.295,0.3,0.26062031207894215,-13262.194542191923,0.0
61,0.3,0.305,0.2606199594922344,-13537.344009076489,0.0
62,0.305,0.31,0.260619614262989,-13812.2775099256,0.0
63,0.31,0.315,0.2606192762915389,-14086.98769701829,0.0
64,0.315,0.32,0.26061894547932046,-14361.467208938371,0.0
65,0.32,0.325,0.2606186217288789,-14635.708663580377,0.0
66,0.325,0.33,0.26061830494387367,-14909.704651025071,0.0
67,0.33,0.335,0.26061799502908123,-15183.447726307373,0.0
68,0.335,0.34,0.2606176918904064,-15456.930402102294,0.0
69,0.34,0.345,0.2606173954348789,-15730.145141351944,0.0
70,0.345,0.35,0.2606171055706588,-16003.08434986098,0.0
71,0.35,0.355,0.26061682220704824,-16275.740368882829,0.0
72,0.355,0.36,0.260616545254515,-16548.105467728907,0.0
73,0.36,0.365,0.26061627462467346,-16820.17183641885,0.0
74,0.365,0.37,0.26061601023029085,-17091.931578406038,0.0
75,0.37,0.375,0.260615751985307,-17363.376703401897,0.0
76,0.375,0.38,0.2606154998048252,-17634.499120325418,0.0
77,0.38,0.385,0.26061525360511084,-17905.29063040737,0.0
78,0.385,0.39,0.2606150133036039,-18175.742920475237,0.0
79,0.39,0.395,0.2606147788189055,-18445.847556443867,0.0
80,0.395,0.4,0.260614550070777,-18715.595977042478,0.0
81,0.4,0.405,0.2606143269801368,-18984.979487801556,0.0
82,0.405,0.41,0.26061410946906566,-19253.9892553264,0.0
83,0.41,0.415,0.2606138974607913,-19522.616301884173,0.0
84,0.415,0.42,0.26061369087967395,-19790.8515003257,0.0
85,0.42,0.425,0.26061348965122644,-20058.685569374757,0.0
86,0.425,0.43,0.260613293702091,-20326.109069297738,0.0
87,0.43,0.435,0.26061310296003387,-20593.11239798496,0.0
88,0.435,0.44,0.26061291735395403,-20859.685787464467,0.0
89,0.44,0.445,0.2606127368138712,-21125.81930086614,0.0
90,0.445,0.45,0.2606125612709307,-21391.50282985978,0.0
91,0.45,0.455,0.26061239065741093,-21656.726092586658,0.0
92,0.455,0.46,0.2606122249067193,-21921.478632099283,0.0
93,0.46,0.465,0.2606120639534109,-22185.749815330317,0.0
94,0.465,0.47,0.26061190773320536,-22449.528832604727,0.0
95,0.47,0.475,0.26061175618299876,-22712.804697709274,0.0
96,0.475,0.48,0.26061160924090315,-22975.56624853146,0.0
97,0.48,0.485,0.26061146684628006,-23237.802148284813,0.0
98,0.485,0.49,0.2606113289397646,-23499.5008873215,0.0
99,0.49,0.495,0.2606111954633429,-23760.650785552312,0.0
100,0.495,0.5,0.2606110663604174,-24021.23999547223,0.0
101,0.5,0.505,0.26061094157587095,-24281.25650579969,0.0
102,0.505,0.51,0.26061082105616645,-24540.688145736964,0.0
103,0.51,0.515,0.26061070474946724,-24799.52258985133,0.0
104,0.515,0.52,0.26061059260576835,-25057.747363577444,0.0
105,0.52,0.525,0.2606104845770472,-25315.3498493407,0.0
106,0.525,0.53,0.2606103806174636,-25572.317293301596,0.0
107,0.53,0.535,0.2606102806835738,-25828.636812714027,0.0
108,0.535,0.54,0.2606101847345979,-26084.29540389415,0.0
109,0.54,0.545,0.26061009273272817,-26339.279950791388,0.0
110,0.545,0.55,0.26061000464348943,-26593.577234153174,0.0
111,0.55,0.555,0.26060992043619796,-26847.173941277008,0.0
112,0.555,0.56,0.2606098400844748,-27100.056676333446,0.0
113,0.56,0.565,0.2606097635668779,-27352.211971251338,0.0
114,0.565,0.57,0.2606096908676531,-27603.62629715229,0.0
115,0.57,0.575,0.2606096219776857,-27854.28607631523,0.0
116,0.575,0.58,0.2606095568955672,-28104.177694664282,0.0
117,0.58,0.585,0.26060949562922897,-28353.287514785294,0.0
118,0.585,0.59,0.2606094381967854,-28601.60188931904,0.0
119,0.59,0.595,0.2606093846321731,-28849.10717530748,0.0
120,0.595,0.6,0.2606093349751084,-29095.78974724212,0.0
121,0.6,0.605,0.2606092893229819,-29341.636017309625,0.0
122,0.605,0.61,0.2606092476557145,-29586.63243083147,0.0
123,0.61,0.615,0.2606092105163291,-29830.765557721323,0.0
124,0.615,0.62,0.26060917650088666,-30074.02182452438,0.0
125,0.62,0.625,0.2606091516991016,-30316.38860536266,0.0
126,0.625,0.63,0.2606091147766981,-30557.850229629577,0.0
127,0.63,0.635,0.260609320357735,-30798.42340747328,0.0
128,0.635,0.64,0.26067224814881534,-31045.491850944374,0.0
129,0.64,0.645,0.27306197190539105,-32762.17662782067,0.0
130,0.645,0.65,0.29765257898202113,-35946.09316538308,0.0
131,0.65,0.655,0.322185966658476,-39124.646013869264,0.0
132,0.655,0.66,0.34672992918044493,-42305.09580564126,0.0
133,0.66,0.665,0.3712813866913463,-45486.46098261431,0.0
134,0.665,0.67,0.3958383112602383,-48668.092378697846,0.0
135,0.67,0.675,0.4203992643751773,-51849.545336700394,0.0
136,0.675,0.68,0.4449632210374455,-55030.5130772784,0.0
137,0.68,0.685,0.4695294423102231,-58210.78216846818,0.0
138,0.685,0.69,0.49409738994087243,-61390.20322218814,0.0
139,0.69,0.695,0.5186666674657995,-64568.67121710688,0.0
140,0.695,0.7,0.5432369797318005,-67746.11218559195,0.0
141,0.7,0.705,0.5678081046547099,-70922.47408329669,0.0
142,0.705,0.71,0.5923798735936334,-74097.72049244752,0.0
143,0.71,0.715,0.6169521566027303,-77271.82611401063,0.0
144,0.715,0.72,0.6415221596648797,-80444.43628035628,0.0
145,0.72,0.725,0.6538029702285035,-82074.36445924756,0.0
146,0.725,0.73,0.6538000349489529,-82160.68446038335,0.0
147,0.73,0.735,0.653800037504919,-82246.23817669389,0.0
148,0.735,0.74,0.6538000396657456,-82330.65581881786,0.0
149,0.74,0.745,0.6538000419077774,-82413.93712192184,0.0
150,0.745,0.75,0.6538008933696898,-82496.18895364064,0.0
151,0.75,0.755,0.657973411908363,-83103.81841157738,0.0
152,0.755,0.76,0.6333917170486247,-80077.7031246925,0.0
153,0.76,0.765,0.608815395899564,-77051.19732257085,0.0
154,0.765,0.77,0.5842388632475589,-74023.59058950335,0.0
155,0.77,0.775,0.5596620692554325,-70994.87033739379,0.0
156,0.775,0.78,0.5350849494640539,-67965.01905399919,0.0
157,0.78,0.785,0.510507420438125,-64934.012451152914,0.0
158,0.785,0.79,0.48592937339292375,-61901.81679080979,0.0
159,0.79,0.795,0.4613506651510562,-58868.38503443601,0.0
160,0.795,0.8,0.43677110553526705,-55833.651283281906,0.0
161,0.8,0.805,0.41219043955123236,-52797.52264614904,0.0
162,0.805,0.81,0.38760832212195556,-49759.86721150378,0.0
163,0.81,0.815,0.36302428220768357,-46720.49604509458,0.0
164,0.815,0.82,0.33843767206751035,-43679.135921051755,0.0
165,0.82,0.825,0.313847596881723,-40635.387580624236,0.0
166,0.825,0.83,0.28925282038288086,-37588.661155521455,0.0
167,0.83,0.835,0.26465165264877616,-34538.07608485901,0.0
168,0.835,0.84,0.24004184121695704,-31482.304794460702,0.0
169,0.84,0.845,0.21542060853079215,-28419.33768027538,0.0
170,0.845,0.85,0.19078500513662505,-25346.121269744945,0.0
171,0.85,0.855,0.16613452519645042,-22258.211979876534,0.0
172,0.855,0.86,0.14161035320974677,-19167.381989204932,0.0
173,0.86,0.865,0.12951372433849642,-17738.25690781401,0.0
174,0.865,0.87,0.1296366735492812,-17975.47144045194,0.0
175,0.87,0.875,0.12963423035237034,-18195.10380518738,0.0
176,0.875,0.88,0.1296325846837767,-18414.58755621219,0.0
177,0.88,0.885,0.12963097260823353,-18633.83110051466,0.0
178,0.885,0.89,0.12962942002839226,-18852.853578757018,0.0
179,0.89,0.895,0.12962791741963095,-19071.669682274623,0.0
180,0.895,0.9,0.1296264644667625,-19290.295921915793,0.0
181,0.9,0.905,0.12962505865775123,-19508.748999241372,0.0
182,0.905,0.91,0.1296236982840486,-19727.046230689535,0.0
183,0.91,0.915,0.1296223816020898,-19945.205417065165,0.0
184,0.915,0.92,0.12962110703062876,-20163.24486336752,0.0
185,0.92,0.925,0.12961987307732764,-20381.183357857204,0.0
186,0.925,0.93,0.12961867834224305,-20599.040161850247,0.0
187,0.93,0.935,0.12961752150450467,-20816.834996254544,0.0
188,0.935,0.94,0.12961640131470373,-21034.588028279526,0.0
189,0.94,0.945,0.1296153165928153,-21252.319858364463,0.0
190,0.945,0.95,0.12961426620715777,-21470.05150341677,0.0
191,0.95,0.955,0.12961324913082192,-21687.804392008555,0.0
192,0.955,0.96,0.12961226421175642,-21905.600312081908,0.0
193,0.96,0.965,0.1296113110182035,-22123.46153605517,0.0
194,0.965,0.97,0.1296103866603557,-22341.41027280052,0.0
195,0.97,0.975,0.12960949767948615,-22559.470663105054,0.0
196,0.975,0.98,0.12960861552452266,-22777.66115523411,0.0
197,0.98,0.985,0.12960784325872018,-22996.023254279502,0.0
198,0.985,0.99,0.1296068015406465,-23214.514559428342,0.0
199,0.99,0.995,0.12961173935093165,-23434.279015892967,0.0
200,0.995,1.0,0.13117733531794382,-23937.75177206946,0.0
