Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9769394935701183,-38.99161903422939,0.0
2,0.005,0.01,0.9306689920451131,-115.20982869808884,0.0
3,0.01,0.015,0.884472010948315,-191.59614724893376,0.0
4,0.015,0.02,0.8382553964472226,-268.1495474638789,0.0
5,0.02,0.025,0.7920437758019323,-344.89939906477105,0.0
6,0.025,0.03,0.745831794554905,-421.8685286825436,0.0
7,0.03,0.035,0.6996162441534759,-499.0833317039067,0.0
8,0.035,0.04,0.6533504452230589,-576.5068401520822,0.0
9,0.04,0.045,0.6070854339038342,-654.0759738358782,0.0
10,0.045,0.05,0.5608474926105158,-731.6918028200797,0.0
11,0.05,0.055,0.5145859654924889,-809.1646097598147,0.0
12,0.055,0.06,0.46830848362670974,-886.2715166499028,0.0
13,0.06,0.065,0.42199170377115014,-962.5386773834118,0.0
14,0.065,0.07,0.37565073328414084,-1037.1981659816552,0.0
15,0.07,0.075,0.32912684779970414,-1108.2592679351192,0.0
16,0.075,0.08,0.28285477259621145,-1174.1195230394171,0.0
17,0.08,0.085,0.2603900831615433,-1334.646845539357,0.0
18,0.085,0.09,0.26071479917257495,-1613.5709381273196,0.0
19,0.09,0.095,0.2606227386878094,-1889.9986088970118,0.0
20,0.095,0.1,0.2606474882424785,-2167.4216485011957,0.0
21,0.1,0.105,0.26063956752393674,-2444.691426771876,0.0
22,0.105,0.11,0.26064080829085867,-2722.161926904793,0.0
23,0.11,0.115,0.2606395117041334,-2999.709878193374,0.0
24,0.115,0.12,0.26063894444892327,-3277.3613492109844,0.0
25,0.12,0.125,0.26063819339910566,-3555.096286234061,0.0
26,0.125,0.13,0.2606375121928214,-3832.908785577623,0.0
27,0.13,0.135,0.2606368292842451,-4110.788695814616,0.0
28,0.135,0.14,0.26063616387504746,-4388.727195262449,0.0
29,0.14,0.145,0.2606355100063057,-4666.715120295965,0.0
30,0.145,0.15,0.260634868803517,-4944.743470186477,0.0
31,0.15,0.155,0.2606342394894541,-5222.803261929317,0.0
32,0.155,0.16,0.26063362186957933,-5500.885577736872,0.0
33,0.16,0.165,0.26063301563154595,-5778.981555230616,0.0
34,0.165,0.17,0.2606324205317691,-6057.082394115726,0.0
35,0.17,0.175,0.26063183633737835,-6335.179357628629,0.0
36,0.175,0.18,0.26063126283728794,-6613.263775100065,0.0
37,0.18,0.185,0.26063069983507137,-6891.327043768564,0.0
38,0.185,0.19,0.2606301471476079,-7169.360630374468,0.0
39,0.19,0.195,0.2606296046027412,-7447.356072367585,0.0
40,0.195,0.2,0.26062907203770097,-7725.304978768556,0.0
41,0.2,0.205,0.2606285492976636,-8003.199030661062,0.0
42,0.205,0.21,0.2606280362346326,-8281.029981317666,0.0
43,0.21,0.215,0.260627532706448,-8558.789655949387,0.0
44,0.215,0.22,0.2606270385759817,-8836.469951079946,0.0
45,0.22,0.225,0.2606265537104757,-9114.062833541198,0.0
46,0.225,0.23,0.26062607798094184,-9391.560339087546,0.0
47,0.23,0.235,0.2606256112617125,-9668.954570635071,0.0
48,0.235,0.24,0.2606251534300261,-9946.237696123693,0.0
49,0.24,0.245,0.26062470436568286,-10223.40194600562,0.0
50,0.245,0.25,0.2606242639507842,-10500.439610367528,0.0
51,0.25,0.255,0.26062383206947526,-10777.34303568856,0.0
52,0.255,0.26,0.26062340860775757,-11054.10462124488,0.0
53,0.26,0.265,0.2606229934533211,-11330.716815167569,0.0
54,0.265,0.27,0.2606225864954235,-11607.172110165102,0.0
55,0.27,0.275,0.26062218762476724,-11883.463038918957,0.0
56,0.275,0.28,0.2606217967334192,-12159.582169167448,0.0
57,0.28,0.285,0.26062141371473596,-12435.522098488316,0.0
58,0.285,0.29,0.26062103846331414,-12711.27544879826,0.0
59,0.29,0.295,0.26062067087493435,-12986.834860580504,0.0
60,0.295,0.3,0.2606203108465553,-13262.192986864915,0.0
61,0.3,0.305,0.2606199582762596,-13537.342486968728,0.0
62,0.305,0.31,0.26061961306325443,-13812.276020024392,0.0
63,0.31,0.315,0.2606192751078706,-14086.986238312353,0.0
64,0.315,0.32,0.26061894431154764,-14361.46578041834,0.0
65,0.32,0.325,0.26061862057683294,-14635.707264238607,0.0
66,0.325,0.33,0.26061830380737766,-14909.703279854912,0.0
67,0.33,0.335,0.2606179939079613,-15183.44638230387,0.0
68,0.335,0.34,0.26061769078448177,-15456.929084261197,0.0
69,0.34,0.345,0.26061739434397274,-15730.143848669575,0.0
70,0.345,0.35,0.2606171044945874,-16003.083081333998,0.0
71,0.35,0.355,0.26061682114564055,-16275.739123509104,0.0
72,0.355,0.36,0.2606165442075874,-16548.104244505586,0.0
73,0.36,0.365,0.2606162735920391,-16820.170634343347,0.0
74,0.365,0.37,0.26061600921176536,-17091.930396475283,0.0
75,0.37,0.375,0.26061575098070594,-17363.375540611865,0.0
76,0.375,0.38,0.2606154988139666,-17634.497975671486,0.0
77,0.38,0.385,0.26061525262780527,-17905.289502882675,0.0
78,0.385,0.39,0.2606150123396673,-18175.74180907125,0.0
79,0.39,0.395,0.26061477786815446,-18445.846460150162,0.0
80,0.395,0.4,0.2606145491330215,-18715.594894845155,0.0
81,0.4,0.405,0.26061432605519436,-18984.978418683826,0.0
82,0.405,0.41,0.2606141085567546,-19253.988198268064,0.0
83,0.41,0.415,0.2606138965609263,-19522.61525586065,0.0
84,0.415,0.42,0.2606136899920737,-19790.850464307277,0.0
85,0.42,0.425,0.2606134887757065,-20058.68454232582,0.0
86,0.425,0.43,0.26061329283847573,-20326.108050177292,0.0
87,0.43,0.435,0.26061310210813904,-20593.111385744334,0.0
88,0.435,0.44,0.260612916513599,-20859.684781047705,0.0
89,0.44,0.445,0.2606127359848754,-21125.818299208746,0.0
90,0.445,0.45,0.2606125604531083,-21391.501831887817,0.0
91,0.45,0.455,0.2606123898505805,-21656.725097216553,0.0
92,0.455,0.46,0.2606122241106954,-21921.47763823583,0.0
93,0.46,0.465,0.26061206316800895,-22185.748821866397,0.0
94,0.465,0.47,0.26061190695822994,-22449.52783841957,0.0
95,0.47,0.475,0.2606117554182587,-22712.803701668352,0.0
96,0.475,0.48,0.2606116084861992,-22975.565249484393,0.0
97,0.48,0.485,0.2606114661013909,-23237.801145063026,0.0
98,0.485,0.49,0.260611328204474,-23499.499878739363,0.0
99,0.49,0.495,0.2606111947374303,-23760.64977040496,0.0
100,0.495,0.5,0.2606110656436369,-24021.238972532392,0.0
101,0.5,0.505,0.2606109408679605,-24281.255473817444,0.0
102,0.505,0.51,0.2606108203568444,-24540.687103437525,0.0
103,0.51,0.515,0.2606107040584368,-24799.52153593391,0.0
104,0.515,0.52,0.26061059192270886,-25057.746296713187,0.0
105,0.52,0.525,0.2606104839015937,-25315.348768169002,0.0
