time,Energy Leak from beginning
900,-1.4850844915818016
1800,-3.048122811534995
2700,-4.671402395318182
3600,-6.341885993898359
4500,-8.050241699062099
5400,-9.789856945153588
6300,-11.556071462116051
7200,-13.345625627062873
8100,-15.156266295430214
9000,-16.9864695684646
9900,-18.835238166306226
10800,-20.701954653465236
11700,-22.58627190363859
12600,-24.488030087134575
13500,-26.407193695503793
14400,-28.343804155761518
15300,-30.297943325214874
16200,-32.26970614668517
17100,-34.259180644025946
18000,-36.26643383996088
18900,-38.291502431499794
19800,-40.33438658786599
20700,-42.39504699268673
21600,-44.47340342485995
22500,-46.56933656850879
23400,-48.68268931309467
24300,-50.813269359910464
25200,-52.96085328489744
26100,-55.12518877451839
27000,-57.30599979122189
27900,-59.502989592370795
28800,-61.71584381595403
29700,-63.94423451126704
30600,-66.18782308505934
31500,-68.44626321830401
32400,-70.71920289018271
33300,-73.00628769659397
34200,-75.30716212478546
35100,-77.62147186250058
36000,-79.94886517417171
36900,-82.28899411413886
37800,-84.64151589990752
38700,-87.0060936028517
39600,-89.38239747276839
40500,-91.77010487595635
41400,-94.16890135514359
42300,-96.57848091962978
43200,-98.99854607271982
44100,-101.42880821759081
45000,-103.86898799641449
45900,-106.31881452210791
46800,-108.77802635158218
47700,-111.24637057028053
48600,-113.72360363536927
49500,-116.20949035021044
50400,-118.70380462880917
51300,-121.20632810747998
52200,-123.71685113178387
53100,-126.23517180543263
54000,-128.76109558978214
54900,-131.29443615921468
55800,-133.8350137534751
56700,-136.3826566167163
57600,-138.93719861906084
58500,-141.4984808903448
59400,-144.0663504220404
60300,-146.6406608655359
61200,-149.22127115678472
62100,-151.808045851305
63000,-154.4008551766251
63900,-156.99957434456542
64800,-159.6040831795308
65700,-162.21426689100667
66600,-164.83001490541733
67500,-167.45122095445845
68400,-170.07778249258809
69300,-172.70960173281128
70200,-175.34658422431244
71100,-177.988639190512
72000,-180.63567954316363
72900,-183.28762129147412
73800,-185.94438351225563
74700,-188.6058884968793
75600,-191.27206174452112
76500,-193.94283120914065
77400,-196.61812699006532
78300,-199.29788244057727
79200,-201.98203350667154
80100,-204.6705177409135
81000,-207.36327531993743
81900,-210.06024843384967
82800,-212.76138117263554
83700,-215.46661982325418
84600,-218.17591239796866
85500,-220.88920863471367
86400,-223.60645986521877
87300,-226.32761933454935
88200,-229.0526416789246
89100,-231.7814830265661
90000,-234.5141006437409
90900,-237.2504534622235
91800,-239.99050181373082
92700,-242.73420705038802
93600,-245.48153176057303
94500,-248.2324395676792
95400,-250.98689559400282
96300,-253.7448653846925
97200,-256.50631597878873
98100,-259.2712151936555
99000,-262.03953199680086
99900,-264.81123590313405
100800,-267.58629721921784
101700,-270.36468753745635
102600,-273.1463788614951
103500,-275.9313440387068
104400,-278.71955645412777
105300,-281.510990721599
106200,-284.3056217523656
107100,-287.1034235190773
108000,-289.90437287980785
108900,-292.70844709634093
109800,-295.51562387804074
110700,-298.32588098785936
111600,-301.1391971772812
112500,-303.95555097723695
113400,-306.77492180959393
114300,-309.5972896427961
115200,-312.4226346626185
116100,-315.25093774511856
117000,-318.08218018202524
117900,-320.91634334676473
118800,-323.7534094981936
119700,-326.5933607959598
120600,-329.4361800159104
121500,-332.28184992267734
122400,-335.13035436677364
123300,-337.98167686333227
124200,-340.8358015251847
125100,-343.69271286081585
126000,-346.55239529198866
126900,-349.4148336427079
127800,-352.2800133669018
128700,-355.147919568868
129600,-358.0185384557235
130500,-360.89185547533293
131400,-363.76785730535744
132300,-366.64652999070927
133200,-369.5278604648104
134100,-372.41183544413707
135000,-375.2984420169105
135900,-378.18766761191
