Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.977136296216553,-136.9796861962793,0.0
2,0.005,0.01,0.9306507937944536,-397.86493929647366,0.0
3,0.01,0.015,0.8844746888830413,-645.5067100898411,0.0
4,0.015,0.02,0.838254914919368,-879.104871169363,0.0
5,0.02,0.025,0.7920440567869109,-1097.8853463558032,0.0
6,0.025,0.03,0.7458310479528376,-1300.9424756351657,0.0
7,0.03,0.035,0.6995961361052903,-1487.2183282680194,0.0
8,0.035,0.04,0.6533046247046532,-1655.3841081898513,0.0
9,0.04,0.045,0.6070326712001874,-1804.0240006852418,0.0
10,0.045,0.05,0.5608099215716632,-1931.5121286741692,0.0
11,0.05,0.055,0.5145785844374864,-2035.7936748407103,0.0
12,0.055,0.06,0.4683379713094129,-2114.566405182897,0.0
13,0.06,0.065,0.4220853186732067,-2164.969187640745,0.0
14,0.065,0.07,0.37581678232210364,-2183.3622929769494,0.0
15,0.07,0.075,0.3295297203440344,-2164.984109401125,0.0
16,0.075,0.08,0.28337271573726275,-2104.4920872586777,0.0
17,0.08,0.085,0.2604992766809451,-2184.3729940208086,0.0
18,0.085,0.09,0.2606339296726801,-2449.127852846121,0.0
19,0.09,0.095,0.2606329720446905,-2712.770396260083,0.0
20,0.095,0.1,0.26063247116534694,-2976.521149400726,0.0
21,0.1,0.105,0.2606319706994839,-3240.368754561147,0.0
22,0.105,0.11,0.2606314810058677,-3504.3065577640746,0.0
23,0.11,0.115,0.2606309990098874,-3768.327809152702,0.0
24,0.115,0.12,0.26063052511411455,-4032.42585258259,0.0
25,0.12,0.125,0.2606300588683502,-4296.594079474502,0.0
26,0.125,0.13,0.2606296001073647,-4560.82594857816,0.0
27,0.13,0.135,0.26062914863249514,-4825.114986417892,0.0
28,0.135,0.14,0.26062870428697754,-5089.454793071945,0.0
29,0.14,0.145,0.2606282669286043,-5353.839046169285,0.0
30,0.145,0.15,0.26062783643168075,-5618.261505127609,0.0
31,0.15,0.155,0.26062741268240147,-5882.71601504,0.0
32,0.155,0.16,0.2606269955769198,-6147.1965103661905,0.0
33,0.16,0.165,0.26062658501936864,-6411.697018369528,0.0
34,0.165,0.17,0.26062618092040235,-6676.211662305985,0.0
35,0.17,0.175,0.2606257831959941,-6940.734664352672,0.0
36,0.175,0.18,0.2606253917664719,-7205.260348269342,0.0
37,0.18,0.185,0.26062500655572624,-7469.783141784317,0.0
38,0.185,0.19,0.2606246274905565,-7734.297578700425,0.0
39,0.19,0.195,0.2606242545001383,-7998.79830071461,0.0
40,0.195,0.2,0.2606238875155938,-8263.280058946415,0.0
41,0.2,0.205,0.2606235264696165,-8527.737715171912,0.0
42,0.205,0.21,0.2606231712961697,-8792.16624275933,0.0
43,0.21,0.215,0.2606228219302506,-9056.560727303746,0.0
44,0.215,0.22,0.2606224783076782,-9320.916366961139,0.0
45,0.22,0.225,0.26062214036491815,-9585.228472478051,0.0
46,0.225,0.23,0.2606218080389568,-9849.492466920407,0.0
47,0.23,0.235,0.2606214812671969,-10113.70388510093,0.0
48,0.235,0.24,0.2606211599873516,-10377.858372705981,0.0
49,0.24,0.245,0.26062084413738185,-10641.951685125327,0.0
50,0.245,0.25,0.2606205336554517,-10905.979685990807,0.0
51,0.25,0.255,0.2606202284798689,-11169.938345424258,0.0
52,0.255,0.26,0.26061992854907945,-11433.823738003379,0.0
53,0.26,0.265,0.26061963380164277,-11697.632040449882,0.0
54,0.265,0.27,0.26061934417620636,-11961.359529045787,0.0
55,0.27,0.275,0.2606190596115241,-12225.002576789553,0.0
56,0.275,0.28,0.2606187800464564,-12488.557650297043,0.0
57,0.28,0.285,0.2606185054199699,-12752.021306457258,0.0
58,0.285,0.29,0.26061823567116,-13015.390188855708,0.0
59,0.29,0.295,0.2606179707392645,-13278.661023970839,0.0
60,0.295,0.3,0.26061771056367544,-13541.83061716117,0.0
61,0.3,0.305,0.260617455083977,-13804.895848452175,0.0
62,0.305,0.31,0.26061720423996215,-14067.853668134985,0.0
63,0.31,0.315,0.2606169579716526,-14330.701092192217,0.0
