Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9772120552330357,-136.9848005426243,0.0
2,0.005,0.01,0.930544171785547,-397.8074644147077,0.0
3,0.01,0.015,0.8845155898681896,-645.5446721223316,0.0
4,0.015,0.02,0.8382415317881107,-879.0904917839459,0.0
5,0.02,0.025,0.7920477654512984,-1097.8929444268274,0.0
6,0.025,0.03,0.7458317469596549,-1300.944976813764,0.0
7,0.03,0.035,0.6996115342611172,-1487.250353385812,0.0
8,0.035,0.04,0.6532989037574038,-1655.3652430569994,0.0
9,0.04,0.045,0.6070205383039005,-1803.9870082845769,0.0
10,0.045,0.05,0.5608150291575638,-1931.5319660716928,0.0
11,0.05,0.055,0.5145789381573533,-2035.7953430176283,0.0
12,0.055,0.06,0.4683407149562858,-2114.5784656272695,0.0
13,0.06,0.065,0.4220860348944928,-2164.9713633333017,0.0
14,0.065,0.07,0.37582714457704675,-2183.4190859984583,0.0
15,0.07,0.075,0.3295057540116074,-2164.8230044891684,0.0
16,0.075,0.08,0.2833273206730755,-2104.170539400569,0.0
17,0.08,0.085,0.26052837249693506,-2184.6525364447634,0.0
18,0.085,0.09,0.2606623565653496,-2449.4081108279656,0.0
19,0.09,0.095,0.26062509269827583,-2712.6848848466207,0.0
20,0.095,0.1,0.2606346210318809,-2976.5467911112896,0.0
21,0.1,0.105,0.26063138192659996,-3240.3612678679333,0.0
22,0.105,0.11,0.260631639937438,-3504.308862049694,0.0
23,0.11,0.115,0.2606309539451195,-3768.327226889008,0.0
24,0.115,0.12,0.2606305357680614,-4032.426106378762,0.0
25,0.12,0.125,0.2606300543698425,-4296.594082212515,0.0
26,0.125,0.13,0.26062959978171424,-4560.826016613763,0.0
27,0.13,0.135,0.2606291472038926,-4825.11502840531,0.0
28,0.135,0.14,0.2606287031896604,-5089.454835643807,0.0
29,0.14,0.145,0.2606282657682289,-5353.839081945271,0.0
30,0.145,0.15,0.26062783531302736,-5618.261536507158,0.0
31,0.15,0.155,0.2606274115747456,-5882.716041621979,0.0
