time,Energy Leak from beginning
900,-14397.692286592199
1800,-27991.90225078774
2700,-40962.88671147358
3600,-53440.23798531075
4500,-65518.97238923142
5400,-77270.15765905139
6300,-88747.9745646971
7200,-99994.47157893963
8100,-111042.8191449276
9000,-121919.57650917585
9900,-132646.2987910139
10800,-143240.69587167318
11700,-153717.48166673142
12600,-164089.00596321703
13500,-174365.73112905928
14400,-184556.596487241
15300,-194669.30019430094
16200,-204710.5197345272
17100,-214686.08617672112
18000,-224601.12320022448
18900,-234460.15899150644
19800,-244267.21703959914
20700,-254025.8903678421
21600,-263739.4026506053
22500,-273410.65886473807
23400,-283042.2875241916
24300,-292636.6761027542
25200,-302196.00090459746
26100,-311722.2523837386
27000,-321217.2567122527
27900,-330682.69423972664
28800,-340120.11536297953
29700,-349530.9542298469
30600,-358916.5406218959
31500,-368278.11029947345
32400,-377616.8140455921
33300,-386933.7255996978
34200,-396229.8485254747
35100,-405506.1227510561
36000,-414763.4296759322
36900,-424002.5971726488
37800,-433224.40393993555
38700,-442429.58339931245
39600,-451618.8271954088
40500,-460792.78834931186
41400,-469952.0841069641
42300,-479097.2985197181
43200,-488228.98478621617
44100,-497347.66738532134
45000,-506453.8440202004
45900,-515547.98739665415
46800,-524630.5468517431
47700,-533701.9498482645
48600,-542762.6033493426
49500,-551812.8950838782
50400,-560853.1947143915
51300,-569883.8549156172
52200,-578905.2123726946
53100,-587917.5887058703
54000,-596921.2913289135
54900,-605916.614245223
55800,-614903.8387902442
56700,-623883.2343198477
57600,-632855.0588547116
58500,-641819.5596797302
59400,-650776.9739042353
60300,-659727.528985417
61200,-668671.4432186373
62100,-677608.9261966798
63000,-686540.1792388518
63900,-695465.3957945972
64800,-704384.7618225763
65700,-713298.456145971
66600,-722206.6507867309
67500,-731109.5112808616
68400,-740007.196974837
69300,-748899.8613039837
70200,-757787.6520565061
71100,-766670.7116220313
72000,-775549.1772264356
72900,-784423.181153288
73800,-793292.8509539991
74700,-802158.3096457816
75600,-811019.6759004007
76500,-819877.0642223733
77400,-828730.585117002
78300,-837580.3452516521
79200,-846426.4476075072
80100,-855268.991624658
81000,-864108.0733392765
81900,-872943.7855147388
82800,-881776.217765974
83700,-890605.4566781811
84600,-899431.5859206986
85500,-908254.6863537336
86400,-917074.8361320163
87300,-925892.1108033019
88200,-934706.5834017703
89100,-943518.3245380212
90000,-952327.4024856137
90900,-961133.8832624881
91800,-969937.8307103936
92700,-978739.3065694645
93600,-987538.3705516122
94500,-996335.0804092233
95400,-1005129.4920017099
96300,-1013921.6593601193
97200,-1022711.6347477074
98100,-1031499.4687191085
99000,-1040285.210177392
99900,-1049068.9064281525
100800,-1057850.6032328797
101700,-1066630.3448577921
102600,-1075408.174124499
103500,-1084184.1324554184
104400,-1092958.2599195153
105300,-1101730.595275689
106200,-1110501.176015024
107100,-1119270.0384010097
108000,-1128037.217508559
108900,-1136802.747261767
109800,-1145566.6604708117
110700,-1154328.988866533
111600,-1163089.763134977
112500,-1171849.0129498807
113400,-1180606.767004311
114300,-1189363.0530418432
115200,-1198117.8978859317
116100,-1206871.3274689293
117000,-1215623.3668593976
117900,-1224374.040289551
118800,-1233123.3711808813
119700,-1241871.38216968
120600,-1250618.0951310832
121500,-1259363.5312033282
122400,-1268107.7108098904
123300,-1276850.653682353
124200,-1285592.3788812826
125100,-1294332.9048174834
126000,-1303072.2492721756
126900,-1311810.429416363
127800,-1320547.4618297645
128700,-1329283.3625194016
129600,-1338018.146937441
130500,-1346751.8299983519
131400,-1355484.4260956503
132300,-1364215.9491182757
133200,-1372946.412466256
134100,-1381675.8290657639
135000,-1390404.2113846666
135900,-1399131.571446354
