Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,273.0,0.0047884562554549315,0.0,5.59565311239056e-06,2829.926895754764
2,0.005,272.9690817258065,0.00477679676491755,0.0,-2.1965921653210163e-06,2785.988106037263
3,0.01,272.93657849229146,0.004764571307239928,0.0,7.284607207687871e-07,2744.147559847724
4,0.015,272.90232324963375,0.00475171599351219,0.0,-2.2705830204468292e-07,2704.3766628101384
5,0.02,272.8661145777675,0.004738162161029097,0.0,6.983451232186101e-08,2666.6863943993017
6,0.025,272.8277231467657,0.004723829278795674,0.0,-2.734228785625286e-08,2631.0731633574874
7,0.03,272.78687391376604,0.004708621897747421,0.0,3.6138559363156064e-08,2597.537965069016
8,0.035,272.7432384129768,0.00469242602202956,0.0,-1.2542568192088817e-07,2566.080986699362
9,0.04,272.69643575116476,0.004675110226934442,0.0,-1.197916767354665e-06,2536.7063586104287
10,0.045,272.6460520082233,0.004656534569082295,0.0,-9.442705806859558e-07,2509.412549287568
11,0.05,272.5915189173464,0.00463650406013994,0.0,-1.1270961905154997e-06,2484.196302487358
12,0.055,272.5321243471111,0.004614776416606707,0.0,-1.2547011420532654e-06,2461.058984864396
13,0.06,272.4669772604733,0.004591050060177137,0.0,-1.4698208554348486e-06,2440.000691577305
14,0.065,272.3949465572846,0.004564944767560597,0.0,-1.8091968025274186e-06,2421.0221579112635
15,0.07,272.31458994224465,0.004535980135220969,0.0,-2.0869314405553817e-06,2404.1235717924646
16,0.075,272.22405939370526,0.004503546036265447,0.0,-3.2249068777661554e-06,2389.3077258291314
17,0.08,272.1210920230754,0.004466912989599431,0.0,-1.681333490452591e-06,2376.5682323524793
18,0.085,272.0109847289156,0.004428042269755876,0.0,6.507590225598644e-07,2364.853944676278
19,0.09,271.900871386799,0.004389476313150455,0.0,1.8175924192330703e-09,2353.1336697473885
20,0.095,271.7906997115478,0.004351194246595428,0.0,1.8162260373292477e-07,2341.4150599805453
21,0.1,271.68048764566385,0.004313200761937479,0.0,1.3119872255057674e-07,2329.696024641357
22,0.105,271.5702339204146,0.004275493578002951,0.0,1.4465671479740496e-07,2317.977134127996
23,0.11,271.4599424966646,0.0042380722696050924,0.0,1.4037983127601472e-07,2306.2582322161484
24,0.115,271.3496158791446,0.004200935870751062,0.0,1.4099946292480792e-07,2294.539361068212
25,0.12,271.2392569409309,0.004164083525056547,0.0,1.4024493847652746e-07,2282.82050872
26,0.125,271.1288684222614,0.0041275143094298755,0.0,1.3985260335296055e-07,2271.1016779918264
27,0.13,271.01845306486433,0.004091227282074258,0.0,1.3934214387756318e-07,2259.3828676836015
28,0.135,270.90801357278747,0.004055221469712735,0.0,1.3884652253962742e-07,2247.664077702656
29,0.14,270.7975526207063,0.004019495871349181,0.0,1.3832917489711548e-07,2235.9453076637888
30,0.145,270.6870728493751,0.00398404945760161,0.0,1.378004034502372e-07,2224.2265572698334
31,0.15,270.57657686469986,0.003948881171291058,0.0,1.3725759595489826e-07,2212.507826207002
32,0.155,270.4660672359409,0.003913989927744379,0.0,1.367017304930033e-07,2200.7891141726805
