Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9769170040627992,-71.74618086023874,0.0
2,0.005,0.01,0.9306812458397615,-211.9082640835423,0.0
3,0.01,0.015,0.8844687397277005,-351.8820064402613,0.0
4,0.015,0.02,0.8382562307686121,-491.34722070537566,0.0
5,0.02,0.025,0.7920437191423174,-629.9635662224827,0.0
6,0.025,0.03,0.7458312050582221,-767.3629158074784,0.0
7,0.03,0.035,0.6996174674268953,-903.1469236047898,0.0
8,0.035,0.04,0.6534001993917116,-1036.8316214508231,0.0
9,0.04,0.045,0.6071832334783515,-1167.7308691638052,0.0
10,0.045,0.05,0.5609685970189641,-1295.0877686173626,0.0
11,0.05,0.055,0.5147532454556553,-1418.1233620329951,0.0
12,0.055,0.06,0.46853677261718646,-1535.8788854897116,0.0
13,0.06,0.065,0.422318501995329,-1647.0892458931578,0.0
14,0.065,0.07,0.3760972839195422,-1749.9475629970104,0.0
15,0.07,0.075,0.3298711772359966,-1841.626426544173,0.0
16,0.075,0.08,0.28366324661029096,-1917.418209096367,0.0
17,0.08,0.085,0.26059133362753073,-2133.34466282406,0.0
18,0.085,0.09,0.2606121274460096,-2529.939951541025,0.0
19,0.09,0.095,0.26061090997780567,-2918.017476965374,0.0
20,0.095,0.1,0.2606098122508545,-3297.3593074177925,0.0
21,0.1,0.105,0.26060880886819265,-3667.6942107738864,0.0
22,0.105,0.11,0.26060789520058714,-4028.8969017503823,0.0
23,0.11,0.115,0.2606070664648761,-4380.974286187854,0.0
24,0.115,0.12,0.2606063177098803,-4724.050108090189,0.0
25,0.12,0.125,0.26060564384706,-5058.348542361746,0.0
26,0.125,0.13,0.26060503970631965,-5384.177426316696,0.0
27,0.13,0.135,0.26060450010201297,-5701.911726768354,0.0
28,0.135,0.14,0.2606040198976524,-6011.977731938595,0.0
29,0.14,0.145,0.26060359406619066,-6314.838344990215,0.0
30,0.145,0.15,0.260603217742608,-6610.97974919703,0.0
31,0.15,0.155,0.2606028862667551,-6900.899614861457,0.0
32,0.155,0.16,0.26060259521647594,-7185.096930782287,0.0
33,0.16,0.165,0.2606023404327365,-7464.0634702204,0.0
34,0.165,0.17,0.2606021180361193,-7738.2768413594285,0.0
35,0.17,0.175,0.2606019244342179,-8008.195028419658,0.0
36,0.175,0.18,0.26060175632461996,-8274.252297354818,0.0
37,0.18,0.185,0.26060161069127696,-8536.856320067496,0.0
38,0.185,0.19,0.2606014847967987,-8796.38636235001,0.0
39,0.19,0.195,0.26060137617160495,-9053.192377149626,0.0
40,0.195,0.2,0.26060128259922827,-9307.594850439156,0.0
41,0.2,0.205,0.2606012021015621,-9559.88525539183,0.0
42,0.205,0.21,0.2606011329220566,-9810.32698219909,0.0
43,0.21,0.215,0.26060107350758055,-10059.156626265156,0.0
44,0.215,0.22,0.2606010224914825,-10306.585531555476,0.0
45,0.22,0.225,0.26060097867650406,-10552.80150058986,0.0
46,0.225,0.23,0.26060094101816406,-10797.970597947135,0.0
47,0.23,0.235,0.2606009086086854,-11042.238987096805,0.0
48,0.235,0.24,0.26060088066194514,-11285.734752780834,0.0
49,0.24,0.245,0.2606008564996135,-11528.569672246624,0.0
50,0.245,0.25,0.26060083553888974,-11770.840907976697,0.0
51,0.25,0.255,0.2606008172806401,-12012.632602917049,0.0
52,0.255,0.26,0.2606008012981404,-12254.01736583714,0.0
53,0.26,0.265,0.26060078722821395,-12495.057640269888,0.0
54,0.265,0.27,0.26060077476280613,-12735.806954091691,0.0
55,0.27,0.275,0.26060076364123763,-12976.311051083116,0.0
56,0.275,0.28,0.2606007536429387,-13216.60890815234,0.0
