time,Energy Leak from beginning
900,-1.4836090633361891
1800,-3.0448150423162588
2700,-4.666075954361077
3600,-6.334442333361039
4500,-8.040629327239913
5400,-9.778050013664142
6300,-11.542058556101438
7200,-13.329401520388274
8100,-15.137829318819058
9000,-16.965818089292497
9900,-18.812369616456635
10800,-20.67686579296469
11700,-22.558957560044746
12600,-24.458483277215237
13500,-26.375406199042118
14400,-28.30976659926273
15300,-30.26164553885792
16200,-32.23113758394766
17100,-34.21833077001838
18000,-36.2232925906942
18900,-38.24606052208674
19800,-40.28663577830821
20700,-42.34498039737127
21600,-44.42101626133672
22500,-46.514625786855504
23400,-48.62565404264478
24300,-50.75391146560014
25200,-52.8991768104097
26100,-55.06120118693434
27000,-57.23971117873816
27900,-59.434412876967144
28800,-61.644995452674266
29700,-63.87113377832793
30600,-66.11249226713971
31500,-68.36872782333603
32400,-70.6394919592617
33300,-72.92443307985741
34200,-75.2231989986285
35100,-77.53543823639075
36000,-79.86080252890315
36900,-82.19894646804187
37800,-84.54953051664279
38700,-86.91222094349223
39600,-89.28669031240997
40500,-91.6726190998761
41400,-94.06969552961345
42300,-96.4776159590865
43200,-98.89608574878366
44100,-101.32481861318138
45000,-103.76353731799009
45900,-106.21197363418696
46800,-108.66986815445398
47700,-111.1369709265673
48600,-113.61304025181494
49500,-116.09784310399345
50400,-118.59115501292149
51300,-121.0927602248446
52200,-123.60245038841913
53100,-126.12002574592066
54000,-128.6452937627746
54900,-131.17806985486868
55800,-133.7181760750509
56700,-136.26544199748332
57600,-138.81970367609392
58500,-141.38080338686677
59400,-143.94859011821086
60300,-146.5229187666066
61200,-149.1036497458308
62100,-151.69064945717628
63000,-154.28378908905984
63900,-156.88294546211978
64800,-159.48799985298388
65700,-162.0988387015616
66600,-164.71535289786766
67500,-167.33743709469877
68400,-169.96499054602214
69300,-172.5979166116092
70200,-175.23612184892113
71100,-177.87951674599776
72000,-180.52801534496393
72900,-183.18153487227573
73800,-185.8399959399203
74700,-188.50332175686663
75600,-191.17143865385378
76500,-193.8442757306491
77400,-196.52176480135722
78300,-199.20383996703754
79200,-201.8904380171382
80100,-204.58149768539988
81000,-207.27696014860317
81900,-209.97676863000538
82800,-212.68086843650917
83700,-215.38920685903713
84600,-218.101732765198
85500,-220.81839674033313
