Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,272.9999999999999,0.004788456255454868,0.0,3.0843321291160695e-07,2829.8779650557653
2,0.005,272.9903389864655,0.004784810934623228,0.0,-3.8022880976497906e-13,2785.9523483619423
3,0.01,272.97967785586184,0.0047807914834108725,0.0,-1.4346427666688455e-12,2744.1056712548025
4,0.015,272.9678548105732,0.004776337441579748,0.0,-3.3085595139029382e-12,2704.3368697412857
5,0.02,272.9546706026137,0.004771375053433556,0.0,-6.14570175300319e-12,2666.6459439647947
6,0.025,272.93987791054013,0.0047658127756316695,0.0,-1.011515926661156e-11,2631.0328940628524
7,0.03,272.9231660200291,0.00475953588918325,0.0,-1.5427995888086413e-11,2597.497720166095
8,0.035,272.9041390140236,0.004752398500369555,0.0,-1.3283422732024014e-07,2566.0406576656615
9,0.04,272.8822953919479,0.004744216225656494,0.0,-5.548404471702342e-07,2536.662436890966
10,0.045,272.85700658559057,0.0047347595174758615,0.0,-7.393333649549634e-07,2509.3631101222086
11,0.05,272.8274116084766,0.0047237139677615975,0.0,-9.97508141436627e-07,2484.1423442730484
12,0.055,272.7923447631135,0.004710656138537406,0.0,-1.3659649181615196e-06,2461.000413450651
13,0.06,272.75019554476313,0.004695003905044721,0.0,-1.9038240839304133e-06,2439.9377350536747
14,0.065,272.69868650023614,0.004675938968735581,0.0,-2.708195264086856e-06,2420.9549600242735
15,0.07,272.6345148186216,0.004652284484612631,0.0,-3.943790330152143e-06,2404.053130448532
16,0.075,272.5527651085127,0.004622303307760929,0.0,-5.853990492384364e-06,2389.233914834523
17,0.08,272.44605703308383,0.0045834341212794,0.0,-3.8399556370067885e-06,2376.4921748456504
18,0.085,272.32308385169506,0.004539017147893571,0.0,2.2186661441365078e-07,2364.7797154944988
19,0.09,272.20022563963096,0.00449503271523553,0.0,1.9469915895676213e-07,2353.060923125722
20,0.095,272.0773897405835,0.004451441710497942,0.0,1.96462227471284e-07,2341.34219132446
21,0.1,271.95459381995624,0.00440824772987794,0.0,1.9761813653264328e-07,2329.623495350509
22,0.105,271.8318550428672,0.004365453199931781,0.0,1.987324574115099e-07,2317.904834673403
23,0.11,271.709190223674,0.0043230604576844555,0.0,1.9967470953268544e-07,2306.1862080728547
24,0.115,271.5866158303846,0.004281071489652753,0.0,2.0047686916678058e-07,2294.467614591958
25,0.12,271.46414793037064,0.0042394879955307925,0.0,2.01128099546265e-07,2282.749053273352
26,0.125,271.3418021534038,0.00419831136632768,0.0,2.0162962182391148e-07,2271.030523215325
27,0.13,271.2195936516749,0.0041575426866437195,0.0,2.019800350870464e-07,2259.3120235465567
28,0.135,271.0975370624316,0.004117182731733729,0.0,2.021792381783322e-07,2247.593553425453
29,0.14,270.9756464719001,0.004077231967197385,0.0,2.0222737104617478e-07,2235.875112034856
30,0.145,270.85393538100885,0.00403769054917883,0.0,2.021250872471042e-07,2224.1566985793806
31,0.15,270.73241667292194,0.003998558325616383,0.0,2.018734631084976e-07,2212.4383122830645
32,0.155,270.61110258251654,0.003959834838368257,0.0,2.0147400843461072e-07,2200.7199523876907
