Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,1.6926423541554578,62.11305940752351,0.0
2,0.005,0.01,0.9306819902072925,48.56642358861818,0.0
3,0.01,0.015,0.8844687382545119,-98.92844909727694,0.0
4,0.015,0.02,0.8382562285864001,-239.26677308679044,0.0
5,0.02,0.025,0.7920437161347326,-373.8284598383827,0.0
6,0.025,0.03,0.7458312010551241,-503.69175384649935,0.0
7,0.03,0.035,0.6996160179981634,-629.6747199553134,0.0
8,0.035,0.04,0.6533933692199257,-752.3306071320782,0.0
9,0.04,0.045,0.6071713377695843,-871.9369120041744,0.0
10,0.045,0.05,0.5609536078616125,-988.5712073916159,0.0
11,0.05,0.055,0.514733279373949,-1102.150096981279,0.0
12,0.055,0.06,0.4685092913559102,-1212.3688143281863,0.0
13,0.06,0.065,0.42227973766626503,-1318.5738279949874,0.0
14,0.065,0.07,0.3760411628522728,-1419.5436672948135,0.0
15,0.07,0.075,0.3297951350532928,-1513.1087060553998,0.0
16,0.075,0.08,0.2835919548358383,-1596.1597471931013,0.0
17,0.08,0.085,0.26055946399269914,-1799.7001510860564,0.0
18,0.085,0.09,0.2606119691395857,-2158.7389292025746,0.0
19,0.09,0.095,0.26061692351233884,-2512.7744381487546,0.0
20,0.095,0.1,0.26061562171893304,-2862.555390070179,0.0
21,0.1,0.105,0.2606146385881548,-3207.9563603660145,0.0
22,0.105,0.11,0.2606137349945079,-3548.795235213905,0.0
23,0.11,0.115,0.26061289240733354,-3884.9531687248164,0.0
24,0.115,0.12,0.2606121069197044,-4216.367047214295,0.0
25,0.12,0.125,0.2606113748602411,-4543.0251400098205,0.0
26,0.125,0.13,0.26061069301609013,-4864.962014160947,0.0
27,0.13,0.135,0.2606100584247017,-5182.252831226694,0.0
28,0.135,0.14,0.26060946827085724,-5495.007359052081,0.0
29,0.14,0.145,0.26060891984357704,-5803.363947381469,0.0
30,0.145,0.15,0.26060841052096767,-6107.48366355388,0.0
31,0.15,0.155,0.26060793776859353,-6407.544740658509,0.0
32,0.155,0.16,0.26060749914410236,-6703.737452002221,0.0
33,0.16,0.165,0.2606070923043259,-6996.259491472667,0.0
34,0.165,0.17,0.2606067150125655,-7285.311909027464,0.0
35,0.17,0.175,0.26060636514494934,-7571.095624089646,0.0
36,0.175,0.18,0.2606060406951752,-7853.808517172116,0.0
37,0.18,0.185,0.26060573977734586,-8133.6430815988215,0.0
38,0.185,0.19,0.26060546062689083,-8410.78460266664,0.0
39,0.19,0.195,0.26060520159965145,-8685.409820815166,0.0
40,0.195,0.2,0.26060496116931064,-8957.686028066304,0.0
41,0.2,0.205,0.260604737923443,-9227.770542776843,0.0
42,0.205,0.21,0.2606045305584365,-9495.81050619574,0.0
43,0.21,0.215,0.2606043378735869,-9761.942944996334,0.0
44,0.215,0.22,0.2606041587645986,-10026.295046419069,0.0
45,0.22,0.225,0.2606039922167249,-10288.984596461461,0.0
46,0.225,0.23,0.26060383729777387,-10550.120536307295,0.0
47,0.23,0.235,0.26060369315117454,-10809.803597523285,0.0
48,0.235,0.24,0.2606035589892249,-11068.126982167194,0.0
49,0.24,0.245,0.2606034340865796,-11325.177059590562,0.0
50,0.245,0.25,0.26060331777421003,-11581.034057175744,0.0
51,0.25,0.255,0.2606032094337529,-11835.772727348254,0.0
52,0.255,0.26,0.2606031084923002,-12089.462977867472,0.0
53,0.26,0.265,0.2606030144177293,-12342.170456525972,0.0
54,0.265,0.27,0.2606029267145076,-12593.957084958536,0.0
55,0.27,0.275,0.26060284491991076,-12844.881539258335,0.0
56,0.275,0.28,0.26060276860070786,-13094.999677541438,0.0
57,0.28,0.285,0.2606026973502584,-13344.364916518402,0.0
58,0.285,0.29,0.260602630785952,-13593.0285605739,0.0
59,0.29,0.295,0.26060256854697916,-13841.040087869347,0.0
60,0.295,0.3,0.26060251029239345,-14088.447398623652,0.0
61,0.3,0.305,0.260602455699409,-14335.29703104256,0.0
62,0.305,0.31,0.26060240446187616,-14581.634350444492,0.0
63,0.31,0.315,0.26060235628897677,-14827.503716988303,0.0
64,0.315,0.32,0.2606023109040615,-15072.948637101972,0.0
65,0.32,0.325,0.26060226804351366,-15318.011903289822,0.0
66,0.325,0.33,0.2606022274557889,-15562.735726512885,0.0
67,0.33,0.335,0.2606021889005192,-15807.161864772837,0.0
68,0.335,0.34,0.26060215214761506,-16051.331750964287,0.0
69,0.34,0.345,0.26060211697645164,-16295.286622490245,0.0
70,0.345,0.35,0.2606020831750604,-16539.0676545649,0.0
71,0.35,0.355,0.2606020505393648,-16782.716098585846,0.0
72,0.355,0.36,0.2606020188724098,-17026.273426453496,0.0
73,0.36,0.365,0.26060198798364337,-17269.781481235324,0.0
74,0.365,0.37,0.26060195768819044,-17513.282634129864,0.0
75,0.37,0.375,0.2606019278061425,-17756.819947281827,0.0
76,0.375,0.38,0.26060189816190965,-18000.437341633482,0.0
77,0.38,0.385,0.26060186858353884,-18244.17976865177,0.0
78,0.385,0.39,0.26060183890212046,-18488.093384473555,0.0
79,0.39,0.395,0.2606018089512209,-18732.22572471492,0.0
80,0.395,0.4,0.26060177856634104,-18976.62587793838,0.0
81,0.4,0.405,0.26060174758445637,-19221.344655533165,0.0
82,0.405,0.41,0.260601715843612,-19466.434755536025,0.0
83,0.41,0.415,0.2606016831825792,-19711.95091771682,0.0
84,0.415,0.42,0.26060164944059955,-19957.950067057915,0.0
85,0.42,0.425,0.2606016144572158,-20204.491442590108,0.0
86,0.425,0.43,0.2606015780721987,-20451.636708371116,0.0
87,0.43,0.435,0.26060154012557885,-20699.450043262364,0.0
88,0.435,0.44,0.26060150045778363,-20947.998206030356,0.0
89,0.44,0.445,0.26060145890990377,-21197.350572202307,0.0
90,0.445,0.45,0.260601415324068,-21447.579139024492,0.0
91,0.45,0.455,0.260601369543971,-21698.758494836646,0.0
92,0.455,0.46,0.26060132141551645,-21950.96574916182,0.0
93,0.46,0.465,0.26060127078761514,-22204.280419852876,0.0
94,0.465,0.47,0.2606012175131334,-22458.78427371568,0.0
95,0.47,0.475,0.260601161449951,-22714.561117159563,0.0
96,0.475,0.48,0.260601102462208,-22971.696533623755,0.0
97,0.48,0.485,0.26060104042166715,-23230.27756478799,0.0
98,0.485,0.49,0.2606009752092205,-23490.39233288798,0.0
99,0.49,0.495,0.260600906716541,-23752.12960186502,0.0
100,0.495,0.5,0.26060083484783997,-24015.57827554376,0.0
101,0.5,0.505,0.26060075952176337,-24280.82683158872,0.0
102,0.505,0.51,0.26060068067337605,-24547.962690611614,0.0
103,0.51,0.515,0.2606005982562222,-24817.071520511767,0.0
104,0.515,0.52,0.2606005122444803,-25088.236476922048,0.0
105,0.52,0.525,0.2606004226351575,-25361.537381478138,0.0
106,0.525,0.53,0.2606003294503186,-25637.04984055948,0.0
107,0.53,0.535,0.26060023273930516,-25914.844308130945,0.0
108,0.535,0.54,0.2606001325809516,-26194.9850973504,0.0
109,0.54,0.545,0.2606000290857633,-26477.52934668019,0.0
110,0.545,0.55,0.26059992239800717,-26762.52594733857,0.0
111,0.55,0.555,0.26059981269773597,-27050.014440043018,0.0
112,0.555,0.56,0.26059970020269,-27340.023890097917,0.0
113,0.56,0.565,0.26059958517008136,-27632.571750966505,0.0
114,0.565,0.57,0.2605994678982431,-27927.662727511306,0.0
115,0.57,0.575,0.2605993487281484,-28225.28765105284,0.0
116,0.575,0.58,0.26059922804481467,-28525.42237932336,0.0
117,0.58,0.585,0.2605991062786155,-28828.026735144947,0.0
118,0.585,0.59,0.26059898390657604,-29133.04349837073,0.0
119,0.59,0.595,0.2605988614537427,-29440.397466135273,0.0
120,0.595,0.6,0.2605987394947956,-29749.994596837987,0.0
121,0.6,0.605,0.2605986186561245,-30061.72125347173,0.0
122,0.605,0.61,0.26059849961878173,-30375.44356192191,0.0
123,0.61,0.615,0.26059838312401995,-30691.00689981114,0.0
124,0.615,0.62,0.2605982700039089,-31008.235533686846,0.0
125,0.62,0.625,0.2605981599064233,-31326.9322513214,0.0
126,0.625,0.63,0.2605980351455693,-31646.876199307295,0.0
127,0.63,0.635,0.2605994608492122,-31968.02935572916,0.0
128,0.635,0.64,0.26061169771804066,-32291.41403390349,0.0
129,0.64,0.645,0.272917524365002,-34141.45085281508,0.0
130,0.645,0.65,0.2974973409587331,-37532.32674444926,0.0
131,0.65,0.655,0.32206629457400204,-40925.00009846363,0.0
132,0.655,0.66,0.34663558001845346,-44319.53998568198,0.0
133,0.66,0.665,0.37120629090877677,-47715.04393290964,0.0
134,0.665,0.67,0.3957780090649107,-51110.70007597624,0.0
135,0.67,0.675,0.4203504568408045,-54505.90955976919,0.0
136,0.675,0.68,0.44492343999909517,-57900.21646145442,0.0
137,0.68,0.685,0.4694968206782948,-61293.26388660118,0.0
138,0.685,0.69,0.4940704999255727,-64684.76513678459,0.0
139,0.69,0.695,0.5186444059078309,-68074.48439974393,0.0
140,0.695,0.7,0.5432184858996494,-71462.22360870696,0.0
141,0.7,0.705,0.5677927007868118,-74847.81335959818,0.0
142,0.705,0.71,0.5923670212685902,-78231.10653886238,0.0
143,0.71,0.715,0.616941415621504,-81611.97249919646,0.0
144,0.715,0.72,0.641515135751862,-84990.19796650864,0.0
145,0.72,0.725,0.6538008305706993,-86737.36829727476,0.0
146,0.725,0.73,0.6538000121606622,-86851.4511559041,0.0
147,0.73,0.735,0.6538000093390101,-86962.90559104057,0.0
148,0.735,0.74,0.6538000115789873,-87071.52728151597,0.0
149,0.74,0.745,0.6538000153234451,-87177.22154740771,0.0
150,0.745,0.75,0.6538002494361379,-87279.92633950904,0.0
151,0.75,0.755,0.6579765327920901,-87937.13217351088,0.0
152,0.755,0.76,0.6333996898258257,-84747.52913889958,0.0
153,0.76,0.765,0.6088244012175722,-81554.92434156545,0.0
154,0.765,0.77,0.5842491061282813,-78359.00518308317,0.0
155,0.77,0.775,0.5596737936967475,-75159.66353860934,0.0
156,0.775,0.78,0.5350984588632428,-71956.7857698852,0.0
157,0.78,0.785,0.5105230950229241,-68750.25119592462,0.0
158,0.785,0.79,0.4859476935145761,-65539.93128262358,0.0
159,0.79,0.795,0.46137224287972595,-62325.68846210267,0.0
160,0.795,0.8,0.43679672781757733,-59107.37436213194,0.0
161,0.8,0.805,0.41222112770095404,-55884.827083946584,0.0
162,0.805,0.81,0.38764541445803474,-52657.86693344039,0.0
163,0.81,0.815,0.3630695495446305,-49426.289615929716,0.0
164,0.815,0.82,0.33849347963895243,-46189.85522774234,0.0
165,0.82,0.825,0.31391713062706406,-42948.27020282319,0.0
166,0.825,0.83,0.28934039955337815,-39701.1573116553,0.0
167,0.83,0.835,0.2647631449046127,-36448.005172504694,0.0
168,0.835,0.84,0.24018517810942014,-33188.0823409366,0.0
169,0.84,0.845,0.2156062627065892,-29920.28943376066,0.0
170,0.845,0.85,0.19102609299878304,-26642.89619251971,0.0
171,0.85,0.855,0.1664466165041678,-23353.43407897834,0.0
172,0.855,0.86,0.14188077748544856,-20049.42405421753,0.0
173,0.86,0.865,0.12959090558880976,-18464.210927622236,0.0
174,0.865,0.87,0.12960510555544494,-18625.63391683687,0.0
175,0.87,0.875,0.12960619084380587,-18783.887129989835,0.0
176,0.875,0.88,0.12960543093466123,-18941.408822185713,0.0
177,0.88,0.885,0.12960480065709334,-19099.095487995368,0.0
178,0.885,0.89,0.1296042181127476,-19257.561945110934,0.0
179,0.89,0.895,0.12960367893171415,-19417.462434358767,0.0
180,0.895,0.9,0.12960318547097074,-19579.468678288482,0.0
181,0.9,0.905,0.1296027433525904,-19744.257422971372,0.0
182,0.905,0.91,0.12960236364707514,-19912.497505408635,0.0
183,0.91,0.915,0.12960206593380225,-20084.835999470983,0.0
184,0.915,0.92,0.12960188343093892,-20261.883991171533,0.0
