time,Energy Leak from beginning
300,-51465.51372565748
600,1410800.8221847145
900,-4227438.964606451
1200,59696854.40036229
1500,-1565277.3164430484
1800,-1173115.3973098395
2100,-114502.437557759
2400,-1768709.8705021685
2700,679753.0477704152
3000,-3049935.0346273715
3300,2294111.0364859663
3600,-5764483.434046402
3900,4828831.389461772
4200,-9652775.986134175
4500,6436105.333980784
4800,-10165688.651465975
5100,5291700.885414364
5400,-7098264.11817125
5700,3038955.1716065295
6000,-4384881.171969585
6300,1290065.1062762896
6600,-2779075.3376222383
6900,236853.1271490245
7200,-1918466.592971067
7500,-343590.5040042023
7800,-1468841.9224987286
8100,-652309.204803027
8400,-1235502.274325221
8700,-813749.135433741
9000,-1114645.978364247
9300,-897345.9311044819
9600,-1052085.6346834365
9900,-940329.1850312747
10200,-1019691.052871253
10500,-962290.19864492
10800,-1002891.0356684936
11100,-973431.9343953293
11400,-994149.1454919049
11700,-979032.754341072
12000,-989572.2062493087
12300,-981810.0243332018
12600,-987150.8309876228
12900,-983156.9142833224
13200,-985848.2876700597
13500,-983784.8361046723
13800,-985129.4686957705
14100,-984055.4674569815
14400,-984717.7890331838
14700,-984151.6715200124
15000,-984469.8673093908
15300,-984165.2322188205
15600,-984311.0141317461
15900,-984141.7221646624
16200,-984202.0130048046
16500,-984103.3949952092
16800,-984122.0138916562
17100,-984060.8415750588
17400,-984059.739236358
17700,-984018.8455612805
18000,-984008.9285485712
18300,-983979.3874339472
18600,-983965.9866826719
18900,-983943.0945702281
19200,-983928.7602243461
19500,-983909.9985792709
19800,-983895.89515132
20100,-983879.8698003532
20400,-983866.4845971134
20700,-983852.3988916462
21000,-983839.8947045509
21300,-983827.2736902966
21600,-983815.661890448
21900,-983804.2003463951
22200,-983793.4321568883
22500,-983782.9189811087
22800,-983772.9253060088
23100,-983763.2140868689
23400,-983753.9122239783
23700,-983744.8896427777
24000,-983736.2069454122
24300,-983727.7892677246
24600,-983719.6587435597
24900,-983711.7698320916
25200,-983704.136793533
25500,-983696.7214667655
25800,-983689.5263706262
26100,-983682.5332234018
26400,-983675.7372673319
26700,-983669.1256467372
27000,-983662.6849807098
27300,-983656.4168782749
27600,-983650.3052462308
27900,-983644.3455436238
28200,-983638.5309213323
28500,-983632.8516109085
28800,-983627.3061191877
