Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,272.9999999998666,0.004788456255454918,0.0,0.0007870353025848081,2657.8184146089425
2,0.005,272.9976557276374,0.004786983699975981,0.0,9.401910629352711e-13,2589.4989457226266
3,0.01,272.9859621261377,0.004783081012997281,0.0,-3.1555755151851923e-12,2547.6521693686377
4,0.015,272.97299505784537,0.004778180630242065,0.0,-8.508085629225727e-12,2507.883367865933
5,0.02,272.9585376093751,0.004772720677236833,0.0,-1.7071969956962603e-11,2470.1924421012977
6,0.025,272.9423206334851,0.004766600710106934,0.0,-2.9352916934835213e-11,2434.579392209445
7,0.03,272.92400620909046,0.0047596948466210225,0.0,-4.60272012406804e-11,2401.044218317725
8,0.035,272.9031658778811,0.004751844183583255,0.0,-1.4599811177939696e-07,2369.587091405175
9,0.04,272.8792584118357,0.004742848241255886,0.0,-6.10030390157059e-07,2340.2085070416556
10,0.045,272.8515946271033,0.004732450204775262,0.0,-8.126636493914747e-07,2312.9084617524277
11,0.05,272.81924658858,0.004720306916780212,0.0,-1.0961600484049261e-06,2287.6867067500884
12,0.055,272.7809539952307,0.004705953509638309,0.0,-1.5007931703608495e-06,2264.543427591602
13,0.06,272.7349786968668,0.00468875038863124,0.0,-2.091313134568786e-06,2243.478890064648
14,0.065,272.67886840405157,0.004667798868619982,0.0,-2.974424196760499e-06,2224.493505110446
15,0.07,272.6090786562033,0.004641806083077202,0.0,-4.339607178714327e-06,2207.5879414929814
16,0.075,272.52033523533095,0.004608840945709317,0.0,-5.894180163639719e-06,2192.7627593040156
17,0.08,272.4041987827244,0.004567259167354372,0.0,-3.91206535531884e-06,2180.014855825646
18,0.085,272.2701752695181,0.004520147607470783,0.0,-2.043924826427215e-07,2168.3005689450947
19,0.09,272.136943568111,0.004472616126810298,0.0,2.885601807224536e-07,2156.582452724721
20,0.095,272.003997368412,0.004425667711445427,0.0,2.717485930310434e-07,2144.863949236154
21,0.1,271.8713431442166,0.00437926993867175,0.0,2.7565640126838937e-07,2133.1455103804956
22,0.105,271.73903222307916,0.004333430908637114,0.0,2.800334166502448e-07,2121.427114468376
23,0.11,271.6071115368843,0.004288159696743536,0.0,2.8374094652600425e-07,2109.708758140745
24,0.115,271.47562590993726,0.004243464013359134,0.0,2.8685757143964847e-07,2097.990439339363
25,0.12,271.3446179710438,0.004199350358922408,0.0,2.893834170338392e-07,2086.2721562253028
26,0.125,271.21412798333745,0.004155824023677675,0.0,2.913203286345827e-07,2074.553907156282
27,0.13,271.0841936995176,0.004112889090978088,0.0,2.926737940147192e-07,2062.835690630994
28,0.135,270.9548502346595,0.004070548448082101,0.0,2.934525262302758e-07,2051.11750525087
29,0.14,270.8261299572185,0.004028803803613403,0.0,2.9366829389219326e-07,2039.3993496945745
30,0.145,270.69806239875146,0.003987655711320601,0.0,2.9333570830591934e-07,2027.6812227009232
31,0.15,270.5706741826352,0.003947103599722871,0.0,2.924720246491548e-07,2015.963123057498
32,0.155,270.44398897185044,0.003907145807183799,0.0,2.9109688581999384e-07,2004.2450495931282
33,0.16,270.31802743569756,0.0038677796219221787,0.0,2.892320848427555e-07,1992.5270011730022
