Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9768937488599095,-39.68745160621461,0.0
2,0.005,0.01,0.9306812454757394,-121.57334573814362,0.0
3,0.01,0.015,0.8844687387874018,-203.1008914935436,0.0
4,0.015,0.02,0.8382562289081632,-284.93449965596994,0.0
5,0.02,0.025,0.7920437159684708,-366.9177382764707,0.0
6,0.025,0.03,0.7458312001210159,-449.11717500550907,0.0
7,0.03,0.035,0.6996133827745142,-531.5371498656432,0.0
8,0.035,0.04,0.6533791114906488,-614.1676667585223,0.0
9,0.04,0.045,0.6071436519926852,-696.8947619430471,0.0
10,0.045,0.05,0.5609156820529742,-779.5782109308395,0.0
11,0.05,0.055,0.5146815232393508,-862.0254848502409,0.0
12,0.055,0.06,0.468437944986827,-944.0690468567284,0.0
13,0.06,0.065,0.4221796708869488,-1024.7964964612636,0.0
14,0.065,0.07,0.37589791723385546,-1104.8568576922248,0.0
15,0.07,0.075,0.3295784255390856,-1176.7044253096146,0.0
16,0.075,0.08,0.2833746408037546,-1259.7104865577949,0.0
17,0.08,0.085,0.2604862035943315,-1434.4792453706805,0.0
18,0.085,0.09,0.2606292634908572,-1711.441062363495,0.0
19,0.09,0.095,0.2606279381516682,-2010.1329625522076,0.0
20,0.095,0.1,0.26062713516498964,-2302.5435580457593,0.0
21,0.1,0.105,0.26062635593748285,-2596.5037119287626,0.0
22,0.105,0.11,0.2606255998266491,-2889.8630492369166,0.0
23,0.11,0.115,0.26062486547362723,-3183.148128159531,0.0
24,0.115,0.12,0.2606241517995681,-3476.169294721196,0.0
25,0.12,0.125,0.2606234579257975,-3768.929999057316,0.0
26,0.125,0.13,0.2606227831210643,-4061.383263118955,0.0
27,0.13,0.135,0.2606221267643778,-4353.49704930147,0.0
28,0.135,0.14,0.2606214883180732,-4645.236855025418,0.0
29,0.14,0.145,0.2606208673078719,-4936.570481905128,0.0
30,0.145,0.15,0.260620263307876,-5227.4668582720615,0.0
31,0.15,0.155,0.2606196759291185,-5517.896449801883,0.0
32,0.155,0.16,0.26061910481074657,-5807.831239017952,0.0
33,0.16,0.165,0.2606185496131707,-6097.244814455478,0.0
34,0.165,0.17,0.2606180100127083,-6386.112424333642,0.0
35,0.17,0.175,0.26061748569738497,-6674.4110334036295,0.0
36,0.175,0.18,0.2606169763636347,-6962.119372415463,0.0
37,0.18,0.185,0.2606164817137086,-7249.217982851106,0.0
38,0.185,0.19,0.2606160014536512,-7535.689256069994,0.0
39,0.19,0.195,0.26061553529172266,-7821.517466967492,0.0
40,0.195,0.2,0.26061508293719493,-8106.688802018127,0.0
41,0.2,0.205,0.2606146440994387,-8391.191381664572,0.0
42,0.205,0.21,0.2606142184872625,-8675.015277008983,0.0
43,0.21,0.215,0.2606138058084412,-8958.152520790782,0.0
44,0.215,0.22,0.26061340576942077,-9240.59711265147,0.0
45,0.22,0.225,0.26061301807515846,-9522.345018702392,0.0
46,0.225,0.23,0.2606126424290696,-9803.39416542912,0.0
47,0.23,0.235,0.26061227853307894,-10083.744427983933,0.0
48,0.235,0.24,0.26061192608774575,-10363.397612931352,0.0
49,0.24,0.245,0.2606115847924559,-10642.35743552328,0.0
50,0.245,0.25,0.2606112543456673,-10920.629491599211,0.0
51,0.25,0.255,0.26061093444520267,-11198.221224215744,0.0
52,0.255,0.26,0.26061062478857344,-11475.14188511925,0.0
53,0.26,0.265,0.26061032507333864,-11751.40249119196,0.0
54,0.265,0.27,0.2606100349974841,-12027.015776004739,0.0
55,0.27,0.275,0.2606097542598227,-12301.996136621787,0.0
56,0.275,0.28,0.2606094825604002,-12576.359575810353,0.0
57,0.28,0.285,0.260609219600922,-12850.12363981393,0.0
58,0.285,0.29,0.2606089650851782,-13123.30735185446,0.0
59,0.29,0.295,0.26060871871947106,-13395.931141530735,0.0
60,0.295,0.3,0.26060848021304917,-13668.016770292877,0.0
61,0.3,0.305,0.26060824927853127,-13939.587253167816,0.0
62,0.305,0.31,0.2606080256323328,-14210.666776919055,0.0
63,0.31,0.315,0.2606078089950782,-14481.280614821577,0.0
64,0.315,0.32,0.2606075990920145,-14751.455038246026,0.0
65,0.32,0.325,0.26060739565340646,-15021.217225236609,0.0
66,0.325,0.33,0.2606071984149271,-15290.595166271898,0.0
67,0.33,0.335,0.2606070071180306,-15559.617567406258,0.0
68,0.335,0.34,0.2606068215103157,-15828.313750983849,0.0
69,0.34,0.345,0.2606066413458745,-16096.713554119253,0.0
70,0.345,0.35,0.2606064663856223,-16364.847225146163,0.0
71,0.35,0.355,0.26060629639761457,-16632.74531822916,0.0
72,0.355,0.36,0.26060613115734677,-16900.438586344244,0.0
73,0.36,0.365,0.2606059704480327,-17167.957872828752,0.0
74,0.365,0.37,0.26060581406087174,-17435.33400170871,0.0
75,0.37,0.375,0.26060566179529066,-17702.597667010956,0.0
76,0.375,0.38,0.2606055134591673,-17969.779321275186,0.0
77,0.38,0.385,0.260605368869039,-18236.90906347942,0.0
78,0.385,0.39,0.26060522785028495,-18504.016526600957,0.0
79,0.39,0.395,0.26060509023729206,-18771.130765035727,0.0
80,0.395,0.4,0.26060495587359966,-19038.28014210745,0.0
81,0.4,0.405,0.2606048246120201,-19305.492217900963,0.0
82,0.405,0.41,0.2606046963147433,-19572.793637659324,0.0
83,0.41,0.415,0.2606045708534169,-19840.210020991577,0.0
84,0.415,0.42,0.26060444810920397,-20107.765852140772,0.0
85,0.42,0.425,0.26060432797282507,-20375.484371578084,0.0
86,0.425,0.43,0.2606042103445689,-20643.38746917792,0.0
87,0.43,0.435,0.26060409513429544,-20911.49557925342,0.0
88,0.435,0.44,0.26060398226140585,-21179.8275777246,0.0
89,0.44,0.445,0.2606038716547977,-21448.400681705727,0.0
90,0.445,0.45,0.26060376325280227,-21717.230351799313,0.0
91,0.45,0.455,0.26060365700309474,-21986.33019739223,0.0
92,0.455,0.46,0.2606035528625921,-22255.711885252393,0.0
93,0.46,0.465,0.26060345079732916,-22525.385051729892,0.0
94,0.465,0.47,0.2606033507823174,-22795.357218871715,0.0
95,0.47,0.475,0.26060325280138885,-23065.633714755597,0.0
