time,Energy Leak from beginning
300,-0.5166545094925823
600,-1.0475108601640386
900,-1.591396453809466
1200,-2.1471170027834887
1500,-2.713531565949779
1800,-3.2895878917579466
2100,-3.874334805266699
2400,-4.466922629143937
2700,-5.066596923985344
3000,-5.6726899250775205
3300,-6.284610980928392
3600,-6.901837171219086
3900,-7.523904797652449
4200,-8.150401901525129
4500,-8.780961360027504
4800,-9.415255252768475
5100,-10.052989746145158
5400,-10.693900832604186
5700,-11.337750558644302
6000,-11.984324000832885
6300,-12.63342635592835
6600,-13.284880849481397
6900,-13.938526354871101
7200,-14.594215965969624
7500,-15.25181528191888
7800,-15.911201207690738
8100,-16.572260699781964
8400,-17.234889826298286
8700,-17.89899282039164
9000,-18.56448134414927
9300,-19.23127375803483
9600,-19.899294598207916
9900,-20.56847381765533
10200,-21.238746646095024
10500,-21.910052751329204
10800,-22.58233620854412
11100,-23.2555449262793
11400,-23.92963040336349
11700,-24.604547386633158
12000,-25.280253731321864
12300,-25.95671016920278
12600,-26.633879868803888
12900,-27.311728440433626
13200,-27.990223797688486
13500,-28.669335844716215
13800,-29.349036430060096
14100,-30.029299185336868
14400,-30.710099305041467
14700,-31.39141365186265
15000,-32.07322038973575
15300,-32.755499062460785
15600,-33.438230483650614
15900,-34.121396554545754
16200,-34.80498039458132
16500,-35.48896596733107
16800,-36.1733382294525
17100,-36.858083055840666
17400,-37.54318708382209
17700,-38.22863776483575
18000,-38.91442326305628
18300,-39.60053239768979
18600,-40.28695458899392
18900,-40.97367995604691
19200,-41.66069907550309
19500,-42.34800302740382
19800,-43.03558342065617
20100,-43.72343236065615
20400,-44.41154225562843
20700,-45.099906004395166
21000,-45.788516850280416
21300,-46.4773684624256
21600,-47.16645473822723
21900,-47.855769920865214
22200,-48.5453085522189
22500,-49.235065482904474
22800,-49.92503579429126
23100,-50.61521477939186
23400,-51.30559797779301
23700,-51.996181168129965
24000,-52.68696025634006
24300,-53.377931483101634
24600,-54.06909113490428
24900,-54.7604356860752
25200,-55.45196181970289
25500,-56.14366637287458
25800,-56.835546225702615
26100,-57.52759849330346
26400,-58.21982039711497
26700,-58.912209258996654
27000,-59.604762502832386
27300,-60.29747765683578
27600,-60.990352342866686
27900,-61.68338432388498
28200,-62.376571427642716
28500,-63.069911540201815
28800,-63.76340265829833
29100,-64.45704282530448
29400,-65.15083016250185
29700,-65.84476284333914
30000,-66.53883918391762
30300,-67.23305745084508
30600,-67.92741606271943
30900,-68.62191339020433
31200,-69.3165479241909
31500,-70.01131820132537
31800,-70.70622274728817
32100,-71.40126021300455
32400,-72.0964292543913
32700,-72.79172852192255
33000,-73.48715670853198
33300,-74.18271266237252
33600,-74.8783951779501
33900,-75.57420300381352
34200,-76.27013503824116
34500,-76.96619012736164
34800,-77.66236722894621
35100,-78.35866526825976
35400,-79.05508314924555
35700,-79.75161994290067
36000,-80.44827463685999
36300,-81.14504621789331
36600,-81.84193380310569
36900,-82.53893632090148
37200,-83.23605294920776
37500,-83.93328277195997
37800,-84.63062491370977
38100,-85.32807850280767
38400,-86.02564266198374
38700,-86.72331660075974
39000,-87.42109950870952
39300,-88.11899054400487
39600,-88.81698887102607
39900,-89.51509374656064
40200,-90.2133044430085
40500,-90.91162012844711
40800,-91.61004008752525
41100,-92.30856357772564
41400,-93.0071898385072
41700,-93.70591824622875
42000,-94.40474798455466
42300,-95.10367838505567
42600,-95.80270875493318
42900,-96.50183843259992
43200,-97.20106674226588
43500,-97.90039299471562
43800,-98.59981652834506
44100,-99.29933671392337
44400,-99.99895291298003
44700,-100.69866451294376
45000,-101.39847078425566
45300,-102.09837116788037
45600,-102.7983650318373
45900,-103.49845179226918
46200,-104.19863079133347
46500,-104.89890150240433
46800,-105.59926328264226
47100,-106.29971556642079
47400,-107.00025775583242
47700,-107.70088922749687
48000,-108.40160950548454
48300,-109.10241794447904
48600,-109.80331402815375
48900,-110.50429722789568
49200,-111.2053669086115
49500,-111.90652257386444
49800,-112.60776365627657
50100,-113.30908966946913
50400,-114.01050007882566
50700,-114.71199433274603
51000,-115.41357192297289
51300,-116.11523231197896
51600,-116.8169749507548
51900,-117.51879930509233
52200,-118.22070496154026
52500,-118.9226913701566
52800,-119.62475802575
53100,-120.32690446884328
53400,-121.02913017447645
53700,-121.73143466914166
54000,-122.43381745269733
54300,-123.13627805459328
54600,-123.83881600478003
54900,-124.54143085544513
55200,-125.24412211179526
55500,-125.9468892222992
55800,-126.64973180282016
56100,-127.35264943301104
56400,-128.055641580052
56700,-128.75870786623045
57000,-129.46184779460282
57300,-130.16506096270928
57600,-130.86834694653942
57900,-131.57170519892645
58200,-132.2751353666207
58500,-132.97863692338285
58800,-133.68220957166727
59100,-134.38585285492059
59400,-135.08956630355897
59700,-135.79334950550037
60000,-136.4972020620221
60300,-137.20112354885066
60600,-137.90511359589073
60900,-138.60917177309102
61200,-139.31329765387568
61500,-140.01749084683706
61800,-140.72175094678573
62100,-141.4260775920245
62400,-142.13047031707492
62700,-142.83492876388436
63000,-143.5394525826407
63300,-144.24404135406598
63600,-144.9486947555365
63900,-145.65341230023648
64200,-146.35819367936892
64500,-147.06303851104224
64800,-147.76794647805832
65100,-148.47291715536176
65400,-149.1779501734751
65700,-149.8830452046161
66000,-150.58820187259425
66300,-151.29341983184474
66600,-151.99869871638975
66900,-152.70403818947716
67200,-153.40943787738252
67500,-154.11489747190728
67800,-154.82041660450136
68100,-155.52599493395894
68400,-156.23163209767017
68700,-156.93732780831147
69000,-157.6430817171531
69300,-158.34889347744058
69600,-159.0547627828621
69900,-159.76068931098962
70200,-160.46667274062543
70500,-161.1727127161373
70800,-161.8788089876805
71100,-162.5849611613571
71400,-163.29116898747134
71700,-163.99743212451153
72000,-164.70375026358988
72300,-165.41012309070436
72600,-166.11655031362181
72900,-166.8230316715302
73200,-167.52956681068702
73500,-168.23615550054342
73800,-168.9427973426457
74100,-169.6494921239488
74400,-170.35623954094058
74700,-171.06303927299325
75000,-171.76989105371047
75300,-172.47679459074345
75600,-173.1837496940242
75900,-173.89075598633406
76200,-174.59781324463847
76500,-175.30492123742988
76800,-176.0120795428261
77100,-176.7192880137743
77400,-177.42654630806896
77700,-178.13385418197072
78000,-178.84121142221034
78300,-179.54861775901577
78600,-180.25607286497802
78900,-180.96357655253541
79200,-181.67112854010577
79500,-182.3787285766349
79800,-183.08637642233282
80100,-183.79407178704912
80400,-184.501814469534
80700,-185.20960424719624
81000,-185.9174408478317
81300,-186.62532400616044
81600,-187.33325352499594
81900,-188.04122917018856
82200,-188.74925064861543
82500,-189.45731781455117
82800,-190.1654303480933
83100,-190.8735880780422
83400,-191.58179077611555
83700,-192.29003821473214
84000,-192.99833015532863
84300,-193.7066663506737
84600,-194.41504660947635
84900,-195.12347074174454
85200,-195.8319384718768
85500,-196.54044966263268
85800,-197.2490040504283
86100,-197.95760145378745
