Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,273.00014432171366,0.00478851072616827,313.7104795299379,-2.2515353892675772e-14,2829.8751891101147
2,0.005,272.9908404849204,0.004785000366114176,-15579.767714717223,-1.63714215503421e-13,2785.950636558165
3,0.01,272.9805737590069,0.004781129407407667,-31221.83834920754,-6.109042656140691e-13,2744.1039594521862
4,0.015,272.9691875459939,0.004776839671108003,-46970.78510435134,-1.4123459909308892e-12,2704.33515794145
5,0.02,272.95648953208894,0.004772059822622895,-62735.09095688889,-2.6273590312116256e-12,2666.64423217025
6,0.025,272.94224096062305,0.004766701457177988,-78544.41897125781,-4.328899874611548e-12,2631.0311822771546
7,0.03,272.9261418240898,0.0047606537113127475,-94396.63138098094,-6.607813207950788e-12,2597.496008394042
8,0.035,272.9078096699143,0.004753775570275661,-110295.86197026153,-1.2812953582885734e-07,2566.0390397855763
9,0.04,272.88675961135385,0.004745888772106773,-126234.83800741515,-5.351122396250626e-07,2536.661305046138
10,0.045,272.8623839928094,0.0047367707811464925,-142179.92208869554,-7.133682740309884e-07,2509.362893082717
11,0.05,272.83385066793477,0.004726117684404709,-158113.33849457832,-9.630726552105128e-07,2484.1433553152665
12,0.055,272.8000321286818,0.004713519390306891,-173978.92972912113,-1.3197228702294119e-06,2461.0030962787264
13,0.06,272.75936980500956,0.004698411835867019,-189768.34713224828,-1.840809030902847e-06,2439.942731493335
14,0.065,272.70965809101756,0.004680001618985666,-205138.5924122331,-2.621317611669014e-06,2420.9632213565465
15,0.07,272.64769515528985,0.0046571456683655406,-220676.44189581161,-3.821308879095782e-06,2404.0661009663177
16,0.075,272.5687085116789,0.004628156696603021,-232886.1024797356,-5.673615199421767e-06,2389.2538267838218
17,0.08,272.46556703556547,0.004590548422627851,-252842.27408887196,-3.71675931474942e-06,2376.5189659739094
18,0.085,272.3467330678045,0.004547561172527386,-300667.92496292223,2.1097300251957215e-07,2364.809082464219
19,0.09,272.22800948406183,0.0045049778958956435,-360123.7373609327,1.7238033805778326e-07,2353.0900045152707
20,0.095,272.1092489717878,0.004462742671885752,-416276.41022728663,1.7274081953464005e-07,2341.371008426814
21,0.1,271.99046022954104,0.0044208561628171685,-473332.1763840476,1.7285672858733433e-07,2329.6520474968884
22,0.105,271.8716511041353,0.004379318643436837,-530158.0122472672,1.7291755530826177e-07,2317.9331208784033
23,0.11,271.7528293449735,0.004338130275786542,-587052.8179839952,1.7292186121621087e-07,2306.21422765788
24,0.115,271.63400258717985,0.004297291106541926,-643931.8735062167,1.7286895133504732e-07,2294.495366985237
25,0.12,271.5151783374379,0.004256801065523847,-700813.325310469,1.7275827060891316e-07,2282.776538060565
26,0.125,271.3963639601152,0.004216659964505991,-757687.8412597596,1.7258941043771236e-07,2271.057740124759
27,0.13,271.2775666637429,0.0041768674963285814,-814553.5447942755,1.7236211150370328e-07,2259.3389724525136
28,0.135,271.15879348790503,0.004137423234322214,-871406.6623894821,1.7207626505670943e-07,2247.620234346991
29,0.14,271.0400512905885,0.004098326632043368,-928244.0373254342,1.717319128418481e-07,2235.9015251357005
30,0.145,270.9213467360389,0.004059577023321259,-985062.4635751679,1.7132924640727997e-07,2224.182844167282
31,0.15,270.8026862831664,0.0040211736226130985,-1041858.8714034188,1.708686053787599e-07,2212.4641908089657
32,0.155,270.68407617454216,0.003983115525665258,-1098630.2843904647,1.7035047553688597e-07,2200.745564444557
33,0.16,270.5655224260252,0.003945401710474963,-1155373.8373202097,1.6977548593650756e-07,2189.0269644728246
34,0.165,270.44703081705603,0.003908031038547179,-1212086.7773570234,1.69144405752351e-07,2177.3083903062056
35,0.17,270.32860688165096,0.0038710022564397415,-1268766.4692754983,1.6845814076314272e-07,2165.589841369764
36,0.175,270.2102559001311,0.0038343139975895962,-1325410.399162257,1.6771772909480402e-07,2153.871317100347
37,0.18,270.09198289161486,0.0037979647844116524,-1382016.1780648893,1.6692433710036978e-07,2142.152816945902
38,0.185,269.9737926073037,0.0037619530306612038,-1438581.5451774562,1.660792544336485e-07,2130.434340364926
39,0.19,269.85568952458544,0.003726277044050307,-1495104.3706555553,1.6518388911831285e-07,2118.715886826015
40,0.195,269.7376778419798,0.0036909350291076783,-1551582.658023099,1.6423976216778122e-07,2106.9974558075
41,0.2,269.6197614749467,0.003655925090271659,-1608014.5461672104,1.6324850214523595e-07,2095.279046797153
42,0.205,269.5019440525764,0.0036212452352042293,-1664398.3109103313,1.6221183923100195e-07,2083.560659291947
43,0.21,269.3842289151773,0.003586893378314648,-1720732.3661540581,1.6113159928411274e-07,2071.8422927978604
44,0.215,269.26661911277506,0.003552867344480428,-1777015.2645856948,1.6000969771338563e-07,2060.1239468297194
45,0.22,269.1491174045345,0.0035191648729529386,-1833245.6979449834,1.5884813311463982e-07,2048.4056209110695
46,0.225,269.0317262591119,0.0034857836214345884,-1889422.4968450202,1.576489807926448e-07,2036.6873145740667
47,0.23,268.91444785594456,0.003452721170314514,-1945544.6301454366,1.5641438604896174e-07,2024.969027359391
48,0.235,268.79728408747866,0.0034199750270491832,-2001611.2038771184,1.5514655775439106e-07,2013.2507588161693
49,0.24,268.6802365623378,0.003387542630674249,-2057621.4597177657,1.5384776147034702e-07,2001.5325085019113
50,0.245,268.56330660942905,0.0033554213564338177,-2113574.7730184826,1.525203124747826e-07,1989.8142759824507
51,0.25,268.4464952829803,0.003323608520513184,-2169470.65038661,1.5116656915970472e-07,1978.096060831892
52,0.255,268.329803368503,0.0032921013848610423,-2225308.7268254235,1.497889260513195e-07,1966.377862632558
53,0.26,268.21323138966784,0.0032608971620869637,-2281088.7624380738,1.4838980676722524e-07,1954.6596809749394
54,0.265,268.09677961608094,0.003229993020420013,-2336810.63870187,1.469716575392737e-07,1942.9415154576425
55,0.27,267.9804480719448,0.0031993860887147107,-2392474.354318923,1.455369399999755e-07,1931.2233656873343
56,0.275,267.8642365455851,0.0031690734614900967,-2448080.020654151,1.4408812452323373e-07,1919.5052312786845
57,0.28,267.74814459982133,0.003139052203987906,-2503627.85676986,1.4262768360929305e-07,1907.7871118543032
58,0.285,267.6321715831593,0.0031093193572363253,-2559118.1840679245,1.4115808508547078e-07,1896.0690070446738
59,0.29,267.51631664177745,0.0030798719431053946,-2614551.420552985,1.3968178558925915e-07,1884.350916488079
60,0.295,267.4005787322795,0.0030507069693408986,-2669928.074729782,1.382012241268425e-07,1872.6328398305227
61,0.3,267.2849566351812,0.00302182143456317,-2725248.7391494913,1.3671881573981833e-07,1860.9147767256438
62,0.305,267.1694489690988,0.002993212333217994,-2780514.0836220914,1.3523694530117606e-07,1849.1967268346239
63,0.31,267.0540542056037,0.0029648766604668713,-2835724.8481096863,1.337579613754117e-07,1837.4786898260884
