Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9768937488584268,-40.41097517195747,0.0
2,0.005,0.01,0.9306812454651149,-119.41798292663621,0.0
3,0.01,0.015,0.8844687387557687,-198.58225249668172,0.0
4,0.015,0.02,0.8382562288409652,-277.92172755166376,0.0
5,0.02,0.025,0.7920437158487307,-357.457179976281,0.0
6,0.025,0.03,0.7458311999288159,-437.2125492584333,0.0
7,0.03,0.035,0.6996118455775119,-517.2106208048594,0.0
8,0.035,0.04,0.6533711540716406,-597.4367613756947,0.0
9,0.04,0.045,0.6071286755034653,-677.7964119457936,0.0
10,0.045,0.05,0.560895580276826,-758.165349699749,0.0
11,0.05,0.055,0.5146541648215975,-838.387621918427,0.0
12,0.055,0.06,0.4684000890205214,-918.2126955703334,0.0
13,0.06,0.065,0.42212625994287545,-997.1821007411417,0.0
14,0.065,0.07,0.3758208609947718,-1074.441102040194,0.0
15,0.07,0.075,0.3294648850318142,-1148.3528001914597,0.0
16,0.075,0.08,0.2832622549826805,-1216.5362083599016,0.0
17,0.08,0.085,0.2604441936396563,-1380.533895650389,0.0
18,0.085,0.09,0.26063394848525406,-1667.8257932990214,0.0
19,0.09,0.095,0.2606322696814176,-1953.9509948885811,0.0
20,0.095,0.1,0.26063148293438687,-2240.1277375627615,0.0
21,0.1,0.105,0.26063071689931455,-2526.3266793863663,0.0
22,0.105,0.11,0.2606299720817903,-2812.52534792088,0.0
23,0.11,0.115,0.260629246933522,-3098.701595476323,0.0
24,0.115,0.12,0.2606285402572339,-3384.833667413766,0.0
25,0.12,0.125,0.26062785109751957,-3670.900247210365,0.0
26,0.125,0.13,0.26062717867360724,-3956.8805004278033,0.0
27,0.13,0.135,0.26062652233395817,-4242.754117379439,0.0
28,0.135,0.14,0.26062588152455035,-4528.501354353069,0.0
29,0.14,0.145,0.2606252557660755,-4814.103073253614,0.0
30,0.145,0.15,0.26062464463715146,-5099.540779536825,0.0
31,0.15,0.155,0.26062404776171044,-5384.79665830937,0.0
32,0.155,0.16,0.2606234647993796,-5669.85360847899,0.0
33,0.16,0.165,0.2606228954380335,-5954.695274841053,0.0
34,0.165,0.17,0.2606223393879771,-6239.306077996228,0.0
35,0.17,0.175,0.26062179637735416,-6523.671241998754,0.0
36,0.175,0.18,0.26062126614850134,-6807.776819641656,0.0
37,0.18,0.185,0.2606207484550372,-7091.6097152914,0.0
38,0.185,0.19,0.2606202430595329,-7375.157705193201,0.0
39,0.19,0.195,0.2606197497316396,-7658.409455172592,0.0
40,0.195,0.2,0.2606192682465899,-7941.354535668544,0.0
41,0.2,0.205,0.26061879838399593,-8223.98343403973,0.0
42,0.205,0.21,0.2606183399268925,-8506.287564094322,0.0
43,0.21,0.215,0.260617892660984,-8788.259272799543,0.0
44,0.215,0.22,0.2606174563740513,-9069.891844138323,0.0
45,0.22,0.225,0.2606170308555024,-9351.179500085114,0.0
46,0.225,0.23,0.2606166158960338,-9632.117398683213,0.0
47,0.23,0.235,0.26061621128739076,-9912.70162921363,0.0
48,0.235,0.24,0.26061581682220636,-10192.929204452968,0.0
49,0.24,0.245,0.26061543229390843,-10472.798050026375,0.0
50,0.245,0.25,0.2606150574966899,-10752.30699087178,0.0
51,0.25,0.255,0.26061469222551314,-11031.455734834037,0.0
52,0.255,0.26,0.260614336276172,-11310.244853422977,0.0
53,0.26,0.265,0.2606139894453745,-11588.675759771324,0.0
54,0.265,0.27,0.26061365153086075,-11866.750683839504,0.0
55,0.27,0.275,0.26061332233153933,-12144.472644920623,0.0
56,0.275,0.28,0.26061300164764856,-12421.84542150692,0.0
57,0.28,0.285,0.26061268928092673,-12698.87351858623,0.0
58,0.285,0.29,0.26061238503479806,-12975.562132444655,0.0
59,0.29,0.295,0.26061208871456826,-13251.917113055813,0.0
60,0.295,0.3,0.26061180012762214,-13527.944924150706,0.0
61,0.3,0.305,0.2606115190836302,-13803.652601059477,0.0
62,0.305,0.31,0.260611245394754,-14079.047706430896,0.0
63,0.31,0.315,0.2606109788758538,-14354.138283936747,0.0
64,0.315,0.32,0.2606107193446915,-14628.93281007553,0.0
65,0.32,0.325,0.2606104666221351,-14903.440144196229,0.0
66,0.325,0.33,0.2606102205323549,-15177.669476867331,0.0
67,0.33,0.335,0.26060998090301335,-15451.630276721702,0.0
68,0.335,0.34,0.26060974756545524,-15725.332235913533,0.0
69,0.34,0.345,0.26060952035487855,-15998.785214325859,0.0
70,0.345,0.35,0.2606092991105078,-16271.999182675767,0.0
71,0.35,0.355,0.26060908367574975,-16544.984164660764,0.0
72,0.355,0.36,0.2606088738983467,-16817.750178305665,0.0
73,0.36,0.365,0.2606086696305089,-17090.307176658083,0.0
74,0.365,0.37,0.26060847072904697,-17362.664987995668,0.0
75,0.37,0.375,0.2606082770554839,-17634.833255704907,0.0
76,0.375,0.38,0.2606080884761602,-17906.821377995042,0.0
77,0.38,0.385,0.2606079048623228,-18178.6384476129,0.0
78,0.385,0.39,0.26060772609020755,-18450.29319172721,0.0
79,0.39,0.395,0.2606075520411009,-18721.793912149406,0.0
80,0.395,0.4,0.26060738260139515,-18993.148426062842,0.0
81,0.4,0.405,0.26060721766263095,-19264.364007429762,0.0
82,0.405,0.41,0.260607057121522,-19535.447329246646,0.0
83,0.41,0.415,0.26060690087997584,-19806.40440682241,0.0
84,0.415,0.42,0.26060674884509205,-20077.240542241423,0.0
85,0.42,0.425,0.26060660092915927,-20347.960270191506,0.0
86,0.425,0.43,0.2606064570496351,-20618.567305317272,0.0
