time,Energy Leak from beginning
900,-1.7363791955867782
1800,-3.5307959301862866
2700,-5.373279936233303
3600,-7.254603177483659
4500,-9.16722274039057
5400,-11.105196443910245
6300,-13.06388034450356
7200,-15.039632616826566
8100,-17.029576143511804
9000,-19.031417504273122
9900,-21.043313617498825
10800,-23.063771476009606
11700,-25.091573317885377
12600,-27.125720718148386
13500,-29.16538932899175
14400,-31.2098969386725
15300,-33.258675434947236
16200,-35.311250548955286
17100,-37.36722478360798
18000,-39.426263772795664
18900,-41.48808521175033
19800,-43.5524499713797
20700,-45.61915486605767
21600,-47.68802667726413
22500,-49.758916324527945
23400,-51.8316964317919
24300,-53.90625613994689
25200,-55.982499476229805
26100,-58.06034324352959
27000,-60.13971361864105
27900,-62.220546128197384
28800,-64.30278322275035
29700,-66.38637373081019
30600,-68.47127179620747
31500,-70.55743579659338
32400,-72.644827951558
33300,-74.7334139034474
34200,-76.82316193275346
35100,-78.91404270712246
36000,-81.00602899910609
36900,-83.09909553167836
37800,-85.19321792787832
38700,-87.28837409085554
39600,-89.38454232530512
40500,-91.48170220743987
41400,-93.57983439907366
42300,-95.67892019107057
43200,-97.77894160110554
44100,-99.87988144054361
45000,-101.98172308585845
45900,-104.0844503095409
46800,-106.18804729505564
47700,-108.29249898306239
48600,-110.39779064088157
49500,-112.50390775489859
50400,-114.61083628382562
51300,-116.71856269318755
52200,-118.82707363561849
53100,-120.93635601535561
54000,-123.04639713352435
54900,-125.1571843880206
55800,-127.26870583343884
56700,-129.38094953237783
57600,-131.493903828753
58500,-133.60755745423126
59400,-135.72189918425033
60300,-137.83691806957108
61200,-139.9526035451829
62100,-142.06894521476124
63000,-144.18593270316842
63900,-146.30355629190785
64800,-148.42180606125976
65700,-150.54067256528424
66600,-152.66014641226275
67500,-154.78021859930345
68400,-156.9008801068676
69300,-159.02212217723468
70200,-161.14393642008986
71100,-163.26631431185274
72000,-165.389247870914
72900,-167.51272910542048
73800,-169.63675016761158
74700,-171.76130347457115
75600,-173.88638175886922
76500,-176.01197771852935
77400,-178.13808414170967
78300,-180.26469405271678
79200,-182.3918009734748
80100,-184.51939824881038
81000,-186.6474795485242
81900,-188.7760384033295
82800,-190.90506882784894
83700,-193.03456468478316
84600,-195.16452038648777
85500,-197.29493004907044
