Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,273.000000000179,0.004788456255522483,45.72686369192951,-6.688639348694631e-14,2829.875323117512
2,0.005,272.9902021939294,0.004784759622674016,-16704.539904606292,-4.782819310262239e-13,2785.950770565179
3,0.01,272.97939074929405,0.004780683548231776,-33198.908795989475,-1.7791572314997044e-12,2744.104093457811
4,0.015,272.96740124497563,0.004776167001067769,-49801.97578955976,-4.107213130267263e-12,2704.3352919436247
5,0.02,272.95403181018634,0.0047711351744802845,-66419.82839223152,-7.632996346329307e-12,2666.6443661657236
6,0.025,272.93903188593094,0.004765495392490722,-83081.9861869771,-1.2565530900497092e-11,2631.031316261279
7,0.03,272.9220867131214,0.004759131476366223,-99785.48696867011,-1.9164201718332562e-11,2597.496142360511
8,0.035,272.90279527621163,0.004751895757754745,-116534.60175383832,-1.3462705989917572e-07,2566.0390582537243
9,0.04,272.8806497417087,0.004743601810887157,-133320.50199081376,-5.623261774200588e-07,2536.660725658425
10,0.045,272.8550136105535,0.004734016921061589,-150104.56300794383,-7.491303631400481e-07,2509.361188461126
11,0.05,272.82501499629893,0.004722823224625281,-166867.35672093704,-1.0104661901627066e-06,2484.140140267937
12,0.055,272.789473683509,0.004709592314344027,-183549.59585120622,-1.3833012493973327e-06,2460.9978253475233
13,0.06,272.7467593455685,0.0046937354833753156,-200142.00530075966,-1.9272747282627064e-06,2439.934615559901
14,0.065,272.6945669037905,0.0046744256695510356,-216282.72144155717,-2.7405945551090643e-06,2420.9510911359234
15,0.07,272.6295543418037,0.004650473278758672,-232598.304689189,-3.987996771766333e-06,2404.048179134161
16,0.075,272.546749135022,0.004620126393119547,-245397.87561576752,-5.922062789617655e-06,2389.227371595573
17,0.08,272.4386782442722,0.004580789534128124,-266208.0229024646,-3.8893936523151655e-06,2376.4840656478973
18,0.085,272.31413722193264,0.0045358336855057775,-316194.9335874943,2.2704279849930052e-07,2364.771027300011
19,0.09,272.1897224391032,0.004491322375105813,-378460.718555651,2.0395070576614933e-07,2353.05230385385
20,0.095,272.0653547706651,0.004447223311590543,-437273.03368777485,2.058971121309122e-07,2341.333635732284
21,0.1,271.9410558717708,0.004403540498375391,-496970.7241164549,2.0759123010231963e-07,2329.6150042739764
22,0.105,271.8168467346557,0.004360277468014038,-556377.9538066734,2.091047867349886e-07,2317.8964083380233
23,0.11,271.6927479387924,0.004317437383949228,-615797.2720248048,2.1043427576100067e-07,2306.1778468268462
24,0.115,271.5687795952283,0.004275023033258352,-675135.372041658,2.1157698708556194e-07,2294.4593187029623
25,0.12,271.444961293012,0.004233036820957129,-734405.3264826078,2.1253086314498993e-07,2282.7408229766315
26,0.125,271.3213120473302,0.0041914807656501935,-793592.0455125825,2.1329449715369816e-07,2271.0223586970556
27,0.13,271.197850249563,0.004150356496522609,-852688.3577789272,2.138671260711082e-07,2259.303924945941
28,0.135,271.0745936194444,0.004109665251655902,-911685.3718485069,2.1424861993465024e-07,2247.5855208327307
29,0.14,270.95155915950284,0.004069407877645942,-970575.0867717429,2.1443946743834718e-07,2235.867145491042
30,0.145,270.8287631119386,0.004029584830492643,-1029349.7190309977,2.1444075887106476e-07,2224.148798075999
31,0.15,270.7062209180824,0.003990196177726132,-1088001.9077756337,2.1425416624967458e-07,2212.430477762237
32,0.155,270.5839471805639,0.003951241601728727,-1146524.6830856958,2.1388192145778826e-07,2200.712183742413
33,0.16,270.4619556283044,0.003912720404207631,-1204911.496028423,2.1332679236476166e-07,2188.993915226111
34,0.165,270.3402590844344,0.0038746315117696795,-1263156.2303933555,2.1259205687990393e-07,2177.2756714390484
35,0.17,270.21886943721876,0.0038369734825450066,-1321253.217518947,2.1168147608645888e-07,2165.5574516225183
36,0.175,270.0977976140602,0.00379974451380461,-1379197.2484318896,2.1059926588924933e-07,2153.8392550330095
37,0.18,269.97705355863604,0.0037629424505137487,-1436983.5848125634,2.0935006759483393e-07,2142.121080941972
38,0.185,269.8566462112073,0.003726564794761394,-1494607.9683541337,2.0793891796325932e-07,2130.4029286356904
39,0.19,269.7365834921257,0.0036906087160039373,-1552066.628617546,2.0637121875995744e-07,2118.684797415237
40,0.195,269.6168722885506,0.00365507106206135,-1609356.2893433978,2.0465270593460947e-07,2106.9666865964914
41,0.2,269.4975184443732,0.003619948370802194,-1666474.1732335184,2.0278941849918644e-07,2095.248595510203
42,0.205,269.3785267533318,0.003585236882454484,-1723418.0052058485,2.0078766803464113e-07,2083.530523502087
43,0.21,269.25990095529124,0.0035509325524791997,-1780186.0141375978,1.9865400805272637e-07,2071.8124699329396
44,0.215,269.14164373564626,0.003517031064944244,-1836776.9331153904,1.9639520381660895e-07,2060.094434178769
45,0.22,269.02375672779806,0.0034835278463369755,-1893189.9982163357,1.940182032360371e-07,2048.3764156309253
46,0.225,268.906240518644,0.0034504180797552786,-1949424.9458509812,1.915301080092332e-07,2036.6584136962342
47,0.23,268.7890946570101,0.0034176967194184914,-2005482.0086986192,1.8893814581156383e-07,2024.9404277971225
48,0.235,268.6723176649478,0.0033853585054408873,-2061361.910275216,1.8624964362586395e-07,2013.2224573717313
49,0.24,268.55590705181004,0.0033533979788131205,-2117065.8581741606,1.834720020384384e-07,2001.5045018740175
50,0.245,268.439859331015,0.0033218094965389087,-2172595.536022969,1.8061267077011296e-07,1989.7865607738388
51,0.25,268.32417003939986,0.0032905872468765567,-2227953.0942021855,1.7767912538535668e-07,1978.0686335570185
52,0.255,268.2088337590644,0.0032597252646378704,-2283141.1393773123,1.7467884548221868e-07,1966.3507197253912
53,0.26,268.0938441415991,0.0032292174464992164,-2338162.722890456,1.7161929399240847e-07,1954.6328187968263
54,0.265,267.9791939345911,0.003199057566282531,-2393021.3280647392,1.685078979267282e-07,1942.9149303052293
55,0.27,267.8648750102994,0.003169239290166682,-2447720.8564740503,1.6535203079242713e-07,1931.197053800519
56,0.275,267.7508783963921,0.0031397561917927523,-2502265.6132267285,1.6215899584673985e-07,1919.479188848582
57,0.28,267.63719430863557,0.0031106017672291675,-2556660.2913193065,1.5893601116237976e-07,1907.7613350312022
58,0.285,267.5238121854285,0.0030817694497655853,-2610909.955108286,1.5569019586444493e-07,1896.0434919459667
59,0.29,267.41072072407655,0.00305325262450749,-2665020.0229519513,1.5242855755006497e-07,1884.3256592061468
60,0.295,267.29790791870334,0.003025044642745526,-2718996.249070773,1.4915798131335603e-07,1872.6078364405569
61,0.3,267.18536109969784,0.0029971388360766557,-2772844.7046755305,1.4588521948760424e-07,1860.8900232933877
62,0.305,267.0730669746017,0.0029695285302563617,-2826571.7584068826,1.4261688288499353e-07,1849.172219424018
63,0.31,266.9610116703433,0.002942207058763669,-2880184.05613421,1.3935943299365488e-07,1837.4544245068032
64,0.315,266.84918077672955,0.0029151677760627047,-2933688.500152651,1.3611917504541852e-07,1825.7366382308412
65,0.32,266.7375593911112,0.002888404070546761,-2987092.227822114,1.3290225197705782e-07,1814.0188602997184
66,0.325,266.62613216413905,0.0028619093771521014,-3040402.5896842526,1.297146394604592e-07,1802.3010904312328
67,0.33,266.5148833465377,0.002835677189631237,-3093627.1270954735,1.2656214127585235e-07,1790.583328357099
68,0.335,266.40379683682255,0.0028097010724763348,-3146773.5494093946,1.234503854524645e-07,1778.8655738226323
69,0.34,266.292856229892,0.002783974672484375,-3199849.7107422636,1.203848209292566e-07,1767.1478265864162
70,0.345,266.18204486643066,0.002758491729957429,-3252863.5863518524,1.173707146934599e-07,1755.43008641995
71,0.35,266.0713458830613,0.0027332460895318025,-3305823.2486587046,1.1441314896500473e-07,1743.7123531072798
72,0.355,265.96074226318694,0.002708231710630461,-3358736.842939821,1.1151701903580253e-07,1731.994626444616
73,0.36,265.85021688846655,0.0026834426775340287,-3411612.562718718,1.0868703086502032e-07,1720.2769062399313
74,0.365,265.7397525908697,0.002658873209065405,-3464458.6248810724,1.0592769876868045e-07,1708.5591923125487
75,0.37,265.62933220525485,0.002634517667883289,-3517283.2445401074,1.0324334346520993e-07,1696.841484492712
76,0.375,265.5189386224187,0.002610370569380289,-3570094.609677806,1.0063808935050404e-07,1685.1237826211466
77,0.38,265.40855484256167,0.002586426590180312,-3622900.8555884343,9.811586232680766e-08,1673.4060865486067
78,0.385,265.29816402911445,0.0025626805762303645,-3675710.03914985,9.568038672335963e-08,1661.688396135413
79,0.39,265.18774956286734,0.0025391275504806805,-3728530.1129507897,9.333518245843345e-08,1649.9707112509795
80,0.395,265.07729509634237,0.002515762720147157,-3781368.8993037017,9.108356169670342e-08,1638.253031773331
81,0.4,264.96678460834494,0.002492581483549122,-3834234.0641712383,8.892862489346978e-08,1626.5353575886134
82,0.405,264.856202458625,0.002469579436514552,-3887133.091042672,8.687325709441637e-08,1614.817688590596
83,0.41,264.7455334425765,0.0024467523783447552,-3940073.254791179,8.4920123157576e-08,1603.1000246801682
84,0.415,264.6347628458944,0.0024240963173288916,-3993061.595553639,8.307166315559349e-08,1591.3823657648295
85,0.42,264.5238764991043,0.0024016074757988227,-4046104.892670806,8.133008706929586e-08,1579.664711758177
86,0.425,264.41286083187197,0.0023792822947133175,-4099209.6387347775,7.969736943434831e-08,1567.9470625793876
87,0.43,264.3017029269928,0.0023571174377605185,-4152382.0137885027,7.817524346301532e-08,1556.2294181526993
88,0.435,264.19039057395304,0.0023351097949667688,-4205627.859732115,7.676519517213453e-08,1544.511778406889
89,0.44,264.078912321947,0.0023132564857994576,-4258952.654989725,7.546845707235075e-08,1532.7941432747523
90,0.445,263.9672575322233,0.0022915548617509825,-4312361.489496995,7.42860021006942e-08,1521.0765126925814
91,0.45,263.85541642962977,0.0022700025083913396,-4365859.040073282,7.321853725308469e-08,1509.3588865996464
92,0.455,263.74338015321143,0.0022485972468760723,-4419449.546246712,7.226649740390281e-08,1497.6412649376775
93,0.46,263.6311408057123,0.00222733713489702,-4473136.7866041465,7.143003936522922e-08,1485.9236476503518
94,0.465,263.5186915018208,0.002206220467063404,-4526924.055741652,7.070903615159067e-08,1474.2060346827836
95,0.47,263.4060264149909,0.002185245774701454,-4580814.141898164,7.010307173649501e-08,1462.4884259810215
96,0.475,263.29314082266416,0.002164411825061752,-4634809.305352029,6.961143616253655e-08,1450.7708214915497
97,0.48,263.180031149709,0.0021437176199239454,-4688911.257672036,6.92331214594351e-08,1439.0532211607995
98,0.485,263.06669500988903,0.0021231623935906237,-4743121.141910914,6.896681819966406e-08,1427.3356249346666
99,0.49,262.9531312451651,0.0021027456102628485,-4797439.51383407,6.881091293353406e-08,1415.6180327580387
100,0.495,262.8393399626319,0.0020824669607921588,-4851866.324281057,6.876348665946908e-08,1403.9004445743328
101,0.5,262.7253225688866,0.002062326358805521,-4906400.9027539585,6.882231428331175e-08,1392.1828603250428
102,0.505,262.6110818016227,0.0020423239362021115,-4961041.942333505,6.898486527171718e-08,1380.4652799492987
103,0.51,262.49662175824346,0.002022460038023076,-5015787.486020636,6.924830573547989e-08,1368.7477033834377
104,0.515,262.3819479212887,0.002002735216698119,-5070634.914601138,6.960950167560304e-08,1357.030130560587
105,0.52,262.2670671804691,0.001983150225675641,-5125580.936133312,7.006502373754988e-08,1345.3125614102585
