Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,273.00000000000006,0.004788462220090181,0.0,3.695312317015354e-14,2829.8757963726284
2,0.005,272.99146980748856,0.00475084878118416,0.0,-3.621409132109889e-15,2785.9512437692224
3,0.01,272.98205668329945,0.00471350711369752,0.0,0.0,2744.1045664589874
4,0.015,272.9716169050684,0.004676432451538506,0.0,0.0,2704.335764441932
5,0.02,272.95997395608146,0.004639621475420065,0.0,-2.858713925369351e-15,2666.6448377180564
6,0.025,272.94690867293053,0.004603072763365092,0.0,-2.0036409132816403e-15,2631.031786287358
7,0.03,272.93214564432077,0.0045667848126528755,0.0,-1.0279173438695568e-15,2597.4966101498376
8,0.035,272.9153341010042,0.0022565602146065087,0.0,0.0,2566.039309305496
9,0.04,272.8960205362143,0.002256559296678869,0.0,9.138590480132656e-16,2536.659883754332
10,0.045,272.8736086163188,0.0022565588583435873,0.0,-5.209787432551276e-16,2509.3583334963464
11,0.05,272.84729903908203,0.0022565584638075996,0.0,1.0346007502724526e-15,2484.134658531539
12,0.055,272.815996820852,0.002256558075047679,0.0,-5.115389006180132e-16,2460.9888588599097
13,0.06,272.7781639408778,0.0022565576806433995,0.0,7.557640728823078e-16,2439.9209344814585
14,0.065,272.73157698318096,0.002256557275662679,0.0,-7.412850893114623e-16,2420.930885396185
15,0.07,272.6729130734985,0.0022565568575351655,0.0,2.4120517550208005e-16,2404.0187116040897
16,0.075,272.5970126609568,0.002256556424752415,0.0,7.022943783543867e-16,2389.1844131051726
17,0.08,272.49551077292716,0.002256555976361235,0.0,0.0,2376.427989899433
18,0.085,272.37641445618385,0.0022565554863426783,0.0,0.0,2364.710504340283
19,0.09,272.25733624607733,0.002256554928151547,0.0,-1.2108733486281134e-16,2352.993018781133
20,0.095,272.13827954716066,0.002256554301828823,0.0,0.0,2341.2755332219826
21,0.1,272.0192477466344,0.002256553607420201,0.0,-2.511084557510675e-16,2329.558047662833
22,0.105,271.90024421181914,0.0022565528449752428,0.0,0.0,2317.8405621036827
23,0.11,271.78127228770904,0.002256552014550419,0.0,1.267848181848227e-16,2306.1230765445325
24,0.115,271.66233529461647,0.002256551116206218,0.0,1.2701359717089074e-16,2294.405590985383
25,0.12,271.5434365259181,0.002256550150007023,0.0,1.271363624672961e-16,2282.6881054262326
26,0.125,271.42457924591145,0.0022565491160238373,0.0,-2.544046751108146e-16,2270.9706198670824
27,0.13,271.3057666877923,0.002256548014331238,0.0,0.0,2259.253134307932
28,0.135,271.1870020517601,0.0022565468450098346,0.0,2.545138282659801e-16,2247.535648748782
29,0.14,271.0682885032621,0.002256545608144114,0.0,-2.5453437937250658e-16,2235.818163189632
30,0.145,270.94962917138304,0.0022565443038236616,0.0,-1.590909007436179e-16,2224.1006776304816
31,0.15,270.8310271473871,0.002256542932143939,0.0,2.5455139571013486e-16,2212.383192071332
32,0.155,270.71248548342163,0.002256541493205118,0.0,1.2727730055684692e-16,2200.6657065121817
33,0.16,270.5940071913875,0.0022565399871120355,0.0,2.5455632666174907e-16,2188.9482209530315
34,0.165,270.4755952419827,0.0022565384139732725,0.0,-3.8183588336497855e-16,2177.2307353938813
35,0.17,270.3572525639246,0.0022565367739028866,0.0,3.81836633463831e-16,2165.513249834731
36,0.175,270.23898204335586,0.0022565350670208264,0.0,-1.2727901242276736e-16,2153.7957642755814
37,0.18,270.12078652343905,0.0022565332934512024,0.0,1.2727908488357943e-16,2142.0782787164317
38,0.185,270.0026688041427,0.0022565314533219134,0.0,0.0,2130.3607931572815
39,0.19,269.8846316422224,0.0022565295467673616,0.0,1.2727914489145957e-16,2118.6433075981313
40,0.195,269.7666777514002,0.002256527573926353,0.0,0.0,2106.925822038981
41,0.2,269.64880980274285,0.00225652553494228,0.0,1.2727916228212852e-16,2095.208336479831
42,0.205,269.53103042524094,0.0022565234299622965,0.0,1.2727916555834852e-16,2083.4908509206807
43,0.21,269.4133422065897,0.0022565212591410784,0.0,1.2727916732205812e-16,2071.7733653615305
44,0.215,269.2957476941708,0.002256519022635673,0.0,1.272791682715281e-16,2060.0558798023803
45,0.22,269.1782493962352,0.0022565167206080356,0.0,-1.2727916878266293e-16,2048.33839424323
46,0.225,269.06084978328414,0.002256514353225732,0.0,-2.545583381156514e-16,2036.62090868408
47,0.23,268.94355128964804,0.0022565119206592464,0.0,3.818375076178683e-16,2024.90342312493
48,0.235,268.82635631525903,0.0022565094230880636,0.0,-2.545583385714004e-16,2013.18593756578
49,0.24,268.70926722761527,0.0022565068606921887,0.0,-3.8183750798588814e-16,2001.4684520066298
50,0.245,268.59228636393095,0.002256504233657099,0.0,-1.2727916935173927e-16,1989.7509664474799
51,0.25,268.4754160334687,0.0022565015421760373,0.0,-1.2727916936418023e-16,1978.03348088833
52,0.255,268.35865852004923,0.002256498786443126,0.0,0.0,1966.31599532918
53,0.26,268.24201608473106,0.002256495966659596,0.0,-1.2727916937448292e-16,1954.5985097700302
54,0.265,268.12549096865473,0.0022564930830296036,0.0,2.545583387528494e-16,1942.8810242108802
55,0.27,268.00908539604336,0.00225649013576429,0.0,2.5455833875493974e-16,1931.16353865173
56,0.275,267.8928015773533,0.0022564871250768965,0.0,3.8183750813409435e-16,1919.44605309258
57,0.28,267.77664171256475,0.0022564840511872263,0.0,0.0,1907.7285675334304
58,0.285,267.66060799460485,0.0022564809143177196,0.0,-2.5455833875699665e-16,1896.0110819742806
59,0.29,267.54470261289276,0.0022564777146961133,0.0,2.5455833875717064e-16,1884.2935964151307
60,0.295,267.42892775699755,0.0022564744525548157,0.0,-1.2727916937863253e-16,1872.576110855981
61,0.3,267.3132856203988,0.0022564711281313527,0.0,0.0,1860.858625296831
62,0.305,267.197778404338,0.0022564677416673107,0.0,-1.2727916937867256e-16,1849.1411397376808
63,0.31,267.08240832175056,0.0022564642934081304,0.0,-1.272791693786792e-16,1837.4236541785308
64,0.315,266.9671776012666,0.0022564607836043082,0.0,-3.818375081360473e-16,1825.7061686193808
65,0.32,266.8520884912681,0.0022564572125116644,0.0,-5.091166775147384e-16,1813.988683060231
66,0.325,266.73714326399033,0.0022564535803889525,0.0,0.0,1802.2711975010811
67,0.33,266.62234421965553,0.002256449887500554,0.0,2.545583387573748e-16,1790.5537119419312
68,0.335,266.5076936906252,0.002256446134116307,0.0,0.0,1778.8362263827812
69,0.34,266.3931940455591,0.0022564423205078646,0.0,1.272791693786887e-16,1767.1187408236312
70,0.345,266.2788476935658,0.0022564384469519255,0.0,-1.272791693786888e-16,1755.4012552644813
71,0.35,266.16465708833346,0.0022564345137297557,0.0,0.0,1743.6837697053313
72,0.355,266.050624732226,0.0022564305211276404,0.0,0.0,1731.9662841461811
73,0.36,265.9367531803321,0.002256426469435238,0.0,3.1819792344671956e-17,1720.2487985870312
74,0.365,265.82304504445216,0.002256422358948273,0.0,2.5455833875737564e-16,1708.5313130278812
75,0.37,265.70950299701093,0.0022564181899661097,0.0,5.091166775147521e-16,1696.813827468731
76,0.375,265.5961297748818,0.0022564139627906693,0.0,3.818375081360633e-16,1685.096341909581
77,0.38,265.4829281831087,0.0022564096777296246,0.0,0.0,1673.378856350431
78,0.385,265.36990109851325,0.002256405335093871,0.0,-2.545583387573756e-16,1661.6613707912811
79,0.39,265.2570514731727,0.0022564009351987244,0.0,5.091166775147522e-16,1649.9438852321312
80,0.395,265.14438233775684,0.0022563964783647488,0.0,-2.545583387573762e-16,1638.2263996729812
81,0.4,265.03189680471144,0.0022563919649153234,0.0,0.0,1626.508914113831
82,0.405,264.91959807127387,0.0022563873951780347,0.0,3.818375081360686e-16,1614.7914285546808
83,0.41,264.80748942230997,0.0022563827694861175,0.0,0.0,1603.0739429955308
84,0.415,264.69557423296135,0.0022563780881750136,0.0,-2.5455833875737515e-16,1591.3564574363809
85,0.42,264.5838559710892,0.0022563733515852187,0.0,-1.2727916937868745e-16,1579.638971877231
86,0.425,264.47233819950526,0.002256368560060358,0.0,1.2727916937868792e-16,1567.921486318081
87,0.43,264.3610245779796,0.0022563637139507665,0.0,1.2727916937868834e-16,1556.2040007589308
88,0.435,264.2499188650142,0.0022563588136072857,0.0,-3.818375081360638e-16,1544.4865151997806
89,0.44,264.13902491937296,0.002256353859385315,0.0,0.0,1532.7690296406306
90,0.445,264.02834670135906,0.0022563488516457305,0.0,1.272791693786875e-16,1521.0515440814806
91,0.45,263.91788827383203,0.0022563437907524,0.0,1.272791693786878e-16,1509.3340585223307
92,0.455,263.80765380295577,0.0022563386770733523,0.0,0.0,1497.6165729631807
93,0.46,263.6976475586705,0.0022563335109798506,0.0,0.0,1485.899087404031
94,0.465,263.5878739148821,0.0022563282928476157,0.0,-1.5909896172336055e-16,1474.181601844881
95,0.47,263.4783373493633,0.002256323023056033,0.0,2.545583387573781e-16,1462.464116285731
96,0.475,263.369042443361,0.002256317701987845,0.0,1.2727916937868851e-16,1450.7466307265809
97,0.48,263.25999388090605,0.00225631233003054,0.0,-5.09116677514752e-16,1439.0291451674307
98,0.485,263.1511964478205,0.0022563069075736577,0.0,3.818375081360621e-16,1427.3116596082807
99,0.49,263.04265503042035,0.0022563014350119362,0.0,2.5455833875737564e-16,1415.5941740491307
100,0.495,262.934374613912,0.0022562959127435138,0.0,-2.545583387573771e-16,1403.8766884899806
101,0.5,262.8263602804798,0.0022562903411686075,0.0,-2.545583387573763e-16,1392.1592029308304
102,0.505,262.71861720706426,0.0022562847206920684,0.0,1.2727916937868755e-16,1380.4417173716804
103,0.51,262.611150662832,0.002256279051723193,0.0,2.545583387573751e-16,1368.7242318125304
104,0.515,262.50396600633786,0.0022562733346738087,0.0,-2.5455833875737545e-16,1357.0067462533805
105,0.52,262.39706868238073,0.002256267569959117,0.0,1.2727916937868792e-16,1345.2892606942305
106,0.525,262.29046421855594,0.0022562617579979273,0.0,2.5455833875737584e-16,1333.5717751350805
107,0.53,262.1841582215076,0.00225625589921322,0.0,-1.2727916937868777e-16,1321.8542895759306
108,0.535,262.0781563728852,0.0022562499940305255,0.0,0.0,1310.1368040167806
109,0.54,261.9724644250091,0.0022562440428788074,0.0,-2.5455833875737604e-16,1298.4193184576307
110,0.545,261.8670881962512,0.0022562380461899046,0.0,-1.2727916937868787e-16,1286.7018328984807
111,0.55,261.7620335661364,0.0022562320044000263,0.0,0.0,1274.9843473393307
112,0.555,261.65730647017364,0.0022562259179485984,0.0,-1.2727916937868797e-16,1263.2668617801808
113,0.56,261.55291289442397,0.0022562197872782724,0.0,2.5455833875737905e-16,1251.5493762210308
114,0.565,261.44885886981325,0.0022562136128345253,0.0,1.272791693786888e-16,1239.8318906618813
115,0.57,261.3451504662011,0.002256207395065671,0.0,1.2727916937868728e-16,1228.1144051027316
116,0.575,261.24179378621517,0.002256201134423492,0.0,1.2727916937868748e-16,1216.3969195435818
117,0.58,261.1387949588611,0.0022561948313641225,0.0,1.2727916937868807e-16,1204.6794339844319
118,0.585,261.03616013292145,0.0022561884863453716,0.0,-3.8183750813606497e-16,1192.961948425282
119,0.59,260.9338954701542,0.002256182099826966,0.0,0.0,1181.2444628661317
120,0.595,260.83200713830394,0.0022561756722744982,0.0,0.0,1169.5269773069815
121,0.6,260.73050130394006,0.002256169204155029,0.0,2.5455833875737525e-16,1157.8094917478315
122,0.605,260.62938412513455,0.002256162695938223,0.0,-2.5455833875737525e-16,1146.0920061886816
123,0.61,260.5286617439946,0.0022561561480973617,0.0,-1.2727916937868822e-16,1134.3745206295314
124,0.615,260.4283402790642,0.002256149561108358,0.0,0.0,1122.6570350703812
125,0.62,260.32842581761054,0.0022561429354504346,0.0,-1.2727916937868775e-16,1110.9395495112312
126,0.625,260.228924407811,0.0022561362716044336,0.0,0.0,1099.2220639520813
127,0.63,260.1298420508559,0.0022561295700541228,0.0,1.2727916937868812e-16,1087.5045783929313
128,0.635,260.0311846929841,0.002256122831286957,0.0,0.0,1075.7870928337811
129,0.64,259.9329582174675,0.0022561160557930116,0.0,1.2786527509942158e-16,1064.0696072746307
130,0.645,259.84327083978155,0.002256109031821594,0.0,0.0,1051.7996328290335
131,0.65,259.76752710739976,0.0022561015023337596,0.0,5.357034496931608e-16,1038.4246806105427
132,0.655,259.70290220516637,0.0022560933972379333,0.0,-2.727477524662527e-16,1023.9447506191583
133,0.66,259.6472578325665,0.002256084630293149,0.0,2.7606129734574186e-16,1008.3598428548801
134,0.665,259.5989538642221,0.002256075093747744,0.0,0.0,991.669957317708
135,0.67,259.5567159700517,0.002256064650531141,0.0,2.8051838664488214e-16,973.8750940076422
136,0.675,259.5195418046944,0.002256053122560074,0.0,0.0,954.9752529246825
137,0.68,259.4866338131189,0.002256040272560763,0.0,-7.092435940389732e-17,934.9704340688291
138,0.685,259.45735053008167,0.0022560257745774396,0.0,5.700912050031678e-16,913.8606374400821
139,0.69,259.43117085471187,0.0022560091634814847,0.0,1.1451408534119273e-15,891.6458630384419
140,0.695,259.40766752906376,0.0022559897425743006,0.0,0.0,868.3261108639075
141,0.7,259.38648722107155,0.002255966399250874,0.0,-5.770324820505196e-16,843.9013809164793
142,0.705,259.36733540149936,0.0022559371916789895,0.0,3.474380633374618e-15,818.3716731961579
143,0.71,259.3499647402405,0.002255898252041151,0.0,-1.7429476112446737e-15,791.7369877029429
144,0.715,259.3341661145297,0.002255839980260677,0.0,1.7484042412616807e-15,763.9973244368337
145,0.72,259.3197615759273,0.0022557246475078617,0.0,0.0,735.1526833978309
146,0.725,259.30608982698385,0.0022554990564130697,0.0,0.0,705.7555534723812
147,0.73,259.29260855116434,0.0022552735925101576,0.0,5.785556515562408e-16,676.3584235469314
148,0.735,259.27931788305096,0.00225504849804633,0.0,-1.1512525088732166e-15,646.9612936214819
149,0.74,259.26621793572355,0.002254824014580763,0.0,0.0,617.564163696032
150,0.745,259.25330880062205,0.0022546003833463853,0.0,5.722477665967391e-16,588.1670337705823
151,0.75,259.24059054741707,0.002254377844483891,0.0,0.0,558.7699038451328
152,0.755,259.2282247977457,0.002254050265390038,0.0,0.0,529.1849276982911
153,0.76,259.2150667708721,0.0022539653642539253,0.0,-1.6898338618136782e-15,500.7049293243433
154,0.765,259.20101846420835,0.002253916968489568,0.0,2.225314877421294e-15,473.32990872328907
155,0.77,259.1859651658009,0.002253883336170258,0.0,5.50379207674703e-16,447.0598658951284
156,0.775,259.1697717865275,0.002253857706010781,0.0,0.0,421.89480083986126
157,0.78,259.15227819843176,0.0022538371049847365,0.0,-1.6206532017326894e-15,397.8347135574878
158,0.785,259.13329325664915,0.0022538199635764853,0.0,4.0165090875127466e-16,374.8796040480083
159,0.79,259.11258706001183,0.002253805352409471,0.0,-7.963320382797995e-16,353.0294723114227
160,0.795,259.08988082997035,0.0022537926757877492,0.0,2.630766369805121e-16,332.2843183477311
161,0.8,259.06483353325183,0.0022537815290029385,0.0,2.606148676156416e-16,312.644142156933
162,0.805,259.0370240015692,0.0022537716245831607,0.0,0.0,294.10894373902823
163,0.81,259.00592675206735,0.0022537627509806994,0.0,-5.104876124330759e-16,276.6787230940172
164,0.815,258.9708788946354,0.0022537547479987564,0.0,2.5226200223426685e-16,260.35348022190027
165,0.82,258.93103429232,0.002253747491419275,0.0,-2.490370238124143e-16,245.13321512267697
166,0.825,258.88529932842994,0.002253740882974953,0.0,0.0,231.01792779634752
167,0.83,258.83224198977166,0.0022537348435877837,0.0,-2.4172563690868765e-16,218.00761824291178
168,0.835,258.7699623034965,0.0022537293086761943,0.0,0.0,206.10228646236993
169,0.84,258.69590768560056,0.0022537242248175534,0.0,2.3308771046112847e-16,195.30193245472182
170,0.845,258.60661336820795,0.0022537195473148345,0.0,0.0,185.6065562199675
171,0.85,258.4973531991047,0.0022537152383923526,0.0,-1.1159298191512907e-16,177.01615775810683
172,0.855,258.3617235914846,0.002253711265836205,0.0,3.270976205820946e-16,169.5307370691399
173,0.86,258.1913200919867,0.002253707601953729,0.0,-1.078067044601473e-16,163.1502941530667
174,0.865,258.0000826805726,0.0022537041447438554,0.0,-2.206427425538295e-16,157.32349793331434
175,0.87,257.8094638570219,0.002253700811304094,0.0,0.0,151.49670171356198
176,0.875,257.6194438458064,0.0022536976018504074,0.0,-1.1652307371120965e-16,145.6699054938096
177,0.88,257.4300025548919,0.0022536945165905617,0.0,-5.876331584309824e-17,139.84310927405724
178,0.885,257.2411195811415,0.002253691555723655,0.0,-5.899453832103988e-17,134.0163130543049
179,0.89,257.05277421635384,0.0022536887194416,0.0,-5.910170044528164e-17,128.18951683455253
180,0.895,256.86494545394305,0.002253686007927872,0.0,0.0,122.36272061480017
181,0.9,256.67761199625744,0.0022536834213578915,0.0,5.917466684248211e-17,116.5359243950478
182,0.905,256.4907522625378,0.002253680959898987,0.0,5.91854527784873e-17,110.70912817529543
183,0.91,256.30434439750906,0.002253678623710445,0.0,0.0,104.8823319555431
184,0.915,256.1183662805978,0.0022536764129432356,0.0,-5.919281440323193e-17,99.05553573579076
185,0.92,255.93279553576585,0.0022536743277402882,0.0,0.0,93.22873951603836
186,0.925,255.74760954194653,0.0022536723682366412,0.0,-1.1838882241099255e-16,87.4019432962859
187,0.93,255.5627854440679,0.0022536705345590226,0.0,-5.919464753049267e-17,81.5751470765335
188,0.935,255.37830016464466,0.002253668826825834,0.0,1.7758427280593546e-16,75.74835085678107
189,0.94,255.19413041591693,0.0022536672451481275,0.0,5.919480886936427e-17,69.92155463702878
190,0.945,255.01025271251368,0.002253665789627916,0.0,5.919483274792023e-17,64.09475841727644
191,0.95,254.82664338461296,0.0022536644603590754,0.0,0.0,58.26796219752411
192,0.955,254.64327859157115,0.002253663257427862,0.0,1.1838969809975235e-16,52.44116597777178
193,0.96,254.4601343359914,0.0022536621809120428,0.0,5.919485146261242e-17,46.614369758019436
194,0.965,254.27718647819725,0.0022536612308814447,0.0,0.0,40.787573538267075
195,0.97,254.09441075107733,0.002253660407397103,0.0,0.0,34.960777318514644
196,0.975,253.91178277526416,0.00225365971051245,0.0,1.1838970670716562e-16,29.133981098762213
197,0.98,253.72927807460965,0.002253659140272624,0.0,1.1838970693426144e-16,23.307184879009792
198,0.985,253.54687209191738,0.0022536586967145155,0.0,0.0,17.4803886592573
199,0.99,253.3645402048901,0.002253658379866924,0.0,5.919485354465027e-17,11.6535924395048
200,0.995,253.1822577422516,0.002253658189750196,0.0,0.0,5.82679621975238
201,1.0,253.0,0.002253658126376618,0.0,0.0,0.0
