Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9768937488552574,-38.98368428478207,0.0
2,0.005,0.01,0.9306812454497665,-115.19839094648421,0.0
3,0.01,0.015,0.8844687387140745,-191.56700426235977,0.0
4,0.015,0.02,0.8382562287561413,-268.10833697680016,0.0
5,0.02,0.025,0.7920437157009276,-344.84412836213846,0.0
6,0.025,0.03,0.7458311996949193,-421.79928211863086,0.0
7,0.03,0.035,0.6996065190777816,-498.9948364607056,0.0
8,0.035,0.04,0.6533491845194558,-576.4117282413292,0.0
9,0.04,0.045,0.6070860852878995,-653.9645375790565,0.0
10,0.045,0.05,0.5608342513330602,-731.5305376398182,0.0
11,0.05,0.055,0.5145685039964989,-808.9343148324284,0.0
12,0.055,0.06,0.4682787575576235,-885.8997035166074,0.0
13,0.06,0.065,0.42195965019753084,-961.9426860740147,0.0
14,0.065,0.07,0.37561730129398463,-1036.2434307525946,0.0
15,0.07,0.075,0.3293075677004924,-1107.56849741929,0.0
16,0.075,0.08,0.28315991937436324,-1174.344012626176,0.0
17,0.08,0.085,0.26029321248561377,-1334.60629516334,0.0
18,0.085,0.09,0.2605090320360193,-1614.4222997484621,0.0
19,0.09,0.095,0.260600411824036,-1892.6215676857,0.0
20,0.095,0.1,0.26062860387643794,-2170.184084699439,0.0
21,0.1,0.105,0.2606369346373954,-2447.6080488663415,0.0
22,0.105,0.11,0.26063904060798093,-2725.0572989426705,0.0
23,0.11,0.115,0.26063920197612955,-3002.581178847721,0.0
24,0.115,0.12,0.26063876261187824,-3280.190192649429,0.0
25,0.12,0.125,0.26063814437874117,-3557.8817485149793,0.0
26,0.125,0.13,0.26063747949183447,-3835.648873259787,0.0
27,0.13,0.135,0.2606368091575875,-4113.483150862542,0.0
28,0.135,0.14,0.26063614600482377,-4391.375711364713,0.0
29,0.14,0.145,0.2606354937123795,-4669.3175643181585,0.0
30,0.145,0.15,0.2606348531781183,-4947.29971254113,0.0
31,0.15,0.155,0.26063422445463635,-5225.313192343975,0.0
32,0.155,0.16,0.26063360735350244,-5503.34908908152,0.0
33,0.16,0.165,0.2606330016311817,-5781.398544313583,0.0
34,0.165,0.17,0.2606324070439753,-6059.452759980507,0.0
35,0.17,0.175,0.26063182336245794,-6337.503001380065,0.0
36,0.175,0.18,0.2606312503736318,-6615.540599529885,0.0
37,0.18,0.185,0.26063068787965693,-6893.556953100975,0.0
38,0.185,0.19,0.26063013569590543,-7171.543529977585,0.0
39,0.19,0.195,0.2606295936490183,-7449.491868456068,0.0
40,0.195,0.2,0.2606290615752313,-7727.39357808351,0.0
41,0.2,0.205,0.2606285393189444,-8005.240340129192,0.0
42,0.205,0.21,0.26062802673154456,-8283.0239076882,0.0
43,0.21,0.215,0.26062752367040437,-8560.7361054089,0.0
44,0.215,0.22,0.26062702999804155,-8838.368828844352,0.0
45,0.22,0.225,0.2606265455814308,-9115.914043425562,0.0
46,0.225,0.23,0.26062607029140733,-9393.363783054505,0.0
47,0.23,0.235,0.26062560400218243,-9670.710148319575,0.0
48,0.235,0.24,0.26062514659093783,-9947.945304336457,0.0
49,0.24,0.245,0.2606246979374719,-10225.061478214682,0.0
50,0.245,0.25,0.2606242579238986,-10502.050956155215,0.0
