Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,273.0,0.004788456105152679,0.0,-1.9966805044269624e-14,2829.8750325602273
2,0.005,272.9909463823427,0.004785040057526328,0.0,-6.48308018066964e-14,2785.950480008286
3,0.01,272.9809556647692,0.004781273280588912,0.0,-2.67344201062575e-13,2744.1038029026404
4,0.015,272.9698753180977,0.004777097718984579,0.0,-6.180350619945449e-13,2704.335001393021
5,0.02,272.9575180105506,0.004772448899291186,0.0,-1.144017666188966e-12,2666.6440756243032
6,0.025,272.94365115232284,0.004767221805308792,0.0,-1.883944769933045e-12,2631.031025735744
7,0.03,272.927982461896,0.0047613786784633655,0.0,-2.8773310910734833e-12,2597.4958518600106
8,0.035,272.9101390597416,0.004754519479657354,0.0,-1.407561644809008e-07,2566.0390978547775
9,0.04,272.88964908060734,0.004745867531250487,0.0,-5.233993201413882e-07,2536.662223512226
10,0.045,272.8659186898488,0.004736742510242354,0.0,-7.422908295153696e-07,2509.365486308067
11,0.05,272.83814144466476,0.004725863903201821,0.0,-1.0082008298983742e-06,2484.148382291854
12,0.055,272.8052217316432,0.004712868229395535,0.0,-1.4051255570763788e-06,2461.011533129494
13,0.06,272.7656487291305,0.004697106932254831,0.0,-1.9731397566391753e-06,2439.9560112384725
14,0.065,272.7172879809161,0.0046777283977152365,0.0,-2.7413865700115547e-06,2420.983128595076
15,0.07,272.65703582632347,0.004653725018639616,0.0,-3.6066098794387972e-06,2404.093923662309
16,0.075,272.5802011967768,0.004624265185738291,0.0,-3.982792098419156e-06,2389.2869385928866
17,0.08,272.4792043015037,0.004589849043987266,0.0,-2.8566460391891977e-06,2376.5549294069606
18,0.085,272.36235242314774,0.004551615284974674,0.0,-1.0735544805286316e-06,2364.8511513654953
19,0.09,272.2462542582101,0.004511197736464794,0.0,-2.2308015087368441e-07,2353.137727433312
20,0.095,272.13037041904465,0.004470321580368453,0.0,4.092443045633194e-08,2341.420219337857
21,0.1,272.0145161974377,0.004429525276470259,0.0,1.2239508820077898e-07,2329.7014512522264
22,0.105,271.89863691258256,0.004388975089873873,0.0,1.4736553021142087e-07,2317.982310935126
23,0.11,271.7827182583186,0.004348722008682891,0.0,1.5483367971327636e-07,2306.263076641994
24,0.115,271.6667584658397,0.004308781302952331,0.0,1.5686924510982075e-07,2294.543835302886
25,0.12,271.550759656725,0.004269157154786788,0.0,1.572091794001105e-07,2282.824613771543
26,0.125,271.43472515380034,0.004229850285237292,0.0,1.570110142577149e-07,2271.105420041248
27,0.13,271.3186586434564,0.004190860316972529,0.0,1.5663353427713814e-07,2259.3862561938877
28,0.135,271.2025639137298,0.004152186506660463,0.0,1.5618808590229503e-07,2247.6671224689367
29,0.14,271.0864447715777,0.0041138279722653095,0.0,1.5570935171923562e-07,2235.9480185412563
30,0.145,270.9703050159917,0.004075783763842391,0.0,1.552082622340125e-07,2224.2289439213014
31,0.15,270.854148428568,0.004038052885843935,0.0,1.5468839711837328e-07,2212.509898079475
32,0.155,270.7379787695886,0.004000634304415634,0.0,1.5415106845068082e-07,2200.790880483924
33,0.16,270.6217997758996,0.0039635269500652775,0.0,1.535969023215045e-07,2189.0718906113098
34,0.165,270.50561515943025,0.003926729718932549,0.0,1.530263235514355e-07,2177.3529279492677
35,0.17,270.38942860599957,0.003890241473645603,0.0,1.5243971046731275e-07,2165.6339919964084
36,0.175,270.2732437743031,0.003854061044086892,0.0,1.518374422345322e-07,2153.915082261675
37,0.18,270.1570642950487,0.003818187228159673,0.0,1.5121991006463967e-07,2142.196198263604
38,0.185,270.0408937702368,0.0037826187925805153,0.0,1.5058752014223698e-07,2130.4773395296456
39,0.19,269.92473577258676,0.003747354473702055,0.0,1.4994070070989239e-07,2118.7585055955706
40,0.195,269.80859384510865,0.0037123929783808313,0.0,1.492798929087103e-07,2107.0396960049625
41,0.2,269.692471500827,0.003677732984875568,0.0,1.4860555721206117e-07,2095.3209103087893
42,0.205,269.576372222657,0.003643373143780574,0.0,1.479181682471778e-07,2083.602148065035
43,0.21,269.4602994634353,0.003609312078992425,0.0,1.4721821552275012e-07,2071.883408838388
44,0.215,269.3442566461087,0.0035755483887043825,0.0,1.4650620125451671e-07,2060.16469219997
45,0.22,269.2282471640796,0.003542080646429131,0.0,1.4578264019797338e-07,2048.445997727109
46,0.225,269.1122743817105,0.003508907402046141,0.0,1.4504805686762335e-07,2036.7273250031358
47,0.23,268.9963416349867,0.0034760271828721515,0.0,1.4430298603782054e-07,2025.0086736172123
48,0.235,268.880452232337,0.0034434384947489545,0.0,1.4354797252833449e-07,2013.2900431641804
49,0.24,268.76460945561,0.0034111398231546175,0.0,1.4278356575336275e-07,2001.5714332444286
50,0.245,268.64881656120684,0.00337912963432343,0.0,1.4201031994231926e-07,1989.8528434637742
51,0.25,268.53307678136713,0.003347406376376052,0.0,1.4122879838114286e-07,1978.13427343336
52,0.255,268.4173933256024,0.00331596848046948,0.0,1.4043956187700473e-07,1966.4157227695603
53,0.26,268.3017693822796,0.003284814361941393,0.0,1.3964317641542011e-07,1954.6971910938955
54,0.265,268.18620812034567,0.003253942421464437,0.0,1.3884020798581257e-07,1942.9786780329564
55,0.27,268.070712691191,0.003223351046202431,0.0,1.3803122045387475e-07,1931.2601832183316
56,0.275,267.9552862306469,0.0031930386109612777,0.0,1.3721677534528997e-07,1919.5417062865429
57,0.28,267.8399318611119,0.0031630034793366803,0.0,1.363974330730909e-07,1907.823246878983
58,0.285,267.7246526937993,0.003133244004858627,0.0,1.3557374638721944e-07,1896.1048046418562
59,0.29,267.6094518311021,0.0031037585321202284,0.0,1.3474626382251175e-07,1884.3863792261222
60,0.295,267.49433236906594,0.003074545397898399,0.0,1.33915525381598e-07,1872.6679702874426
61,0.3,267.3792973999653,0.0030456029322581983,0.0,1.330820615734407e-07,1860.9495774861273
62,0.305,267.2643500149739,0.00301692945963636,0.0,1.3224639844276886e-07,1849.2312004870826
63,0.31,267.1494933069182,0.0029885232999183786,0.0,1.314090450163206e-07,1837.512838959761
64,0.315,267.0347303731123,0.002960382769478144,0.0,1.3057049905289755e-07,1825.7944925781094
65,0.32,266.9200643182605,0.002932506182195681,0.0,1.2973125135315254e-07,1814.0761610205193
66,0.325,266.80549825741576,0.0029048918504603924,0.0,1.2889177190268458e-07,1802.357843969776
67,0.33,266.69103531899214,0.0028775380861353447,0.0,1.2805251931486638e-07,1790.6395411130077
68,0.335,266.5766786478141,0.0028504432014912024,0.0,1.2721393491197138e-07,1778.9212521416353
69,0.34,266.4624314081966,0.002823605510112641,0.0,1.2637644500228317e-07,1767.202976751321
70,0.345,266.34829678704307,0.0027970233277698144,0.0,1.2554045664802347e-07,1755.4847146419172
71,0.35,266.23427799695264,0.002770694973250804,0.0,1.247063605386306e-07,1743.7664655174133
72,0.355,266.120378279324,0.002744618769161365,0.0,1.2387452727550739e-07,1732.0482290858856
73,0.36,266.00660090744594,0.0027187930426828735,0.0,1.2304530746279668e-07,1720.330005059444
74,0.365,265.892949189564,0.0026932161262916174,0.0,1.2221903351746805e-07,1708.611793154179
75,0.37,265.779426471909,0.002667886358438518,0.0,1.2139601578464102e-07,1696.893593090109
76,0.375,265.6660361416803,0.002642802084185152,0.0,1.205765455379353e-07,1685.175404591128
77,0.38,265.5527816299685,0.002617961655799123,0.0,1.197608904360035e-07,1673.457227384951
78,0.385,265.4396664146094,0.002593363433302885,0.0,1.189492969624615e-07,1661.7390612030624
79,0.39,265.3266940229568,0.002569005784977837,0.0,1.1814199297539594e-07,1650.0209057806612
80,0.395,265.21386803456016,0.0025448870878322415,0.0,1.1733918064211528e-07,1638.3027608566085
81,0.4,265.1011920837409,0.002521005728015095,0.0,1.1654104150899801e-07,1626.5846261733745
82,0.405,264.98866986205314,0.0024973601011863402,0.0,1.1574773450850319e-07,1614.8665014769858
83,0.41,264.8763051206188,0.00247394861284357,0.0,1.1495939795851864e-07,1603.148386516972
84,0.415,264.7641016723254,0.002450769678605033,0.0,1.1417614748023667e-07,1591.4302810463132
85,0.42,264.65206339387845,0.002427821724446176,0.0,1.133980756338271e-07,1579.7121848213878
86,0.425,264.5401942276963,0.002405103186889665,0.0,1.1262525490686903e-07,1567.994097601921
87,0.43,264.4284981836386,0.0023826125131541655,0.0,1.1185773720817786e-07,1556.2760191509328
88,0.435,264.31697934055796,0.0023603481612579262,0.0,1.110955512557215e-07,1544.5579492346856
89,0.44,264.20564184766704,0.002338308600080294,0.0,1.103387070515116e-07,1532.8398876226331
90,0.445,264.09448992571146,0.002316492309380241,0.0,1.0958719243569082e-07,1521.1218340873693
91,0.45,263.98352786794084,0.0022948977797712083,0.0,1.0884097962694408e-07,1509.4037884045756
92,0.455,263.87276004086806,0.0022735235126638146,0.0,1.0810001815964186e-07,1497.6857503529711
93,0.46,263.7621908848128,0.002252368020160764,0.0,1.0736423913394022e-07,1485.9677197142598
94,0.465,263.65182491422087,0.002231429824916664,0.0,1.0663355895216212e-07,1474.2496962730772
95,0.47,263.5416667177512,0.002210707459964163,0.0,1.0590787352704484e-07,1462.5316798169383
96,0.475,263.43172095812844,0.0021901994685000377,0.0,1.0518706482816785e-07,1450.8136701361827
97,0.48,263.3219923717527,0.002169904403644645,0.0,1.0447099668945114e-07,1439.095667023921
98,0.485,263.2124857680645,0.0021498208281582622,0.0,1.037595228498105e-07,1427.3776702759749
99,0.49,263.1032060286577,0.002129947314140896,0.0,1.0305247641267764e-07,1415.6596796908213
100,0.495,262.99415810614255,0.002110282442690398,0.0,1.0234968354787028e-07,1403.9416950695288
101,0.5,262.8853470227491,0.002090824803542623,0.0,1.016509548408194e-07,1392.2237162156941
102,0.505,262.7767778686755,0.0020715729946820293,0.0,1.0095608947864537e-07,1380.5057429353744
103,0.51,262.66845580017645,0.0020525256219290767,0.0,1.0026487796319961e-07,1368.7877750370137
104,0.515,262.5603860373916,0.002033681298507311,0.0,9.957710227222631e-08,1357.069812331367
105,0.52,262.4525738619138,0.0020150386445958513,0.0,9.889252961563131e-08,1345.3518546314153
