time,Energy Leak from beginning
900,-1.377688857517569
1800,-2.828306735258593
2700,-4.323371061059333
3600,-5.852436244695127
4500,-7.4090392464649995
5400,-8.98837457090849
6300,-10.586690053090024
7200,-12.201000249934623
8100,-13.828898977971221
9000,-15.468426288592127
9900,-17.117969230779636
10800,-18.77619014491802
11700,-20.441971322643894
12600,-22.114372826251383
13500,-23.79260004576281
14400,-25.47597783512947
15300,-27.163929948422265
16200,-28.855962450228162
17100,-30.55165047556693
18000,-32.250627545075986
18900,-33.952576360505645
19800,-35.65722108246882
20700,-37.36432169448153
21600,-39.073668060618274
22500,-40.785076460335404
23400,-42.49838498112422
24300,-44.21345081770596
25200,-45.9301476989549
26100,-47.64836389578568
27000,-49.367999096060885
27900,-51.08896426632691
28800,-52.811179624799934
29700,-54.534572658445995
30600,-56.25907874897075
31500,-57.98463835827579
32400,-59.711197784455635
33300,-61.438708076429975
34200,-63.16712422339697
35100,-64.89640428462917
36000,-66.62651008309012
36900,-68.35740603113072
37800,-70.08905858756134
38700,-71.82143658272435
39600,-73.55451078173155
40500,-75.28825376035866
41400,-77.02263956314164
42300,-78.75764331957544
43200,-80.4932418874896
44100,-82.22941282169086
45000,-83.96613451858411
45900,-85.70338659812387
46800,-87.44114939536803
47700,-89.1794042681131
48600,-90.91813249415463
49500,-92.65731670796708
50400,-94.39693997803101
51300,-96.13698597789653
52200,-97.87743853541224
53100,-99.61828206822383
54000,-101.35950193120902
54900,-103.101082936495
55800,-104.84301146424355
56700,-106.58527345933976
57600,-108.32785544028934
58500,-110.07074435907907
59400,-111.81392744925233
60300,-113.5573922614874
61200,-115.30112662743818
62100,-117.04511863336984
63000,-118.78935698435157
63900,-120.5338306602473
64800,-122.27852809928163
65700,-124.02343898366075
66600,-125.76855277228788
67500,-127.51385946227674
68400,-129.25934886041637
69300,-131.00501163351646
70200,-132.75083805837335
71100,-134.496819067542
72000,-136.24294550170612
72900,-137.98920880271544
73800,-139.73560053033952
74700,-141.4821123479892
75600,-143.2287361103654
76500,-144.97546420522121
77400,-146.72228865897227
78300,-148.46920197328245
79200,-150.21619716755367
80100,-151.96326699489782
81000,-153.71040445069298
81900,-155.45760320018712
82800,-157.20485659153178
83700,-158.95215814482094
84600,-160.69950198318497
85500,-162.44688187960264
86400,-164.19429208907354
87300,-165.94172702628862
88200,-167.68918105614352
89100,-169.43664894708786
90000,-171.18412545210458
90900,-172.93160592442973
91800,-174.67908498717838
92700,-176.42655799874092
93600,-178.1740205342578
94500,-179.9214680750381
95400,-181.66889630239552
96300,-183.41630105216905
97200,-185.16367817795458
98100,-186.91102408281176
99000,-188.6583347522519
99900,-190.40560650031534
100800,-192.1528356337999
101700,-193.90001889556106
102600,-195.6471526959574
103500,-197.39423410289555
104400,-199.14125983794906
105300,-200.88822706944188
106200,-202.63513262441666
107100,-204.38197381424334
108000,-206.12874786892507
108900,-207.87545208861388
109800,-209.62208406799527
110700,-211.3686415527302
111600,-213.11512200223342
112500,-214.86152308613669
113400,-216.6078426919421
114300,-218.35407869070264
115200,-220.1002291722557
116100,-221.84629189026873
117000,-223.5922652969407
117900,-225.3381473520517
118800,-227.08393628377644
119700,-228.82963036215574
120600,-230.5752275278776
121500,-232.32072698598358
122400,-234.06612716268342
123300,-235.81142658471322
124200,-237.55662393977013
125100,-239.30171825088382
126000,-241.04670773104226
126900,-242.79159139440594
127800,-244.53636816277822
128700,-246.28103707939658
129600,-248.025597134176
130500,-249.7700470459631
131400,-251.51438606294232
132300,-253.25861330466887
133200,-255.00272812718117
134100,-256.74672941841527
135000,-258.4906165675675
135900,-260.23438887787233
