Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9768937488550564,-38.9904599199788,0.0
2,0.005,0.01,0.93068124544981,-115.2184249660789,0.0
3,0.01,0.015,0.8844687387143202,-191.60032149033444,0.0
4,0.015,0.02,0.8382562287565518,-268.1549685752121,0.0
5,0.02,0.025,0.7920437157016857,-344.9040913544385,0.0
6,0.025,0.03,0.7458311996958861,-421.87267941588607,0.0
7,0.03,0.035,0.699607869814021,-499.0822754701969,0.0
8,0.035,0.04,0.653350579176823,-576.5135877090103,0.0
9,0.04,0.045,0.6070899433889935,-654.0864832552527,0.0
10,0.045,0.05,0.560843558343567,-731.6910537300539,0.0
11,0.05,0.055,0.5145833029046546,-809.1662393084456,0.0
12,0.055,0.06,0.46830193453067576,-886.2668443107037,0.0
13,0.06,0.065,0.42198760392828355,-962.5403470470185,0.0
14,0.065,0.07,0.3756204538226827,-1037.1368796846564,0.0
15,0.07,0.075,0.32916955623830435,-1108.4226818678712,0.0
16,0.075,0.08,0.28297094420679547,-1174.52317104515,0.0
17,0.08,0.085,0.26033612203440637,-1334.2217921627987,0.0
18,0.085,0.09,0.26064595214031666,-1613.0994208301586,0.0
19,0.09,0.095,0.26064265713080415,-1890.1622024983023,0.0
20,0.095,0.1,0.2606419164894941,-2167.375586176006,0.0
21,0.1,0.105,0.2606411291236546,-2444.7114944328464,0.0
22,0.105,0.11,0.2606403758176795,-2722.161274020045,0.0
23,0.11,0.115,0.2606396358165606,-2999.715486928263,0.0
24,0.115,0.12,0.26063891305241554,-3277.36493158508,0.0
25,0.12,0.125,0.2606382051881667,-3555.100367938787,0.0
26,0.125,0.13,0.26063751181073613,-3832.912605922308,0.0
27,0.13,0.135,0.26063683217250344,-4110.792485282219,0.0
28,0.135,0.14,0.2606361657533304,-4388.730887270432,0.0
29,0.14,0.145,0.2606355120789159,-4666.718736725971,0.0
30,0.145,0.15,0.2606348707467412,-4944.74700665446,0.0
31,0.15,0.155,0.260634241402078,-5222.806721765762,0.0
32,0.155,0.16,0.2606336237314076,-5500.888961971787,0.0
33,0.16,0.165,0.2606330174540973,-5778.984865536589,0.0
34,0.165,0.17,0.26063242231672346,-6057.0856319485865,0.0
35,0.17,0.175,0.260631838088321,-6335.182524479062,0.0
36,0.175,0.18,0.2606312645566116,-6613.266872421316,0.0
37,0.18,0.185,0.26063070152494433,-6891.330072997993,0.0
38,0.185,0.19,0.26063014880981644,-7169.363592927622,0.0
39,0.19,0.195,0.2606296062388092,-7447.358969639661,0.0
40,0.195,0.2,0.2606290736489075,-7725.307812133423,0.0
41,0.2,0.205,0.26062855088511444,-8003.201801471542,0.0
42,0.205,0.21,0.26062803779927174,-8281.032690904016,0.0
43,0.21,0.215,0.26062753424908,-8558.792305618119,0.0
44,0.215,0.22,0.26062704009730525,-8836.472542112631,0.0
45,0.22,0.225,0.2606265552110882,-9114.065367192741,0.0
46,0.225,0.23,0.2606260794613695,-9391.56281658569,0.0
47,0.23,0.235,0.26062561272241414,-9668.956993178546,0.0
