time,Energy Leak from beginning
900,-1.6784424579345796
1800,-3.4342149780350155
2700,-5.249449379562975
3600,-7.110351548752078
4500,-9.00705195664068
5400,-10.932539327859558
6300,-12.88107290377502
7200,-14.848454384458819
8100,-16.831346441326787
9000,-18.827309969140515
9900,-20.833969662232903
10800,-22.849989830985123
11700,-24.873760980697625
12600,-26.904195473719028
13500,-28.94062389322744
14400,-30.982052112723977
15300,-33.02816531495591
16200,-35.07827084828887
17100,-37.13209045200301
18000,-39.189247098886426
18900,-41.24929208778076
19800,-43.31199882820738
20700,-45.377058305884475
21600,-47.444538542319606
22500,-49.514214211185845
23400,-51.585738328114076
24300,-53.65909826748748
25200,-55.73424540139831
26100,-57.8110276759553
27000,-59.8895306868867
27900,-61.969513672926496
28800,-64.05086324218973
29700,-66.13374569907728
30600,-68.21800997189348
31500,-70.30353855022713
32400,-72.39029348770964
33300,-74.47844895771368
34200,-76.5677005948287
35100,-78.65786187040112
36000,-80.74923139529074
36900,-82.84190650632036
37800,-84.93571925102242
38700,-87.03041301533585
39600,-89.12627105953061
40500,-91.22288723054226
41400,-93.3205949306257
42300,-95.41926736586584
43200,-97.51886488835771
44100,-99.61948097103004
45000,-101.72107672539687
45900,-103.82339117062111
46800,-105.92673120800964
47700,-108.03092944076866
48600,-110.13595166973232
49500,-112.24178720064515
50400,-114.34856196445139
51300,-116.45604699626824
52200,-118.56432626575338
53100,-120.6735011981084
54000,-122.78343310092419
54900,-124.89407048122962
55800,-127.005452284802
56700,-129.11749119763363
57600,-131.23030035209263
58500,-133.34372159644295
59400,-135.4579035506256
60300,-137.57274470537072
61200,-139.68828532597786
62100,-141.8044245845781
63000,-143.92124463530263
63900,-146.03873932605006
64800,-148.1568778687897
65700,-150.2755740934531
66600,-152.3948698817851
67500,-154.51472209561507
68400,-156.63514043814234
69300,-158.75624832353878
70200,-160.87789836245338
71100,-163.00015718713212
72000,-165.12293829082046
72900,-167.24633577104805
73800,-169.37026836181212
74700,-171.49478691177706
75600,-173.6197430846696
76500,-175.74517120738733
77400,-177.87109939921265
78300,-179.997631635689
79200,-182.12456748985278
80100,-184.2520358584277
81000,-186.38008930233332
81900,-188.5085878231455
82800,-190.63745369202275
83700,-192.76691160219457
84600,-194.8967886712171
85500,-197.02713181851232
86400,-199.1578880977122
87300,-201.28903116050992
88200,-203.42071325078996
89100,-205.55277309578878
90000,-207.68530537200309
90900,-209.81825398572664
91800,-211.95151354339941
92700,-214.08530659041867
93600,-216.21935096428751
94500,-218.35386994694818
95400,-220.48885115666985
96300,-222.6241706626215
97200,-224.7598998883568
98100,-226.8960798714204
99000,-229.0325614084802
99900,-231.16947087421227
100800,-233.30682942094836
101700,-235.44456295816826
102600,-237.58249242284296
103500,-239.72089214521657
104400,-241.85971662544648
105300,-243.9988701582181
106200,-246.13844624364287
107100,-248.2782746386979
108000,-250.41855124142012
108900,-252.55901330713755
109800,-254.6998890329628
110700,-256.84113335247935
111600,-258.9826338928683
112500,-261.1244687475273
113400,-263.26679054642455
114300,-265.4093813030015
115200,-267.552292789906
116100,-269.695498042915
117000,-271.83906874679565
117900,-273.982987925398
118800,-276.1272002547462
119700,-278.2716512623756
120600,-280.4164666082936
121500,-282.5615162042118
122400,-284.70699607862434
123300,-286.8528603354084
124200,-288.9989254530519
125100,-291.145410306234
126000,-293.2921172914455
126900,-295.43913165702975
127800,-297.5864281468889
128700,-299.7340113559767
129600,-301.8818890485629
130500,-304.0300100990123
131400,-306.17849934523815
132300,-308.32727938127255
133200,-310.4764043383457
134100,-312.6258762221987
135000,-314.77559228747714
135900,-316.92561518980256
