Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9768937488521607,-37.077161860723564,0.0
2,0.005,0.01,0.9306812454435077,-113.73805822908622,0.0
3,0.01,0.015,0.8844687387032089,-190.034583818125,0.0
4,0.015,0.02,0.8382562287400287,-266.6347600659961,0.0
5,0.02,0.025,0.7920437156788793,-343.38447724728417,0.0
6,0.025,0.03,0.745831199665592,-420.35327528467735,0.0
7,0.03,0.035,0.6996078696949423,-497.543772148937,0.0
8,0.035,0.04,0.6533505792581975,-574.9466388335424,0.0
9,0.04,0.045,0.6070899451466655,-652.469853532521,0.0
10,0.045,0.05,0.5608435644463756,-729.9936142131824,0.0
11,0.05,0.055,0.5145833174461933,-807.3329150786346,0.0
12,0.055,0.06,0.4683019688719282,-884.323712935023,0.0
13,0.06,0.065,0.4219876698263424,-960.1059686674394,0.0
14,0.065,0.07,0.37562063206918117,-1035.2343932218093,0.0
15,0.07,0.075,0.3291697847508325,-1102.6395829456524,0.0
16,0.075,0.08,0.2829707674837422,-1181.1696726802718,0.0
17,0.08,0.085,0.2603356919534532,-1347.0247852309117,0.0
18,0.085,0.09,0.2606458412525977,-1609.0230680321017,0.0
19,0.09,0.095,0.2606426975607467,-1890.8649603628903,0.0
20,0.095,0.1,0.2606419122097588,-2166.7993464399474,0.0
21,0.1,0.105,0.260641136483654,-2444.4817834124133,0.0
22,0.105,0.11,0.26064037975338616,-2721.842465413955,0.0
23,0.11,0.115,0.260639640412587,-2999.424265092161,0.0
24,0.115,0.12,0.2606389172475976,-3277.0699774639015,0.0
25,0.12,0.125,0.26063820929208387,-3554.810014525577,0.0
26,0.125,0.13,0.26063751575980365,-3832.6245541215303,0.0
27,0.13,0.135,0.26063683599914167,-4110.507277836359,0.0
28,0.135,0.14,0.26063616946134305,-4388.448298113621,0.0
29,0.14,0.145,0.26063551567765764,-4666.43873828672,0.0
30,0.145,0.15,0.2606348742424898,-4944.469510439358,0.0
31,0.15,0.155,0.2606342448007173,-5222.53164763677,0.0
32,0.155,0.16,0.26063362703797427,-5500.616219330619,0.0
33,0.16,0.165,0.2606330206731111,-5778.714358097387,0.0
34,0.165,0.17,0.2606324254522477,-6056.817256171767,0.0
35,0.17,0.175,0.26063184114405424,-6334.916169687498,0.0
36,0.175,0.18,0.26063126753595606,-6613.002420447441,0.0
37,0.18,0.185,0.2606307044310626,-6891.067397937016,0.0
38,0.185,0.19,0.260630151645663,-7169.102560843619,0.0
39,0.19,0.195,0.26062960900717674,-7447.099438264481,0.0
40,0.195,0.2,0.26062907635245236,-7725.0496305460465,0.0
41,0.2,0.205,0.2606285535263675,-8002.9448097615,0.0
42,0.205,0.21,0.2606280403806625,-8280.77671981832,0.0
43,0.21,0.215,0.2606275367729612,-8558.537176189056,0.0
44,0.215,0.22,0.2606270425659576,-8836.218065266017,0.0
45,0.22,0.225,0.26062655762673204,-9113.811343337313,0.0
46,0.225,0.23,0.26062608182617825,-9391.309035182516,0.0
47,0.23,0.235,0.26062561503851767,-9668.703232288979,0.0
48,0.235,0.24,0.2606251571408971,-9945.986090692211,0.0
49,0.24,0.245,0.2606247080130494,-10223.149828441612,0.0
50,0.245,0.25,0.26062426753700835,-10500.18672269947,0.0
51,0.25,0.255,0.2606238355968695,-10777.089106474468,0.0
52,0.255,0.26,0.2606234120785945,-11053.849365001326,0.0
53,0.26,0.265,0.2606229968698464,-11330.459931773492,0.0
54,0.265,0.27,0.26062258985985587,-11606.91328423651,0.0
55,0.27,0.275,0.2606221909393096,-11883.201939157883,0.0
56,0.275,0.28,0.26062180000026125,-12159.318447680125,0.0
57,0.28,0.285,0.2606214169360625,-12435.255390075243,0.0
58,0.285,0.29,0.2606210416413051,-12711.005370213476,0.0
59,0.29,0.295,0.2606206740117774,-12986.561009758367,0.0
60,0.295,0.3,0.26062031394443586,-13261.914942113002,0.0
61,0.3,0.305,0.26061996133737686,-13537.059806128793,0.0
62,0.305,0.31,0.2606196160898251,-13811.988239597842,0.0
63,0.31,0.315,0.26061927810212165,-14086.692872548316,0.0
64,0.315,0.32,0.26061894727572116,-14361.166320366756,0.0
65,0.32,0.325,0.2606186235131898,-14635.401176763273,0.0
66,0.325,0.33,0.2606183067182086,-14909.39000660727,0.0
67,0.33,0.335,0.2606179967955756,-15183.125338655449,0.0
68,0.335,0.34,0.26061769365121495,-15456.599658195457,0.0
69,0.34,0.345,0.2606173971921808,-15729.805399629815,0.0
70,0.345,0.35,0.2606171073266664,-16002.734939026755,0.0
71,0.35,0.355,0.26061682396400937,-16275.380586661344,0.0
72,0.355,0.36,0.2606165470146972,-16547.73457957652,0.0
73,0.36,0.365,0.2606162763903766,-16819.789074186083,0.0
74,0.365,0.37,0.260616012003856,-17091.53613895018,0.0
75,0.37,0.375,0.26061575376910645,-17362.967747148043,0.0
76,0.375,0.38,0.26061550160126945,-17634.075769776326,0.0
77,0.38,0.385,0.2606152554166537,-17904.851968598792,0.0
78,0.385,0.39,0.26061501513273577,-18175.287989376135,0.0
79,0.39,0.395,0.26061478066816146,-18445.375355301338,0.0
80,0.395,0.4,0.2606145519427384,-18715.10546066737,0.0
81,0.4,0.405,0.2606143288774356,-18984.46956479593,0.0
82,0.405,0.41,0.26061411139437934,-19253.458786249772,0.0
83,0.41,0.415,0.2606138994168454,-19522.064097358092,0.0
84,0.415,0.42,0.26061369286925773,-19790.276319074746,0.0
85,0.42,0.425,0.2606134916771795,-20058.08611620266,0.0
86,0.425,0.43,0.26061329576730996,-20325.48399299684,0.0
87,0.43,0.435,0.2606131050674813,-20592.460289178936,0.0
88,0.435,0.44,0.2606129195066524,-20859.005176381703,0.0
89,0.44,0.445,0.26061273901491083,-21125.108655041266,0.0
90,0.445,0.45,0.2606125635234708,-21390.76055176527,0.0
91,0.45,0.455,0.2606123929646798,-21655.950517189856,0.0
92,0.455,0.46,0.2606122272720219,-21920.668024344937,0.0
93,0.46,0.465,0.2606120663801308,-22184.902367547395,0.0
94,0.465,0.47,0.2606119102248047,-22448.64266183495,0.0
95,0.47,0.475,0.2606117587430282,-22711.87784295786,0.0
96,0.475,0.48,0.2606116118729989,-22974.59666793688,0.0
97,0.48,0.485,0.2606114695541624,-23236.787716207113,0.0
98,0.485,0.49,0.2606113317272586,-23498.439391349137,0.0
99,0.49,0.495,0.260611198334373,-23759.539923423472,0.0
100,0.495,0.5,0.26061106931900563,-24020.07737191107,0.0
101,0.5,0.505,0.2606109446261467,-24280.039629266634,0.0
102,0.505,0.51,0.260610824202376,-24539.41442509151,0.0
103,0.51,0.515,0.2606107079959737,-24798.189330924928,0.0
104,0.515,0.52,0.2606105959570546,-25056.351765656655,0.0
105,0.52,0.525,0.2606104880377296,-25313.889001560194,0.0
106,0.525,0.53,0.26061038419229016,-25570.788170944274,0.0
107,0.53,0.535,0.2606102843774372,-25827.03627341779,0.0
108,0.535,0.54,0.26061018855253637,-26082.620183765837,0.0
109,0.54,0.545,0.26061009667993723,-26337.526660419266,0.0
110,0.545,0.55,0.260610008725337,-26591.74235455002,0.0
111,0.55,0.555,0.26060992465822663,-26845.253819630634,0.0
112,0.555,0.56,0.26060984445241187,-27098.047522011817,0.0
113,0.56,0.565,0.2606097680866499,-27350.109850398585,0.0
114,0.565,0.57,0.2606096955454083,-27601.427132076875,0.0
115,0.57,0.575,0.26060962681979294,-27851.985626529986,0.0
116,0.575,0.58,0.26060956190868434,-28101.771605934096,0.0
117,0.58,0.585,0.2606095008201363,-28350.771113888193,0.0
118,0.585,0.59,0.26060944357312876,-28598.970927352322,0.0
119,0.59,0.595,0.2606093901997837,-28846.355030499908,0.0
120,0.595,0.6,0.2606093407482104,-29092.917840616494,0.0
121,0.6,0.605,0.26060929528623256,-29338.61491679511,0.0
122,0.605,0.61,0.26060925390638984,-29583.54698833711,0.0
123,0.61,0.615,0.2606092167328451,-29827.273224613637,0.0
124,0.615,0.62,0.260609183931265,-30071.374222781564,0.0
125,0.62,0.625,0.26060915572401067,-30309.886886793207,0.0
126,0.625,0.63,0.2606091327241586,-30565.002083301093,0.0
127,0.63,0.635,0.26060928592934046,-30753.8693325023,0.0
128,0.635,0.64,0.26067213056371896,-31196.79052735773,0.0
129,0.64,0.645,0.27306192143727537,-32914.13461615835,0.0
130,0.645,0.65,0.29765261030228873,-35900.087759432616,0.0
131,0.65,0.655,0.3221859896607708,-39131.77361942605,0.0
132,0.655,0.66,0.3467299380617965,-42296.961249625274,0.0
133,0.66,0.665,0.3712813898119842,-45481.43392631358,0.0
134,0.665,0.67,0.3958383104267493,-48661.2786075163,0.0
135,0.67,0.675,0.42039926140950207,-51842.277460492114,0.0
136,0.675,0.68,0.444963216819673,-55022.440418161845,0.0
137,0.68,0.685,0.4695294374064779,-58202.03059239035,0.0
138,0.685,0.69,0.4940973846718045,-61380.65323349762,0.0
139,0.69,0.695,0.5186666620245126,-64558.69108006761,0.0
140,0.695,0.7,0.5432369742186933,-67734.35124544702,0.0
141,0.7,0.705,0.5678080991530203,-70913.95924383926,0.0
142,0.705,0.71,0.5923798680741635,-74073.67914448728,0.0
143,0.71,0.715,0.6169521512060195,-77302.29953337784,0.0
144,0.715,0.72,0.6415221557207258,-80267.83597508076,0.0
145,0.72,0.725,0.6538029689132219,-81896.54590064022,0.0
146,0.725,0.73,0.6538000350002525,-82190.76998799585,0.0
147,0.73,0.735,0.6538000375639778,-82215.42777943455,0.0
148,0.735,0.74,0.6538000397347974,-82334.20304932172,0.0
149,0.74,0.745,0.6538000419319596,-82339.75546755659,0.0
150,0.745,0.75,0.6538008927942843,-82697.3672567124,0.0
151,0.75,0.755,0.6579734159506568,-82543.1629908591,0.0
152,0.755,0.76,0.633391727523809,-80207.90754559208,0.0
153,0.76,0.765,0.6088154090659051,-76996.61265097314,0.0
154,0.765,0.77,0.5842388796025206,-74018.92413963182,0.0
155,0.77,0.775,0.5596620895189084,-70977.21605136106,0.0
156,0.775,0.78,0.5350849744808677,-67951.21536887424,0.0
157,0.78,0.785,0.5105074513052142,-64919.52941189688,0.0
158,0.785,0.79,0.4859294115046471,-61887.848988117374,0.0
