time,Energy Leak from beginning
900,-1.678517226862823
1800,-3.4343481550858996
2700,-5.24949946630386
3600,-7.110508948947427
4500,-9.007443627529938
5400,-10.932929617010814
6300,-12.881418702140763
7200,-14.848671427291265
8100,-16.831399980736933
9000,-18.827020246397296
9900,-20.833477460269933
10800,-22.849121088440825
11700,-24.87261382898123
12600,-26.902864496278653
13500,-28.938976881474446
14400,-30.98021083861977
15300,-33.025952080759
16200,-35.07568848375604
17100,-37.12899127119999
18000,-39.185500097516524
18900,-41.24491083767316
19800,-43.30696548936294
20700,-45.37144498230873
21600,-47.43816204036102
22500,-49.506956044842354
23400,-51.57768841762936
24300,-53.650239447676086
25200,-55.72450498599164
26100,-57.80039381951565
27000,-59.87782621434508
27900,-61.95673139238488
28800,-64.03704665689293
29700,-66.11871591279805
30600,-68.20168874723322
31500,-70.28591946677034
32400,-72.371366890226
33300,-74.45799331726448
34200,-76.54576363438673
35100,-78.63464591452248
36000,-80.72461023040978
36900,-82.81562871522056
37800,-84.90767524342118
38700,-87.00072518778552
39600,-89.09475501461202
40500,-91.18974257053105
41400,-93.28566680554786
42300,-95.38250739823161
43200,-97.48024513094197
44100,-99.57886142807956
45000,-101.67833824398576
45900,-103.77865817837028
46800,-105.87980448684812
47700,-107.98176095390136
48600,-110.0845119224814
49500,-112.18804212547252
50400,-114.29233650929268
51300,-116.39738062287415
52200,-118.5031603045336
53100,-120.60966196361619
54000,-122.7168720322054
54900,-124.82477769664888
55800,-126.93336588500256
56700,-129.04262431238408
57600,-131.15254081146122
58500,-133.26310354080874
59400,-135.37430079058572
60300,-137.48612124020133
61200,-139.59855365262138
62100,-141.7115872551642
63000,-143.82521162118064
63900,-145.93941633239297
64800,-148.05419129343363
65700,-150.1695266082595
66600,-152.2854124206317
67500,-154.40183955726206
68400,-156.51879869481309
69300,-158.63628086510244
70200,-160.75427727320834
71100,-162.87277931418544
72000,-164.9917784907709
72900,-167.1112667242296
73800,-169.2312357637229
74700,-171.3516780945638
75600,-173.47258591676132
76500,-175.59395173420558
77400,-177.71576841515912
78300,-179.83802869051146
79200,-181.96072572976414
80100,-184.08385267908238
81000,-186.20740306507696
81900,-188.33137032039895
82800,-190.4557481997108
83700,-192.58053046948658
84600,-194.70571114028303
85500,-196.83128463150842
86400,-198.95724512435004
87300,-201.0835870560777
88200,-203.21030483413233
89100,-205.33739347670053
90000,-207.46484764669663
90900,-209.59266234214715
91800,-211.72083266530421
92700,-213.84935388364465
93600,-215.9782214686511
94500,-218.10743080588304
95400,-220.23697744137962
96300,-222.36685709746735
97200,-224.49706548648942
98100,-226.62759866146826
99000,-228.7584525800678
99900,-230.8896234868887
100800,-233.0211075582347
101700,-235.15290104746464
102600,-237.28500035397246
103500,-239.41740209170507
104400,-241.55010291686017
105300,-243.6830992411824
106200,-245.81638804919453
107100,-247.94996625065232
108000,-250.0838307370666
108900,-252.21797860058996
109800,-254.35240689111856
110700,-256.4871128032239
111600,-258.62209350957437
112500,-260.75734647567015
113400,-262.8928690583389
114300,-265.0286585384704
115200,-267.16471273867523
116100,-269.3010291416722
117000,-271.4376055047903
117900,-273.57443953719076
118800,-275.71152879132705
119700,-277.8488714260002
120600,-279.986465261552
121500,-282.1243082588294
122400,-284.26239833086333
123300,-286.4007336349066
124200,-288.5393122386597
125100,-290.6781323967916
126000,-292.8171924196554
126900,-294.95649023635315
127800,-297.09602450233456
128700,-299.2357934593092
129600,-301.3757955463957
130500,-303.51602912986664
131400,-305.6564928083785
132300,-307.7971852634205
133200,-309.938104680836
134100,-312.0792499974373
135000,-314.2206196264601
135900,-316.36221238879625
