Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,273.00014242315336,0.004788510009595231,313.7104793736874,-9.782188063870894e-15,2829.875030175072
2,0.005,272.9910871827256,0.004785093416266977,-15144.575223663112,-7.113591691395225e-14,2785.95047762327
3,0.01,272.9810946738255,0.004781325745631713,-30350.648067971382,-2.655071956762288e-13,2744.1038005179057
4,0.015,272.97001233991574,0.004777150295618259,-45663.185459278626,-6.140609922184226e-13,2704.334999008775
5,0.02,272.9576528156316,0.004772497534036549,-60990.71856711981,-1.1429565747388174e-12,2666.6440732407823
6,0.025,272.94378346947906,0.004767281278997696,-76363.07233179384,-1.884546678912389e-12,2631.0310233532146
7,0.03,272.92811196756674,0.004761393440472416,-91778.23778207718,-2.879323714525715e-12,2597.4958494787998
8,0.035,272.91026543317355,0.004754696446052646,-107239.27107749748,-1.2493601072057417e-07,2566.039035094176
9,0.04,272.8897705406349,0.004747016155343208,-122739.38445591957,-5.214082070985398e-07,2536.6620984323076
10,0.045,272.8660344559702,0.004738135281345597,-138248.556957089,-6.952734675188124e-07,2509.365188756797
11,0.05,272.83824573931247,0.004727757212235424,-153748.8887281837,-9.390868158727645e-07,2484.1476685529387
12,0.055,272.8053037992442,0.00471548124267859,-169184.27730327036,-1.2876202990499002e-06,2461.010157443925
13,0.06,272.7656862744445,0.004700755782440912,-184545.20787073905,-1.7974505644610275e-06,2439.9535983605233
14,0.065,272.7172367159213,0.004682804089884803,-199497.1795962364,-2.5624178094271226e-06,2420.979463682334
15,0.07,272.6568200363796,0.004660505199759483,-214596.57769248696,-3.741468612716114e-06,2404.090109959575
16,0.075,272.5797530077107,0.004632200351511445,-226459.25548577486,-5.5491573781378634e-06,2389.289282555022
17,0.08,272.4790931166073,0.004595464660018877,-246008.61358633338,-3.611527504660351e-06,2376.5657270800634
18,0.085,272.36321021442564,0.004553499876369522,-292801.30050603085,2.1688324056762107e-07,2364.860050830489
19,0.09,272.24749086818133,0.0045119406189777726,-350807.9267068111,1.5940906485518552e-07,2353.1405123915
20,0.095,272.13171046438896,0.004470703214469145,-405538.0574383444,1.595100682149364e-07,2341.4211140379325
21,0.1,272.0158746141635,0.0044297876486263784,-461181.6811376339,1.5916995389254244e-07,2329.7017509912102
22,0.105,271.8999872223389,0.004389193254862887,-516611.0322273332,1.5881283705876066e-07,2317.982422808457
23,0.11,271.7840521952896,0.00434891933090037,-572125.9539382478,1.584368324124803e-07,2306.2631286347614
24,0.115,271.6680734308195,0.004308965136070612,-627643.7520986156,1.5804209435985022e-07,2294.5438676874023
25,0.12,271.5520548163181,0.004269329891593115,-683184.2388869476,1.5762877460049029e-07,2282.8246392382352
26,0.125,271.4360002268784,0.004230012780859668,-738739.7669232821,1.5719703663752986e-07,2271.105442602573
27,0.13,271.31991352344085,0.00419101294974758,-794310.0547253288,1.5674705986183273e-07,2259.3862771310874
28,0.135,271.2037985509861,0.0041523295069693135,-849892.8564092134,1.5627904264199625e-07,2247.6671422037584
29,0.14,271.08765913679434,0.0041139615244624676,-905486.4628362335,1.557932034225305e-07,2235.9480372252483
30,0.145,270.971499088784,0.004075908037823025,-961089.0324784633,1.5528978201956682e-07,2224.2289616213066
31,0.15,270.85532219394156,0.004038168046783152,-1016698.7716972781,1.5476903999745463e-07,2212.5099148359304
32,0.155,270.7391322168518,0.004000740515734755,-1072313.8873574277,1.5423126076534487e-07,2200.7908963290974
33,0.16,270.6229328983364,0.003963624374298477,-1127932.6003748178,1.536767496649127e-07,2189.071905574932
34,0.165,270.5067279542093,0.003926818517938359,-1183553.142864135,1.5310583362619512e-07,2177.3529420602144
35,0.17,270.39052107415444,0.003890321808621084,-1239173.7596045698,1.5251886077089674e-07,2165.634005283156
36,0.175,270.27431592073236,0.0038541330755192857,-1294792.7082704413,1.5191619985459653e-07,2153.915094752384
37,0.18,270.15811612852116,0.0038182511157577384,-1350408.2599085327,1.5129823967779442e-07,2142.196209986101
38,0.185,270.0419253033966,0.003782674695200756,-1406018.6992662714,1.5066538831430606e-07,2130.477350511381
39,0.19,269.9257470219558,0.0037474025492795875,-1461622.325071174,1.5001807226489315e-07,2118.7585158635743
40,0.195,269.8095848310876,0.003712433383857831,-1517217.4502346157,1.49356735558109e-07,2107.0397055858125
41,0.2,269.6934422476942,0.0036777658761332375,-1572802.4019838,1.4868183876552509e-07,2095.3209192285826
42,0.205,269.5773227585651,0.003643398675573659,-1628375.5219208149,1.4799385795311417e-07,2083.6021563493664
43,0.21,269.46122982040674,0.003609330404885073,-1683935.16600651,1.4729328373125423e-07,2071.8834165123335
44,0.215,269.3451668600292,0.0035755596610095577,-1739479.7044691097,1.465806198938059e-07,2060.1646992880774
45,0.22,269.22913727469114,0.003542085016150849,-1795007.5216372937,1.4585638236163314e-07,2048.446004253388
46,0.225,269.11314443260255,0.003508905018824846,-1850517.0156976285,1.4512109798615218e-07,2036.7273309910545
47,0.23,268.9971916735871,0.0034760181949328533,-1906006.5983753747,1.4437530327776765e-07,2025.0086790896946
48,0.235,268.88128230990236,0.003443423048854723,-1961474.694540235,1.4361954312425075e-07,2013.2900481436054
49,0.24,268.76541962721706,0.003411118064559591,-2016919.741736646,1.4285436939042285e-07,2001.5714377526322
50,0.245,268.6496068857432,0.003379101706731215,-2072340.189639995,1.4208033982214275e-07,1989.852847522052
51,0.25,268.53384732152256,0.003347372421905561,-2127734.499439789,1.412980165170445e-07,1978.134277062471
