Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.97689375,-52065.42348217909,0.0
2,0.005,0.01,0.93068125,-49602.261622734986,0.0
3,0.01,0.015,0.88446875,-47140.91649989722,0.0
4,0.015,0.02,0.8382562499999999,-44681.39544369271,0.0
5,0.02,0.025,0.79204375,-42223.706680723444,0.0
6,0.025,0.03,0.74583125,-39767.85945349652,0.0
7,0.03,0.035,0.69961875,-37313.86412194354,0.0
8,0.035,0.04,0.65340625,-34861.72930568987,0.0
9,0.04,0.045,0.60719375,-32411.452984458534,0.0
10,0.045,0.05,0.56098125,-29963.02755355438,0.0
11,0.05,0.055,0.51476875,-27516.44127871436,0.0
12,0.055,0.06,0.46855625,-25071.664417628188,0.0
13,0.06,0.065,0.42234375,-22628.632181589663,0.0
14,0.065,0.07,0.37613125000000003,-20187.210012413347,0.0
15,0.07,0.075,0.3299187499999999,-17747.11969035606,0.0
16,0.075,0.08,0.28370625000000005,-15307.774254817063,0.0
17,0.08,0.085,0.2606,-14118.389902774614,0.0
18,0.085,0.09,0.2606,-14185.29470494807,0.0
19,0.09,0.095,0.2606,-14253.836237507961,0.0
20,0.095,0.1,0.2606,-14324.00132763129,0.0
21,0.1,0.105,0.2606,-14395.77647757863,0.0
22,0.105,0.11,0.2606,-14469.147867077294,0.0
23,0.11,0.115,0.2606,-14544.101354958064,0.0
24,0.115,0.12,0.2606,-14620.622480791297,0.0
25,0.12,0.125,0.2606,-14698.696466735533,0.0
26,0.125,0.13,0.2606,-14778.308219474695,0.0
27,0.13,0.135,0.2606,-14859.44233192051,0.0
28,0.135,0.14,0.2606,-14942.083085179955,0.0
29,0.14,0.145,0.2606,-15026.21445057108,0.0
30,0.145,0.15,0.2606,-15111.820091731177,0.0
31,0.15,0.155,0.2606,-15198.883366744487,0.0
32,0.155,0.16,0.2606,-15287.387330256277,0.0
33,0.16,0.165,0.2606,-15377.314735863303,0.0
34,0.165,0.17,0.2606,-15468.648038248748,0.0
35,0.17,0.175,0.2606,-15561.36939559748,0.0
36,0.175,0.18,0.2606,-15655.460672046818,0.0
37,0.18,0.185,0.2606,-15750.903440161086,0.0
38,0.185,0.19,0.2606,-15847.678983584448,0.0
39,0.19,0.195,0.2606,-15945.768299647916,0.0
40,0.195,0.2,0.2606,-16045.152102018183,0.0
41,0.2,0.205,0.2606,-16145.810823482594,0.0
42,0.205,0.21,0.2606,-16247.724618874823,0.0
43,0.21,0.215,0.2606,-16350.873367909862,0.0
44,0.215,0.22,0.2606,-16455.236678090987,0.0
45,0.22,0.225,0.2606,-16560.793887876902,0.0
46,0.225,0.23,0.2606,-16667.524069808653,0.0
47,0.23,0.235,0.2606,-16775.4060336614,0.0
48,0.235,0.24,0.2606,-16884.41832970961,0.0
49,0.24,0.245,0.2606,-16994.539252014878,0.0
50,0.245,0.25,0.2606,-17105.746841969143,0.0
51,0.25,0.255,0.2606,-17218.018891655338,0.0
52,0.255,0.26,0.2606,-17331.332947427945,0.0
53,0.26,0.265,0.2606,-17445.66631362672,0.0
54,0.265,0.27,0.2606,-17560.99605613676,0.0
55,0.27,0.275,0.2606,-17677.2990063391,0.0
56,0.275,0.28,0.2606,-17794.551764882504,0.0
57,0.28,0.285,0.2606,-17912.730705562517,0.0
58,0.285,0.29,0.2606,-18031.811979400572,0.0
59,0.29,0.295,0.2606,-18151.771518689628,0.0
60,0.295,0.3,0.2606,-18272.585041152164,0.0
61,0.3,0.305,0.2606,-18394.228054154493,0.0
62,0.305,0.31,0.2606,-18516.675859083178,0.0
63,0.31,0.315,0.2606,-18639.90355565111,0.0
64,0.315,0.32,0.2606,-18763.886046321426,0.0
65,0.32,0.325,0.2606,-18888.598040871984,0.0
66,0.325,0.33,0.2606,-19014.014061048227,0.0
67,0.33,0.335,0.2606,-19140.10844515423,0.0
68,0.335,0.34,0.2606,-19266.855352806706,0.0
69,0.34,0.345,0.2606,-19394.228769774494,0.0
70,0.345,0.35,0.2606,-19522.202512900883,0.0
71,0.35,0.355,0.2606,-19650.750235054045,0.0
72,0.355,0.36,0.2606,-19779.845430021553,0.0
73,0.36,0.365,0.2606,-19909.461437719136,0.0
74,0.365,0.37,0.2606,-20039.57144938417,0.0
75,0.37,0.375,0.2606,-20170.148512804248,0.0
76,0.375,0.38,0.2606,-20301.165537597688,0.0
77,0.38,0.385,0.2606,-20432.59530058211,0.0
78,0.385,0.39,0.2606,-20564.41045122805,0.0
79,0.39,0.395,0.2606,-20696.583517155268,0.0
80,0.395,0.4,0.2606,-20829.0869096722,0.0
81,0.4,0.405,0.2606,-20961.89292941521,0.0
82,0.405,0.41,0.2606,-21094.97377212525,0.0
83,0.41,0.415,0.2606,-21228.30153426787,0.0
84,0.415,0.42,0.2606,-21361.84821888031,0.0
85,0.42,0.425,0.2606,-21495.585741510553,0.0
86,0.425,0.43,0.2606,-21629.48593610016,0.0
87,0.43,0.435,0.2606,-21763.520560953835,0.0
88,0.435,0.44,0.2606,-21897.66130473364,0.0
89,0.44,0.445,0.2606,-22031.879792623,0.0
90,0.445,0.45,0.2606,-22166.14759247339,0.0
91,0.45,0.455,0.2606,-22300.436220941257,0.0
92,0.455,0.46,0.2606,-22434.717149706557,0.0
93,0.46,0.465,0.2606,-22568.961811794008,0.0
94,0.465,0.47,0.2606,-22703.14160790572,0.0
95,0.47,0.475,0.2606,-22837.22791276374,0.0
96,0.475,0.48,0.2606,-22971.192081595596,0.0
97,0.48,0.485,0.2606,-23105.005456499028,0.0
98,0.485,0.49,0.2606,-23238.63937291677,0.0
99,0.49,0.495,0.2606,-23372.06516626958,0.0
100,0.495,0.5,0.2606,-23505.25417834709,0.0
101,0.5,0.505,0.2606,-23638.1777640273,0.0
102,0.505,0.51,0.2606,-23770.807297893825,0.0
103,0.51,0.515,0.2606,-23903.11418083457,0.0
104,0.515,0.52,0.2606,-24035.069846764825,0.0
105,0.52,0.525,0.2606,-24166.645769258346,0.0
106,0.525,0.53,0.2606,-24297.813468334072,0.0
107,0.53,0.535,0.2606,-24428.544517101724,0.0
108,0.535,0.54,0.2606,-24558.810548582096,0.0
109,0.54,0.545,0.2606,-24688.58326255422,0.0
110,0.545,0.55,0.2606,-24817.834432165844,0.0
111,0.55,0.555,0.2606,-24946.535910767947,0.0
112,0.555,0.56,0.2606,-25074.6596388763,0.0
113,0.56,0.565,0.2606,-25202.177650934107,0.0
114,0.565,0.57,0.2606,-25329.06208195776,0.0
115,0.57,0.575,0.2606,-25455.285174407672,0.0
116,0.575,0.58,0.2606,-25580.819285181497,0.0
117,0.58,0.585,0.2606,-25705.636892239418,0.0
118,0.585,0.59,0.2606,-25829.710601439212,0.0
119,0.59,0.595,0.2606,-25953.013153357457,0.0
120,0.595,0.6,0.2606,-26075.517430118103,0.0
121,0.6,0.605,0.2606,-26197.19646215882,0.0
122,0.605,0.61,0.2606,-26318.02343494137,0.0
123,0.61,0.615,0.2606,-26437.971695707594,0.0
124,0.615,0.62,0.2606,-26557.014760207814,0.0
125,0.62,0.625,0.2606,-26675.126319455238,0.0
126,0.625,0.63,0.2606,-26792.280246284296,0.0
127,0.63,0.635,0.2606,-26908.45060212056,0.0
128,0.635,0.64,0.2606,-27023.611751503922,0.0
129,0.64,0.645,0.2728875000000003,-28413.866088291423,0.0
130,0.645,0.65,0.29746249999999974,-31085.318678244545,0.0
131,0.65,0.655,0.3220375000000003,-33756.96303193931,0.0
132,0.655,0.66,0.34661249999999977,-36428.30557497951,0.0
133,0.66,0.665,0.37118750000000034,-39099.02065664853,0.0
134,0.665,0.67,0.39576249999999985,-41768.8902512172,0.0
135,0.67,0.675,0.4203375000000004,-44437.766494067386,0.0
136,0.675,0.68,0.4449124999999999,-47105.548004116594,0.0
137,0.68,0.685,0.46948750000000045,-49772.16466351351,0.0
138,0.685,0.69,0.49406249999999996,-52437.56767276439,0.0
139,0.69,0.695,0.5186374999999994,-55101.72295173023,0.0
140,0.695,0.7,0.5432125,-57764.60669747422,0.0
141,0.7,0.705,0.5677874999999994,-60426.20235398908,0.0
142,0.705,0.71,0.5923625,-63086.49851958215,0.0
143,0.71,0.715,0.6169374999999995,-65745.48748559378,0.0
144,0.715,0.72,0.6415125,-68403.16420547807,0.0
145,0.72,0.725,0.6538,-69748.81765497796,0.0
146,0.725,0.73,0.6538,-69781.8163745676,0.0
147,0.73,0.735,0.6538,-69813.52256065635,0.0
148,0.735,0.74,0.6538,-69843.93329462913,0.0
149,0.74,0.745,0.6538,-69873.04577476042,0.0
150,0.745,0.75,0.6538,-69900.85731650089,0.0
151,0.75,0.755,0.6579777500000001,-70374.19526001063,0.0
152,0.755,0.76,0.6334027499999996,-67769.84584540669,0.0
153,0.76,0.765,0.6088277500000001,-65164.20559708673,0.0
154,0.765,0.77,0.5842527499999995,-62557.26896946306,0.0
155,0.77,0.775,0.5596777500000001,-59949.02979866459,0.0
156,0.775,0.78,0.5351027499999995,-57339.4811402067,0.0
157,0.78,0.785,0.5105277500000001,-54728.61504977447,0.0
158,0.785,0.79,0.48595274999999943,-52116.42228317259,0.0
159,0.79,0.795,0.4613777499999999,-49502.89187976643,0.0
160,0.795,0.8,0.43680274999999935,-46888.01057533868,0.0
161,0.8,0.805,0.4122277499999999,-44271.76196137016,0.0
162,0.805,0.81,0.3876527499999993,-41654.12526126627,0.0
163,0.81,0.815,0.36307774999999987,-39035.073518010584,0.0
164,0.815,0.82,0.3385027500000004,-36414.570861216554,0.0
165,0.82,0.825,0.31392774999999984,-33792.568308374095,0.0
166,0.825,0.83,0.2893527500000003,-31168.997190976406,0.0
167,0.83,0.835,0.26477774999999976,-28543.758668172446,0.0
168,0.835,0.84,0.2402027500000003,-25916.706709809034,0.0
169,0.84,0.845,0.21562774999999973,-23287.620102511253,0.0
170,0.845,0.85,0.19105275000000027,-20656.15611212181,0.0
171,0.85,0.855,0.1664777499999997,-18021.774445115887,0.0
172,0.855,0.86,0.1419027500000002,-15383.617279788466,0.0
173,0.86,0.865,0.1295895,-14073.052745079662,0.0
174,0.865,0.87,0.1295895,-14100.003407596294,0.0
175,0.87,0.875,0.1295895,-14126.037443000489,0.0
176,0.875,0.88,0.1295895,-14151.14588606933,0.0
177,0.88,0.885,0.1295895,-14175.320031783636,0.0
178,0.885,0.89,0.1295895,-14198.551483435864,0.0
179,0.89,0.895,0.1295895,-14220.832157433482,0.0
180,0.895,0.9,0.1295895,-14242.154287767513,0.0
181,0.9,0.905,0.1295895,-14262.510430298888,0.0
182,0.905,0.91,0.1295895,-14281.893467075273,0.0
183,0.91,0.915,0.1295895,-14300.296610200021,0.0
184,0.915,0.92,0.1295895,-14317.713405796318,0.0
185,0.92,0.925,0.1295895,-14334.137737735558,0.0
186,0.925,0.93,0.1295895,-14349.563831015343,0.0
187,0.93,0.935,0.1295895,-14363.986255121967,0.0
188,0.935,0.94,0.1295895,-14377.399927220953,0.0
189,0.94,0.945,0.1295895,-14389.800115066862,0.0
190,0.945,0.95,0.1295895,-14401.182439634773,0.0
