Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9768938197015441,-55256.445903721156,0.0
2,0.005,0.01,0.9306813868985284,-52642.20542808899,0.0
3,0.01,0.015,0.8844689740170878,-50029.5966618345,0.0
4,0.015,0.02,0.8382565574534503,-47418.624842193145,0.0
5,0.02,0.025,0.7920441372602588,-44809.297348507986,0.0
6,0.025,0.03,0.7458317134915894,-42201.62246990827,0.0
7,0.03,0.035,0.699614120383882,-39595.31692079819,0.0
8,0.035,0.04,0.6533775667823958,-36989.607105900046,0.0
9,0.04,0.045,0.6071339967401184,-34385.16806772706,0.0
10,0.045,0.05,0.5608923670693517,-31782.501103814866,0.0
11,0.05,0.055,0.5146385903532388,-29180.79701759762,0.0
12,0.055,0.06,0.4683661518878215,-26579.659471655443,0.0
13,0.06,0.065,0.42206423668303555,-23978.415760002434,0.0
14,0.065,0.07,0.37571441785394105,-21375.89589248861,0.0
15,0.07,0.075,0.3292863511582143,-18770.117183428076,0.0
16,0.075,0.08,0.2830491498388304,-16175.912775893685,0.0
17,0.08,0.085,0.26030409409288646,-14927.478839735006,0.0
18,0.085,0.09,0.26055709812687494,-15002.204373889093,0.0
19,0.09,0.095,0.26055695610241975,-15063.792729469673,0.0
20,0.095,0.1,0.2605584043308756,-15126.930971458369,0.0
21,0.1,0.105,0.2605598311494034,-15191.513416641434,0.0
22,0.105,0.11,0.26056124260940045,-15257.527817672246,0.0
23,0.11,0.115,0.2605626379855622,-15324.961242097545,0.0
24,0.115,0.12,0.26056401675395424,-15393.800480113792,0.0
25,0.12,0.125,0.2605653785149387,-15464.032042143719,0.0
26,0.125,0.13,0.2605667229597171,-15535.6421586564,0.0
27,0.13,0.135,0.2605680498481009,-15608.61678077217,0.0
28,0.135,0.14,0.260569358994556,-15682.941581613362,0.0
29,0.14,0.145,0.2605706502548203,-15758.601957483059,0.0
30,0.145,0.15,0.26057192352038094,-15835.583029564305,0.0
31,0.15,0.155,0.2605731787121291,-15913.869645737592,0.0
32,0.155,0.16,0.26057441577372775,-15993.446382492675,0.0
33,0.16,0.165,0.2605756346721302,-16074.297547068725,0.0
34,0.165,0.17,0.26057683539130944,-16156.407179446065,0.0
35,0.17,0.175,0.260578017930762,-16239.759054640697,0.0
36,0.175,0.18,0.2605791823071005,-16324.336685167125,0.0
37,0.18,0.185,0.2605803285490446,-16410.12332337347,0.0
38,0.185,0.19,0.26058145669413535,-16497.101963664103,0.0
39,0.19,0.195,0.2605825667925317,-16585.25534530078,0.0
40,0.195,0.2,0.26058365890624685,-16674.565955051272,0.0
41,0.2,0.205,0.26058473310151525,-16765.016029520066,0.0
42,0.205,0.21,0.2605857894570517,-16856.587558346815,0.0
43,0.21,0.215,0.2605868280584004,-16949.26228677033,0.0
44,0.215,0.22,0.26058784899543297,-17043.021718354914,0.0
45,0.22,0.225,0.26058885236811735,-17137.84711818908,0.0
46,0.225,0.23,0.26058983828154964,-17233.719515809684,0.0
47,0.23,0.235,0.2605908068447393,-17330.619708135855,0.0
48,0.235,0.24,0.260591758173676,-17428.528262747575,0.0
49,0.24,0.245,0.2605926923913024,-17527.4255210987,0.0
50,0.245,0.25,0.2605936096233207,-17627.291601553803,0.0
51,0.25,0.255,0.2605945099999003,-17728.106402920126,0.0
52,0.255,0.26,0.2605953936557834,-17829.8496077643,0.0
53,0.26,0.265,0.26059626073071934,-17932.50068594764,0.0
54,0.265,0.27,0.26059711136847047,-18036.038898102044,0.0
55,0.27,0.275,0.26059794571476624,-18140.44329900448,0.0
56,0.275,0.28,0.2605987639201778,-18245.69274142878,0.0
