time,Energy Leak from beginning
300,-1.920333364400763e-08
600,-7.656905026261118e-09
900,-2.2867071243675462e-08
1200,-2.54886849448708e-08
1500,-4.109635227161178e-08
1800,-6.236966742260952e-08
2100,-1.1943850571784766e-07
2400,-1.7850076643156105e-07
2700,-2.3509253526757925e-07
3000,-2.6960689657194143e-07
3300,-2.7307010770537893e-07
3600,-2.968230120831511e-07
3900,-3.021563171844647e-07
4200,-3.2782735441733443e-07
4500,-3.547174349447503e-07
4800,-3.660038952415457e-07
5100,-3.436779085013107e-07
5400,-3.6697751387964964e-07
5700,-4.136153678802021e-07
6000,-4.428392978419289e-07
6300,-4.5007096102432477e-07
6600,-5.297665011427086e-07
6900,-6.07713883661733e-07
7200,-6.439215232196606e-07
7500,-6.82804302136085e-07
7800,-6.757843992628144e-07
8100,-6.671908856400495e-07
8400,-7.008705577317217e-07
8700,-6.875912345590122e-07
9000,-7.585171196307434e-07
9300,-7.509223726446574e-07
9600,-7.898975598094827e-07
9900,-8.059495235895396e-07
10200,-7.863038586351962e-07
10500,-8.689286689584004e-07
10800,-8.981030392864067e-07
11100,-9.376709828118506e-07
11400,-9.816032998676608e-07
11700,-1.0189878041962416e-06
12000,-1.0290495511117085e-06
12300,-1.011048792638444e-06
12600,-1.0819722510459833e-06
12900,-1.0976621103770945e-06
13200,-1.1976838492298237e-06
13500,-1.2405980548324095e-06
13800,-1.2732706228318106e-06
14100,-1.2476703053213369e-06
14400,-1.2666931450927655e-06
14700,-1.3262600296940572e-06
15000,-1.3393966653062589e-06
15300,-1.3755949025342882e-06
15600,-1.4389780658934386e-06
15900,-1.4783715546253446e-06
16200,-1.4990303669764371e-06
16500,-1.530636061866788e-06
16800,-1.5630207357974579e-06
17100,-1.5699913288031546e-06
17400,-1.6088701872201273e-06
17700,-1.6285255692919547e-06
18000,-1.6419359208375095e-06
18300,-1.739543719808155e-06
18600,-1.8215800585439666e-06
18900,-1.860343586140446e-06
19200,-1.9356460959693604e-06
19500,-1.980838295425373e-06
19800,-2.001992674503347e-06
20100,-2.0166249755506917e-06
20400,-2.0382234170527354e-06
20700,-2.0846598625463214e-06
21000,-2.0631658724844955e-06
21300,-2.064682498960257e-06
21600,-2.127422357657302e-06
21900,-2.166814150038607e-06
22200,-2.1931293950893055e-06
22500,-2.230664609462311e-06
22800,-2.227469709406421e-06
23100,-2.2687236319779544e-06
23400,-2.3072919702243377e-06
23700,-2.3150421646215425e-06
24000,-2.3392402167689668e-06
24300,-2.359651174995854e-06
24600,-2.3824326841297127e-06
24900,-2.4196299351499307e-06
25200,-2.439218235779122e-06
25500,-2.4284057722611653e-06
25800,-2.4645023963133506e-06
26100,-2.478287049697067e-06
26400,-2.4759359117607523e-06
26700,-2.512943761766898e-06
27000,-2.5544382391337007e-06
27300,-2.565309395891232e-06
27600,-2.54652997001075e-06
27900,-2.5499169278072648e-06
28200,-2.5700527962694243e-06
28500,-2.5925729763256357e-06
28800,-2.6514728813550446e-06
29100,-2.6441662516637398e-06
29400,-2.6657256857821647e-06
29700,-2.7005442373477524e-06
30000,-2.7340608791642963e-06
30300,-2.7596554705861617e-06
30600,-2.7573257137726176e-06
30900,-2.765103676796203e-06
31200,-2.768616672857738e-06
31500,-2.8307053721431137e-06
31800,-2.880540004176173e-06
32100,-2.910878863778701e-06
32400,-2.933051030396032e-06
32700,-2.977166202171233e-06
33000,-3.02020858684075e-06
33300,-3.047865232219442e-06
33600,-3.070237728913728e-06
33900,-3.1492745691406676e-06
34200,-3.1750143807578024e-06
34500,-3.183017002112254e-06
34800,-3.24019969596711e-06
35100,-3.2522410590943344e-06
35400,-3.295072171142207e-06
35700,-3.282002488238208e-06
36000,-3.309716690589403e-06
36300,-3.365656292643165e-06
36600,-3.3814432679355274e-06
36900,-3.393758150014334e-06
37200,-3.421899481176817e-06
37500,-3.4879874751065316e-06
37800,-3.5058021387752176e-06
38100,-3.5478598341472246e-06
38400,-3.6381885816055237e-06
38700,-3.6128110171851042e-06
39000,-3.653895573176755e-06
39300,-3.7061513408785246e-06
39600,-3.732868252441662e-06
39900,-3.7579209021977477e-06
40200,-3.7739809282787662e-06
40500,-3.7735183743597005e-06
40800,-3.7939377679067717e-06
41100,-3.8390922632365405e-06
41400,-3.844557550782125e-06
41700,-3.8975225533333375e-06
42000,-3.911205070749677e-06
42300,-3.917972915823002e-06
