time,Energy Leak from beginning
900,-1.572364293508767
1800,-3.1746132166647043
2700,-4.795305763079445
3600,-6.427450755928417
4500,-8.066330228239519
5400,-9.708457212949721
6300,-11.35109913719236
7200,-12.992048461691402
8100,-14.629500295613962
9000,-16.261975441456144
9900,-17.888264408164876
10800,-19.507382672993202
11700,-21.11853497598071
12600,-22.72108318482163
13500,-24.314520453048445
14400,-25.898449022109773
15300,-27.472561913037453
16200,-29.03662723829779
17100,-30.590475471109517
18000,-32.13398882094231
18900,-33.6670923527485
19800,-35.189746713808866
20700,-36.701942199131594
21600,-38.20369326427018
22500,-39.695034501781585
23400,-41.17601748085867
24300,-42.64670722565865
25200,-44.10717995834972
26100,-45.55752123244967
27000,-46.99782371699789
27900,-48.42818598092472
28800,-49.8487112617572
29700,-51.259506189504314
30600,-52.660680010219394
31500,-54.052343668738274
32400,-55.43460924113561
33300,-56.80759005631377
34200,-58.17139860944562
35100,-59.52614762790235
36000,-60.87194940529156
36900,-62.20891506696225
37800,-63.53715474375068
38700,-64.85677737120369
39600,-66.16789029895804
40500,-67.47059927334166
41400,-68.7650084796911
42300,-70.05122036642302
43200,-71.32933551572162
44100,-72.59945289311055
45000,-73.86166886333726
45900,-75.11607867376158
46800,-76.36279999624448
47700,-77.60187584043686
48600,-78.83341892752316
49500,-80.05751639814288
50400,-81.27425409105959
51300,-82.48371562971562
52200,-83.68598281184367
53100,-84.88113586074621
54000,-86.0692529580195
54900,-87.25041083591844
55800,-88.4246844936644
56700,-89.59214711168802
57600,-90.75287061597356
58500,-91.90692514182152
59400,-93.05437941080675
60300,-94.19530060315475
61200,-95.3297544357479
62100,-96.45780527500757
63000,-97.57951606866935
63900,-98.6949484956818
64800,-99.80416295749886
65700,-100.9072186716873
66600,-102.00417328416792
67500,-103.09508365327171
68400,-104.1800051804391
69300,-105.25899244307553
70200,-106.33209873788013
71100,-107.39937626240625
72000,-108.46087640423592
72900,-109.51664941273847
73800,-110.56674465542923
74700,-111.61121041105564
75600,-112.65009426214844
76500,-113.68344269998838
77400,-114.71130129001945
78300,-115.73371494546308
79200,-116.75072794008592
80100,-117.7623834043072
81000,-118.76872400704168
81900,-119.7697913982274
82800,-120.7656267592846
83700,-121.75627014222997
84600,-122.74176139977664
85500,-123.7221394285955
86400,-124.6974428762899
87300,-125.66770935444075
88200,-126.63297595700362
89100,-127.59327908465708
90000,-128.5486547317834
90900,-129.49913860605477
91800,-130.44476528719065
92700,-131.38556913749764
93600,-132.3215839902942
94500,-133.25284329684837
95400,-134.17937972013843
96300,-135.10122563394086
97200,-136.01841304337435
98100,-136.93097337450308
99000,-137.83893752833933
99900,-138.74233609533184
100800,-139.64119935642375
101700,-140.5355569372627
102600,-141.42543821540272
103500,-142.31087218900723
104400,-143.19188771207692
105300,-144.06851278247038
106200,-144.94077522103228
107100,-145.8087027783547
108000,-146.67232241754954
108900,-147.5316611100077
109800,-148.38674517526098
110700,-149.23760118505842
111600,-150.0842549571094
112500,-150.92673211114945
113400,-151.76505804576354
114300,-152.59925773433338
115200,-153.42935573431527
116100,-154.2553767359849
117000,-155.0773449568545
117900,-155.89528441411514
118800,-156.70921873294637
119700,-157.51917125312656
120600,-158.32516529455847
121500,-159.1272238334156
122400,-159.92536956000376
123300,-160.7196250830622
124200,-161.51001262264046
125100,-162.29655422554026
126000,-163.0792716718375
126900,-163.85818676611854
127800,-164.6333209765388
128700,-165.40469524202382
129600,-166.172330702665
130500,-166.93624823067697
131400,-167.6964684467493
132300,-168.45301188580902
133200,-169.2058989458829
134100,-169.9551495616758
135000,-170.70078373426742
135900,-171.4428210887571
136800,-172.18128129531974
137700,-172.91618372834785
138600,-173.64754766417838
139500,-174.37539222300455
140400,-175.099736515917
141300,-175.82059896108527
142200,-176.5379983705028
143100,-177.25195313567312
144000,-177.9624817780334
144900,-178.6696023782325
145800,-179.37333277646627
146700,-180.07369134778182
147600,-180.77069542295385
148500,-181.4643630140418
149400,-182.1547111623751
150300,-182.84175747858987
151200,-183.52551927003265
152100,-184.20601368300404
153000,-184.88325755872378
153900,-185.55726792330933
154800,-186.22806140197625
155700,-186.89565456677263
156600,-187.56006400809048
157500,-188.22130607563884
158400,-188.87939708833446
159300,-189.5343532527845
160200,-190.1861905588726
161100,-190.83492483581142
162000,-191.48057205752875
162900,-192.12314800240426
163800,-192.7626681653198
164700,-193.39914820258804
165600,-194.0326034276644
166500,-194.66304918907127
167400,-195.290500612519
168300,-195.9149729410455
169200,-196.53648116361776
170100,-197.15504034011673
171000,-197.77066511231965
171900,-198.3833702823859
172800,-198.99317045135558
173700,-199.60008019711944
174600,-200.2041140230306
175500,-200.80528607672431
176400,-201.40361097802366
177300,-201.99910278557093
178200,-202.5917755506698
179100,-203.18164329578934
180000,-203.76872009562854
180900,-204.35301963731263
181800,-204.93455572554657
182700,-205.51334206044478
183600,-206.08939223623668
184500,-206.66271985486262
185400,-207.23333830106287
186300,-207.80126087377096
187200,-208.36650102636256
188100,-208.92907197887305
189000,-209.48898669230957
189900,-210.04625822441986
190800,-210.60089957376434
191700,-211.15292387816154
192600,-211.70234390715598
193500,-212.24917231854363
194400,-212.7934217089116
195300,-213.33510492637419
196200,-213.87423444933236
197100,-214.41082265835826
198000,-214.94488206845799
198900,-215.47642492442765
199800,-216.00546350247055
200700,-216.53201000735672
201600,-217.05607666964454
202500,-217.5776755675922
203400,-218.0968186022915
204300,-218.61351768291388
205200,-219.12778469955026
206100,-219.63963155763363
207000,-220.14906999523862
207900,-220.6561116854007
208800,-221.16076819817025
209700,-221.66305107972357
210600,-222.1629719826968
211500,-222.6605420325318
212400,-223.15577281400536
213300,-223.64867563464873
214200,-224.1392616241507
215100,-224.62754212489935
216000,-225.11352826130187
216900,-225.5972307676599
217800,-226.0786612557076
218700,-226.5578302908478
219600,-227.03474871776348
220500,-227.50942765717775
221400,-227.98187769938124
222300,-228.45210953374604
223200,-228.92013384346694
224100,-229.38596137281343
225000,-229.84960249108366
225900,-230.31106796388383
226800,-230.77036800256363
227700,-231.227513181399
228600,-231.68251371240558
229500,-232.13537993596896
230400,-232.5861221095456
231300,-233.03475041654622
232200,-233.4812749210475
233100,-233.92570591196414
234000,-234.36805316209015
234900,-234.8083265922236
235800,-235.24653640654117
236700,-235.68269241556393
237600,-236.11680432885322
238500,-236.54888201341512
239400,-236.97893508604147
240300,-237.40697322978767
241200,-237.83300622657563
242100,-238.25704355995572
243000,-238.6790948292134
243900,-239.09916944120525
244800,-239.5172767943362
245700,-239.93342630508127
246600,-240.34762759994277
247500,-240.75988935469732
248400,-241.17022129725223
249300,-241.57863253341264
250200,-241.98513192524794
251100,-242.38972900667667
252000,-242.79243267711504
252900,-243.19325191188366
253800,-243.59219581344283
254700,-243.98927318119948
255600,-244.38449304761448
256500,-244.77786414747231
257400,-245.1693951488801
258300,-245.5590947558484
259200,-245.9469719395911
260100,-246.33303539696217
261000,-246.71729363752246
261900,-247.09975524786773
262800,-247.48042868225795
263700,-247.8593223722754
264600,-248.2364449869762
265500,-248.6118048660127
266400,-248.98541037428578
267300,-249.357269654583
268200,-249.72739117654456
269100,-250.09578310037915
270000,-250.46245386431576
270900,-250.8274113188011
271800,-251.19066376881605
272700,-251.55221925192095
273600,-251.9120859878174
274500,-252.27027162241046
275400,-252.62678429206562
276300,-252.98163191462476
277200,-253.33482241927607
278100,-253.68636375472008
279000,-254.03626348873388
279900,-254.3845295462636
280800,-254.7311696033007
281700,-255.07619150191226
282600,-255.41960274816188
283500,-255.76141101519133
284400,-256.1016239812309
285300,-256.4402488787587
286200,-256.77729337569673
287100,-257.11276521176484
288000,-257.4466716966717
288900,-257.779020180665
289800,-258.1098179015421
290700,-258.4390722551488
291600,-258.7667906833474
292500,-259.09298005390167
293400,-259.41764808784444
294300,-259.7408017090515
295200,-260.0624480060367
296100,-260.3825942553125
297000,-260.70124753850735
297900,-261.0184149606912
298800,-261.3341033957591
299700,-261.64831986733066
300600,-261.9610712972443
301500,-262.27236456733556
302400,-262.5822066450466
303300,-262.890604489683
304200,-263.197564712904
305100,-263.50309413507176
306000,-263.807199445275
306900,-264.1098874844835
307800,-264.4111648042751
308700,-264.7110382580569
309600,-265.0095143440736
310500,-265.3065996244313
311400,-265.6023007000988
312300,-265.8966240354537
313200,-266.1895762275643
314100,-266.48116373918907
315000,-266.7713928139254
315900,-267.0602700679096
316800,-267.3478018450782
317700,-267.63399430043506
318600,-267.91885391385523
319500,-268.20238693689157
320400,-268.48459949303174
321300,-268.76549795237406
322200,-269.045088430885
323100,-269.32337703808025
324000,-269.6003699544872
324900,-269.87607341064023
325800,-270.1504932869335
326700,-270.42363576809305
327600,-270.6955066932502
328500,-270.96611215927504
329400,-271.2354579588849
330300,-271.5035501819495
331200,-271.7703948557487
332100,-272.03599741276133
333000,-272.3003641265313
333900,-272.56350061627114
334800,-272.82541260077454
335700,-273.0861058915184
336600,-273.34558646735036
337500,-273.60385974568226
338400,-273.860931304991
339300,-274.11680704707976
340200,-274.37149256625787
341100,-274.6249934939916
342000,-274.87731511760177
342900,-275.1284632526013
343800,-275.37844321846814
344700,-275.62726060906533
345600,-275.87492079667663
346500,-276.1214292319171
347400,-276.3667914411878
348300,-276.61101270774293
349200,-276.8540984002791
350100,-277.09605397788147
351000,-277.3368844241237
351900,-277.5765952270114
352800,-277.81519178000326
353700,-278.0526789753953
354600,-278.2890623324729
355500,-278.5243469233414
356400,-278.7585380195157
357300,-278.99164042969795
358200,-279.22365956533037
359100,-279.4546002719938
360000,-279.6844677325089
360900,-279.9132669470367
361800,-280.141003057626
362700,-280.36768095797703
363600,-280.5933055648673
364500,-280.8178819142664
365400,-281.0414148751675
366300,-281.263909246993
367200,-281.4853698414413
368100,-281.7058017611083
369000,-281.9252097561739
369900,-282.14359844272434
370800,-282.3609728202576
371700,-282.5773373952309
372600,-282.7926972591492
373500,-283.0070567510346
374400,-283.2204206849741
375300,-283.4327937764692
376200,-283.6441807409267
377100,-283.85458581959585
378000,-284.064013993881
378900,-284.2724697941216
379800,-284.4799575664169
380700,-284.6864822178615
381600,-284.89204779725515
382500,-285.0966591533664
383400,-285.3003205775064
384300,-285.50303658857695
385200,-285.7048115238313
386100,-285.9056500577438
387000,-286.1055561037541
387900,-286.30453434070944
388800,-286.50258893408756
389700,-286.69972436286963
390600,-286.8959449277007
391500,-287.0912547662094
392400,-287.28565828117405
393300,-287.47915969505544
394200,-287.6717632837219
395100,-287.86347300094644
396000,-288.0542933180925
396900,-288.24422815763586
397800,-288.4332817330037
398700,-288.62145816032415
399600,-288.8087617441968
400500,-288.99519630035485
401400,-289.18076598942355
402300,-289.3654747439345
403200,-289.5493268300216
404100,-289.7323260329478
405000,-289.9144766034566
405900,-290.0957821728318
406800,-290.2762467086224
407700,-290.45587445884814
408600,-290.6346691896235
409500,-290.81263450964576
410400,-290.98977469201895
411300,-291.1660935359343
412200,-291.34159459131365
413100,-291.5162818459503
414000,-291.6901591619969
414900,-291.86323030904435
415800,-292.03549911174605
416700,-292.20696905246876
417600,-292.37764400883714
418500,-292.5475278045831
419400,-292.71662390959676
420300,-292.8849361203657
421200,-293.0524682560178
422100,-293.21922384251695
423000,-293.3852063525143
423900,-293.5504195661582
424800,-293.71486692271776
425700,-293.8785520392119
426600,-294.041478649766
427500,-294.20365020670056
428400,-294.3650702590894
429300,-294.52574209102147
430200,-294.68566935931756
431100,-294.8448555284793
432000,-295.00330409241184
