Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,269.04696643100533,0.0034900995630157074,0.0,8.656027976476794e-11,2829.8759120585696
2,0.005,269.0468123412782,0.0034900558863822963,0.0,1.731071358194565e-10,2785.9513573110235
3,0.01,269.0463102703816,0.00348991357802249,0.0,3.4616835388096294e-10,2744.1046758250386
4,0.015,269.04540304999875,0.0034896564460254473,0.0,5.191265970005728e-10,2704.335867034252
5,0.02,269.04402043006456,0.003489264604964529,0.0,6.919141153924823e-10,2666.644931103249
6,0.025,269.0420751417683,0.0034887133676552657,0.0,8.64446324966689e-10,2631.0318681937415
7,0.03,269.03945746066677,0.0034879717180950035,0.0,1.036622858384e-09,2597.4966784642825
8,0.035,269.0360275318791,0.0034870001519079754,0.0,-1.9103947708087585e-08,2566.0395167499364
9,0.04,269.03160599142035,0.0034857480220626277,0.0,-9.445021201031778e-08,2536.660947125165
10,0.045,269.02596251413377,0.0034841504787688207,0.0,-1.445839388100682e-07,2509.36117035703
11,0.05,269.01878674747576,0.0034821201145552524,0.0,-2.1532996414697537e-07,2484.140116210129
12,0.055,269.0096570263281,0.003479538415304401,0.0,-3.172766499982682e-07,2460.998131748355
13,0.06,268.99798781958924,0.003476241095562157,0.0,-4.67765293549121e-07,2439.935749013205
14,0.065,268.98294573248796,0.00347199480814684,0.0,-6.959428048498843e-07,2420.953805169709
15,0.07,268.9633118309361,0.003466459303661078,0.0,-1.0524858376252014e-06,2404.0536552408626
16,0.075,268.93725081046034,0.0034591235979508305,0.0,-1.6172376809184707e-06,2389.237508522799
17,0.08,268.90196342472825,0.003449213839257864,0.0,-1.1796453079654336e-06,2376.499841689227
18,0.085,268.86005669244855,0.0034374797650385423,0.0,-1.1559429796801032e-07,2364.790662230761
19,0.09,268.81714934415754,0.0034255026644875227,0.0,-1.21543689322228e-07,2353.074180111065
20,0.095,268.77320459012225,0.003413275284889453,0.0,-1.1915616927719225e-07,2341.3576779949426
21,0.1,268.7282306508591,0.0034008024805193965,0.0,-1.1670039264911257e-07,2329.641127996259
22,0.105,268.68223572847916,0.003388089263307363,0.0,-1.1422811813236262e-07,2317.9245310492583
23,0.11,268.63522822914763,0.003375140679575487,0.0,-1.1171856440915108e-07,2306.2078881122216
24,0.115,268.5872167502098,0.0033619618518792257,0.0,-1.0917959401122411e-07,2294.491200149551
25,0.12,268.53821008184,0.003348557963129201,0.0,-1.0661139760938757e-07,2282.7744681441104
26,0.125,268.488217204882,0.0033349342561624293,0.0,-1.0401622684843225e-07,2271.057693085084
27,0.13,268.43724728965503,0.0033210960291612346,0.0,-1.0139579058099335e-07,2259.340875965032
28,0.135,268.38530969445924,0.0033070486321696876,0.0,-9.875194381425846e-08,2247.62401777615
29,0.14,268.3324139641222,0.0032927974633106174,0.0,-9.608650534252654e-08,2235.907119507834
30,0.145,268.2785698285013,0.0032783479650822425,0.0,-9.34012989088718e-08,2224.19018214465
31,0.15,268.2237872009655,0.0032637056206393025,0.0,-9.069814173264962e-08,2212.473206664729
32,0.155,268.1680761768545,0.003248875950089549,0.0,-8.79788452395273e-08,2200.756194038442
33,0.16,268.1114470319191,0.003233864506802382,0.0,-8.524521145477086e-08,2189.0391452272934
34,0.165,268.0539102207424,0.003218676873736701,0.0,-8.249903148837898e-08,2177.3220611829834
35,0.17,267.99547637514587,0.003203318659790226,0.0,-7.974208403019052e-08,2165.6049428466085
36,0.175,267.9361563025807,0.0031877954961755197,0.0,-7.697613262019188e-08,2153.887791147968
37,0.18,267.8759609845064,0.0031721130328255798,0.0,-7.420292339019416e-08,2142.1706070049627
38,0.185,267.8149015747581,0.0031562769348332737,0.0,-7.142418616877933e-08,2130.453391323069
39,0.19,267.75298939790514,0.00314029287892798,0.0,-6.864162905450095e-08,2118.736144994878
40,0.195,267.6902359476008,0.003124166549993145,0.0,-6.585693980248442e-08,2107.018868899691
41,0.2,267.6266528849259,0.0031079036376276074,0.0,-6.307178127846565e-08,2095.301563903163
42,0.205,267.5622520367265,0.003091509832754462,0.0,-6.028779241206511e-08,2083.5842308569904
43,0.21,267.4970453939481,0.0030749908242798623,0.0,-5.750658683229415e-08,2071.866870598639
44,0.215,267.4310451099673,0.0030583522958060193,0.0,-5.472974921600649e-08,2060.1494839511033
45,0.22,267.3642634989208,0.0030415999223993777,0.0,-5.1958835916944234e-08,2048.4320717227024
46,0.225,267.2967130340349,0.0030247393674182554,0.0,-4.9195373536222255e-08,2036.7146347069015
47,0.23,267.22840634595417,0.0030077762794014007,0.0,-4.644085608752554e-08,2024.9971736821628
48,0.235,267.15935622107173,0.0029907162890205436,0.0,-4.369674695495095e-08,2013.279689411819
49,0.24,267.08957559986175,0.002973565006098851,0.0,-4.0964474791688034e-08,2001.562182643972
50,0.245,267.01907757521377,0.002956328016697493,0.0,-3.824543357980002e-08,1989.8446541114126
51,0.25,266.9478753907698,0.0029390108802719818,0.0,-3.55409835217514e-08,1978.12710453156
52,0.255,266.87598243926607,0.002921619126900602,0.0,-3.285244752781053e-08,1966.40953460642
53,0.26,266.8034122608774,0.0029041582545864075,0.0,-3.018111163915097e-08,1954.6919450225623
54,0.265,266.7301785415656,0.002886633726633744,0.0,-2.752822412153067e-08,1942.974336451113
55,0.27,266.65629511143203,0.002869050969101679,0.0,-2.4894997131223404e-08,1931.2567095477639
56,0.275,266.5817759430747,0.0028514153683346856,0.0,-2.2282601839752034e-08,1919.5390649527956
57,0.28,266.50663514994835,0.0028337322685722814,0.0,-1.969217086194093e-08,1907.8214032911153
58,0.285,266.43088698472786,0.0028160069696378555,0.0,-1.7124797603970362e-08,1896.1037251723083
59,0.29,266.3545458376753,0.002798244724708657,0.0,-1.4581535470118617e-08,1884.3860311906997
60,0.295,266.277626235009,0.0027804507381659557,0.0,-1.206339849637145e-08,1872.6683219254312
61,0.3,266.2001428372749,0.0027626301635277164,0.0,-9.571358652149172e-09,1860.9505979405449
62,0.305,266.1221104377182,0.0027447881014629207,0.0,-7.106349191517152e-09,1849.2328597850803
63,0.31,266.04354396065617,0.0027269295978883325,0.0,-4.669262092861824e-09,1837.5151079931804
64,0.315,265.9644584598487,0.0027090596421479054,0.0,-2.260947509936723e-09,1825.797343084206
65,0.32,265.8848691168669,0.0026911831652743946,0.0,1.1778238231790006e-10,1814.079565562859
66,0.325,265.8047912394593,0.0026733050383338677,0.0,2.4661581429808616e-09,1802.3617759193141
67,0.33,265.7242402599116,0.002655430070852768,0.0,4.783449615143464e-09,1790.643974629358
68,0.335,265.6432317334011,0.0026375630093260086,0.0,7.06896668711581e-09,1778.9261621545336
69,0.34,265.56178133634256,0.0026197085358082143,0.0,9.322060004861913e-09,1767.208338942294
70,0.345,265.47990486472395,0.0026018712665847417,0.0,1.1542118606911474e-08,1755.490505426159
71,0.35,265.3976182324306,0.002584055750924103,0.0,1.3728572131191412e-08,1743.7726620258788
72,0.355,265.3149374695556,0.0025662664699104784,0.0,1.5880888634411136e-08,1732.0548091476044
73,0.36,265.2318787206938,0.002548507835354373,0.0,1.799857402726668e-08,1720.3369471840588
74,0.365,265.14845824321867,0.0025307841887830074,0.0,2.008117350638029e-08,1708.6190765147155
75,0.37,265.0646924055377,0.00251309980050717,0.0,2.2128269032897338e-08,1696.9011975059796
76,0.375,264.9805976853259,0.0024954588687647436,0.0,2.4139480187800012e-08,1685.1833105113722
77,0.38,264.8961906677335,0.0024778655189399484,0.0,2.6114462005147806e-08,1673.4654158717192
78,0.385,264.8114880435665,0.0024603238028567164,0.0,2.8052907623878653e-08,1661.7475139153414
79,0.39,264.7265066074364,0.0024428376981448356,0.0,2.9954543738483533e-08,1650.0296049582473
80,0.395,264.64126325587716,0.002425411107678938,0.0,3.181913198420922e-08,1638.311689304328
81,0.4,264.5557749854268,0.002408047859086955,0.0,3.364646836285622e-08,1626.5937672455539
82,0.405,264.4700588906709,0.002390751704329117,0.0,3.543638280774073e-08,1614.875839062173
83,0.41,264.3841321622437,0.0023735263193441665,0.0,3.718873789413714e-08,1603.1579050229102
84,0.415,264.29801208478625,0.0023563753037621144,0.0,3.89034279800255e-08,1591.4399653851656
85,0.42,264.2117160348574,0.0023393021806827545,0.0,4.058037804956115e-08,1579.722020395216
86,0.425,264.12526147879595,0.0023223103965174198,0.0,4.2219545269227504e-08,1568.0040702884146
87,0.43,264.0386659705292,0.002305403320893474,0.0,4.382091572796049e-08,1556.2861152893906
88,0.435,263.95194714932666,0.0022885842466184884,0.0,4.538450496825869e-08,1544.568155612249
89,0.44,263.8651227374956,0.002271856389705118,0.0,4.691035661888883e-08,1532.8501914607684
90,0.445,263.778210538016,0.0022552228894524404,0.0,4.83985418152048e-08,1521.1322230285984
91,0.45,263.69122843211164,0.0022386868085842123,0.0,4.984915920843702e-08,1509.4142504994552
92,0.455,263.60419437675426,0.0022222511334411515,0.0,5.126233369495561e-08,1497.6962740473145
93,0.46,263.5171264020988,0.002205918774226612,0.0,5.2638214551053463e-08,1485.9782938366034
94,0.465,263.43004260884754,0.0021896925653036156,0.0,5.397697571207293e-08,1474.260310022388
95,0.47,263.34296116553924,0.0021735752655416833,0.0,5.527881614104219e-08,1462.5423227505596
96,0.475,263.25590030576143,0.002157569558712037,0.0,5.654395643528308e-08,1450.8243321580153
97,0.48,263.1688783252841,0.002141678053929583,0.0,5.7772640368124914e-08,1439.106338372836
98,0.485,263.0819135791113,0.002125903286140059,0.0,5.896513208582417e-08,1427.3883415144594
99,0.49,262.9950244784498,0.0021102477166507773,0.0,6.012171824301588e-08,1415.670341693848
100,0.495,262.9082294875904,0.0020947137337035144,0.0,6.124270275159815e-08,1403.9523390136505
