Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.97689375,-52063.76313994719,0.0
2,0.005,0.01,0.93068125,-49600.68002198578,0.0
3,0.01,0.015,0.88446875,-47139.413862120346,0.0
4,0.015,0.02,0.8382562499999999,-44679.97199312052,0.0
5,0.02,0.025,0.79204375,-42222.3626466816,0.0
6,0.025,0.03,0.74583125,-39766.595071679985,0.0
7,0.03,0.035,0.69961875,-37312.67918084359,0.0
8,0.035,0.04,0.65340625,-34860.62226576208,0.0
9,0.04,0.045,0.60719375,-32410.42330403971,0.0
10,0.045,0.05,0.56098125,-29962.07504269638,0.0
11,0.05,0.055,0.51476875,-27515.56385668595,0.0
12,0.055,0.06,0.46855625,-25070.858294625068,0.0
13,0.06,0.065,0.42234375,-22627.89038763902,0.0
14,0.065,0.07,0.37613125000000003,-20186.51936081752,0.0
15,0.07,0.075,0.3299187499999999,-17746.461192214836,0.0
16,0.075,0.08,0.28370625000000005,-15307.216376198763,0.0
17,0.08,0.085,0.2606,-14118.005804801545,0.0
18,0.085,0.09,0.2606,-14185.009885252552,0.0
19,0.09,0.095,0.2606,-14253.556548169083,0.0
20,0.095,0.1,0.2606,-14323.720472184486,0.0
21,0.1,0.105,0.2606,-14395.494688138571,0.0
22,0.105,0.11,0.2606,-14468.86514398825,0.0
23,0.11,0.115,0.2606,-14543.817694715155,0.0
24,0.115,0.12,0.2606,-14620.337884541781,0.0
25,0.12,0.125,0.2606,-14698.410939808602,0.0
26,0.125,0.13,0.2606,-14778.021771282494,0.0
27,0.13,0.135,0.2606,-14859.15497604486,0.0
28,0.135,0.14,0.2606,-14941.794839428874,0.0
29,0.14,0.145,0.2606,-15025.925337015467,0.0
30,0.145,0.15,0.2606,-15111.53013668973,0.0
31,0.15,0.155,0.2606,-15198.59260075571,0.0
32,0.155,0.16,0.2606,-15287.095788114731,0.0
33,0.16,0.165,0.2606,-15377.022456506282,0.0
34,0.165,0.17,0.2606,-15468.355064812173,0.0
35,0.17,0.175,0.2606,-15561.075775423924,0.0
36,0.175,0.18,0.2606,-15655.166456674899,0.0
37,0.18,0.185,0.2606,-15750.608685338388,0.0
38,0.185,0.19,0.2606,-15847.383749192448,0.0
39,0.19,0.195,0.2606,-15945.472649648686,0.0
40,0.195,0.2,0.2606,-16044.856104451379,0.0
41,0.2,0.205,0.2606,-16145.514550444439,0.0
42,0.205,0.21,0.2606,-16247.428146408365,0.0
43,0.21,0.215,0.2606,-16350.576775965317,0.0
44,0.215,0.22,0.2606,-16454.940050555033,0.0
45,0.22,0.225,0.2606,-16560.49731248045,0.0
46,0.225,0.23,0.2606,-16667.22763802631,0.0
47,0.23,0.235,0.2606,-16775.109840648995,0.0
48,0.235,0.24,0.2606,-16884.122474238127,0.0
49,0.24,0.245,0.2606,-16994.243836448997,0.0
50,0.245,0.25,0.2606,-17105.45197211065,0.0
51,0.25,0.255,0.2606,-17217.72467670714,0.0
52,0.255,0.26,0.2606,-17331.039499932867,0.0
53,0.26,0.265,0.2606,-17445.373749320148,0.0
54,0.265,0.27,0.2606,-17560.704493941455,0.0
55,0.27,0.275,0.2606,-17677.008568187754,0.0
56,0.275,0.28,0.2606,-17794.262575619712,0.0
57,0.28,0.285,0.2606,-17912.442892892854,0.0
58,0.285,0.29,0.2606,-18031.52567376063,0.0
59,0.29,0.295,0.2606,-18151.48685314857,0.0
60,0.295,0.3,0.2606,-18272.302151306234,0.0
61,0.3,0.305,0.2606,-18393.94707803255,0.0
62,0.305,0.31,0.2606,-18516.39693697526,0.0
63,0.31,0.315,0.2606,-18639.62683000443,0.0
64,0.315,0.32,0.2606,-18763.61166166132,0.0
65,0.32,0.325,0.2606,-18888.326143680926,0.0
66,0.325,0.33,0.2606,-19013.744799588887,0.0
67,0.33,0.335,0.2606,-19139.841969370515,0.0
68,0.335,0.34,0.2606,-19266.591814212265,0.0
69,0.34,0.345,0.2606,-19393.968321316017,0.0
70,0.345,0.35,0.2606,-19521.945308786635,0.0
71,0.35,0.355,0.2606,-19650.496430587762,0.0
