time,Energy Leak from beginning
900,-1.9819823343132157
1800,-3.1258690571841004
2700,-3.8379407383326907
3600,-4.310884055229617
4500,-4.644912264195008
5400,-4.894109136368351
6300,-5.088665404805726
7200,-5.2461290398003655
8100,-5.377173292925221
9000,-5.4886016006147145
9900,-5.584951701175527
10800,-5.66937978010705
11700,-5.744162977084637
12600,-5.810998763459869
13500,-5.871184987732419
14400,-5.925737973902584
15300,-5.975467434562967
16200,-6.021030213253038
17100,-6.062965322861567
18000,-6.1017206597083025
18900,-6.1376718991758406
19800,-6.171137428854635
20700,-6.202388446499171
21600,-6.2316580391028396
22500,-6.259147055051798
23400,-6.285030406810837
24300,-6.309460080459975
25200,-6.332569333329374
26100,-6.354475529210392
27000,-6.375281919915212
27900,-6.3950798437766885
28800,-6.413950264054431
29700,-6.43196492757684
30600,-6.449188035609619
31500,-6.465676831199522
32400,-6.481482301607462
33300,-6.4966501225733335
34200,-6.511221738694654
35100,-6.5252337846661925
36000,-6.53871993818429
36900,-6.5517100003352216
37800,-6.564230973905866
38700,-6.576307862791726
39600,-6.587962872609058
40500,-6.599216041227117
41400,-6.610086293060811
42300,-6.620590448160436
43200,-6.630744120484449
44100,-6.640561352411967
45000,-6.6500554411185275
45900,-6.659238667650132
46800,-6.668122161616337
47700,-6.676716208660072
48600,-6.68503046488571
49500,-6.693074219120387
50400,-6.700855521269329
51300,-6.70838269307489
52200,-6.715663376539959
53100,-6.722704085902948
54000,-6.729511965490598
54900,-6.736092854876476
55800,-6.7424531791952145
56700,-6.748598418795954
57600,-6.754534258911446
58500,-6.760265854606915
59400,-6.765798829857305
60300,-6.771137331621361
61200,-6.77628615011549
62100,-6.781249801313903
63000,-6.786032975405695
63900,-6.790639726969902
64800,-6.795074084861925
65700,-6.799339952323436
66600,-6.8034415260717775
67500,-6.807382408599235
68400,-6.811166304579396
69300,-6.814796475047856
70200,-6.818276747953073
71100,-6.821610363848899
72000,-6.824800699415152
72900,-6.827850854842707
73800,-6.830764526504806
74700,-6.833544193479481
75600,-6.836193212285593
76500,-6.838714654651426
