Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,266.51451859309697,0.002835585185167944,0.0,3.7777310355624406e-11,2829.8757963726334
2,0.005,266.51443738042417,0.002835565295059233,0.0,7.555077637809788e-11,2785.9512437692224
3,0.01,266.5141727654535,0.0028355019837292992,0.0,1.5108454090087963e-10,2744.1045664589897
4,0.015,266.5136946187154,0.002835388268045575,0.0,2.2657636491179328e-10,2704.3357644419348
5,0.02,266.5129659161369,0.0028352153799240097,0.0,3.020034944807114e-10,2666.644837718058
6,0.025,266.51194066440974,0.002834972419759514,0.0,3.773331366863605e-10,2631.03178628736
7,0.03,266.51056103566907,0.0028346456764637793,0.0,4.5252036860208906e-10,2597.4966101498394
8,0.035,266.5087534487261,0.002834217708070118,0.0,-8.407471442749366e-09,2566.039309305497
9,0.04,266.5064235754064,0.002833666129112896,0.0,-4.163518166693795e-08,2536.6598837543334
10,0.045,266.50344901842556,0.002832961780477806,0.0,-6.384780661072191e-08,2509.3583334963473
11,0.05,266.4996659310158,0.0028320656371459154,0.0,-9.530175156287711e-08,2484.1346585315396
12,0.055,266.4948512876914,0.002830924492116949,0.0,-1.4082362282667162e-07,2460.9888588599097
13,0.06,266.4886951713348,0.002829464246101712,0.0,-2.0834852730588283e-07,2439.920934481458
14,0.065,266.4807561902215,0.0028275791286115383,0.0,-3.1134211209610533e-07,2420.9308853961847
15,0.07,266.4703885761437,0.0028251139091806433,0.0,-4.74222019866983e-07,2404.0187116040893
16,0.075,266.45661690963124,0.0028218316917648233,0.0,-6.726256882520226e-07,2389.184413105172
17,0.08,266.4378719643066,0.002817505411445539,0.0,-5.029448494149441e-07,2376.427989899433
18,0.085,266.41550068882486,0.0028124090920255743,0.0,-1.1328973274448276e-07,2364.710504340283
19,0.09,266.3926324432683,0.0028070820564628997,0.0,-5.6205107501009206e-08,2352.993018781133
20,0.095,266.3692190125411,0.0028016394065053427,0.0,-5.6699494176775646e-08,2341.2755332219826
21,0.1,266.3452606399746,0.002796080169694024,0.0,-5.591158020944124e-08,2329.5580476628325
22,0.105,266.3207621940914,0.002790405959068655,0.0,-5.50321981872248e-08,2317.8405621036823
23,0.11,266.2957285181327,0.002784618572537808,0.0,-5.414140971196088e-08,2306.123076544532
24,0.115,266.2701645589844,0.0027787198314687712,0.0,-5.323676347495841e-08,2294.405590985382
25,0.12,266.24407537228655,0.002772711585626271,0.0,-5.231863198013691e-08,2282.6881054262317
26,0.125,266.21746612140174,0.002766595712399383,0.0,-5.138750162193286e-08,2270.9706198670815
27,0.13,266.19034207663935,0.0027603741158249862,0.0,-5.044384643888759e-08,2259.2531343079313
28,0.135,266.16270861446435,0.0027540487256145223,0.0,-4.9488144934420475e-08,2247.535648748781
29,0.14,266.13457121668756,0.002747621496174029,0.0,-4.8520883689387735e-08,2235.818163189631
30,0.145,266.10593546963236,0.0027410944056173326,0.0,-4.7542551982550116e-08,2224.100677630481
31,0.15,266.0768070632823,0.0027344694547737085,0.0,-4.6553635609095053e-08,2212.383192071331
32,0.155,266.04719179040563,0.0027277486661905328,0.0,-4.555462823457575e-08,2200.665706512181
33,0.16,266.0170955456605,0.0027209340831319227,0.0,-4.454601680538898e-08,2188.9482209530306
34,0.165,265.9865243246784,0.0027140277685741327,0.0,-4.352830736602618e-08,2177.2307353938804
35,0.17,265.95548422312487,0.0027070318041981906,0.0,-4.250198308802826e-08,2165.5132498347302
36,0.175,265.92398143573905,0.002699948289380837,0.0,-4.146754526866797e-08,2153.7957642755805
37,0.18,265.89202225535246,0.0026927793401846705,0.0,-4.0425488297698216e-08,2142.0782787164303
38,0.185,265.85961307188467,0.002685527088347851,0.0,-3.937630736467878e-08,2130.36079315728
39,0.19,265.8267603713176,0.0026781936802745313,0.0,-3.832049823096544e-08,2118.64330759813
40,0.195,265.79347073464766,0.002670781276026493,0.0,-3.7258550854441096e-08,2106.9258220389797
41,0.2,265.75975083681516,0.0026632920483168937,0.0,-3.619096203075424e-08,2095.2083364798295
42,0.205,265.7256074456131,0.002655728181506928,0.0,-3.5118217382481516e-08,2083.49085092068
43,0.21,265.69104742057186,0.002648091870605891,0.0,-3.404080987447291e-08,2071.7733653615296
44,0.215,265.6560777118222,0.002640385320275534,0.0,-3.2959220564621245e-08,2060.0558798023794
45,0.22,265.62070535893554,0.0026326107438393205,0.0,-3.187393470244386e-08,2048.3383942432292
46,0.225,265.5849374897418,0.0026247703622975615,0.0,-3.0785433182600534e-08,2036.6209086840793
47,0.23,265.54878131912665,0.00261686640334895,0.0,-2.9694192351887277e-08,2024.9034231249293
48,0.235,265.5122441478028,0.0026089011004188953,0.0,-2.860068227867973e-08,2013.1859375657793
49,0.24,265.47533336106136,0.0026008766916957578,0.0,-2.7505372455362858e-08,2001.4684520066294
50,0.245,265.43805642749993,0.002592795419175443,0.0,-2.6408725640534994e-08,1989.7509664474794
51,0.25,265.400420897727,0.0025846595277148232,0.0,-2.5311204468343002e-08,1978.0334808883294
52,0.255,265.3624344030454,0.002576471264095008,0.0,-2.421325707139301e-08,1966.3159953291795
53,0.26,265.3241046541132,0.0025682328760947876,0.0,-2.3115340465545214e-08,1954.5985097700295
54,0.265,265.28543943958107,0.0025599466115748776,0.0,-2.2017890686106763e-08,1942.8810242108796
55,0.27,265.2464466247077,0.002551614717573475,0.0,-2.0921347298732633e-08,1931.1635386517296
56,0.275,265.2071341499532,0.002543239439413864,0.0,-1.982614139126299e-08,1919.4460530925796
57,0.28,265.1675100295493,0.002534823019824406,0.0,-1.8732697522553835e-08,1907.7285675334297
58,0.285,265.12758235004924,0.0025263676980717656,0.0,-1.7641434937517055e-08,1896.0110819742797
59,0.29,265.087359268853,0.0025178757091073164,0.0,-1.6552762326005938e-08,1884.2935964151297
60,0.295,265.04684901271213,0.002509349282727746,0.0,-1.5467083601903967e-08,1872.5761108559798
61,0.3,265.00605987621304,0.0025007906427501566,0.0,-1.4384796510378262e-08,1860.8586252968298
62,0.305,264.9650002202382,0.00249220200620208,0.0,-1.3306291353432622e-08,1849.1411397376799
63,0.31,264.92367847040487,0.0024835855825266003,0.0,-1.2231949444811688e-08,1837.42365417853
64,0.315,264.88210311548255,0.002474943572803309,0.0,-1.1162140539291421e-08,1825.70616861938
65,0.32,264.8402827057904,0.0024662781689855106,0.0,-1.0097233403368002e-08,1813.98868306023
66,0.325,264.7982258515728,0.002457591553153854,0.0,-9.037586109798983e-09,1802.27119750108
67,0.33,264.75594122135453,0.002448885896786867,0.0,-7.9835412308916e-09,1790.55371194193
68,0.335,264.71343754027504,0.002440163360048531,0.0,-6.935443410018907e-09,1778.83622638278
69,0.34,264.6707235884012,0.0024314260910932944,0.0,-5.893621405129672e-09,1767.11874082363
70,0.345,264.6278081990214,0.002422676225388912,0.0,-4.858402190452278e-09,1755.4012552644801
71,0.35,264.584700256919,0.002413915885057334,0.0,-3.8300907325457365e-09,1743.6837697053302
72,0.355,264.5414086966269,0.002405147178233836,0.0,-2.809000687697707e-09,1731.9662841461802
73,0.36,264.49794250066134,0.0023963721984445806,0.0,-1.7954187475923742e-09,1720.2487985870303
74,0.365,264.45431069773787,0.002387593024002865,0.0,-7.896340958043036e-10,1708.5313130278803
75,0.37,264.4105223609684,0.002378811717424365,0.0,2.0807453940421277e-10,1696.8138274687303
76,0.375,264.36658660603916,0.0023700303248612117,0.0,1.1974438217614594e-09,1685.0963419095804
77,0.38,264.322512589371,0.002361250875555315,0.0,2.1782151271483262e-09,1673.3788563504304
78,0.385,264.27830950626105,0.0023524753813108806,0.0,3.1501418088634766e-09,1661.6613707912804
79,0.39,264.2339865890085,0.002343705835986457,0.0,4.1129832173826974e-09,1649.9438852321305
80,0.395,264.18955310502247,0.002334944215006385,0.0,5.066510628038308e-09,1638.2263996729805
81,0.4,264.14501835491257,0.0023261924748916724,0.0,6.010508561553055e-09,1626.5089141138305
82,0.405,264.1003916705649,0.002317452552810568,0.0,6.9447628313748034e-09,1614.7914285546806
83,0.41,264.05568241320043,0.002308726366148612,0.0,7.869077164055266e-09,1603.0739429955306
84,0.415,264.01089997141895,0.0023000158120982483,0.0,8.783260203242993e-09,1591.3564574363807
85,0.42,263.9660537592277,0.0022913227672680665,0.0,9.687132504348047e-09,1579.6389718772307
86,0.425,263.9211532140549,0.002282649087311443,0.0,1.0580519532148144e-08,1567.9214863180807
87,0.43,263.87620779475037,0.0022739966065747938,0.0,1.1463264599105253e-08,1556.2040007589308
88,0.435,263.8312269795723,0.0022653671377652635,0.0,1.2335210905357603e-08,1544.4865151997808
89,0.44,263.78622026415957,0.002256762471637455,0.0,1.3196218301444326e-08,1532.7690296406308
90,0.445,263.7411971594925,0.002248184376699567,0.0,1.4046156015577587e-08,1521.0515440814809
91,0.45,263.69616718984196,0.002239634598938602,0.0,1.4884896611925558e-08,1509.334058522331
92,0.455,263.65113989070517,0.0022311148615644103,0.0,1.5712326633531636e-08,1497.616572963181
93,0.46,263.6061248067316,0.002222626864772528,0.0,1.6528340601896666e-08,1485.899087404031
94,0.465,263.56113148963806,0.0022141722855256577,0.0,1.733284329235816e-08,1474.181601844881
95,0.47,263.51616949611355,0.0022057527773536004,0.0,1.8125743652345588e-08,1462.464116285731
96,0.475,263.471248385715,0.002197369970171314,0.0,1.890696540591885e-08,1450.746630726581
97,0.48,263.426377718753,0.0021890254701149928,0.0,1.9676441039127746e-08,1439.0291451674311
98,0.485,263.3815670541705,0.0021807208593959773,0.0,2.0434104518665405e-08,1427.3116596082812
99,0.49,263.3368259474131,0.002172457696172138,0.0,2.11799077950174e-08,1415.5941740491312
100,0.495,263.29216394829183,0.0021642375144365826,0.0,2.1913802910931442e-08,1403.8766884899812
