Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9768937735415334,-16630.836196575292,0.0
2,0.005,0.01,0.9306812945889078,-15845.881089218601,0.0
3,0.01,0.015,0.8844688202050773,-15065.433801942201,0.0
4,0.015,0.02,0.8382563421998751,-14289.5112103635,0.0
5,0.02,0.025,0.7920438606588945,-13518.131760559172,0.0
6,0.025,0.03,0.7458313756792198,-12751.315474819077,0.0
7,0.03,0.035,0.6996173225067405,-11989.055637810763,0.0
8,0.035,0.04,0.6533976919102925,-11231.292262896806,0.0
9,0.04,0.045,0.6071763481362821,-10478.070765552588,0.0
10,0.045,0.05,0.5609561033438051,-9729.395831935935,0.0
11,0.05,0.055,0.5147328474124017,-8985.129439907503,0.0
12,0.055,0.06,0.4685049724707652,-8245.118590580134,0.0
13,0.06,0.065,0.42226982831476495,-7509.077787679986,0.0
14,0.065,0.07,0.37602278185999155,-6776.467024704285,0.0
15,0.07,0.075,0.3297647625324413,-6046.431494819362,0.0
16,0.075,0.08,0.2835546853800438,-5318.6196999646245,0.0
17,0.08,0.085,0.2605296552247145,-5029.50414113631,0.0
18,0.085,0.09,0.26059154688108804,-5192.376018169105,0.0
19,0.09,0.095,0.26059913084955577,-5357.562783772657,0.0
20,0.095,0.1,0.2605993051214255,-5526.180367386853,0.0
21,0.1,0.105,0.26059972880112836,-5698.309418073337,0.0
22,0.105,0.11,0.26060014047343494,-5873.845665762227,0.0
23,0.11,0.115,0.2606005266718161,-6052.690266834989,0.0
24,0.115,0.12,0.2606008888045129,-6234.7440454273865,0.0
25,0.12,0.125,0.2606012275355205,-6419.907337657371,0.0
26,0.125,0.13,0.26060154359452414,-6608.080235086243,0.0
27,0.13,0.135,0.26060183776894846,-6799.1628042029815,0.0
28,0.135,0.14,0.26060211088162466,-6993.055302610546,0.0
29,0.14,0.145,0.26060236377672064,-7189.658391738104,0.0
30,0.145,0.15,0.26060259730940805,-7388.873345233273,0.0
31,0.15,0.155,0.2606028123379018,-7590.602252303875,0.0
32,0.155,0.16,0.26060300971735534,-7794.748215337684,0.0
33,0.16,0.165,0.26060319029493495,-8001.215541159682,0.0
34,0.165,0.17,0.26060335490581027,-8209.909925341071,0.0
35,0.17,0.175,0.2606035043698906,-8420.73862902359,0.0
36,0.175,0.18,0.260603639489108,-8633.61064777328,0.0
37,0.18,0.185,0.2606037610452297,-8848.436872030928,0.0
38,0.185,0.19,0.26060386979797295,-9065.13023877339,0.0
