time,Energy Leak from beginning
900,-3.5559894272623915
1800,-6.303266767063178
2700,-8.636896003823495
3600,-10.742692118918058
4500,-12.716208357448052
5400,-14.608071206469832
6300,-16.445751785008035
7200,-18.24459836121161
8100,-20.013484852359397
9000,-21.757738479949115
9900,-23.48069149227864
10800,-25.184519849089487
11700,-26.870708260409522
12600,-28.540319093237926
13500,-30.19414653531167
14400,-31.83281150280535
15300,-33.456819444902145
16200,-35.06659701413854
17100,-36.66251533751755
18000,-38.24490643544174
18900,-39.814071739875075
19800,-41.370291885990234
20700,-42.91382882154482
21600,-44.44493087861018
22500,-45.96383447016706
23400,-47.47076636443591
24300,-48.96594477879909
25200,-50.449578845286595
26100,-51.92187236391575
27000,-53.38302127409734
27900,-54.833215603223366
28800,-56.27264049388359
29700,-57.70147459029577
30600,-59.119891262493624
31500,-60.52805882779329
32400,-61.92614109735267
33300,-63.31429733866877
34200,-64.69268095117557
35100,-66.06144252922968
36000,-67.42072772559266
36900,-68.77067745011459
37800,-70.11142952254318
38700,-71.44311739663353
39600,-72.76587135994079
40500,-74.07981743570737
41400,-75.3850786514845
42300,-76.68177446468405
43200,-77.97002094588242
44100,-79.24993151065428
45000,-80.52161621797451
45900,-81.78518227908273
46800,-83.04073422365684
47700,-84.28837326844223
48600,-85.528198809046
49500,-86.76030691582447
50400,-87.98479246309252
51300,-89.20174656479662
52200,-90.41125885042288
53100,-91.61341623401916
54000,-92.80830410266854
54900,-93.99600557875236
55800,-95.17660180258098
56700,-96.35017157136781
57600,-97.51679235606889
58500,-98.67653950776969
59400,-99.82948705638569
60300,-100.97570667791456
61200,-102.11526930544801
62100,-103.24824364326355
63000,-104.3746970938397
63900,-105.49469592045271
64800,-106.60830398864024
65700,-107.7155851454987
66600,-108.81660051810795
67500,-109.91141097551335
68400,-111.00007579844939
69300,-112.08265249817893
70200,-113.15919860141896
71100,-114.22976919788364
72000,-115.29441946026628
72900,-116.35320259548708
73800,-117.4061713315742
74700,-118.45337686063348
75600,-119.49486995256628
76500,-120.53069999291218
77400,-121.56091556200086
78300,-122.58556432995186
79200,-123.60469330594952
80100,-124.6183485114978
81000,-125.62657506536283
81900,-126.62941736768056
82800,-127.62691914467081
83700,-128.6191232539358
84600,-129.606071774535
85500,-130.5878062937191
86400,-131.5643675483953
87300,-132.53579527256812
88200,-133.50212928608306
89100,-134.46340796539806
90000,-135.41966984408572
90900,-136.37095237604007
91800,-137.317292587459
92700,-138.25872634197577
93600,-139.19528973913606
94500,-140.12701842672533
95400,-141.0539466737594
96300,-141.97610873636432
97200,-142.89353882815755
98100,-143.8062697846796
99000,-144.71433445040276
99900,-145.61776516965148
100800,-146.51659417832155
101700,-147.41085230051584
102600,-148.30057108401132
103500,-149.18578109077106
104400,-150.06651198499065
105300,-150.94279417512263
106200,-151.81465685044788
107100,-152.68212874308114
108000,-153.54523858391798
108900,-154.4040145760544
109800,-155.25848481574468
110700,-156.10867686939565
111600,-156.954618038845
112500,-157.79633528317464
113400,-158.63385521888523
114300,-159.46720421474407
115200,-160.2964078566868
116100,-161.12149194639738
117000,-161.9424822106676
117900,-162.75940328513485
118800,-163.57228007147143
119700,-164.3811377013604
120600,-165.18599985202087
121500,-165.98689039010407
122400,-166.78383370954322
123300,-167.57685292631282
124200,-168.36597176128777
125100,-169.15121244406106
126000,-169.93259838962473
126900,-170.7101517943061
127800,-171.48389526945476
128700,-172.2538510560401
129600,-173.02004047369638
130500,-173.78248557902344
131400,-174.54120778752355
132300,-175.29622865325751
133200,-176.04756886497586
134100,-176.7952493304354
135000,-177.53929083599456
135900,-178.279714033125
136800,-179.01653938501937
137700,-179.74978626577905
138600,-180.47947479653936
139500,-181.2056247972094
140400,-181.92825644198712
141300,-182.64738908937107
142200,-183.363041511188
143100,-184.07523268717756
144000,-184.78398212098233
144900,-185.48930853303006
145800,-186.1912300064635
146700,-186.8897654273954
147600,-187.58493327807088
148500,-188.27675119139172
149400,-188.9652373780919
150300,-189.65041003216908
151200,-190.33228670730756
152100,-191.0108853479672
153000,-191.68622260128024
153900,-192.35831664183053
154800,-193.02718413371628
155700,-193.69284228073235
156600,-194.35530818926628
157500,-195.0145988092466
158400,-195.67073072589852
159300,-196.32372044336086
160200,-196.97358428934814
161100,-197.62033849038409
162000,-198.26399984237338
162900,-198.90458404628276
163800,-199.54210722461409
164700,-200.17658499299847
165600,-200.80803326183064
166500,-201.43646772817584
167400,-202.06190394628203
168300,-202.68435732485528
169200,-203.30384328941733
170100,-203.92037702847307
171000,-204.5339733802321
171900,-205.14464767155897
172800,-205.7524148814353
173700,-206.35728964775063
174600,-206.9592870140114
175500,-207.55842135000267
176400,-208.15470715982366
177300,-208.74815916346262
178200,-209.33879174397435
179100,-209.92661867495036
180000,-210.51165429471286
180900,-211.0939132702827
181800,-211.6734091494073
182700,-212.2501556084681
183600,-212.82416692475823
184500,-213.39545633859967
185400,-213.96403801229627
186300,-214.5299253589563
187200,-215.0931315966955
188100,-215.65367007835454
189000,-216.2115546149783
189900,-216.76679848158375
190800,-217.3194142420876
191700,-217.8694153632719
192600,-218.41681453044868
193500,-218.96162497043252
194400,-219.50385926166774
195300,-220.0435303243051
196200,-220.58065087471033
197100,-221.1152338778234
198000,-221.64729134328496
198900,-222.1768361559121
199800,-222.70388016958015
200700,-223.22843608225804
201600,-223.7505163585359
202500,-224.27013303127598
203400,-224.78729804899768
204300,-225.3020236763171
205200,-225.81432182322015
206100,-226.32420431619545
207000,-226.83168311185165
207900,-227.33677005230453
208800,-227.83947678662418
209700,-228.33981468392932
210600,-228.8377955191948
211500,-229.3334310911119
212400,-229.826732377474
213300,-230.3177112276988
214200,-230.8063787822701
215100,-231.2927464169132
216000,-231.77682501436522
216900,-232.2586260517217
217800,-232.73816011975015
218700,-233.21543886082674
219600,-233.69047292407214
220500,-234.163273156657
221400,-234.63385068946087
222300,-235.10221613758046
223200,-235.56838047874777
224100,-236.03235355116504
225000,-236.4941469881249
225900,-236.9537706920342
226800,-237.41123571125837
227700,-237.86655179039695
228600,-238.31972993177948
229500,-238.7707801697939
230400,-239.21971304465598
231300,-239.66653841432623
232200,-240.11126657320466
233100,-240.5539074379315
234000,-240.9944715956347
234900,-241.43296861451864
235800,-241.86940890548914
236700,-242.30380212618667
237600,-242.7361579738038
238500,-243.16648641651892
239400,-243.59479701022548
240300,-244.0210997434179
241200,-244.44540415967555
242100,-244.86771992828204
243000,-245.288056390343
243900,-245.70642323077237
244800,-246.12282969460404
245700,-246.53728557597543
246600,-246.9498000202721
247500,-247.36038225637373
248400,-247.7690414195959
249300,-248.17578693340812
250200,-248.58062801103853
251100,-248.98357365240855
252000,-249.38463295720913
252900,-249.7838148258573
253800,-250.18112817090633
254700,-250.57658242086228
255600,-250.97018645570967
256500,-251.36194840534478
257400,-251.75187768607753
258300,-252.1399828081881
259200,-252.5262726773047
260100,-252.91075585999107
261000,-253.2934408726117
261900,-253.6743361859804
262800,-254.05345071597145
263700,-254.43079261017152
264600,-254.80637032528062
265500,-255.18019251252878
266400,-255.55226736816422
267300,-255.92260327450077
268200,-256.29120877880797
269100,-256.65809148911814
270000,-257.0232602602426
270900,-257.38672279090116
271800,-257.74848739390455
272700,-258.1085621834007
273600,-258.46695501852815
274500,-258.82367395892817
275400,-259.1787270381263
276300,-259.53212238796874
277200,-259.88386773947747
278100,-260.23397067449133
279000,-260.5824389612333
279900,-260.9292806655956
280800,-261.27450333393955
281700,-261.6181147476107
282600,-261.9601225521563
283500,-262.30053456858883
284400,-262.6393576986812
285300,-262.9766002057093
286200,-263.3122689951941
287100,-263.6463720080299
288000,-263.97891643123313
288900,-264.30990963345704
289800,-264.63935903734415
290700,-264.96727194664305
291600,-265.2936555830634
292500,-265.61851756834704
293400,-265.9418644154899
294300,-266.2637039568904
295200,-266.58404287854097
296100,-266.90288856006697
297000,-267.2202479792266
297900,-267.53612795697137
298800,-267.8505355274934
299700,-268.1634779435222
300600,-268.4749621100887
301500,-268.78499469298873
302400,-269.09358269745445
303300,-269.40073270566955
304200,-269.7064517939669
305100,-270.01074676562877
306000,-270.31362415405766
306900,-270.6150907122429
307800,-270.9151529988813
308700,-271.21381763576215
309600,-271.51109148163965
310500,-271.806980937987
311400,-272.10149258404846
312300,-272.3946328166697
313200,-272.6864082599423
314100,-272.97682496251383
315000,-273.2658898646567
315900,-273.55360934782385
316800,-273.8399893548995
317700,-274.1250366389359
318600,-274.4087570762002
319500,-274.69115697180115
320400,-274.9722428430485
321300,-275.2520205821566
322200,-275.53049652264764
323100,-275.80767666339835
324000,-276.0835672810604
324900,-276.358174423785
325800,-276.63150379618634
326700,-276.9035618892627
327600,-277.1743546372268
328500,-277.443887861165
329400,-277.7121673570469
330300,-277.979198886354
331200,-278.2449886725913
332100,-278.5095427774739
333000,-278.77286599423275
333900,-279.0349653620902
334800,-279.29584591342024
335700,-279.555513606068
336600,-279.8139742431902
337500,-280.0712330110619
338400,-280.3272964189035
339300,-280.58216956899156
340200,-280.8358581775804
341100,-281.0883673833005
342000,-281.3397031923094
342900,-281.5898709537133
343800,-281.83887604570106
344700,-282.08672419712735
345600,-282.33342080238714
346500,-282.57897117354065
347400,-282.8233806738709
348300,-283.06665469754154
349200,-283.30879838684706
350100,-283.54981726115744
351000,-283.7897165660857
351900,-284.0285018827877
352800,-284.2661780619131
353700,-284.50275021106296
354600,-284.73822361896106
355500,-284.9726036553789
356400,-285.205895120324
357300,-285.4381031388935
358200,-285.6692332095868
359100,-285.8992898557795
360000,-286.1282785425306
360900,-286.356204285072
361800,-286.58307160284863
362700,-286.80888575934483
363600,-287.03365175978234
364500,-287.2573746472115
365400,-287.4800590201249
366300,-287.7017100444555
367200,-287.9223321206137
368100,-288.14193012372385
369000,-288.3605091915725
369900,-288.57807414782843
370800,-288.7946294522754
371700,-289.01018013871186
372600,-289.2247306491957
373500,-289.4382856719222
374400,-289.6508497105022
375300,-289.8624277057443
376200,-290.07302421502214
377100,-290.2826439951239
378000,-290.491291090837
378900,-290.6989703788914
379800,-290.9056864784109
380700,-291.11144383791935
381600,-291.3162467766288
382500,-291.5201001295555
383400,-291.72300815168256
384300,-291.92497536748834
385200,-292.12600582616125
386100,-292.32610419738177
387000,-292.5252748484416
387900,-292.72352193399985
388800,-292.9208501403262
389700,-293.1172635505732
390600,-293.31276632818464
391500,-293.5073627387099
392400,-293.7010573993246
393300,-293.89385383540485
394200,-294.08575650315294
395100,-294.27677012565806
396000,-294.4668983457853
396900,-294.6561452425852
397800,-294.8445151170186
398700,-295.0320122458093
399600,-295.2186404055561
400500,-295.40440396331616
401400,-295.58930672255593
402300,-295.77335272800775
403200,-295.95654576290923
404100,-296.1388901136709
405000,-296.3203896199596
405900,-296.5010485409769
406800,-296.6808706007035
407700,-296.85985950632704
408600,-297.0380194056382
409500,-297.2153540391194
410400,-297.3918674201598
411300,-297.567563238805
412200,-297.7424451355965
413100,-297.9165172191495
414000,-298.0897829929509
414900,-298.2622461706267
415800,-298.43391084807223
416700,-298.60478072487905
417600,-298.77485933599684
418500,-298.9441507145196
419400,-299.11265786498126
420300,-299.28038495275115
421200,-299.44733562404446
422100,-299.61351333107183
423000,-299.77892170016736
423900,-299.9435645209133
424800,-300.1074451170528
425700,-300.270566893388
426600,-300.4329339472127
427500,-300.5945492224376
428400,-300.75541642357285
429300,-300.91553920809685
430200,-301.0749208129085
431100,-301.2335649078553
432000,-301.3914750060315
