Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.97689375,-48314.99873952143,0.0
2,0.005,0.01,0.93068125,-46325.91223919603,0.0
3,0.01,0.015,0.88446875,-43948.290437232194,0.0
4,0.015,0.02,0.8382562499999999,-41677.34437790037,0.0
5,0.02,0.025,0.79204375,-39380.393369356156,0.0
6,0.025,0.03,0.74583125,-37093.001605810314,0.0
7,0.03,0.035,0.69961875,-34805.65141373075,0.0
8,0.035,0.04,0.65340625,-32520.910620690425,0.0
9,0.04,0.045,0.60719375,-30238.066397572766,0.0
10,0.045,0.05,0.56098125,-27957.383922845904,0.0
11,0.05,0.055,0.51476875,-25678.45010530117,0.0
12,0.055,0.06,0.46855625,-23402.536479703496,0.0
13,0.06,0.065,0.42234375,-21124.71997474338,0.0
14,0.065,0.07,0.37613125000000003,-18862.90020642314,0.0
15,0.07,0.075,0.3299187499999999,-16549.342324038676,0.0
16,0.075,0.08,0.28370625000000005,-14434.916987620712,0.0
17,0.08,0.085,0.2606,-13334.87870229378,0.0
18,0.085,0.09,0.2606,-13251.713938286528,0.0
19,0.09,0.095,0.2606,-13370.016190284194,0.0
20,0.095,0.1,0.2606,-13436.62804617082,0.0
21,0.1,0.105,0.2606,-13519.364247851252,0.0
22,0.105,0.11,0.2606,-13600.034857328814,0.0
23,0.11,0.115,0.2606,-13683.494372658724,0.0
24,0.115,0.12,0.2606,-13768.42210743071,0.0
25,0.12,0.125,0.2606,-13855.15156660134,0.0
26,0.125,0.13,0.2606,-13943.572573747642,0.0
27,0.13,0.135,0.2606,-14033.69339663813,0.0
28,0.135,0.14,0.2606,-14125.490128481217,0.0
29,0.14,0.145,0.2606,-14218.947048517435,0.0
30,0.145,0.15,0.2606,-14314.045809933477,0.0
31,0.15,0.155,0.2606,-14410.76833953433,0.0
32,0.155,0.16,0.2606,-14509.09606344781,0.0
33,0.16,0.165,0.2606,-14609.010117350042,0.0
34,0.165,0.17,0.2606,-14710.4912929747,0.0
35,0.17,0.175,0.2606,-14813.520055376168,0.0
36,0.175,0.18,0.2606,-14918.076541321827,0.0
37,0.18,0.185,0.2606,-15024.140562832068,0.0
38,0.185,0.19,0.2606,-15131.69160943558,0.0
39,0.19,0.195,0.2606,-15240.708850859792,0.0
40,0.195,0.2,0.2606,-15351.171139701826,0.0
41,0.2,0.205,0.2606,-15463.057014200505,0.0
42,0.205,0.21,0.2606,-15576.344701078826,0.0
43,0.21,0.215,0.2606,-15691.012118465682,0.0
44,0.215,0.22,0.2606,-15807.036878898249,0.0
45,0.22,0.225,0.2606,-15924.396292401745,0.0
46,0.225,0.23,0.2606,-16043.067369651642,0.0
47,0.23,0.235,0.2606,-16163.026825216457,0.0
48,0.235,0.24,0.2606,-16284.251080883325,0.0
49,0.24,0.245,0.2606,-16406.71626906591,0.0
50,0.245,0.25,0.2606,-16530.398236298162,0.0
51,0.25,0.255,0.2606,-16655.272546808726,0.0
52,0.255,0.26,0.2606,-16781.314486182513,0.0
53,0.26,0.265,0.2606,-16908.499065108874,0.0
54,0.265,0.27,0.2606,-17036.801023213156,0.0
55,0.27,0.275,0.2606,-17166.19483297665,0.0
56,0.275,0.28,0.2606,-17296.65470374214,0.0
57,0.28,0.285,0.2606,-17428.154585807526,0.0
58,0.285,0.29,0.2606,-17560.66817460701,0.0
59,0.29,0.295,0.2606,-17694.168914978567,0.0
60,0.295,0.3,0.2606,-17828.630005522842,0.0
61,0.3,0.305,0.2606,-17964.024403046387,0.0
62,0.305,0.31,0.2606,-18100.324827096065,0.0
63,0.31,0.315,0.2606,-18237.503764580004,0.0
64,0.315,0.32,0.2606,-18375.53347447828,0.0
65,0.32,0.325,0.2606,-18514.385992641342,0.0
66,0.325,0.33,0.2606,-18654.033136676706,0.0
67,0.33,0.335,0.2606,-18794.44651092367,0.0
68,0.335,0.34,0.2606,-18935.597511516044,0.0
69,0.34,0.345,0.2606,-19077.457331531663,0.0
70,0.345,0.35,0.2606,-19219.9969662314,0.0
71,0.35,0.355,0.2606,-19363.187218382318,0.0
72,0.355,0.36,0.2606,-19506.99870366763,0.0
73,0.36,0.365,0.2606,-19651.40185618419,0.0
74,0.365,0.37,0.2606,-19796.366934024823,0.0
75,0.37,0.375,0.2606,-19941.864024943334,0.0
76,0.375,0.38,0.2606,-20087.8630521054,0.0
77,0.38,0.385,0.2606,-20234.333779921697,0.0
78,0.385,0.39,0.2606,-20381.245819964588,0.0
79,0.39,0.395,0.2606,-20528.568636963802,0.0
80,0.395,0.4,0.2606,-20676.271554885683,0.0
81,0.4,0.405,0.2606,-20824.3237630898,0.0
82,0.405,0.41,0.2606,-20972.69432256348,0.0
83,0.41,0.415,0.2606,-21121.3521722375,0.0
84,0.415,0.42,0.2606,-21270.266135372123,0.0
85,0.42,0.425,0.2606,-21419.404926022307,0.0
86,0.425,0.43,0.2606,-21568.737155575196,0.0
87,0.43,0.435,0.2606,-21718.231339360085,0.0
88,0.435,0.44,0.2606,-21867.855903328076,0.0
89,0.44,0.445,0.2606,-22017.579190801167,0.0
90,0.445,0.45,0.2606,-22167.369469290184,0.0
91,0.45,0.455,0.2606,-22317.194937378743,0.0
92,0.455,0.46,0.2606,-22467.023731669524,0.0
93,0.46,0.465,0.2606,-22616.823933795582,0.0
94,0.465,0.47,0.2606,-22766.563577491594,0.0
95,0.47,0.475,0.2606,-22916.21065572468,0.0
96,0.475,0.48,0.2606,-23065.733127880267,0.0
97,0.48,0.485,0.2606,-23215.09892700732,0.0
98,0.485,0.49,0.2606,-23364.275967113317,0.0
99,0.49,0.495,0.2606,-23513.232150511598,0.0
100,0.495,0.5,0.2606,-23661.93537521732,0.0
101,0.5,0.505,0.2606,-23810.353542391666,0.0
102,0.505,0.51,0.2606,-23958.45456382966,0.0
103,0.51,0.515,0.2606,-24106.206369490534,0.0
104,0.515,0.52,0.2606,-24253.576915069425,0.0
105,0.52,0.525,0.2606,-24400.534189604885,0.0
106,0.525,0.53,0.2606,-24547.04622312388,0.0
107,0.53,0.535,0.2606,-24693.081094318444,0.0
108,0.535,0.54,0.2606,-24838.606938254954,0.0
109,0.54,0.545,0.2606,-24983.591954104384,0.0
110,0.545,0.55,0.2606,-25128.00441292582,0.0
111,0.55,0.555,0.2606,-25271.812665366015,0.0
112,0.555,0.56,0.2606,-25414.985149781656,0.0
113,0.56,0.565,0.2606,-25557.490398874073,0.0
114,0.565,0.57,0.2606,-25699.29705196193,0.0
115,0.57,0.575,0.2606,-25840.37384627732,0.0
116,0.575,0.58,0.2606,-25980.68968658756,0.0
117,0.58,0.585,0.2606,-26120.213422577704,0.0
118,0.585,0.59,0.2606,-26258.91471688114,0.0
119,0.59,0.595,0.2606,-26396.76084278457,0.0
120,0.595,0.6,0.2606,-26533.72867259601,0.0
121,0.6,0.605,0.2606,-26669.75997367361,0.0
122,0.605,0.61,0.2606,-26804.92828312023,0.0
123,0.61,0.615,0.2606,-26938.81616010501,0.0
124,0.615,0.62,0.2606,-27072.839348946924,0.0
125,0.62,0.625,0.2606,-27201.572921444043,0.0
126,0.625,0.63,0.2606,-27345.122591355386,0.0
127,0.63,0.635,0.2606,-27428.313360912158,0.0
128,0.635,0.64,0.2606,-27731.56366692217,0.0
129,0.64,0.645,0.2728875000000003,-29163.939259621464,0.0
130,0.645,0.65,0.29746249999999974,-31727.90100501127,0.0
131,0.65,0.655,0.3220375000000003,-34514.455001727605,0.0
132,0.655,0.66,0.34661249999999977,-37241.105736190875,0.0
133,0.66,0.665,0.37118750000000034,-39983.03266738274,0.0
134,0.665,0.67,0.39576249999999985,-42719.74725978604,0.0
135,0.67,0.675,0.4203375000000004,-45456.50878465089,0.0
136,0.675,0.68,0.4449124999999999,-48191.74176467166,0.0
137,0.68,0.685,0.46948750000000045,-50925.784978471085,0.0
138,0.685,0.69,0.49406249999999996,-53658.37189489348,0.0
139,0.69,0.695,0.5186374999999994,-56389.89074026919,0.0
140,0.695,0.7,0.5432125,-59118.81796330608,0.0
141,0.7,0.705,0.5677874999999994,-61850.69350234905,0.0
142,0.705,0.71,0.5923625,-64564.76526293009,0.0
143,0.71,0.715,0.6169374999999995,-67338.42146119053,0.0
144,0.715,0.72,0.6415125,-69882.80666961403,0.0
145,0.72,0.725,0.6538,-71263.11131567987,0.0
146,0.725,0.73,0.6538,-71481.12900402112,0.0
147,0.73,0.735,0.6538,-71463.83183368671,0.0
148,0.735,0.74,0.6538,-71527.88607931338,0.0
149,0.74,0.745,0.6538,-71493.1771064862,0.0
150,0.745,0.75,0.6538,-71763.47808561004,0.0
151,0.75,0.755,0.6579777500000001,-71590.13002849038,0.0
152,0.755,0.76,0.6334027499999996,-69524.693705333,0.0
153,0.76,0.765,0.6088277500000001,-66698.3786472047,0.0
154,0.765,0.77,0.5842527499999995,-64074.10770130111,0.0
155,0.77,0.775,0.5596777500000001,-61393.857813074486,0.0
156,0.775,0.78,0.5351027499999995,-58726.75632126254,0.0
157,0.78,0.785,0.5105277500000001,-56054.2695067854,0.0
158,0.785,0.79,0.48595274999999943,-53381.350583754174,0.0
159,0.79,0.795,0.4613777499999999,-50706.657105936174,0.0
160,0.795,0.8,0.43680274999999935,-48030.53045736339,0.0
161,0.8,0.805,0.4122277499999999,-45352.8564007467,0.0
162,0.805,0.81,0.3876527499999993,-42673.637538229574,0.0
163,0.81,0.815,0.36307774999999987,-39992.8343819498,0.0
164,0.815,0.82,0.3385027500000004,-37310.4159408203,0.0
165,0.82,0.825,0.31392774999999984,-34626.29715474383,0.0
166,0.825,0.83,0.2893527500000003,-31940.509084245394,0.0
167,0.83,0.835,0.26477774999999976,-29252.534440360017,0.0
168,0.835,0.84,0.2402027500000003,-26563.72129381993,0.0
169,0.84,0.845,0.21562774999999973,-23868.172461524002,0.0
170,0.845,0.85,0.19105275000000027,-21186.576410670983,0.0
