time,Energy Leak from beginning
300,-1.2906184565508738e-08
600,-2.3737811716273427e-09
900,1.2101281754439697e-08
1200,7.579728844575584e-09
1500,1.554872142150998e-08
1800,-1.3096723705530167e-09
2100,-1.3314547686604783e-08
2400,-1.609396349522285e-08
2700,2.8730937629006803e-09
3000,2.2087988327257335e-08
3300,3.500099410302937e-08
3600,4.111143425689079e-08
3900,2.633396434248425e-08
4200,1.9831986719509587e-08
4500,3.1567651603836566e-08
4800,3.881450538756326e-08
5100,5.1672031986527145e-08
5400,6.16682882537134e-08
5700,7.089056452969089e-08
6000,1.0467010724823922e-07
6300,1.5094292393769138e-07
6600,1.5707882994320244e-07
6900,1.693151716608554e-07
7200,1.8054379324894398e-07
7500,1.9829349184874445e-07
7800,1.9769504433497787e-07
8100,2.0409152057254687e-07
8400,2.0348124962765723e-07
8700,2.208980731666088e-07
9000,2.2754193196306005e-07
9300,2.284477886860259e-07
9600,2.1959294826956466e-07
9900,2.5416375137865543e-07
10200,2.4523342290194705e-07
10500,2.836950443452224e-07
10800,2.966326064779423e-07
11100,3.181912688887678e-07
11400,3.446239134063944e-07
11700,3.53869836544618e-07
12000,3.6458914109971374e-07
12300,3.9380756788887084e-07
12600,4.4564876588992774e-07
12900,4.6224795369198546e-07
13200,4.663088475354016e-07
13500,4.5527303882408887e-07
13800,4.5785327529301867e-07
14100,4.80654307466466e-07
14400,5.046240403316915e-07
14700,5.144038368598558e-07
15000,5.009260348742828e-07
15300,4.927160262013786e-07
15600,4.97384462505579e-07
15900,5.150577635504305e-07
16200,5.114698069519363e-07
16500,5.245947249932215e-07
16800,5.212004907662049e-07
17100,5.155952749191783e-07
17400,4.912990334560163e-07
17700,4.993498805561103e-07
18000,4.941221050103195e-07
18300,5.188076102058403e-07
18600,5.395750122261234e-07
18900,5.649544618790969e-07
19200,6.057998689357191e-07
19500,6.21485014562495e-07
19800,6.230029612197541e-07
20100,6.075269993743859e-07
20400,6.225336619536392e-07
20700,6.578529792022891e-07
21000,6.596974344574846e-07
21300,6.546470103785396e-07
21600,6.713398761348799e-07
21900,6.746404324076138e-07
22200,6.827222023275681e-07
22500,6.844065865152515e-07
22800,7.464695954695344e-07
23100,7.342378012253903e-07
23400,7.768330760882236e-07
23700,7.721828296780586e-07
24000,7.747112249489874e-07
24300,7.752987585263327e-07
24600,7.832732080714777e-07
24900,7.968274076119997e-07
25200,7.977196219144389e-07
25500,8.490133041050285e-07
25800,8.643191904411651e-07
26100,8.69918949319981e-07
26400,8.814004104351625e-07
26700,8.942661224864423e-07
27000,8.802344382274896e-07
27300,8.743736543692648e-07
27600,8.682691259309649e-07
27900,8.449569577351213e-07
28200,8.831584636936896e-07
28500,9.022996891872026e-07
28800,9.251098163076676e-07
29100,9.592049536877312e-07
29400,9.5594168669777e-07
29700,9.639597919886e-07
30000,9.890345609164797e-07
30300,9.815294106374495e-07
30600,9.990089893108234e-07
30900,1.0037092579295859e-06
31200,1.0159956218558364e-06
31500,1.0273988664266653e-06
31800,1.0442136044730432e-06
32100,1.0324956747354008e-06
32400,1.0380372259533033e-06
32700,1.0480307537363842e-06
33000,1.0613312042551115e-06
33300,1.0608746379148215e-06
33600,1.0769954315037467e-06
33900,1.093608261726331e-06
34200,1.0870362530113198e-06
34500,1.0906023817369714e-06
34800,1.1016800272045657e-06
35100,1.1063466445193626e-06
35400,1.094153049052693e-06
35700,1.1032734619220719e-06
36000,1.113490725401789e-06
36300,1.1579104466363788e-06
36600,1.1620813893387094e-06
36900,1.1455340427346528e-06
37200,1.1475976862129755e-06
37500,1.1885749700013548e-06
37800,1.202244675369002e-06
38100,1.2306036296649836e-06
38400,1.2335813153185882e-06
38700,1.2368800526019186e-06
39000,1.2522004908532836e-06
39300,1.231851456395816e-06
39600,1.2257605703780428e-06
39900,1.235813215316739e-06
40200,1.2544651326606981e-06
40500,1.2690879884758033e-06
40800,1.268052074010484e-06
41100,1.2350865290500224e-06
41400,1.2436621545930393e-06
41700,1.279567186429631e-06
42000,1.2962836990482174e-06
42300,1.3017115634283982e-06
42600,1.3024446161580272e-06
42900,1.3066046449239366e-06
43200,1.2931859600939788e-06
43500,1.2826576494262554e-06
43800,1.3056405805400573e-06
44100,1.3343260434339754e-06
44400,1.3385515558184125e-06
44700,1.348903424513992e-06
45000,1.3592953109764494e-06
45300,1.3501548892236315e-06
45600,1.3404014680418186e-06
45900,1.3398303053691052e-06
46200,1.342318682873156e-06
46500,1.3321960068424232e-06
46800,1.3686758393305354e-06
47100,1.38141058414476e-06
47400,1.4006463970872574e-06
47700,1.3965936886961572e-06
48000,1.4242987163015641e-06
48300,1.4275292414822616e-06
48600,1.4309525795397349e-06
48900,1.430006705049891e-06
49200,1.4546576494467445e-06
49500,1.4595634638681076e-06
49800,1.505411091784481e-06
50100,1.5176856322796084e-06
50400,1.5593750504194759e-06
50700,1.5706327758380212e-06
51000,1.5793020793353207e-06
51300,1.5690375221311115e-06
51600,1.540954144729767e-06
51900,1.5500399968004785e-06
52200,1.5647065083612688e-06
52500,1.5593968782923184e-06
52800,1.5481973605346866e-06
53100,1.5595624063280411e-06
53400,1.560728378535714e-06
53700,1.6004350982257165e-06
54000,1.6145377230714075e-06
54300,1.6406675058533438e-06
54600,1.6468957255710848e-06
54900,1.6753319869167171e-06
55200,1.6749536371207796e-06
55500,1.6832482288009487e-06
55800,1.6981202861643396e-06
56100,1.6953117665252648e-06
56400,1.6839576346683316e-06
56700,1.6980693544610403e-06
57000,1.7045213098754175e-06
57300,1.7088341337512247e-06
57600,1.7321990526397713e-06
57900,1.7378179109073244e-06
58200,1.748493559716735e-06
58500,1.7665797713561915e-06
58800,1.7834981917985715e-06
59100,1.796189280867111e-06
59400,1.7982774807023816e-06
59700,1.8144974092138e-06
60000,1.8094933693646453e-06
60300,1.8433665900374763e-06
60600,1.8637047105585225e-06
60900,1.8369655663263984e-06
61200,1.825604158511851e-06
61500,1.8508208086132072e-06
61800,1.8642049326444976e-06
62100,1.8756918507278897e-06
62400,1.9002227418241091e-06
62700,1.9063363652094267e-06
63000,1.940016773005482e-06
63300,1.951823833223898e-06
63600,1.9450681065791287e-06
63900,1.953220817085821e-06
64200,1.9616136341937818e-06
64500,1.942779817909468e-06
64800,1.9544577298802324e-06
65100,1.969948243640829e-06
65400,1.971541678358335e-06
65700,2.0003653844469227e-06
66000,2.0262968973838724e-06
66300,2.0314992070780136e-06
66600,2.062954990833532e-06
66900,2.070232767437119e-06
67200,2.0858524294453673e-06
67500,2.091816895699594e-06
67800,2.1156511138542555e-06
68100,2.1214100343058817e-06
68400,2.1009445845265873e-06
68700,2.096095158776734e-06
69000,2.1027253751526587e-06
69300,2.1228488549240865e-06
69600,2.1647765606758185e-06
69900,2.200188646384049e-06
70200,2.2154681573738344e-06
70500,2.233994564448949e-06
