Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9768937735519101,-16556.192012923915,0.0
2,0.005,0.01,0.9306812946093512,-15876.614959424081,0.0
3,0.01,0.015,0.8844688202385017,-15067.368977626818,0.0
4,0.015,0.02,0.8382563422454131,-14298.592240184682,0.0
5,0.02,0.025,0.7920438607154346,-13524.718355371737,0.0
6,0.025,0.03,0.7458313757452315,-12757.979327885056,0.0
7,0.03,0.035,0.6996173330793966,-11995.085774433785,0.0
8,0.035,0.04,0.6533977544747424,-11236.88993140006,0.0
9,0.04,0.045,0.607176484669592,-10483.164045385389,0.0
10,0.045,0.05,0.560956326496055,-9733.990635335409,0.0
11,0.05,0.055,0.5147332165945151,-8989.11542316326,0.0
12,0.055,0.06,0.46850558996126274,-8248.85158832779,0.0
13,0.06,0.065,0.4222708748309665,-7511.126571787172,0.0
14,0.065,0.07,0.3760247537223765,-6782.075180846847,0.0
15,0.07,0.075,0.32975999341503065,-6035.779885001963,0.0
16,0.075,0.08,0.2835450838813177,-5365.409202927996,0.0
17,0.08,0.085,0.2605333221309869,-5079.234186874768,0.0
18,0.085,0.09,0.2605984477307692,-5181.2995356944675,0.0
19,0.09,0.095,0.26059883180335225,-5362.719111959047,0.0
20,0.095,0.1,0.2605992918887354,-5526.947766175897,0.0
21,0.1,0.105,0.2605997269661433,-5700.251423203929,0.0
22,0.105,0.11,0.2606001371550563,-5875.467639918876,0.0
23,0.11,0.115,0.26060052278519297,-6054.39071268104,0.0
24,0.115,0.12,0.26060088438247225,-6236.414071193516,0.0
25,0.12,0.125,0.26060122259923985,-6421.573823111075,0.0
26,0.125,0.13,0.260601538170763,-6609.733520205747,0.0
27,0.13,0.135,0.26060183188673924,-6800.802878894773,0.0
28,0.135,0.14,0.2606021045717778,-6994.679450137561,0.0
29,0.14,0.145,0.26060235707146373,-7191.264520353186,0.0
30,0.145,0.15,0.2606025902420491,-7390.459116716639,0.0
31,0.15,0.155,0.2606028049425885,-7592.165337058478,0.0
32,0.155,0.16,0.2606030020287857,-7796.2862457564515,0.0
33,0.16,0.165,0.26060318234808755,-8002.726145766957,0.0
34,0.165,0.17,0.2606033467357018,-8211.39074102418,0.0
35,0.17,0.175,0.2606034960113458,-8422.187318678163,0.0
36,0.175,0.18,0.26060363097655953,-8635.024915861362,0.0
37,0.18,0.185,0.26060375241249156,-8849.81447989323,0.0
38,0.185,0.19,0.2606038610780717,-9066.469019047478,0.0
39,0.19,0.195,0.2606039577085167,-9284.9037442377,0.0
40,0.195,0.2,0.2606040430141204,-9505.036201176797,0.0
41,0.2,0.205,0.26060411767929786,-9726.786392850234,0.0
42,0.205,0.21,0.2606041823618466,-9950.076892132658,0.0
43,0.21,0.215,0.2606042376924093,-10174.83294444268,0.0
44,0.215,0.22,0.26060428427411525,-10400.982560382603,0.0
45,0.22,0.225,0.26060432268237693,-10628.456598347122,0.0
46,0.225,0.23,0.2606043534648363,-10857.188837139674,0.0
47,0.23,0.235,0.26060437714143986,-11087.116038666032,0.0
48,0.235,0.24,0.26060439420463155,-11318.178000822634,0.0
49,0.24,0.245,0.260604405119654,-11550.317600720206,0.0
50,0.245,0.25,0.2606044103249445,-11783.480828423111,0.0
51,0.25,0.255,0.26060441023261754,-12017.61681140786,0.0
52,0.255,0.26,0.26060440522902517,-12252.677829961885,0.0
53,0.26,0.265,0.26060439567538435,-12488.619323771509,0.0
54,0.265,0.27,0.2606043819084677,-12725.399889954931,0.0
55,0.27,0.275,0.2606043642413423,-12962.981272805602,0.0
56,0.275,0.28,0.26060434296415896,-13201.328345524962,0.0
57,0.28,0.285,0.2606043183449783,-13440.409084219453,0.0
58,0.285,0.29,0.2606042906306309,-13680.194534435745,0.0
59,0.29,0.295,0.26060426004760484,-13920.658770504893,0.0
60,0.295,0.3,0.2606042268029542,-14161.778847962774,0.0
61,0.3,0.305,0.26060419108523075,-14403.534749293058,0.0
62,0.305,0.31,0.26060415306542073,-14645.909323235483,0.0
63,0.31,0.315,0.26060411289789653,-14888.888217880678,0.0
64,0.315,0.32,0.26060407072137354,-15132.45980776176,0.0
65,0.32,0.325,0.26060402665986754,-15376.615115127057,0.0
66,0.325,0.33,0.26060398082365344,-15621.347725563079,0.0
67,0.33,0.335,0.26060393331021925,-15866.653698118032,0.0
68,0.335,0.34,0.2606038842052179,-16112.531470053465,0.0
69,0.34,0.345,0.26060383358340605,-16358.981756333545,0.0
70,0.345,0.35,0.2606037815095799,-16606.007443941067,0.0
71,0.35,0.355,0.2606037280394962,-16853.613481092027,0.0
72,0.355,0.36,0.260603673220782,-17101.80676140887,0.0
73,0.36,0.365,0.26060361709383073,-17350.596003091312,0.0
74,0.365,0.37,0.2606035596926848,-17599.991623117297,0.0
75,0.37,0.375,0.2606035010459021,-17850.00560649602,0.0
76,0.375,0.38,0.26060344117740364,-18100.65137059174,0.0
77,0.38,0.385,0.26060338010730816,-18351.943624532105,0.0
78,0.385,0.39,0.2606033178527453,-18603.898223715143,0.0
79,0.39,0.395,0.26060325442865107,-18856.53201944109,0.0
80,0.395,0.4,0.26060318984854425,-19109.862703697465,0.0
81,0.4,0.405,0.26060312412528,-19363.90864914286,0.0
82,0.405,0.41,0.26060305727178684,-19618.688744352352,0.0
83,0.41,0.415,0.2606029893017755,-19874.222224409656,0.0
84,0.415,0.42,0.26060292023042986,-20130.5284969554,0.0
85,0.42,0.425,0.2606028500750718,-20387.626963838982,0.0
86,0.425,0.43,0.2606027788558015,-20645.536838542946,0.0
87,0.43,0.435,0.2606027065961106,-20904.276959600058,0.0
88,0.435,0.44,0.26060263332347067,-21163.865600258596,0.0
89,0.44,0.445,0.2606025590698918,-21424.320274697297,0.0
90,0.445,0.45,0.2606024838724509,-21685.657541139848,0.0
91,0.45,0.455,0.2606024077737916,-21947.892802271337,0.0
92,0.455,0.46,0.2606023308225902,-22211.0401034101,0.0
93,0.46,0.465,0.26060225307399104,-22475.111928940034,0.0
94,0.465,0.47,0.26060217459000334,-22740.118997568745,0.0
95,0.47,0.475,0.260602095439868,-23006.070057031895,0.0
96,0.475,0.48,0.26060201570038427,-23272.97167890849,0.0
97,0.48,0.485,0.2606019354562015,-23540.828054289217,0.0
98,0.485,0.49,0.2606018548000737,-23809.64079106608,0.0
99,0.49,0.495,0.2606017738330749,-24079.408713679408,0.0
100,0.495,0.5,0.2606016926647796,-24350.127666203705,0.0
101,0.5,0.505,0.2606016114134047,-24621.79031968762,0.0
102,0.505,0.51,0.2606015302059163,-24894.38598471588,0.0
103,0.51,0.515,0.2606014491781036,-25167.900430186313,0.0
104,0.515,0.52,0.26060136847461995,-25442.315709322665,0.0
105,0.52,0.525,0.2606012882489981,-25717.60999397256,0.0
106,0.525,0.53,0.2606012086636403,-25993.757418247413,0.0
107,0.53,0.535,0.260601129889791,-26270.727932569465,0.0
108,0.535,0.54,0.2606010521075022,-26548.48716919562,0.0
109,0.54,0.545,0.26060097550559175,-26826.996320258186,0.0
110,0.545,0.55,0.2606009002816184,-27106.21202939882,0.0
111,0.55,0.555,0.26060082664187695,-27386.08629784602,0.0
112,0.555,0.56,0.2606007548014365,-27666.56640649432,0.0
113,0.56,0.565,0.26060068498424716,-27947.59485268803,0.0
114,0.565,0.57,0.26060061742333374,-28229.109310831584,0.0
115,0.57,0.575,0.26060055236112595,-28511.042586815962,0.0
116,0.575,0.58,0.2606004900499636,-28793.322681893616,0.0
117,0.58,0.585,0.2606004307528433,-29075.872537817864,0.0
118,0.585,0.59,0.2606003747444939,-29358.61106408594,0.0
119,0.59,0.595,0.2606003223128982,-29641.44947534889,0.0
120,0.595,0.6,0.2606002737614348,-29924.305228503625,0.0
121,0.6,0.605,0.2606002294118914,-30207.05037531285,0.0
122,0.605,0.61,0.26060018960875014,-30489.70477899613,0.0
123,0.61,0.615,0.2606001547253719,-30771.71558584532,0.0
124,0.615,0.62,0.260600125173163,-31054.646939304683,0.0
125,0.62,0.625,0.2606001014156188,-31332.142595373873,0.0
126,0.625,0.63,0.26060008400582263,-31627.38681870491,0.0
127,0.63,0.635,0.2606000966981225,-31853.30359495581,0.0
128,0.635,0.64,0.26062336839093464,-32338.577053034973,0.0
129,0.64,0.645,0.2729493066635627,-34143.925539707314,0.0
130,0.645,0.65,0.2975310354549038,-37270.527544144425,0.0
131,0.65,0.655,0.32209131870902147,-40656.584171856506,0.0
132,0.655,0.66,0.34665535124253255,-43973.39532011366,0.0
133,0.66,0.665,0.3712220518693205,-47309.076835647924,0.0
134,0.665,0.67,0.39579068344342117,-50639.125497030545,0.0
135,0.67,0.675,0.42036072882604686,-53969.4890565284,0.0
136,0.675,0.68,0.44493182175636364,-57298.12579972091,0.0
137,0.68,0.685,0.46950370001022146,-60625.297601252445,0.0
138,0.685,0.69,0.4940761737168,-63950.58279893937,0.0
139,0.69,0.695,0.518649103833721,-67274.36384184504,0.0
140,0.695,0.7,0.5432223874113334,-70594.75191986398,0.0
141,0.7,0.705,0.567795947409813,-73918.32508360433,0.0
142,0.705,0.71,0.5923697255901644,-77220.19918832346,0.0
143,0.71,0.715,0.6169436774380207,-80592.96986705695,0.0
144,0.715,0.72,0.6415166095141812,-83690.6211285202,0.0
145,0.72,0.725,0.6538012699064183,-85393.51482180382,0.0
146,0.725,0.73,0.6538000139672334,-85703.76964978725,0.0
147,0.73,0.735,0.6538000163666589,-85731.70492429825,0.0
148,0.735,0.74,0.6538000186471777,-85856.69495246047,0.0
149,0.74,0.745,0.6538000208853662,-85862.50807237174,0.0
150,0.745,0.75,0.6538003879769494,-86234.35773716617,0.0
151,0.75,0.755,0.657975904503273,-86071.72925584675,0.0
152,0.755,0.76,0.6333980797493897,-83633.79453126994,0.0
153,0.76,0.765,0.6088226076194099,-80280.93480861925,0.0
154,0.765,0.77,0.5842470872839775,-77170.36042113634,0.0
155,0.77,0.775,0.5596715068810292,-73991.81867352343,0.0
156,0.775,0.78,0.5350958510562377,-70828.38196680667,0.0
157,0.78,0.785,0.5105200999434697,-67657.7226854082,0.0
158,0.785,0.79,0.48594422761956746,-64485.743848221464,0.0
159,0.79,0.795,0.4613681999542754,-61310.76964593331,0.0
160,0.795,0.8,0.43679197159482647,-58133.136157535126,0.0
161,0.8,0.805,0.4122154817077392,-54952.61492739759,0.0
162,0.805,0.81,0.38763864793575015,-51769.095262185714,0.0
163,0.81,0.815,0.3630613578095925,-48582.38428896933,0.0
164,0.815,0.82,0.33848345660262885,-45392.255135651576,0.0
