time,Energy Leak from beginning
900,-1.5723846250521092
1800,-3.174652359592983
2700,-4.795362413019575
3600,-6.427523698935602
4500,-8.06641825665156
5400,-9.708559442011392
6300,-11.351214652951057
7200,-12.992176504843883
8100,-14.629640126770937
9000,-16.26212631226099
9900,-17.888425448908492
10800,-19.507553656494565
11700,-21.11871519167289
12600,-22.721272139940993
13500,-24.314717675069005
14400,-25.89865410254788
15300,-27.472774371071864
16200,-29.03684685893495
17100,-30.590701955914483
18000,-32.13422186571643
18900,-33.6673316956776
19800,-35.18999206923672
20700,-36.702193366524625
21600,-38.20394994061553
22500,-39.69529665112714
23400,-41.17628479641462
24300,-42.646979622694744
25200,-44.1074573261285
26100,-45.557803353934105
27000,-46.998110364766944
27900,-48.428477093070796
28800,-49.849006641216874
29700,-51.25980561567758
30600,-52.66098335075003
31500,-54.052650969029855
32400,-55.43492059078744
33300,-56.80790496998816
34200,-58.171717025532416
35100,-59.526469649170394
36000,-60.872274912819194
36900,-62.20924399251817
37800,-63.53748703378733
38700,-64.85711286597325
39600,-66.16822886522095
40500,-67.4709409518664
41400,-68.76535320267885
42300,-70.05156804295348
43200,-71.32968616697053
44100,-72.59980629765687
45000,-73.8620250979302
45900,-75.11643772041771
46800,-76.36313714709195
47700,-77.60221471526984
48600,-78.83375933610569
49500,-80.05785861959066
50400,-81.27459798667678
51300,-82.48406122977121
52200,-83.68633016739386
53100,-84.8814849573946
54000,-86.06960375242033
54900,-87.25076333961351
55800,-88.42503863759066
56700,-89.59250308331775
57600,-90.75322850683824
58500,-91.90728485575073
59400,-93.05474097479146
60300,-94.19566384883092
61200,-95.3301194499627
62100,-96.4581720842807
63000,-97.57988468048734
63900,-98.69531894135707
64800,-99.80453521065192
65700,-100.90759263583732
66600,-102.00454902347246
67500,-103.09546121595577
68400,-104.18038455879741
69300,-105.25937363241155
70200,-106.33248173305492
71100,-107.3997611773002
72000,-108.46126318502957
72900,-109.51703807273316
73800,-110.56713513223167
74700,-111.6116027293292
75600,-112.65048832064804
76500,-113.68383857400931
77400,-114.71169900087534
78300,-115.73411464095716
79200,-116.75112949661434
80100,-117.76278687327522
81000,-118.76912911772615
81900,-119.77019817710334
82800,-120.7660351599452
83700,-121.75668035077888
84600,-122.74217341708663
85500,-123.72255336507897
86400,-124.69785848608353
87300,-125.66812670406125
88200,-126.63339485073539
89100,-127.59369965743372
90000,-128.54907715823992
90900,-129.49956258972725
91800,-130.44519095944906
92700,-131.38599651178356
93600,-132.32201313904898
94500,-133.25327408672
95400,-134.17981225322274
96300,-135.10165982954913
97200,-136.01884874779262
98100,-136.931410639133
99000,-137.83937624890768
99900,-138.74277653190893
100800,-139.64164133673057
101700,-140.53600059204564
102600,-141.42588345384956
103500,-142.31131914665184
104400,-143.19233607320075
105300,-144.0689625523528
106200,-144.94122651721136
107100,-145.80915547214772
108000,-146.67277651306813
108900,-147.53211680451477
109800,-148.38720261338403
110700,-149.23806014325874
111600,-150.08471536878187
112500,-150.9271939706059
113400,-151.76552129672837
114300,-152.5997222657361
115200,-153.42982171099447
116100,-154.2558441260926
117000,-155.07781372548652
117900,-155.89575457518822
118800,-156.70969021634028
119700,-157.51964421234243
120600,-158.32563964852397
121500,-159.12769954622945
122400,-159.92584671961686
123300,-160.72010344491446
124200,-161.51049225989755
125100,-162.29703513540971
126000,-163.0797539292389
126900,-163.85867028984921
127800,-164.63380572895494
128700,-165.40518122703634
129600,-166.17281798607746
130500,-166.9367368982612
131400,-167.6969585146844
132300,-168.45350336532374
133200,-169.20639164236218
134100,-169.95564343608658
135000,-170.7012786689329
135900,-171.44331723740197
136800,-172.18177859312436
137700,-172.91668218751784
138600,-173.64804723739235
139500,-174.37589292813482
140400,-175.10023819693652
141300,-175.8211018994307
142200,-176.53850229744512
143100,-177.25245821398585
144000,-177.96298791037498
144900,-178.6701095547969
145800,-179.37384127784662
146700,-180.07420083344823
147600,-180.7712060377171
148500,-181.4648745411896
149400,-182.15522378249716
150300,-182.84227120715423
151200,-183.52603410000575
152100,-184.20652943353616
153000,-184.88377429324737
153900,-185.55778553661457
154800,-186.22857993214802
155700,-186.8961740252098
156600,-187.5605843306812
