Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,266.51632594450194,0.002836015940013366,-11732320.795463571,3.782359304114388e-11,2829.8760720972155
2,0.005,266.5162446584801,0.002835996850776123,-11383850.59961968,7.564351614236141e-11,2785.951516234909
3,0.01,266.51597980443955,0.0028359346531670786,-10780470.6411452,1.5126921328936436e-10,2744.1048325196225
4,0.015,266.515501225706,0.0028358222681501974,-10245765.344528945,2.2685582729774504e-10,2704.336020013983
5,0.02,266.51477186511073,0.0028356509995676677,-9693031.34498104,3.0237727263679266e-10,2666.6450788836537
6,0.025,266.5137456883094,0.0028354100483679945,-9145503.975524226,3.778010469254209e-10,2631.032009292028
7,0.03,266.51236481595,0.002835085842145166,-8596953.265651561,4.530905886595387e-10,2597.4968114000617
8,0.035,266.5105554655282,0.002834661086968364,-8048880.317255387,-8.360905806840472e-09,2566.039727301777
9,0.04,266.50822281371086,0.0028341135687597408,-7500813.195029866,-4.1337653808472554e-08,2536.6616455168055
10,0.045,266.50524458578525,0.002833414660735324,-6953072.116508603,-6.334186218499355e-08,2509.3628959436683
11,0.05,266.5014561848354,0.0028325258532281563,-6405618.761689411,-9.446953324989249e-08,2484.1433893380827
12,0.055,266.4966334988476,0.0028313947550424037,-5858084.655126622,-1.3946490042016365e-07,2461.0036968300756
13,0.06,266.4904644784575,0.0028299484891974717,-5311190.9834231585,-2.061676077716349e-07,2439.9446960669347
14,0.065,266.4825032882155,0.002828083058431254,-4761724.00367016,-3.0794063782578515e-07,2420.967773830598
15,0.07,266.47209426565104,0.002825645748442893,-4220620.0823720265,-4.683079196975015e-07,2404.075185099256
16,0.075,266.4582421633806,0.0028224051930207986,-3645305.8235882395,-7.237167601190967e-07,2389.2706189489563
17,0.08,266.43942547282086,0.0028180086465096365,-3203706.479026438,-5.291332919556895e-07,2376.5451120279504
18,0.085,266.4170548540661,0.0028127898198796104,-3117250.361595271,-5.2268986921232125e-08,2364.8415713119284
19,0.09,266.394169137129,0.002807459893305342,-3156795.159972166,-5.769264088064431e-08,2353.126136391636
20,0.095,266.3707334040122,0.002802011362812864,-3160349.0195455085,-5.680260675210668e-08,2341.4107116710466
21,0.1,266.34675254542503,0.0027964460243483135,-3173894.632598362,-5.5939254568746774e-08,2329.695219923861
22,0.105,266.3222312974797,0.002790765643133192,-3185091.177028563,-5.506090125112432e-08,2317.9796620988727
23,0.11,266.2971745070934,0.0027849720148332034,-3197242.5013958598,-5.416819114167943e-08,2306.2640388490227
