Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.97689375,-58078.45732809403,0.0
2,0.005,0.01,0.93068125,-55330.598583447936,0.0
3,0.01,0.015,0.88446875,-52584.20416564242,0.0
4,0.015,0.02,0.8382562499999999,-49839.27997375289,0.0
5,0.02,0.025,0.79204375,-47095.832626798445,0.0
6,0.025,0.03,0.74583125,-44353.86955925116,0.0
7,0.03,0.035,0.69961875,-41613.399101961586,0.0
8,0.035,0.04,0.65340625,-38874.42829077253,0.0
9,0.04,0.045,0.60719375,-36136.956033346236,0.0
10,0.045,0.05,0.56098125,-33400.97696193152,0.0
11,0.05,0.055,0.51476875,-30666.48249019141,0.0
12,0.055,0.06,0.46855625,-27933.45003260656,0.0
13,0.06,0.065,0.42234375,-25201.829624461592,0.0
14,0.065,0.07,0.37613125000000003,-22471.516567573515,0.0
15,0.07,0.075,0.3299187499999999,-19742.2930224705,0.0
16,0.075,0.08,0.28370625000000005,-17013.696932579223,0.0
17,0.08,0.085,0.2606,-15673.8860246236,0.0
18,0.085,0.09,0.2606,-15727.95660576037,0.0
19,0.09,0.095,0.2606,-15783.347751468635,0.0
20,0.095,0.1,0.2606,-15840.048537456407,0.0
21,0.1,0.105,0.2606,-15898.047773852073,0.0
22,0.105,0.11,0.2606,-15957.334006835597,0.0
23,0.11,0.115,0.2606,-16017.895520316737,0.0
24,0.115,0.12,0.2606,-16079.720337661978,0.0
25,0.12,0.125,0.2606,-16142.796223469546,0.0
26,0.125,0.13,0.2606,-16207.11068539246,0.0
27,0.13,0.135,0.2606,-16272.650976011155,0.0
28,0.135,0.14,0.2606,-16339.404094755302,0.0
29,0.14,0.145,0.2606,-16407.356789875274,0.0
30,0.145,0.15,0.2606,-16476.49556046404,0.0
31,0.15,0.155,0.2606,-16546.80665852898,0.0
32,0.155,0.16,0.2606,-16618.27609111499,0.0
33,0.16,0.165,0.2606,-16690.889622477796,0.0
34,0.165,0.17,0.2606,-16764.632776309823,0.0
35,0.17,0.175,0.2606,-16839.490838016784,0.0
36,0.175,0.18,0.2606,-16915.448857047173,0.0
37,0.18,0.185,0.2606,-16992.491649272048,0.0
38,0.185,0.19,0.2606,-17070.603799419885,0.0
39,0.19,0.195,0.2606,-17149.769663562107,0.0
40,0.195,0.2,0.2606,-17229.973371652366,0.0
41,0.2,0.205,0.2606,-17311.198830118592,0.0
42,0.205,0.21,0.2606,-17393.429724508787,0.0
43,0.21,0.215,0.2606,-17476.649522188975,0.0
44,0.215,0.22,0.2606,-17560.84147509651,0.0
45,0.22,0.225,0.2606,-17645.988622546127,0.0
46,0.225,0.23,0.2606,-17732.073794089712,0.0
47,0.23,0.235,0.2606,-17819.079612429618,0.0
48,0.235,0.24,0.2606,-17906.98849638703,0.0
49,0.24,0.245,0.2606,-17995.782663922262,0.0
50,0.245,0.25,0.2606,-18085.444135210953,0.0
51,0.25,0.255,0.2606,-18175.95473577324,0.0
52,0.255,0.26,0.2606,-18267.296099656476,0.0
53,0.26,0.265,0.2606,-18359.44967267209,0.0
54,0.265,0.27,0.2606,-18452.396715686107,0.0
55,0.27,0.275,0.2606,-18546.11830796283,0.0
56,0.275,0.28,0.2606,-18640.59535056209,0.0
57,0.28,0.285,0.2606,-18735.80856978939,0.0
58,0.285,0.29,0.2606,-18831.738520699993,0.0
59,0.29,0.295,0.2606,-18928.36559065269,0.0
60,0.295,0.3,0.2606,-19025.670002920415,0.0
61,0.3,0.305,0.2606,-19123.631820349194,0.0
62,0.305,0.31,0.2606,-19222.230949070403,0.0
63,0.31,0.315,0.2606,-19321.44714226441,0.0
64,0.315,0.32,0.2606,-19421.260003974665,0.0
65,0.32,0.325,0.2606,-19521.648992972554,0.0
66,0.325,0.33,0.2606,-19622.593426672505,0.0
67,0.33,0.335,0.2606,-19724.072485095956,0.0
68,0.335,0.34,0.2606,-19826.065214884995,0.0
69,0.34,0.345,0.2606,-19928.55053336454,0.0
70,0.345,0.35,0.2606,-20031.507232652973,0.0
71,0.35,0.355,0.2606,-20134.913983816492,0.0
72,0.355,0.36,0.2606,-20238.74934107552,0.0
73,0.36,0.365,0.2606,-20342.991746053234,0.0
74,0.365,0.37,0.2606,-20447.619532070363,0.0
75,0.37,0.375,0.2606,-20552.610928484453,0.0
