Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.005,0.9768938126935296,-48540.40057047051,0.0
2,0.005,0.01,0.9306813728815874,-46244.13572854825,0.0
3,0.01,0.015,0.8844689506601306,-43949.893605676836,0.0
4,0.015,0.02,0.8382565247632269,-41657.68130983919,0.0
5,0.02,0.025,0.7920440952463406,-39367.50800978767,0.0
6,0.025,0.03,0.7458316621695826,-37079.38400827,0.0
7,0.03,0.035,0.6996146111611127,-34793.09118613896,0.0
8,0.035,0.04,0.653380648432033,-32508.02684382591,0.0
9,0.04,0.045,0.6071404846483539,-30224.721430967187,0.0
10,0.045,0.05,0.5609021435381677,-27943.565608565794,0.0
11,0.05,0.055,0.5146530770152963,-25663.91956373511,0.0
12,0.055,0.06,0.46838754671860255,-23385.46174010921,0.0
13,0.06,0.065,0.4220960429285388,-21107.641062764716,0.0
14,0.065,0.07,0.37576240243490067,-18829.491496847342,0.0
15,0.07,0.075,0.3293598577502839,-16549.345627917635,0.0
16,0.075,0.08,0.2831261889496739,-14278.497612986832,0.0
17,0.08,0.085,0.2603397346553128,-13193.470519756165,0.0
18,0.085,0.09,0.260563751495215,-13279.239826370705,0.0
19,0.09,0.095,0.2605638638908758,-13355.390789203717,0.0
20,0.095,0.1,0.2605651961815478,-13433.410572641289,0.0
21,0.1,0.105,0.2605665077946799,-13513.220707427326,0.0
22,0.105,0.11,0.26056780233765264,-13594.806295116565,0.0
23,0.11,0.115,0.26056907910168137,-13678.15186003546,0.0
24,0.115,0.12,0.2605703375982047,-13763.241585522326,0.0
25,0.12,0.125,0.2605715774791665,-13850.05931158903,0.0
26,0.125,0.13,0.2605727984962345,-13938.58853461613,0.0
27,0.13,0.135,0.2605740004746909,-14028.812407845393,0.0
28,0.135,0.14,0.26057518329605306,-14120.7137423718,0.0
29,0.14,0.145,0.2605763468860873,-14214.2750084684,0.0
30,0.145,0.15,0.2605774912062753,-14309.478337149887,0.0
31,0.15,0.155,0.2605786162475605,-14406.3055219148,0.0
32,0.155,0.16,0.2605797220256433,-14504.738020632785,0.0
33,0.16,0.165,0.26058080857736493,-14604.756957553494,0.0
34,0.165,0.17,0.26058187595786364,-14706.343125423196,0.0
35,0.17,0.175,0.26058292423831214,-14809.476987700647,0.0
36,0.175,0.18,0.26058395350405533,-14914.13868086408,0.0
37,0.18,0.185,0.2605849638530917,-15020.308016805639,0.0
38,0.185,0.19,0.2605859553947851,-15127.964485312614,0.0
39,0.19,0.195,0.260586928248776,-15237.087256631745,0.0
40,0.195,0.2,0.26058788254404114,-15347.655184115405,0.0
41,0.2,0.205,0.26058881841807985,-15459.646806951001,0.0
42,0.205,0.21,0.26058973601619073,-15573.040352971666,0.0
43,0.21,0.215,0.26059063549083467,-15687.813741547958,0.0
44,0.215,0.22,0.2605915170010701,-15803.94458656386,0.0
45,0.22,0.225,0.2605923807120266,-15921.410199472746,0.0
46,0.225,0.23,0.2605932267944453,-16040.187592437847,0.0
