Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,266.8338650342916,0.0029114822233153263,-11157720.265051113,4.315578025876244e-11,2829.8760668156415
2,0.005,266.8337744736617,0.002911460443540911,-10826322.080426948,8.630729180939937e-11,2785.9515110819725
3,0.01,266.83347940012146,0.0029113894795654736,-10252533.142375784,1.7259387340566752e-10,2744.10482762394
4,0.015,266.83294621597486,0.0029112612549445625,-9744106.774672676,2.588350350627373e-10,2704.3360155469927
5,0.02,266.8321336355728,0.0029110658486058935,-9218581.771099184,3.4500045254579106e-10,2666.645075016688
6,0.025,266.8309903716323,0.0029107909408501217,-8698056.83105592,4.310523334757957e-10,2631.0320061962566
7,0.03,266.82945194011285,0.0029104210487715756,-8176607.280047373,5.16947844141861e-10,2597.496809246423
8,0.035,266.82743614020103,0.002909936445364306,-7655667.676899828,-9.53780642076555e-09,2566.0397161871656
9,0.04,266.8248373554283,0.002909311798903247,-7134790.670201263,-4.7156257240462795e-08,2536.6615780802813
10,0.045,266.8215194607144,0.002908514483204665,-6614271.98341183,-7.224886964499488e-08,2509.3627098765746
11,0.05,266.8172991933629,0.002907500606742984,-6094077.68963943,-1.0773502901533292e-07,2484.143024430194
12,0.055,266.8119270893545,0.0029062104768878255,-5573862.389123712,-1.590111784323217e-07,2461.003066820655
13,0.06,266.8050559107235,0.002904561095644948,-5054316.88081036,-2.3498493924136995e-07,2439.943674389354
14,0.065,266.79618976974285,0.0029024340912775044,-4532379.813182704,-3.5081740482041776e-07,2420.9661695980817
15,0.07,266.7845998688087,0.0028996557818823875,-4018498.1955203395,-5.33142080001776e-07,2404.0727013381365
16,0.075,266.7691810067897,0.002895963339955304,-3472049.296096448,-8.233592366752889e-07,2389.2667845725687
17,0.08,266.7482441085248,0.002890956289338077,-3052778.226363829,-6.018031402746293e-07,2376.539858001076
18,0.085,266.7233561146855,0.002885014550346893,-2971858.8942794944,-5.933324285486499e-08,2364.8356585683605
19,0.09,266.6978924985139,0.0028789468526400496,-3011247.920250642,-6.51443087630675e-08,2353.1200995157283
20,0.095,266.67181641846446,0.0028727452087882496,-3016437.9643037925,-6.410272801767972e-08,2341.4045457231464
21,0.1,266.6451332291144,0.0028664117219693156,-3031175.081922205,-6.308701411329273e-08,2329.688926926347
22,0.105,266.6178481391201,0.002859948467480385,-3043719.680352992,-6.205410034331104e-08,2317.9732440633165
23,0.11,266.58996647961715,0.0028533575557819855,-3057214.204796581,-6.100473182279939e-08,2306.2574978203365
24,0.115,266.56149370238904,0.002846641131082662,-3070813.3382549095,-5.993947370237997e-08,2294.5416889188514
25,0.12,266.5324353791632,0.0028398013701847343,-3084740.2111393847,-5.885889862562397e-08,2282.8258181052274
26,0.125,266.5027972008726,0.002832840481315999,-3098931.5934073315,-5.776358510686333e-08,2271.109886144467
27,0.13,266.4725849768899,0.0028257607029497766,-3113400.914190316,-5.6654116700315104e-08,2259.393893815752
28,0.135,266.44180463423567,0.002818564302615051,-3128140.9911297346,-5.5531081256127734e-08,2247.6778419091547
29,0.14,266.41046221676214,0.0028112535756978905,-3143150.0942499107,-5.439507042582882e-08,2235.961731223129
30,0.145,266.3785638843124,0.002803830844235256,-3158424.962523623,-5.3246678907523676e-08,2224.245562562537
31,0.15,266.3461159118561,0.002796298455702569,-3173962.6754958956,-5.208650413566374e-08,2212.529336737055
32,0.155,266.31312468860045,0.0027886587817956576,-3189760.1522455527,-5.091514556968346e-08,2200.81305455986
33,0.16,266.27959671707805,0.002780914217208684,-3205814.2861347375,-4.9733204286187986e-08,2189.0967168465236
34,0.165,266.24553861221017,0.002773067178408563,-3222121.9092272613,-4.854128244104199e-08,2177.3803244140645
35,0.17,266.21095710034587,0.002765120102407227,-3238679.802373464,-4.733998276401278e-08,2165.663878080131
36,0.175,266.17585901827715,0.0027570754455326415,-3255484.6930794665,-4.612990814012046e-08,2153.9473786622766
37,0.18,266.1402513122291,0.0027489356821993726,-3272533.256670452,-4.491166103914062e-08,2142.2308269773207
38,0.185,266.1041410368258,0.002740703303680077,-3289822.1165914466,-4.368584311862533e-08,2130.514223840775
39,0.19,266.0675353540312,0.0027323808168784307,-3307347.8449555864,-4.2453054685935176e-08,2118.797570066322
40,0.195,266.0304415320648,0.002723970743104793,-3325106.963046379,-4.121389426865557e-08,2107.080866465344
41,0.2,265.99286694429276,0.0027154756168553925,-3343095.9418465616,-3.996895817414837e-08,2095.3641138464905
42,0.205,265.9548190680932,0.0027068979845960442,-3361311.202579942,-3.8718840027382795e-08,2083.6473130152776
43,0.21,265.9163054836959,0.0026982404035511007,-3379749.117263393,-3.7464130265379504e-08,2071.9304647737204
44,0.215,265.87733387299716,0.0026895054404989737,-3398406.0092753903,-3.620541582677233e-08,2060.2135699199916
45,0.22,265.8379120183477,0.0026806956705745792,-3417278.153934909,-3.49432796136103e-08,2048.4966292481013
46,0.225,265.79804780131605,0.002671813676080057,-3436361.7790949317,-3.3678300072397556e-08,2036.7796435475987
47,0.23,265.7577492014248,0.0026628620453043508,-3455653.0657471637,-3.2411050894362e-08,2025.0626136032945
48,0.235,265.71702429486146,0.002653843371352463,-3475148.148641837,-3.114210048796777e-08,2013.345540194998
49,0.24,265.67588125316234,0.002644760250985402,-3494843.1169182574,-2.98720115813922e-08,2001.62842409727
50,0.245,265.6343283418715,0.002635615283471562,-3514734.014749344,-2.8601340955272076e-08,1989.9112660791916
51,0.25,265.59237391917213,0.0026264110694502636,-3534816.841998801,-2.7330639012568433e-08,1978.1940669041446
52,0.255,265.55002643449166,0.002617150209808017,-3555087.5548908724,-2.6060449283308308e-08,1966.4768273296047
53,0.26,265.50729442708143,0.0026078353045689384,-3575542.066693089,-2.479130828716019e-08,1954.7595481069457
54,0.265,265.46418652456873,0.0025984689517991534,-3596176.248411822,-2.3523745048960322e-08,1943.042229981254
55,0.27,265.42071144148287,0.0025890537465265437,-3616985.9295005593,-2.225828078758539e-08,1931.324873691154
56,0.275,265.3768779777548,0.002579592279676263,-3637966.8985808543,-2.09954286047353e-08,1919.6074799686412
57,0.28,265.3326950171902,0.0025700871370226614,-3659114.9041761626,-1.9735693162905602e-08,1907.8900495389246
58,0.285,265.28817152591625,0.0025605408981584396,-3680425.6554581164,-1.8479570417419063e-08,1896.1725831202775
59,0.29,265.2433165508019,0.0025509561354813445,-3701894.823005972,-1.7227547294170025e-08,1884.4550814238946
60,0.295,265.19813921785203,0.0025413354131993107,-3723518.039577759,-1.5980101443152594e-08,1872.7375451537584
61,0.3,265.1526487305747,0.002531681286354323,-3745290.9008951224,-1.4737700926928132e-08,1861.0199750065108
62,0.305,265.1068543683234,0.0025219962998657974,-3767208.9664397533,-1.3500804060694604e-08,1849.302371671331
63,0.31,265.06076548461215,0.002512282987593759,-3789267.760262961,-1.2269859003009086e-08,1837.5847358298213
64,0.315,265.01439150540557,0.002502543871422524,-3811462.7718066033,-1.1045303780039455e-08,1825.8670681558965
65,0.32,264.9677419273824,0.0024927814603651027,-3833789.456737796,-9.827565875968078e-09,1814.1493693156804
66,0.325,264.920826316174,0.0024829982496889845,-3856243.2377943983,-8.617062051152437e-09,1802.4316399674074
67,0.33,264.8736543045773,0.002473196720063611,-3878819.5056437314,-7.414198301033069e-09,1790.7138807613285
68,0.335,264.8262355907425,0.0024633793367298536,-3901513.6197523614,-6.21936945717807e-09,1778.9960923396227
