time,Energy Leak from beginning
300,-0.5131675321608782
600,-1.0325009451189544
900,-1.557252224010881
1200,-2.086564989294857
1500,-2.619667172373738
1800,-3.1559169495885726
2100,-3.6947964710125234
2400,-4.235889759089332
2700,-4.778859606187325
3000,-5.323428046394838
3300,-5.865300373639911
3600,-6.408627593133133
3900,-6.953194904315751
4200,-7.498813126789173
4500,-8.045312983711483
4800,-8.592541157064261
5100,-9.14035734461504
5400,-9.688632349920226
5700,-10.237246606877306
6000,-10.786088916356675
6300,-11.33505569814588
6600,-11.884050402819412
6900,-12.432982772559626
7200,-12.981768583151279
7500,-13.530329068307765
7800,-14.078590687306132
8100,-14.626484712440288
8400,-15.173947070958093
8700,-15.720917953876778
9000,-16.267341630737064
9300,-16.813166180130793
9600,-17.3583431772131
9900,-17.90282764917356
10200,-18.446577775262995
10500,-18.989554662635783
10800,-19.53172228790936
11100,-20.07304711517645
11400,-20.61349823049386
11700,-21.15304690253106
12000,-21.69166651990963
12300,-22.229332632152364
12600,-22.766022572730435
12900,-23.301715443696594
13200,-23.836392037046608
13500,-24.37003466760507
13800,-24.90262709738454
14100,-25.434154388552997
14400,-25.96460302779451
14700,-26.493960564112058
15000,-27.022215725592105
15300,-27.549358134914655
15600,-28.07537852821406
15900,-28.600268549867906
16200,-29.124020612303866
16500,-29.64662799797952
16800,-30.168084679724416
17100,-30.688385371875484
17400,-31.20752536485088
17700,-31.7255006544583
18000,-32.24230773487943
18300,-32.75794374695397
18600,-33.272406147036236
18900,-33.78569307134603
19200,-34.29780294827651
19500,-34.80873465817422
19800,-35.318487493961584
20100,-35.82706107952981
20400,-36.33445540902903
20700,-36.84067076124484
21000,-37.34570777430781
21300,-37.84956724307267
21600,-38.3522503330023
21900,-38.853758450975874
22200,-39.354093200556235
22500,-39.85325638545328
22800,-40.351250043313485
23100,-40.84807633573655
23400,-41.3437377383525
23700,-41.83823673549341
24000,-42.3315760322439
24300,-42.82375850508106
24600,-43.31478707169299
24900,-43.804664834431605
25200,-44.29339507824625
25500,-44.780981054966105
25800,-45.26742622119491
26100,-45.75273409637157
26400,-46.23690825275844
26700,-46.71995241192053
27000,-47.201870304037584
27300,-47.682665725064
27600,-48.1623426117294
27900,-48.64090481839958
28200,-49.11835636867909
28500,-49.59470132368733
28800,-50.06994374911301
29100,-50.54408775921911
29400,-51.01713749804185
29700,-51.489097163663246
30000,-51.95997095189523
30300,-52.429763096093666
30600,-52.89847788136103
30900,-53.36611953150714
31200,-53.832692351716105
31500,-54.298200686083874
31800,-54.76264883679687
32100,-55.226041149842786
32400,-55.68838190965471
32700,-56.14967546900152
33000,-56.609926144534256
33300,-57.069138278311584
33600,-57.52731623168802
33900,-57.98446424945723
34200,-58.44058670807863
34500,-58.895687913900474
34800,-59.34977217268897
35100,-59.80284381532692
35400,-60.25490710954182
35700,-60.70596632314846
36000,-61.15602575044613
36300,-61.60508961213054
36600,-62.05316223509726
36900,-62.50024775680504
37200,-62.94635038051638
37500,-63.391474354837555
37800,-63.83562379065552
38100,-64.27880291594192
38400,-64.72101581850438
38700,-65.16226656644722
39000,-65.60255931361462
39300,-66.04189814298297
39600,-66.48028708517086
39900,-66.91773015295621
40200,-67.35423137337784
40500,-67.78979476180393
40800,-68.22442417813
41100,-68.6581236932252
41400,-69.09089718095493
41700,-69.52274848567322
42000,-69.95368156823679
42300,-70.38370019258582
42600,-70.81280821675318
42900,-71.24100943675148
43200,-71.66830764550832
43500,-72.09470657320344
43800,-72.52020993200131
44100,-72.94482139963657
44400,-73.36854471836705
44700,-73.79138348859851
45000,-74.21334136242513
45300,-74.63442190742353
45600,-75.05462874326622
45900,-75.4739653734141
46200,-75.89243534224806
46500,-76.31004222962656
46800,-76.72678937847377
47100,-77.14268031276879
47400,-77.55771843457478
47700,-77.97190718914499
48000,-78.38524991358281
48300,-78.7977499984263
48600,-79.20941069381661
48900,-79.62023540452356
49200,-80.03022730140947
49500,-80.43938974532648
49800,-80.84772591109504
50100,-81.25523901724955
50400,-81.66193226026371
50700,-82.06780879115104
51000,-82.47287175801466
51300,-82.8771242404473
51600,-83.28056934685446
51900,-83.68321017906419
52200,-84.0850497041829
52500,-84.48609101757756
52800,-84.88633712221053
53100,-85.28579094199813
53400,-85.68445543837151
53700,-86.08233356697019
54000,-86.47942823576159
54300,-86.87574234177009
54600,-87.27127873458085
54900,-87.66604027926223
55200,-88.0600297798519
55500,-88.45325003672042
55800,-88.84570387244457
