Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0,0.031437520271403896,0.26016186983253403,0.0,0.0
2,0.031437520271403896,0.06365414738982235,0.25387027719083605,0.0,0.0
3,0.06365414738982235,0.09681860711930113,0.24661472321337677,0.0,0.0
4,0.09681860711930113,0.13117693685998602,0.23804544977696718,0.0,0.0
5,0.13117693685998602,0.16711538411375107,0.22757922730926683,0.0,0.0
6,0.16711538411375107,0.18720801240598128,0.20352847665701568,0.0,0.0
7,0.18720801240598128,0.20843672806695773,0.19263633719823312,0.0,0.0
8,0.20843672806695773,0.23135005031329678,0.1784735528260983,0.0,0.0
9,0.23135005031329678,0.25720131905297827,0.15819038011376824,0.0,0.0
10,0.25720131905297827,0.2907163761895047,0.12201745656272418,0.0,0.0
