Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0,0.0,0.0,0.0,0.0,551.6240624999983
2,0.0065865783850904466,0.0,0.0,0.0,0.0,536.9140874999983
3,0.013201919219767759,0.0,0.0,0.0,0.0,522.2041124999984
4,0.019846953572271377,0.0,0.0,0.0,0.0,507.4941374999983
5,0.026522666920082347,0.0,0.0,0.0,0.0,492.78416249999844
6,0.033230103797793335,0.0,0.0,0.0,0.0,478.07418749999835
7,0.039970372973039896,0.0,0.0,0.0,0.0,463.3642124999984
8,0.04674465322609986,0.0,0.0,0.0,0.0,448.65423749999854
9,0.053554199821938084,0.0,0.0,0.0,0.0,433.9442624999986
10,0.060400351779377456,0.0,0.0,0.0,0.0,419.23428749999874
11,0.06728454006136371,0.0,0.0,0.0,0.0,404.5243124999988
12,0.07420829683380445,0.0,0.0,0.0,0.0,389.8143374999991
13,0.08117326596929025,0.0,0.0,0.0,0.0,375.10436249999856
14,0.08818121500753931,0.0,0.0,0.0,0.0,360.39438749999806
15,0.09523404882849859,0.0,0.0,0.0,0.0,345.6844124999979
16,0.10233382534906159,0.0,0.0,0.0,0.0,330.9744374999979
17,0.10948277362354875,0.0,0.0,0.0,0.0,316.26446249999793
18,0.11668331481569458,0.0,0.0,0.0,0.0,301.5544874999979
19,0.12393808662166504,0.0,0.0,0.0,0.0,286.8445124999986
20,0.13124997186745715,0.0,0.0,0.0,0.0,272.1345374999985
21,0.1386221321907304,0.0,0.0,0.0,0.0,257.42456249999776
22,0.14605804796181376,0.0,0.0,0.0,0.0,242.7145874999973
23,0.15356156592258882,0.0,0.0,0.0,0.0,228.00461249999708
24,0.16113695645564155,0.0,0.0,0.0,0.0,213.29463749999746
25,0.1687889829836381,0.0,0.0,0.0,0.0,198.5846624999975
26,0.17576374230516204,0.0,0.0,0.0,0.0,185.71343437499783
27,0.18101266843479902,0.0,0.0,0.0,0.0,176.5196999999972
28,0.18530893384808148,0.0,0.0,0.0,0.0,169.1647124999975
29,0.18964735890912598,0.0,0.0,0.0,0.0,161.80972499999737
30,0.19403054195478722,0.0,0.0,0.0,0.0,154.45473749999766
31,0.19846136965432176,0.0,0.0,0.0,0.0,147.0997499999974
32,0.20294306427891376,0.0,0.0,0.0,0.0,139.74476249999785
33,0.20747924144605062,0.0,0.0,0.0,0.0,132.38977499999896
34,0.2120739813224313,0.0,0.0,0.0,0.0,125.03478749999964
35,0.21673191732731756,0.0,0.0,0.0,0.0,117.67980000000013
36,0.2214583478938749,0.0,0.0,0.0,0.0,110.32481249999948
37,0.22625937905648444,0.0,0.0,0.0,0.0,102.96982500000011
38,0.23114210892110174,0.0,0.0,0.0,0.0,95.61483750000015
39,0.23611487008018991,0.0,0.0,0.0,0.0,88.2598499999997
40,0.241187553841024,0.0,0.0,0.0,0.0,80.90486250000048
41,0.24637205266402412,0.0,0.0,0.0,0.0,73.54987500000023
42,0.2516828779652966,0.0,0.0,0.0,0.0,66.19488749999921
43,0.2571380461194355,0.0,0.0,0.0,0.0,58.839899999999574
44,0.2627603895089776,0.0,0.0,0.0,0.0,51.48491249999921
45,0.2685795702009216,0.0,0.0,0.0,0.0,44.12992499999929
46,0.27463531559851506,0.0,0.0,0.0,0.0,36.77493750000002
47,0.28098291610861703,0.0,0.0,0.0,0.0,29.41994999999947
48,0.28770325276265907,0.0,0.0,0.0,0.0,22.064962499999467
49,0.2949228768858032,0.0,0.0,0.0,0.0,14.709974999999831
50,0.3028597546118975,0.0,0.0,0.0,0.0,7.354987499999984
51,0.31194951737836374,0.0,0.0,0.0,0.0,0.0
