Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0,0.002409274190601365,0.2614076574393409,-27.396986956594574,0.008847916161532125
2,0.002409274190601365,0.00525469638757522,0.2919853533928577,-175.221354170994,0.004777649697765321
3,0.00525469638757522,0.008094461790702362,0.2882113010674628,-304.77583078598457,0.005077965853277932
4,0.008094461790702362,0.010945229139550603,0.2872535175478715,-439.60245561296597,0.005065464451247674
5,0.010945229139550603,0.013806689080470492,0.2861385941210729,-575.5825845209308,0.005070052231655073
6,0.013806689080470492,0.01667910485681618,0.2850227058114568,-713.0663593471871,0.0050733004096818095
7,0.01667910485681618,0.01956269419469136,0.28389823315713575,-852.0736483327205,0.005076017990940788
8,0.01956269419469136,0.02245766912764437,0.2827650022733023,-992.643569923187,0.005078160022108011
9,0.02245766912764437,0.025364239752842126,0.281622569937444,-1134.8145002910787,0.0050797202806718575
10,0.025364239752842126,0.02828261804786882,0.2804705491427273,-1278.6260659744198,0.005080690485249295
11,0.02828261804786882,0.0312130196784994,0.2793085688308341,-1424.1191055734837,0.005081061458454251
12,0.0312130196784994,0.034155665286033005,0.27813627170504623,-1571.335907150634,0.005080822244446759
13,0.034155665286033005,0.03711078136563136,0.2769533078194336,-1720.320314862805,0.005079959985517015
14,0.03711078136563136,0.04007860095720381,0.27575933141200354,-1871.1178519343134,0.005078459797625359
15,0.04007860095720381,0.04305936421952794,0.27455399819170084,-2023.7758280252108,0.005076304718389982
16,0.04305936421952794,0.046053318942705465,0.27333696336521124,-2178.343449092199,0.005073475657671529
17,0.046053318942705465,0.04906072102900433,0.2721078800442966,-2334.871929769172,0.005069951347867979
18,0.04906072102900433,0.05208183495623134,0.27086639792207307,-2493.414606203499,0.005065708277551126
19,0.05208183495623134,0.05511693423989674,0.26961216218249295,-2654.027056960409,0.005060720614264907
20,0.05511693423989674,0.058166301902311444,0.2683448125551252,-2816.7672302976966,0.005054960111537492
21,0.058166301902311444,0.06123023095314065,0.2670639824741712,-2981.695577248028,0.0050483959976289645
22,0.06123023095314065,0.06430902488736957,0.2657692983351438,-3148.875193902746,0.0050409948477693894
23,0.06430902488736957,0.06740299820485432,0.26446037881959095,-3318.3719731387814,0.005032720439046329
24,0.06740299820485432,0.07051247695417497,0.26313683427036433,-3490.254765664621,0.005023533586355178
25,0.07051247695417497,0.07363779930383645,0.2617982661149395,-3664.595551888412,0.005013391958814477
26,0.07363779930383645,0.07677931614552536,0.26044426633934376,-3841.4696280036883,0.005002249877510311
27,0.07677931614552536,0.07993739173060853,0.2590744169826967,-4020.95580324191,0.004990058091047612
28,0.07993739173060853,0.08311240434292755,0.25768828966733265,-4203.136611488215,0.004976763528520714
29,0.08311240434292755,0.08630474701093546,0.2562854451606718,-4388.098538444406,0.004962309028873352
30,0.08630474701093546,0.08951482826197836,0.254865432969972,-4575.932265245958,0.004946633044307367
31,0.08951482826197836,0.09274307292310549,0.2534277909796907,-4766.732932240899,0.004929669317350401
32,0.09274307292310549,0.09598992297035215,0.2519720451128442,-4960.600420631596,0.00491134652835269
33,0.09598992297035215,0.09925583842961892,0.2504977090358233,-5157.639655016263,0.004891587911142452
34,0.09925583842961892,0.10254129833388755,0.2490042839203492,-5357.960931129948,0.00487031083605255
35,0.10254129833388755,0.10584680173994176,0.24749125825433899,-5561.680267998116,0.00484742635710329
36,0.10584680173994176,0.10917286880845975,0.24595810771758606,-5768.919787482898,0.004822838721140591
37,0.10917286880845975,0.112520041951756,0.2444042951361897,-5979.808124068555,0.004796444836440142
38,0.112520041951756,0.11588888705345188,0.2428292705212512,-6194.480867059048,0.004768133699236224
39,0.11588888705345188,0.11927999476449402,0.24123247122886818,-6413.081038490793,0.004737785773135785
40,0.11927999476449402,0.12269398188036391,0.2396133221844154,-6635.7596084708985,0.004705272328939837
41,0.12269398188036391,0.12613149280338443,0.23797123646940282,-6862.6760565976265,0.0046704547085485385
42,0.12613149280338443,0.12959320109806619,0.23630561527625052,-7093.998962874589,0.0046331836383198596
43,0.12959320109806619,0.13307981113230646,0.2346158508462221,-7329.906703851374,0.004593298147277322
44,0.13307981113230646,0.13659205984037157,0.23290131416412882,-7570.587792204325,0.0045506262773148546
45,0.13659205984037157,0.1401307180265143,0.23116125812990299,-7816.2370801676825,0.004504994561738208
46,0.1401307180265143,0.14369657942897027,0.2293919878659811,-8066.930396478325,0.004456531636253568
47,0.14369657942897027,0.14729012684321455,0.2275451230655205,-8320.357096489784,0.004409945586130296
48,0.14729012684321455,0.1509041905069399,0.22511273017653977,-8539.27275619803,0.004412608509192326
49,0.1509041905069399,0.1543434408226825,0.21971861501799025,-8175.487626504881,0.00450732500035611
50,0.1543434408226825,0.15739714728196538,0.21343505534213894,-7253.528103580857,0.004414891151327858
51,0.15739714728196538,0.16003848829973108,0.20883288954589885,-6295.035798185015,0.004062943708549241
52,0.16003848829973108,0.16224549510326167,0.2055123867595363,-5289.034622630696,0.0035217629036468734
53,0.16224549510326167,0.16424251910592297,0.20376150968263132,-4834.577889095791,0.0031930325755469783
54,0.16424251910592297,0.16626008032073236,0.202437083053874,-4939.458199016764,0.003201273276427804
55,0.16626008032073236,0.16829261000998,0.20085564603052455,-5025.90502255889,0.003219095127454208
56,0.16829261000998,0.17034104277031195,0.19929661321992398,-5116.401119905875,0.003233668281011598
57,0.17034104277031195,0.17240589863703173,0.19770278523337279,-5208.5500185845085,0.0032489668977460882
58,0.17240589863703173,0.1744877573189513,0.19608017643624281,-5302.686568222959,0.0032644387702184287
59,0.1744877573189513,0.1765872322736714,0.19442720215403794,-5398.889621160478,0.0032801167102471528
60,0.1765872322736714,0.17870497326926374,0.19274273961739097,-5497.257500442599,0.0032959870134352492
61,0.17870497326926374,0.1808416699779953,0.1910256437289958,-5597.8981538831,0.0033120304271083236
62,0.1808416699779953,0.18299805507191663,0.18927469430643493,-5700.926412775914,0.003328224516196455
63,0.18299805507191663,0.18517490790718102,0.187488622040617,-5806.4662053035445,0.0033445407623010925
64,0.18517490790718102,0.18737305851719144,0.18566609789686161,-5914.651007217382,0.003360944158789751
65,0.18737305851719144,0.18959339204807787,0.18380573335282807,-6025.624934716664,0.0033773918260530038
66,0.18959339204807787,0.1918368536649495,0.1819060779291014,-6139.54380992921,0.003393831618857473
67,0.1918368536649495,0.1941044539943313,0.17996561773969177,-6256.576403194098,0.003410200411650573
68,0.1941044539943313,0.19639727516744643,0.1779827742000001,-6376.905818849065,0.003426422082917532
69,0.19639727516744643,0.1987164775415192,0.17595590327941488,-6500.731064490383,0.0034424051209621916
70,0.1987164775415192,0.20106330718460885,0.1738832953849645,-6628.268822033978,0.003458039783610097
71,0.20106330718460885,0.20343910422201317,0.1717631760979069,-6759.755453925948,0.0034731947267456747
72,0.20343910422201317,0.20584531215279214,0.1695937080030091,-6895.449271753746,0.0034877129992266867
73,0.20584531215279214,0.2082834882631586,0.16737299394633914,-7035.633118823064,0.0035014072896558538
74,0.2082834882631586,0.21075531527806177,0.16509908208387325,-7180.617308503446,0.0035140542873960123
75,0.21075531527806177,0.21326261440172756,0.162769973181346,-7330.742947666347,0.0035253879891644414
76,0.21326261440172756,0.2158073599272651,0.16038363083165794,-7486.385740736129,0.003535091777239933
77,0.2158073599272651,0.21839169560664365,0.15793799525012106,-7647.960318969293,0.00354278905871224
78,0.21839169560664365,0.22101795298543248,0.1554310015550113,-7815.925157377892,0.0035480322317481667
79,0.22101795298543248,0.2236886719310679,0.1528606037265361,-7990.78819481899,0.00355028974138657
80,0.2236886719310679,0.22640662358419097,0.15022480540458266,-8173.113212263661,0.003548930988089424
81,0.22640662358419097,0.22917483595935548,0.1475216992919547,-8363.527058363148,0.0035432088546381774
82,0.22917483595935548,0.23199662242290853,0.14474951734362812,-8562.72787978839,0.0035322397000507
83,0.23199662242290853,0.2348756132136837,0.1419066934072678,-8771.494338566312,0.0035149808411127077
84,0.2348756132136837,0.23781579010470422,0.13899194197772352,-8990.695964949471,0.0034902056668292504
85,0.23781579010470422,0.24082152418381245,0.13600435580964695,-9221.304695184996,0.0034564770688268382
86,0.24082152418381245,0.24389761649855143,0.13294352583531732,-9464.407498865869,0.003412120445729792
87,0.24389761649855143,0.24704934099482245,0.12980968829507245,-9721.220088921176,0.0033551984405584706
88,0.24704934099482245,0.2502824886842407,0.12660390277725675,-9993.101427772453,0.0032834911526841266
89,0.2502824886842407,0.25360341126254815,0.12332826555936931,-10281.568615794191,0.003194487566366108
90,0.25360341126254815,0.2570190613950346,0.11998616365300038,-10588.311633875419,0.0030853966502376574
91,0.2570190613950346,0.26053702544005286,0.1165825670640014,-10915.206364760645,0.0029531908718314084
92,0.26053702544005286,0.264165542638735,0.11312437804549223,-11264.326551224665,0.0027946973880568046
93,0.264165542638735,0.2679135018876375,0.10962077092830369,-11637.945353815443,0.002606763603797976
94,0.2679135018876375,0.2717904059228047,0.1060837433721199,-12038.552880597283,0.002386505014621012
95,0.2717904059228047,0.27580628355921044,0.10252807291414234,-12468.784468010064,0.002131718785333142
96,0.27580628355921044,0.27997154744355046,0.09897382549665999,-12931.692652367707,0.001841275852791025
97,0.27997154744355046,0.28429674868061333,0.09544812652788584,-13430.943948430859,0.0015157868281716587
98,0.28429674868061333,0.2887927967857083,0.09215136567959037,-13997.462142498984,0.001152279638101914
99,0.2887927967857083,0.29347735845709827,0.09150990881712324,-15050.274381381241,0.0007033855369160442
100,0.29347735845709827,0.2984041885187273,0.12043002584186832,-21533.21658530308,9.934084016161551e-05
