Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0,273.0000000000001,0.0047884386099533065,0.0,-0.0001204349796387239,551.6211085666278
2,0.002615034030080939,272.91248752213363,0.004755513044104014,0.0,9.829208237231617e-06,545.5780069820079
3,0.005584135968412332,272.8254228391838,0.004722958182479833,0.0,-7.022395245542998e-07,538.1495148858826
4,0.008554145306225737,272.7369473916376,0.004690082343217159,0.0,-1.4490935186150881e-07,530.7854328885784
5,0.01153594649862335,272.6475022138645,0.00465705690719101,0.0,-1.6778455993954737e-07,523.4202647989434
6,0.014529525215954086,272.55703993297305,0.004623869995133496,0.0,-1.6644668490128607e-07,516.0560187220528
7,0.01753513472518225,272.46553811506334,0.004590519532135404,0.0,-1.6624582725975703e-07,508.6924062629244
8,0.020552994997373,272.3729732639369,0.004557003192962761,0.0,-1.6611050157092055e-07,501.3293063219104
9,0.02358331983221206,272.2793212978361,0.004523318695797267,0.0,-1.66082233557218e-07,493.96663312050634
10,0.02662632113777982,272.1845573889673,0.004489463724246445,0.0,-1.6612785195234554e-07,486.6043262764778
11,0.029682212698646862,272.088655848073,0.004455435904849631,0.0,-1.6623661067455515e-07,479.24234033902593
12,0.0327512119400125,271.99159005394944,0.00442123279223172,0.0,-1.663970183193822e-07,471.88064006967045
13,0.03583354115598959,271.893332392535,0.004386851861414172,0.0,-1.666009740683499e-07,464.51919728693747
14,0.038929428325198225,271.7938542026578,0.004352290502773595,0.0,-1.668415814728749e-07,457.1579889536025
15,0.04203910773555463,271.693125723065,0.004317546018596752,0.0,-1.671130670902324e-07,449.79699587854134
16,0.04516282048970192,271.5911160390439,0.004282615620414129,0.0,-1.6741036570475398e-07,442.43620182833536
17,0.04830081494580152,271.4877930272906,0.004247496426740642,0.0,-1.6772892652453233e-07,435.0755928902542
18,0.0514533471232379,271.383123298246,0.004212185460994866,0.0,-1.6806456943019905e-07,427.7151570002716
19,0.054620681086541896,271.2770721355039,0.004176679649531644,0.0,-1.6841335141506204e-07,420.3548835946142
20,0.05780308932308204,271.1696034317737,0.004140975819686269,0.0,-1.6877148065347744e-07,412.9947633400378
21,0.06100085312182244,271.0606796210631,0.004105070697804233,0.0,-1.6913524814106835e-07,405.63478792122504
22,0.0642142629567384,270.95026160681437,0.004068960907258969,0.0,-1.6950095793597546e-07,398.2749498742802
23,0.0674436188799099,270.83830868565616,0.004032642966445249,0.0,-1.69864879432737e-07,390.91524245249724
24,0.07068923092746408,270.72477846645626,0.003996113286754671,0.0,-1.7022319524528186e-07,383.55565951616336
25,0.07395141953998048,270.60962678437335,0.003959368170548532,0.0,-1.7057196072056747e-07,376.19619544259535
26,0.0772305159992162,270.49280760957845,0.003922403809148598,0.0,-1.7090705331234717e-07,368.83684505231145
27,0.08052686288461086,270.37427295024145,0.0038852162808486793,0.0,-1.7122413813831915e-07,361.4776035436353
28,0.08384081454933416,270.25397274945334,0.0038478015489882052,0.0,-1.7151862824860715e-07,354.11846643768945
29,0.08717273761739382,270.13185477568396,0.003810155460114928,0.0,-1.7178563407197792e-07,346.75942953134955
30,0.09052301150316913,270.00786450634627,0.003772273742269215,0.0,-1.720199316316112e-07,339.40048885633325
31,0.09389202895430244,269.8819450040296,0.003734152003433242,0.0,-1.7221590271945345e-07,332.04164064367035
32,0.0972801966203027,269.75403678488743,0.0036957857301775326,0.0,-1.7236750036997251e-07,324.6828812894064
33,0.10068793564653644,269.62407767871207,0.0036571702865685826,0.0,-1.7246819064638445e-07,317.32420732416216
34,0.10411568229420999,269.4920026801762,0.0036183009134013204,0.0,-1.7251090469172588e-07,309.9656153865251
35,0.10756388858833124,269.3577437906506,0.0035791727278148586,0.0,-1.7248797113609909e-07,302.6071021968057
36,0.11103302299375645,269.22122985002386,0.0035397807233756196,0.0,-1.7239106292788818e-07,295.24866453224433
37,0.11452357111980459,269.08238635791474,0.003500119770719965,0.0,-1.7221112481083574e-07,287.8902992034491
38,0.11803603645396935,268.9411352836349,0.003460184618857919,0.0,-1.7193830123155056e-07,280.5320030313545
39,0.1215709411248899,268.79739486423904,0.0034199698972636294,0.0,-1.715618774136183e-07,273.17377282450576
40,0.12512882669438807,268.6510793899988,0.0033794701188672597,0.0,-1.7107010557792893e-07,265.81560535648407
41,0.12871025497855434,268.50209897654264,0.003338679684186289,0.0,-1.7045044537914237e-07,258.457497342985
42,0.1323158088956243,268.3503593232087,0.003297592886472994,0.0,-1.6968825634048216e-07,251.09944541936767
43,0.13594609334479943,268.19576145600297,0.003256203919205435,0.0,-1.687711494455693e-07,243.74144611467617
44,0.13960173609398907,268.038201457875,0.0032145068819726995,0.0,-1.6767287919375726e-07,236.3834958371015
45,0.143283388746002,267.87757017188136,0.003172495800293178,0.0,-1.664278954577869e-07,229.0255908538184
46,0.14699172738039293,267.71375288714773,0.003130164592276566,0.0,-1.653484341541924e-07,221.66772893328198
47,0.15072744874821375,267.54662771715095,0.003087506914858036,0.0,-1.7570035994915807e-07,214.30995954429534
48,0.154491077794883,267.3760405753389,0.0030445093850999293,0.0,-3.582968234681922e-07,206.9536885363344
49,0.1582772565079994,267.2015437761816,0.0030010894449019696,0.0,-1.8554547402050792e-06,199.62682652719081
50,0.16189617334236067,267.0274265893789,0.0029583284570418086,0.0,-2.8670562499067327e-06,192.81091357991056
51,0.16513132190390414,266.86300014019906,0.0029184594240290952,0.0,-2.4698760666182884e-06,186.92978070500908
