Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0,273.00006181227985,0.0047884795861464925,9387.21080645634,0.0,550.7886091833614
2,0.002652442185723407,272.912204108414,0.004755464116409833,-40377.02096681915,-1.966904633281012e-07,543.4279802395076
3,0.005316283330236447,272.8233548217038,0.004722284519154658,-90338.9195220827,-1.6703066247522424e-07,536.0631308828733
4,0.007988770962847076,272.7336261521467,0.004688987926927844,-140448.7785287731,-1.70200702082504e-07,528.7004115153971
5,0.01067041585610064,272.6429838654398,0.00465556691841097,-190701.33904176296,-1.7134862243425914e-07,521.3389151377913
6,0.013361491983050184,272.5514033323805,0.0046220178055758,-241104.9245101997,-1.7269455774642257e-07,513.9782950880796
7,0.01606223075030173,272.4588604969732,0.00458833734828473,-291660.4392706738,-1.741989223018058e-07,506.61834669593884
8,0.018772842528045244,272.3653311935561,0.004554522494264096,-342369.99799691123,-1.758214014051367e-07,499.2589450184207
9,0.021493529624317907,272.27079073545264,0.004520570235381829,-393234.9793883275,-1.7755097831134848e-07,491.9000068881096
10,0.02422449248157275,272.1752136878032,0.0044864775348899665,-444256.6968438476,-1.793792261357417e-07,484.5414735784457
11,0.0269659330209716,272.07857372818216,0.0044522412888986325,-495436.308887929,-1.8130089217658522e-07,477.18330163522563
12,0.029718056621729844,271.98084354550076,0.004417858303374198,-546774.8876859809,-1.833126061695873e-07,469.8254577426696
13,0.03248107341532423,271.88199475627175,0.004383325278774809,-598273.424920686,-1.8541228064835875e-07,462.46791565336105
14,0.03525519921788152,271.7819978281119,0.004348638798565359,-649932.8431297077,-1.8759874273843753e-07,455.1106542476848
15,0.03804065626448491,271.6808220052808,0.0043137953197359994,-701753.9989981797,-1.8987150208064565e-07,447.7536562478773
16,0.04083767383338599,271.57843523335015,0.004278791164326852,-753737.6846544188,-1.922305966023989e-07,440.39690733145966
17,0.043646488810224385,271.47480408121993,0.0042436225114002865,-805884.6266910016,-1.94676485891276e-07,433.0403954994617
18,0.0464673462224614,271.36989365925956,0.004208285389125373,-858195.4837450912,-1.9720997581007348e-07,425.68411061353424
19,0.04930049976332357,271.263667532642,0.004172775666763023,-910670.8428637581,-1.998321621457108e-07,418.3280440486893
20,0.05214621231832269,271.1560876290783,0.004137089046407273,-963311.214856767,-2.025443884579654e-07,410.97218842741984
21,0.05500475650377651,271.0471141402217,0.0041012210543777084,-1016117.0287356124,-2.0534821289001772e-07,403.61653741241935
22,0.05787641522456479,270.93670541602137,0.00406516703218028,-1069088.6252949222,-2.082453808636934e-07,396.26108554233707
23,0.06076148225704699,270.82481785128806,0.004028922126967349,-1122226.2498569186,-2.112378030689891e-07,388.9058280996584
24,0.06366026286230675,270.71140576369265,0.003992481281434479,-1175530.0441742542,-2.1432753541194838e-07,381.55076100287243
25,0.0665730744344595,270.5964212623608,0.003955839223095413,-1229000.0374731992,-2.1751676087291817e-07,374.1958807172268
26,0.06950024718859556,270.4798141061544,0.0039189904528774445,-1282636.1365983472,-2.2080777220944014e-07,366.84118417978647
27,0.07244212489291209,270.3615315506436,0.0038819292329786226,-1336438.1152167676,-2.2420295416771052e-07,359.4866687355679
28,0.07539906564970801,270.2415181826741,0.003844649573927174,-1390405.6020221154,-2.2770476577174054e-07,352.13233208225034
29,0.07837144273013477,270.11971574131735,0.003807145220779674,-1444538.067877296,-2.3131571969610323e-07,344.7781722215002
30,0.08135964546790744,269.99606292386204,0.0037694096383920845,-1498834.8118212179,-2.3503836033100594e-07,337.4241874153212
31,0.0843640802175596,269.87049517535604,0.0037314359956931993,-1553294.9458609854,-2.3887523919858557e-07,330.07037614614774
32,0.08738517138328758,269.7429444600395,0.0036932171488862735,-1607917.3784672276,-2.428288851074641e-07,322.71673707959997
33,0.09042336252496858,269.61333901282114,0.0036547456234989474,-1662700.796670379,-2.469017705710814e-07,315.3632690289678
34,0.09347911754854712,269.481603068733,0.0036160135951974195,-1717643.646692252,-2.510962729118768e-07,308.0099709206056
35,0.09655292198868119,269.34765656805575,0.0035770128692751263,-1772744.1129074835,-2.554146266901377e-07,300.656841759493
36,0.09964528439232602,269.21141483453124,0.0035377348587208642,-1828000.0954156392,-2.5985886941089735e-07,293.3038805942566
37,0.10275673781280907,269.0727882237656,0.0034981705607663627,-1883409.184694103,-2.6443077607647427e-07,285.9510864809874
38,0.10588784142494637,268.93168173857117,0.0034583105318078326,-1938968.6385329627,-2.691317822367872e-07,278.59845844516525
39,0.10903918227284792,268.78799460759166,0.0034181448605913036,-1994675.3414237634,-2.739628926927566e-07,271.24599544100715
40,0.11221137716329249,268.6416198230964,0.003377663139548544,-2050525.8197166577,-2.7892457326158567e-07,263.89369630752225
41,0.11540507471894151,268.4924436333064,0.003336854434166452,-2106516.039421879,-2.8401662406234253e-07,256.54155972048176
42,0.11862095760717364,268.3403449840178,0.0032957072502715627,-2162642.002171567,-2.8923806964975156e-07,249.18958413959805
43,0.12185974496189218,268.1851949035215,0.0032542094990937773,-2218897.359712082,-2.9458793022255e-07,241.83776775305222
44,0.12512219501336164,268.026855822114,0.0032123484595496144,-2275282.0485486886,-3.000831361431764e-07,234.4861084895692
45,0.12840910784452084,267.8651807800716,0.0031701107289231582,-2331768.7995466716,-3.060425580304702e-07,227.13460550572543
46,0.1317213261648975,267.7000119188527,0.0031274820240564296,-2388407.7535488186,-3.165737387745102e-07,219.7832854840548
47,0.1350596960802348,267.5311712969119,0.0030844451926774425,-2444680.102807736,-3.701341399030387e-07,212.43256727018516
48,0.13842440055210903,267.3583940200971,0.003040964326607663,-2499443.312867505,-6.937767341611478e-07,205.08727097243806
49,0.14180530140284361,267.181226949816,0.0029969584867017324,-2536579.908478221,-1.7875201671031932e-06,197.79237157302074
50,0.14500508544393173,267.0074851201395,0.0029543401211560363,-2552793.063161259,-2.1445739468222457e-06,191.0319267938139
51,0.1478257044453976,266.8485941172326,0.0029158088789314296,-2570431.95497047,-1.6435574077901043e-06,185.20230219450758
52,0.1502533942282771,266.7081775201442,0.0028821128777966596,-2594470.4809769993,-1.2657608948897364e-06,180.26356438121738
53,0.15227555512393703,266.58897649576295,0.0028537711121387603,-2620344.433214295,-5.981430304933111e-07,176.19623779956058
54,0.15410413810578952,266.47996036007953,0.0028280686235226866,-2649432.7489138637,-5.959058234410209e-07,172.54265584671532
55,0.15595106324832625,266.3686494958837,0.0028020418110161465,-2676027.4676255602,-7.792473034634974e-07,168.8759504968951
56,0.1578103517785918,266.25519956751765,0.002775736679562918,-2702056.9500066694,-7.213062109582458e-07,165.21175802141252
57,0.15968310962451865,266.1395376661981,0.0027491475665258557,-2728648.8759730947,-7.568855041659756e-07,161.54749420695913
58,0.16156971527717867,266.0215527879079,0.0027222608878148297,-2754725.352244961,-7.710625083546786e-07,157.8836509500353
59,0.16347066867069504,265.90113981419177,0.0026950651787895313,-2780748.9165382744,-7.896889695814965e-07,154.22015821838409
60,0.1653864884064844,265.7781834092385,0.0026675476912044493,-2806540.201995237,-8.084504992888852e-07,150.5570326637445
61,0.16731772636116488,265.6525602955072,0.00263969495495105,-2832129.7691623396,-8.279495286850015e-07,146.89427932006322
62,0.16926496921445275,265.52413801496573,0.0026114926249139205,-2857484.7502660425,-8.481404612480934e-07,143.23190394352616
63,0.17122884163568675,265.3927740803133,0.002582925417623452,-2882587.87543446,-8.690472981978561e-07,139.56991152215653
64,0.1732100096931346,265.25831495939633,0.0025539770296328116,-2907415.494705753,-8.906848778063371e-07,135.90830623365676
65,0.17520918466473626,265.1205949389472,0.0025246300485433186,-2931943.311512098,-9.130653438946981e-07,132.2470912356691
66,0.1772271272939844,264.9794348427923,0.002494865854585728,-2956144.6272043632,-9.36196475396688e-07,128.5862684310678
67,0.17926465255471763,264.83464058307106,0.002464664511744934,-2979990.5678404593,-9.600804067711388e-07,124.9258381894832
68,0.18132263499816006,264.6860015186141,0.002434004647184466,-3003449.757562477,-9.847119833639184e-07,121.26579901791969
69,0.18340201476789875,264.53328859008417,0.0024028633175878357,-3026488.1132850423,-1.010076729670625e-06,117.60614717081225
70,0.18550380438312566,264.376252195986,0.0023712158608753774,-3049068.57848448,-1.0361483311817612e-06,113.94687618801743
71,0.18762909640788505,264.2146197670472,0.002339035731586854,-3071150.842487722,-1.062885525291572e-06,110.28797634698569
72,0.1897790721449169,264.0480929885128,0.0023062943180448157,-3092691.030844521,-1.0902282528840624e-06,106.62943401256946
73,0.19195501151758687,263.87634461029523,0.0022729607392392697,-3113641.3688882026,-1.1180929075948705e-06,102.97123086466542
74,0.1941583043332926,263.6990147732968,0.0022390016192099615,-3133949.8167392993,-1.146366469873005e-06,99.31334297990777
75,0.19639046315762668,263.51570676613636,0.0022043808365675714,-3153559.675930317,-1.1748992692965936e-06,95.65573973890214
76,0.19865313807173499,263.3259821094144,0.0021690592467130633,-3172409.1687097726,-1.203496066879905e-06,91.99838252485775
77,0.2009481336372683,263.1293548438697,0.002132994374327215,-3190430.992935682,-1.2319050807507395e-06,88.3412231727624
78,0.20327742845582028,262.9252848735133,0.0020961400738695357,-3207551.858039266,-1.259804508702074e-06,84.68420212041278
79,0.20564319778491044,262.71317018411105,0.002058446156233152,-3223692.011278769,-1.286786021817924e-06,81.0272462034777
80,0.2080478397627755,262.49233772008904,0.002019857980482474,-3238764.768841318,-1.312334623360696e-06,77.37026602630553
81,0.21049400590203446,262.2620326577722,0.0019803160109410837,-3252676.073897128,-1.3358041978764973e-06,73.71315282854242
82,0.2129846366403816,262.0214057584136,0.0019397553420755949,-3265324.114330905,-1.3563880329174782e-06,70.05577475506047
83,0.2155230028871912,261.76949841929286,0.0018981051970365901,-3276599.047799038,-1.3730836132683851e-06,66.39797242390983
84,0.21811275467968172,261.5052249639999,0.0018552884109481217,-3286382.902367538,-1.3846511194863154e-06,62.739553675335365
85,0.2207579782602905,261.22735162321646,0.0018112209179095464,-3294549.7504517655,-1.3895653866859303e-06,59.08028737666626
86,0.22346326310313386,260.93447155552246,0.0017658112723651495,-3300966.2916307645,-1.3859617289307141e-06,55.419896156828
87,0.2262337806387855,260.6249751472981,0.0017189602526687324,-3305493.0433225865,-1.3715771953741038e-06,51.75804795652435
88,0.22907537662610372,260.29701471981394,0.0016705606196259163,-3307986.384796695,-1.343690767904256e-06,48.09434631501314
89,0.23199467924615377,259.9484626768858,0.0016204971386794785,-3308301.9145392464,-1.2990690981444385e-06,44.428319385781805
90,0.23499922495459452,259.5768620795488,0.0015686470253591773,-3306299.319540605,-1.2339290619959433e-06,40.75940780085124
91,0.23809760376668354,259.1793686912859,0.0015148810448721455,-3301850.639361985,-1.1439351406415065e-06,37.08695171296378
92,0.24129962469781008,258.75268379475574,0.001459065594314066,-3294848.5915915375,-1.0242587205275498e-06,33.410177667709874
93,0.24461650011007985,258.2929776983582,0.0014010662258413476,-3285232.1110473056,-8.697375610774823e-07,29.728186423392422
94,0.24806104403992085,257.79580508424635,0.0013407532345684797,-3272972.818714209,-6.751855178728937e-07,26.039943455700566
95,0.25164787316555737,257.2560155921842,0.001278010131378821,-3258237.68772952,-4.359138380725242e-07,22.344274616559726
96,0.2553935884033077,256.6676668467445,0.0012127460246929246,-3240951.458065088,-1.4856419658079946e-07,18.639870233174186
97,0.2593168979740643,256.0239530258018,0.0011449130669542913,-3222606.787684835,1.8719441978722171e-07,14.925303739055773
98,0.26343861409367253,255.31716718730507,0.0010745297586934,-3199858.392971603,5.612064940799284e-07,11.199105450424264
99,0.26778138513898514,254.53867820438896,0.0010017065192414244,-3187091.3065074636,9.056863738487254e-07,7.460329145608364
100,0.27236872559909076,253.67845827431023,0.0009266342807048441,-3123966.306218854,8.892315092881986e-07,3.713511061661734
101,0.2772226223673024,252.7209470779048,0.0008493044431039891,-3142851.9028030015,0.0,0.0
