Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0,272.99360986645075,0.004786444157414597,10017.13324862551,-0.00018818298928780107,551.6246025775354
2,0.002079604847149642,272.90592699187874,0.004753777257062222,-41608.320735059075,2.9751736996133413e-05,546.7155615448586
3,0.00477157624251133,272.82252493321977,0.004722578815870369,-92871.61247277858,-3.0224136545671002e-06,539.1133658445649
4,0.007441464960619358,272.7358768173774,0.0046905729836098685,-138534.7752968777,5.139325973081759e-08,531.7668269656833
5,0.010122027471743766,272.6485698400563,0.0046584952728235375,-187863.51092226568,-1.8744952842960763e-07,524.4043690523856
6,0.01281182507457996,272.56035575047076,0.004626283507099856,-236170.48930084048,-1.7382057080776705e-07,517.0438238382441
7,0.015511168539607628,272.47122721223366,0.004593938172697071,-284952.04207645205,-1.7629114229531013e-07,509.68389731916204
8,0.018220261063633347,272.38116055400263,0.004561456106515578,-333790.1226115891,-1.7801847119397908e-07,502.32452146927716
9,0.020939301444667994,272.2901325410125,0.004528834377339278,-382799.7147789045,-1.7989139747499423e-07,494.96561060934516
10,0.02366848633416993,272.1981191979499,0.004496070013492179,-431951.5625989687,-1.8185999031259108e-07,487.6071062302166
11,0.02640801373021409,272.10509572252045,0.0044631599753733155,-481254.9003673772,-1.8392117529507782e-07,480.2489649891485
12,0.029158084943514576,272.01103638770945,0.004430101133455833,-530708.5398621218,-1.8607191702085624e-07,472.891153691248
13,0.03191890588377583,271.9159144629368,0.00439689025384445,-580313.9791499879,-1.8831051214106622e-07,465.5336462161875
14,0.03469068798374942,271.8197021422282,0.004363523987465436,-630071.9088458233,-1.9063616515639283e-07,458.1764215790507
15,0.03747364892490595,271.72237047448084,0.004329998861126309,-679983.1523801379,-1.9304876772657313e-07,450.8194626456785
16,0.040268013252653896,271.6238892930338,0.004296311269504901,-730048.4164638943,-1.955487518931317e-07,443.46275524738553
17,0.04307401293116034,271.52422714283546,0.004262457467541499,-780268.3570129048,-1.981369901231734e-07,436.1062875504489
18,0.045891887867932926,271.42335120404516,0.004228433562920888,-830643.5587247929,-2.0081472514150752e-07,428.7500495944872
19,0.04872188642741256,271.3212272111858,0.004194235508445088,-881174.536178602,-2.0358351963319885e-07,421.39403294649946
