time,Energy Leak from beginning
60,-6.286467681208933
120,-17.515404365847758
180,-32.426401778417016
240,-49.91815169409983
300,-69.19260373285806
360,-89.69983557937178
420,-111.06770324848515
480,-133.046354314248
540,-155.4686572485898
600,-178.2230810474308
660,-201.2353293049223
720,-224.45602030705936
780,-247.85241386621203
840,-271.40290075524354
900,-295.09330790931176
960,-318.91442197570484
1020,-342.8603493901902
1080,-366.92741983905114
1140,-391.11343850450544
1200,-415.41720180206073
1260,-439.83817023801976
1320,-464.37624278709916
1380,-489.03161843060764
1440,-513.8046968498152
1500,-538.6960096569659
1560,-563.7061730906788
1620,-588.8358719965564
1680,-614.0858238785521
1740,-639.4567825519055
1800,-664.9495165754215
1860,-690.5648092507496
1920,-716.3034559464188
1980,-742.1662563926019
2040,-768.1540159148688
2100,-794.2675439399841
2160,-820.5076536880377
2220,-846.8751590707399
2280,-873.3708842039802
2340,-899.9956507164626
2400,-926.7502798597548
2460,-953.6355962597123
2520,-980.6524323785645
2580,-1007.8016167320307
2640,-1035.083979293354
2700,-1062.5003550652264
2760,-1090.0515766806886
2820,-1117.7384845299396
2880,-1145.561918936367
2940,-1173.5227196051092
3000,-1201.6217299156226
3060,-1229.85979348708
3120,-1258.237756529665
3180,-1286.7564690593822
3240,-1315.4167812672727
3300,-1344.2195459233862
3360,-1373.1656136859165
3420,-1402.2558408005311
3480,-1431.4910866245955
3540,-1460.872205842657
3600,-1490.400063070579
3660,-1520.0755209753802
3720,-1549.8994388381657
3780,-1579.8726858660725
3840,-1609.9961281175022
3900,-1640.2706341946182
3960,-1670.697074055654
4020,-1701.2763197467634
4080,-1732.0092449240556
4140,-1762.896725912569
4200,-1793.9396392159856
4260,-1825.1388637143752
4320,-1856.4952784897307
4380,-1888.0097684555117
4440,-1919.6832131250771
4500,-1951.5164978813561
4560,-1983.5105096076477
4620,-2015.666137506818
4680,-2047.9842673531552
4740,-2080.4657939797917
4800,-2113.1116070964354
4860,-2145.922599090973
4920,-2178.8996698853216
4980,-2212.043711825755
5040,-2245.3556243976936
5100,-2278.8363086482896
5160,-2312.4866653238087
5220,-2346.307595917597
5280,-2380.3000005996637
5340,-2414.4647908202487
5400,-2448.8028671512425
5460,-2483.3151429196287
5520,-2518.0025220761177
5580,-2552.8659170141655
5640,-2587.90624233071
5700,-2623.12440593635
5760,-2658.5213256227316
5820,-2694.0979143899613
5880,-2729.8550890382157
5940,-2765.7937738260007
6000,-2801.914881303438
6060,-2838.2193320938572
6120,-2874.7080515042903
6180,-2911.3819594999377
6240,-2948.241984923525
6300,-2985.289049712259
6360,-3022.5240803150973
6420,-3059.948006798367
6480,-3097.5617534161065
6540,-3135.366253864599
6600,-3173.362438049909
6660,-3211.5512361493124
6720,-3249.9335856337198
6780,-3288.510416573363
6840,-3327.2826673464347
6900,-3366.2512708702457
6960,-3405.417167979054
7020,-3444.78129655693
7080,-3484.344593906342
7140,-3524.108002812375
7200,-3564.0724637896537
7260,-3604.2389191966163
7320,-3644.60831205975
7380,-3685.181587219552
7440,-3725.9596883894437
7500,-3766.94356230037
7560,-3808.1341598652198
7620,-3849.532425743736
7680,-3891.1393101983404
7740,-3932.9557575269655
7800,-3974.9827261264973
7860,-4017.2211639131347
7920,-4059.6720194683344
7980,-4102.336250214251
8040,-4145.214809318708
8100,-4188.308649353448
8160,-4231.618727147293
8220,-4275.1459982663
8280,-4318.891422440905
8340,-4362.855953466391
8400,-4407.040549670656
8460,-4451.446173134156
8520,-4496.073780676513
8580,-4540.924333398509
8640,-4585.998793188658
8700,-4631.29812067089
8760,-4676.823277343526
8820,-4722.575227768368
8880,-4768.554933771834
8940,-4814.76336052486
9000,-4861.201472025601
9060,-4907.87023617683
9120,-4954.770620087042
9180,-5001.9035832313675
9240,-5049.270093091529
9300,-5096.871122298821
9360,-5144.707638957925
9420,-5192.780608476057
9480,-5241.090999305413
9540,-5289.639781823358
9600,-5338.427927004461
9660,-5387.456402740878
9720,-5436.7261827807215
9780,-5486.238235058772
9840,-5535.993529957868
9900,-5585.993041187483
9960,-5636.237740847073
10020,-5686.728604412643
10080,-5737.466600614862
10140,-5788.452701853262
10200,-5839.687882317422
10260,-5891.1731208651245
10320,-5942.909383044532
10380,-5994.897653332517
10440,-6047.138898669851
10500,-6099.634094862446
10560,-6152.3842197777185
10620,-6205.3902482667345
10680,-6258.653151818781
10740,-6312.173910848082
10800,-6365.953499184238
10860,-6419.992893531691
10920,-6474.2930688767365
10980,-6528.854999304838
11040,-6583.6796666086075
11100,-6638.7680442573765
11160,-6694.121107477055
11220,-6749.739836272534
11280,-6805.625203996332
11340,-6861.778188501692
11400,-6918.199764518287
11460,-6974.890914153842
11520,-7031.852610321336
11580,-7089.085831248839
11640,-7146.591552373643
11700,-7204.370750904352
11760,-7262.424404840351
11820,-7320.753490367386
11880,-7379.3589828093645
11940,-7438.241860926297
12000,-7497.403097987126
12060,-7556.843674042775
12120,-7616.564562797795
12180,-7676.566741298059
12240,-7736.851184664669
12300,-7797.41886902058
12360,-7858.2707705343055
12420,-7919.407862799784
12480,-7980.831123077888
12540,-8042.541525591429
12600,-8104.540043325321
12660,-8166.827652324817
12720,-8229.405327046705
12780,-8292.274043811683
12840,-8355.43477367688
12900,-8418.888489906887
12960,-8482.636164058313
13020,-8546.678770053108
13080,-8611.017281698556
13140,-8675.652672534796
13200,-8740.585909623034
13260,-8805.8179671273
13320,-8871.349816739668
13380,-8937.18242385236
13440,-9003.316764698742
13500,-9069.753807021725
13560,-9136.494517762767
13620,-9203.539869149776
13680,-9270.89082874856
13740,-9338.548365590996
13800,-9406.51344119483
13860,-9474.787027379234
13920,-9543.370089490416
13980,-9612.263595642688
14040,-9681.468507866017
14100,-9750.985792328627
14160,-9820.81641358026
14220,-9890.961333203526
14280,-9961.421514059828
14340,-10032.197919360466
14400,-10103.2915129055
14460,-10174.703254889211
14520,-10246.43410535338
14580,-10318.485022524737
14640,-10390.856970229475
14700,-10463.55090226102
14760,-10536.567780282356
14820,-10609.908558507308
14880,-10683.57419072635
14940,-10757.565635089482
15000,-10831.883851338474
15060,-10906.529790639397
15120,-10981.504403442066
15180,-11056.80864433707
15240,-11132.443467955261
15300,-11208.409821421228
15360,-11284.708656290282
15420,-11361.340923310456
15480,-11438.307571489646
15540,-11515.609544422507
15600,-11593.247792388478
15660,-11671.223261815561
15720,-11749.536896723073
15780,-11828.189640429806
15840,-11907.182439084068
15900,-11986.51623173274
15960,-12066.191961353583
16020,-12146.210569592555
16080,-12226.572994543663
16140,-12307.28017972079
16200,-12388.333058341514
16260,-12469.732566027573
16320,-12551.479641406819
16380,-12633.575216896787
16440,-12716.020228112477
16500,-12798.815607007025
16560,-12881.962283284634
16620,-12965.461188608355
16680,-13049.313252863501
16740,-13133.519406434385
16800,-13218.080573930829
16860,-13302.997682808307
16920,-13388.271656799816
16980,-13473.90342216956
17040,-13559.893902575895
17100,-13646.244018861766
17160,-13732.954687113544
17220,-13820.026833445287
17280,-13907.461374781236
17340,-13995.259225331849
17400,-14083.421306718988
17460,-14171.948525874226
17520,-14260.84179891473
17580,-14350.102043372803
17640,-14439.730164659346
17700,-14529.727075792529
17760,-14620.09368202152
17820,-14710.830894259534
17880,-14801.939616859678
17940,-14893.420756805877
18000,-14985.275215150756
18060,-15077.503892855715
18120,-15170.107694919736
18180,-15263.087517982603
18240,-15356.444260572336
18300,-15450.17882045622
18360,-15544.292092603217
18420,-15638.784971945111
18480,-15733.658350436215
18540,-15828.913120070889
18600,-15924.550169675545
18660,-16020.570388851265
18720,-16116.97466667228
18780,-16213.763888924586
18840,-16310.938935180071
18900,-16408.500692813755
18960,-16506.450044789017
19020,-16604.78786567617
19080,-16703.515039530736
19140,-16802.632441029247
19200,-16902.14094708894
19260,-17002.041430013018
19320,-17102.33476353934
19380,-17203.021820379403
19440,-17304.103466787998
19500,-17405.580575694647
19560,-17507.454010778463
19620,-17609.724637902276
19680,-17712.39332164521
19740,-17815.46092232846
19800,-17918.9283007742
19860,-18022.796316346386
19920,-18127.065826114816
19980,-18231.73768758199
20040,-18336.81275468991
20100,-18442.291877553194
20160,-18548.175908067857
20220,-18654.465697921783
20280,-18761.162092686856
20340,-18868.265939490917
20400,-18975.778079636988
20460,-19083.6993595409
20520,-19192.03061900867
20580,-19300.772699945355
20640,-19409.926437250277
20700,-19519.492665446545
20760,-19629.47222239661
20820,-19739.86593953438
20880,-19850.674648016666
20940,-19961.89917895384
21000,-20073.540357878024
21060,-20185.599011329596
21120,-20298.075962473693
21180,-20410.972035356157
21240,-20524.288050446463
21300,-20638.024830354283
21360,-20752.183186634396
21420,-20866.763939066812
21480,-20981.76789754022
21540,-21097.195874656383
21600,-21213.048682447297
21660,-21329.32712993159
21720,-21446.03202030907
21780,-21563.164158861244
21840,-21680.724351816883
21900,-21798.713398385484
21960,-21917.132096607427
22020,-22035.981246167376
22080,-22155.261642962618
22140,-22274.97408166233
22200,-22395.119352613892
22260,-22515.698246192274
22320,-22636.711550144748
22380,-22758.160049863127
22440,-22880.044534455967
22500,-23002.36578148613
22560,-23125.12457455797
22620,-23248.32169511849
22680,-23371.9579139902
22740,-23496.03401310501
22800,-23620.55076367082
22860,-23745.508936943763
22920,-23870.909299450534
22980,-23996.75262080085
23040,-24123.03966631349
23100,-24249.771202998156
23160,-24376.94798778391
23220,-24504.570785789452
23280,-24632.640354370444
23340,-24761.157446205314
23400,-24890.122818164284
23460,-25019.537219472357
23520,-25149.401402858715
23580,-25279.71611788031
23640,-25410.482107654152
23700,-25541.700120507958
23760,-25673.370895959393
23820,-25805.495175368847
23880,-25938.073697477175
23940,-26071.10719711681
24000,-26204.596410599337
24060,-26338.542067827177
24120,-26472.944902620377
24180,-26607.805641751143
24240,-26743.125013772078
24300,-26878.90374005146
24360,-27015.142544457245
24420,-27151.84214784203
24480,-27289.003268196924
24540,-27426.626622983476
24600,-27564.712925423963
24660,-27703.26289210039
24720,-27842.277227813513
24780,-27981.756643527016
24840,-28121.701847290522
24900,-28262.113539972135
24960,-28402.99242560753
25020,-28544.339207668992
25080,-28686.154578948524
25140,-28828.439239215382
25200,-28971.193878690836
25260,-29114.419192902285
25320,-29258.11587025578
25380,-29402.284603779004
25440,-29546.9260721373
25500,-29692.040964644024
25560,-29837.629959812293
25620,-29983.693740019884
25680,-30130.23297820726
25740,-30277.24835414897
25800,-30424.740543131244
25860,-30572.71021094595
25920,-30721.158032609674
25980,-30870.084671155506
26040,-31019.490794430054
26100,-31169.3770657604
26160,-31319.744146934318
26220,-31470.592692810755
26280,-31621.92336414457
26340,-31773.736815472035
26400,-31926.03370150388
26460,-32078.814668837644
26520,-32232.080367677765
26580,-32385.831442945786
26640,-32540.0685418846
26700,-32694.79230325857
26760,-32850.00337423511
26820,-33005.70238657127
26880,-33161.88998049822
26940,-33318.56678606557
27000,-33475.73343474054
27060,-33633.39056031959
27120,-33791.538786474375
27180,-33950.17874339518
27240,-34109.31105206067
27300,-34268.936334789025
27360,-34429.05520828736
27420,-34589.66829390663
27480,-34750.776202122026
27540,-34912.37955089417
27600,-35074.4789491392
27660,-35237.07500422696
27720,-35400.168324059494
27780,-35563.75951234878
27840,-35727.84917095278
27900,-35892.43790508162
27960,-36057.526306398315
28020,-36223.11497432157
28080,-36389.20450411935
28140,-36555.7954887086
28200,-36722.888516143146
28260,-36890.48417552123
28320,-37058.58305033861
28380,-37227.18572504714
28440,-37396.29278165588
28500,-37565.904802453995
28560,-37736.022359103954
28620,-37906.64602909688
28680,-38077.77638615597
28740,-38249.413999747114
28800,-38421.55944010079
28860,-38594.21327594151
28920,-38767.376070906415
28980,-38941.048387218645
29040,-39115.230785963
29100,-39289.92382724975
29160,-39465.12806500885
29220,-39640.84405523886
29280,-39817.0723504756
29340,-39993.81349832357
29400,-40171.06804903973
29460,-40348.83654966979
29520,-40527.11954549458
29580,-40705.91757628917
29640,-40885.23117964251
29700,-41065.060897640346
29760,-41245.407264069676
29820,-41426.270811958355
29880,-41607.65207446094
29940,-41789.551578291954
30000,-41971.969854638046
30060,-42154.90742745812
30120,-42338.364820946685
30180,-42522.34255396312
30240,-42706.84114869314
30300,-42891.8611211532
30360,-43077.40298730621
30420,-43263.46726182367
30480,-43450.05445226605
30540,-43637.165070361036
30600,-43824.79962070928
30660,-44012.95860860795
30720,-44201.642540043125
30780,-44390.85191389489
30840,-44580.58722868169
30900,-44770.84898369815
30960,-44961.6376714
31020,-45152.95378684401
31080,-45344.79781781151
31140,-45537.170253785
31200,-45730.07158604858
31260,-45923.50229387138
31320,-46117.46286399702
31380,-46311.95377375125
31440,-46506.975505999384
31500,-46702.528534814235
31560,-46898.61333603752
31620,-47095.230381700116
31680,-47292.38014362092
31740,-47490.06309063028
31800,-47688.27969120486
31860,-47887.030409799474
31920,-48086.31570710455
31980,-48286.13604570475
32040,-48486.49188292638
32100,-48687.38367851796
32160,-48888.811887977165
32220,-49090.77696469274
32280,-49293.27935507041
32340,-49496.31951323801
32400,-49699.89788515865
32460,-49904.01491633934
32520,-50108.67105057406
32580,-50313.866732115814
32640,-50519.60239897345
32700,-50725.878484111476
32760,-50932.69542945677
32820,-51140.05366576786
32880,-51347.953627601884
32940,-51556.3957429775
33000,-51765.38043880705
33060,-51974.90814450792
33120,-52184.97928544279
33180,-52395.594281438556
33240,-52606.753557070275
33300,-52818.457529213774
33360,-53030.70661353621
33420,-53243.5012253365
33480,-53456.8417787651
33540,-53670.728681333196
33600,-53885.162345549405
33660,-54100.143180563326
33720,-54315.671591354185
33780,-54531.7479822182
33840,-54748.37275461883
33900,-54965.54630820125
33960,-55183.26904243716
34020,-55401.54135125174
34080,-55620.36363437625
34140,-55839.73628525629
34200,-56059.659690045584
34260,-56280.13424189496
34320,-56501.1603282897
34380,-56722.7383309533
34440,-56944.86863659078
34500,-57167.55162837888
34560,-57390.78768851225
34620,-57614.57719368927
34680,-57838.920520145606
34740,-58063.81804492187
34800,-58289.27014038596
34860,-58515.27717839807
34920,-58741.83952645188
34980,-58968.95755671901
35040,-59196.6316351354
35100,-59424.86212619142
35160,-59653.6493895991
35220,-59882.99379163975
35280,-60112.89568856537
35340,-60343.35543933617
35400,-60574.37340187278
35460,-60805.949927852715
35520,-61038.08537355862
35580,-61270.7800884179
35640,-61504.03441996655
35700,-61737.84871958004
35760,-61972.22333274872
35820,-62207.158600488365
35880,-62442.65486956385
35940,-62678.71247982611
36000,-62915.33176927606
36060,-63152.51307708642
36120,-63390.25673870135
36180,-63628.56309146009
36240,-63867.4324666191
36300,-64106.865192982674
36360,-64346.861603225574
36420,-64587.422025398606
36480,-64828.54678563635
36540,-65070.236210227595
36600,-65312.49062041764
36660,-65555.31033570929
36720,-65798.69568260199
36780,-66042.64697699671
36840,-66287.16453322454
36900,-66532.248670015
36960,-66777.89969973167
37020,-67024.11793609653
37080,-67270.90369007262
37140,-67518.25727215996
37200,-67766.17898815041
37260,-68014.6691424122
37320,-68263.72804288569
37380,-68513.35599426061
37440,-68763.55329300751
37500,-69014.32024502977
37560,-69265.65714684229
37620,-69517.5642954116
37680,-69770.04198854313
37740,-70023.09051874577
37800,-70276.71017874702
37860,-70530.90125938327
37920,-70785.66405083338
37980,-71040.99884069344
38040,-71296.9059213968
38100,-71553.3855746998
38160,-71810.43808198182
38220,-72068.06373342033
38280,-72326.26280492316
38340,-72585.03557939442
38400,-72844.38233078535
38460,-73104.30334131958
38520,-73364.7988844126
38580,-73625.8692346505
38640,-73887.51466566007
38700,-74149.7354484317
38760,-74412.53185467287
38820,-74675.90415290515
38880,-74939.85260712831
38940,-75204.37748976416
39000,-75469.47906105843
39060,-75735.15758502265
39120,-76001.41332616347
39180,-76268.24654344036
39240,-76535.6574959856
39300,-76803.6464457657
39360,-77072.21364785016
39420,-77341.35935577589
39480,-77611.08382707238
39540,-77881.38731017332
39600,-78152.27006016023
39660,-78423.73232755414
39720,-78695.77436117957
39780,-78968.39641265407
39840,-79241.59872288689
39900,-79515.38154016902
39960,-79789.7451108449
40020,-80064.6896739915
40080,-80340.21547559218
40140,-80616.32275323768
40200,-80893.01174578602
40260,-81170.28269816207
40320,-81448.1358408682
40380,-81726.57140964193
40440,-82005.58963922896
40500,-82285.19076630475
40560,-82565.37501956742
40620,-82846.14263212624
40680,-83127.49383491314
40740,-83409.428853982
40800,-83691.947918982
40860,-83975.05125575935
40920,-84258.7390898179
40980,-84543.011645607
41040,-84827.86914710865
41100,-85113.3118173964
41160,-85399.33987576335
41220,-85685.95353694624
41280,-85973.15302652656
41340,-86260.93856037375
41400,-86549.3103551821
41460,-86838.2686247274
41520,-87127.81358612135
41580,-87417.94544744899
41640,-87708.66442751164
41700,-87999.97073176995
41760,-88291.86457670467
41820,-88584.3461669978
41880,-88877.41571044935
41940,-89171.07341629583
42000,-89465.31948819298
42060,-89760.15413496816
42120,-90055.57755748174
42180,-90351.5899583219
42240,-90648.19153988382
42300,-90945.38250661935
42360,-91243.1630521709
42420,-91541.53338182604
42480,-91840.49368898523
42540,-92140.04417491355
42600,-92440.18503394283
42660,-92740.91645836065
42720,-93042.23864805173
42780,-93344.15179269547
42840,-93646.65608502689
42900,-93949.75171718073
42960,-94253.43887822494
43020,-94557.7177621516
43080,-94862.5885518794
43140,-95168.05143905437
43200,-95474.10660838358
43260,-95780.75424595011
43320,-96087.99454089308
43380,-96395.82767205396
43440,-96704.25382728732
43500,-97013.2731879832
43560,-97322.88593177669
43620,-97633.09224550927
43680,-97943.89230327921
43740,-98255.28628863227
43800,-98567.27437821204
43860,-98879.85674918657
43920,-99193.03357867061
43980,-99506.80504273264
44040,-99821.17131682634
44100,-100136.13257387403
44160,-100451.68898739728
44220,-100767.84073109283
44280,-101084.58797600288
44340,-101401.93089314959
44400,-101719.86965054339
44460,-102038.40442198113
44520,-102357.53537018276
44580,-102677.26267021915
44640,-102997.58648401349
44700,-103318.50697846904
44760,-103640.02432291202
44820,-103962.13867760389
44880,-104284.85020706774
44940,-104608.15907910645
45000,-104932.06545349643
45060,-105256.56949195052
45120,-105581.67135550975
45180,-105907.37120673418
45240,-106233.66920704936
45300,-106560.56551130893
45360,-106888.06028035245
45420,-107216.15367146875
45480,-107544.84584224893
45540,-107874.13695144787
45600,-108204.02715072889
45660,-108534.51659550736
45720,-108865.60544128266
45780,-109197.29384404136
45840,-109529.58195341437
45900,-109862.46992352216
45960,-110195.95790766162
46020,-110530.04605379062
46080,-110864.7345145083
46140,-111200.0234414381
46200,-111535.91298041325
46260,-111872.40328393748
46320,-112209.49449843822
46380,-112547.18677025501
46440,-112885.48024814425
46500,-113224.37507509433
46560,-113563.87140190248
46620,-113903.96937141735
46680,-114244.66912839677
46740,-114585.97081628615
46800,-114927.8745808194
46860,-115270.38056392787
46920,-115613.488906657
46980,-115957.19975120392
47040,-116301.51323933862
47100,-116646.42951420149
47160,-116991.94871057404
47220,-117338.07097282169
47280,-117684.79644125617
47340,-118032.12525186551
47400,-118380.05754479486
47460,-118728.5934568532
47520,-119077.73312219427
47580,-119427.47667868058
47640,-119777.82426492182
47700,-120128.77601405038
47760,-120480.33206599652
47820,-120832.49254978495
47880,-121185.25760153725
47940,-121538.62735288883
48000,-121892.60193978544
48060,-122247.18149328587
48120,-122602.36614981612
48180,-122958.15603767936
48240,-123314.55128806095
48300,-123671.55203321695
48360,-124029.15840368612
48420,-124387.37052809642
48480,-124746.18853861096
48540,-125105.61256105048
48600,-125465.64272679895
48660,-125826.27916202921
48720,-126187.52199863782
48780,-126549.3713587438
48840,-126911.82737083774
48900,-127274.89016612
48960,-127638.55986498663
49020,-128002.83659861966
49080,-128367.72048859131
49140,-128733.21166174268
49200,-129099.31024228244
49260,-129466.01635400529
49320,-129833.33011984157
49380,-130201.25166705037
49440,-130569.78111753569
49500,-130938.91859100515
49560,-131308.66421254567
49620,-131679.01810357597
49680,-132049.9803874768
49740,-132421.5511844119
49800,-132793.73061279563
49860,-133166.51879700692
49920,-133539.91586041215
49980,-133913.9219151829
50040,-134288.53708492624
50100,-134663.7614903139
50160,-135039.59524864
50220,-135416.0384792444
50280,-135793.09129767242
50340,-136170.75382435077
50400,-136549.02617987036
50460,-136927.9084760558
50520,-137307.40083260674
50580,-137687.5033676305
50640,-138068.21619223602
50700,-138449.5394270569
50760,-138831.47318846747
50820,-139214.0175900418
50880,-139597.17275200575
50940,-139980.9387824645
51000,-140365.31580255114
51060,-140750.30391907124
51120,-141135.90325002267
51180,-141522.1139097602
51240,-141908.93601207354
51300,-142296.36966927483
51360,-142684.41499825308
51420,-143073.07210887285
51480,-143462.34111140834
51540,-143852.22212305127
51600,-144242.71525043502
51660,-144633.82060817775
51720,-145025.5383090207
51780,-145417.86846207659
51840,-145810.8111796562
51900,-146204.36656939515
51960,-146598.53474431677
52020,-146993.31581512062
52080,-147388.70989144
52140,-147784.71708343216
52200,-148181.33750150676
52260,-148578.57125401052
52320,-148976.41845208348
52380,-149374.87920088667
52440,-149773.95361246885
52500,-150173.641797251
52560,-150573.9438591656
52620,-150974.85990813398
52680,-151376.39005268787
52740,-151778.5343963698
52800,-152181.29304928693
52860,-152584.66612104417
52920,-152988.6537193324
52980,-153393.2559448731
53040,-153798.47290887043
53100,-154204.30471658058
53160,-154610.75147468457
