Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0.0,0.0002,0.3392517486107397,-10.228473389024172,0.0
2,0.0002,0.0004,0.33883505988485824,-34.26283571212994,0.0
3,0.0004,0.0006,0.3386442062542816,-58.33243393834278,0.0
4,0.0006,0.0008,0.33825684823938074,-82.37736350882967,0.0
5,0.0008,0.001,0.3380195492909641,-106.47040657982586,0.0
6,0.001,0.0012,0.3376786937539324,-130.54062770115857,0.0
7,0.0012,0.0014000000000000002,0.33741450999473893,-154.65147807415858,0.0
8,0.0014000000000000002,0.0016,0.33712310874328194,-178.76018755962681,0.0
9,0.0016,0.0018,0.33678215540411743,-202.85242163068992,0.0
10,0.0018,0.002,0.3365457797429816,-227.01868770624856,0.0
11,0.002,0.0022,0.3361857811472022,-251.11093967621682,0.0
12,0.0022,0.0024,0.33601601323389824,-275.3569867253287,0.0
13,0.0024,0.0026,0.33558146470851613,-299.39431287040236,0.0
14,0.0026,0.0028000000000000004,0.33544639238975776,-323.7109996065547,0.0
15,0.0028000000000000004,0.003,0.3351507788906697,-347.8824553820646,0.0
16,0.003,0.0032,0.33492365989052086,-372.13582502274517,0.0
17,0.0032,0.0034000000000000002,0.33479671863809174,-396.51227274542816,0.0
18,0.0034000000000000002,0.0036,0.3346914531451384,-420.92629489876555,0.0
19,0.0036,0.0038,0.33471335265305896,-445.5135778229739,0.0
20,0.0038,0.004,0.3348834238622962,-470.31291011368756,0.0
21,0.004,0.0042,0.3352373749414712,-495.38718416384455,0.0
22,0.0042,0.0044,0.3358344063969301,-520.8397732865928,0.0
23,0.0044,0.0046,0.3367191488710413,-546.7603922991947,0.0
24,0.0046,0.0048,0.3379340688033358,-573.241914236831,0.0
25,0.0048,0.005,0.33951474984533403,-600.3716560557067,0.0
26,0.005,0.0052,0.3414856682530253,-628.2221256461452,0.0
27,0.0052,0.0054,0.3438627745653234,-656.8531281287014,0.0
28,0.0054,0.005600000000000001,0.34665634070209805,-686.315183988548,0.0
29,0.005600000000000001,0.0058,0.34987489253288967,-716.6559790803833,0.0
30,0.0058,0.006,0.3535293555238845,-747.9284069652439,0.0
31,0.006,0.0062,0.35763622039093507,-780.1976917146492,0.0
32,0.0062,0.0064,0.36221955790052923,-813.546823080633,0.0
33,0.0064,0.0066,0.3673120301085987,-848.0802004697288,0.0
34,0.0066,0.0068000000000000005,0.37295521142515886,-883.9258478024485,0.0
35,0.0068000000000000005,0.007000000000000001,0.3791995214797332,-921.2366760072365,0.0
36,0.007000000000000001,0.0072,0.38610387727934226,-960.190924703298,0.0
37,0.0072,0.0074,0.39373488534930157,-1000.9912500421941,0.0
38,0.0074,0.0076,0.402165000932175,-1043.8608738180872,0.0
39,0.0076,0.0078000000000000005,0.4114684587238004,-1089.0334240110647,0.0
40,0.0078000000000000005,0.008,0.42171265321857465,-1136.7297829351148,0.0
41,0.008,0.0082,0.43294036965368493,-1187.1085162333125,0.0
42,0.0082,0.0084,0.44513316714134654,-1240.1613444012296,0.0
43,0.0084,0.0086,0.4581320370865685,-1295.4833360606224,0.0
44,0.0086,0.0088,0.4714288272079808,-1351.6648364889966,0.0
45,0.0088,0.009000000000000001,0.4833961590279804,-1404.0402342034215,0.0
46,0.009000000000000001,0.0092,0.4867833809710409,-1431.4672251584875,0.0
47,0.0092,0.0094,0.45001978597156245,-1340.725112436227,0.0
48,0.0094,0.0096,0.33397289882821113,-1013.9904666903041,0.0
49,0.0096,0.0098,0.2477852128364388,-777.0560567451921,0.0
50,0.0098,0.01,0.313903531629339,-1018.0686771108561,0.0
51,0.01,0.0102,0.39522581383210914,-1309.3801024901081,0.0
52,0.0102,0.0104,0.3634107725581193,-1225.2057663137055,0.0
53,0.0104,0.0106,0.3012374242487942,-1038.5574081126802,0.0
54,0.0106,0.0108,0.30537778287622036,-1080.1499549209905,0.0
55,0.0108,0.011000000000000001,0.33821970333438595,-1223.7064633410776,0.0
56,0.011000000000000001,0.011200000000000002,0.33524908066854575,-1237.5918597035632,0.0
57,0.011200000000000002,0.0114,0.3202569704628617,-1207.016159299653,0.0
58,0.0114,0.0116,0.3212960044081376,-1236.845887422344,0.0
59,0.0116,0.0118,0.32620042428134993,-1281.6079103259965,0.0
60,0.0118,0.012,0.3250112624765962,-1302.4312973572623,0.0
61,0.012,0.012199999999999999,0.3233003306950271,-1321.159573168791,0.0
62,0.012199999999999999,0.0124,0.32345994159809055,-1347.5403869922732,0.0
63,0.0124,0.0126,0.323500658414235,-1373.435620854645,0.0
64,0.0126,0.0128,0.3231012938869584,-1397.4688590321607,0.0
65,0.0128,0.013000000000000001,0.32279979162484446,-1421.9318712730546,0.0
66,0.013000000000000001,0.0132,0.32257514995084835,-1446.7405205325151,0.0
67,0.0132,0.0134,0.3223208866593425,-1471.4232014070865,0.0
68,0.0134,0.013600000000000001,0.3220598193105632,-1496.0815428475598,0.0
69,0.013600000000000001,0.013800000000000002,0.3218064382501827,-1520.7822723873687,0.0
70,0.013800000000000002,0.014000000000000002,0.321554526326249,-1545.4965681287126,0.0
71,0.014000000000000002,0.014199999999999999,0.3213030400783986,-1570.219458869495,0.0
72,0.014199999999999999,0.0144,0.3210530466178194,-1594.956124524033,0.0
73,0.0144,0.0146,0.32080451757947737,-1619.7064768259938,0.0
74,0.0146,0.0148,0.32055735003287356,-1644.4700460047507,0.0
75,0.0148,0.015,0.32031158511690816,-1669.2470849369386,0.0
76,0.015,0.0152,0.32006724697313416,-1694.0377650119358,0.0
77,0.0152,0.0154,0.31982434715645963,-1718.842195256785,0.0
78,0.0154,0.015600000000000001,0.31958290065235506,-1743.660505355137,0.0
79,0.015600000000000001,0.0158,0.31934292262096076,-1768.4928287460802,0.0
80,0.0158,0.016,0.31910442727656835,-1793.339296473694,0.0
81,0.016,0.016200000000000003,0.3188674278345719,-1818.2000366648654,0.0
82,0.016200000000000003,0.0164,0.3186319351851582,-1843.0751667185036,0.0
83,0.0164,0.0166,0.3183979543190956,-1867.9647720273013,0.0
84,0.0166,0.0168,0.31816547528517286,-1892.8688513660613,0.0
85,0.0168,0.017,0.31793445107474694,-1917.7871813429565,0.0
86,0.017,0.0172,0.3177047462218587,-1942.7189964827824,0.0
87,0.0172,0.0174,0.31747602417382226,-1967.6622769803062,0.0
88,0.0174,0.0176,0.31724751717798194,-1992.6122691125256,0.0
89,0.0176,0.0178,0.31701759492958775,-2017.5586617729728,0.0
90,0.0178,0.018000000000000002,0.316783042184549,-2042.4807614010206,0.0
91,0.018000000000000002,0.0182,0.3165380314165921,-2067.340451313707,0.0
92,0.0182,0.0184,0.3162730369007901,-2092.074415583261,0.0
93,0.0184,0.018600000000000002,0.31597446434572335,-2116.590726767791,0.0
94,0.018600000000000002,0.0188,0.3156264533588228,-2140.7798721414256,0.0
95,0.0188,0.019000000000000003,0.3152164377420078,-2164.551906765638,0.0
96,0.019000000000000003,0.0192,0.3147443839241221,-2187.9007990343916,0.0
97,0.0192,0.0194,0.3142307296651424,-2210.962929818956,0.0
98,0.0194,0.0196,0.31371370684068817,-2234.003605105946,0.0
99,0.0196,0.019799999999999998,0.3132276608545092,-2257.2672352712166,0.0
100,0.019799999999999998,0.02,0.3127802131909195,-2280.8116277039894,0.0
