time,Energy Leak from beginning
60,-3.0139084106997416
120,-6.005595257352297
180,-8.985298798749
240,-11.95802142968762
300,-14.926271327220434
360,-17.89145864665136
420,-20.854452944496074
480,-23.815825324832645
540,-26.775960013823124
600,-29.73511978534316
660,-32.693484042566524
720,-35.651177061141766
780,-38.608284874541255
840,-41.56486635996782
900,-44.52096302836367
960,-47.47660179309344
1020,-50.43180311767367
1080,-53.38658059542513
1140,-56.340942874253415
1200,-59.2948967214719
1260,-62.24844640853166
1320,-65.2015951031342
1380,-68.15434463703946
1440,-71.10669625072796
1500,-74.05865198135325
1560,-77.01021126647458
1620,-79.96137485083773
1680,-82.91214289399909
1740,-85.86251575537392
1800,-88.81249348882386
1860,-91.76207578046399
1920,-94.7112635004521
1980,-97.66005536352361
2040,-100.60845255361085
2100,-103.556454610542
2160,-106.50406156050417
2220,-109.45127356215323
2280,-112.39808945707341
2340,-115.34450990747939
2400,-118.29053559046963
2460,-121.23616516559014
2520,-124.18139995995853
2580,-127.12623862399232
2640,-130.0706815502407
2700,-133.01472838036045
2760,-135.95837933984296
2820,-138.90163446965857
2880,-141.84449380551666
2940,-144.78695731478
3000,-147.7290253943363
3060,-150.67069712469606
3120,-153.61197236442183
3180,-156.55285135967495
3240,-159.49333426006103
3300,-162.433420420291
3360,-165.37311052937503
3420,-168.31240449238908
3480,-171.25130221742336
3540,-174.18980321107688
3600,-177.12790768091008
3660,-180.06561593527397
3720,-183.0029272844149
3780,-185.93984182711176
3840,-188.87635974882096
3900,-191.81248073640165
3960,-194.74820492738354
4020,-197.68353198964735
4080,-200.61846233119059
4140,-203.5529956302937
4200,-206.48713230854628
4260,-209.42087229896367
4320,-212.3542146429977
4380,-215.28715968499796
4440,-218.21970724871017
4500,-221.15185734709303
4560,-224.08361011202373
4620,-227.01496597231232
4680,-229.94592445479452
4740,-232.87648547683034
4800,-235.80664950280902
4860,-238.73641579241576
4920,-241.66578474897733
4980,-244.5947559178437
5040,-247.5233292150366
5100,-250.4515055107488
5160,-253.3792837215011
5220,-256.3066649133017
5280,-259.2336480043946
5340,-262.16023286726966
5400,-265.08642074799513
5460,-268.0122106200122
5520,-270.9376025403926
5580,-273.86259688688335
5640,-276.787193517011
5700,-279.7113921116478
5760,-282.63519254817174
5820,-285.5585951310761
5880,-288.4816004966582
5940,-291.4042067401829
