time,Energy Leak from beginning
60,-4.9234839690873
120,-9.843795180826163
180,-14.762008003457055
240,-19.678826193431405
300,-24.59471495846124
360,-29.50998331956031
420,-34.424837203431224
480,-39.339414047843526
540,-44.25380555584347
600,-49.16807304633209
660,-54.082257622461455
720,-58.996386710936726
780,-63.91047863998162
840,-68.82454573022052
900,-73.73859617595855
960,-78.65263546124166
1020,-83.56666736358268
1080,-88.48069425956074
1140,-93.39471784174854
1200,-98.30873910558803
1260,-103.22275886530828
1320,-108.13677768858214
1380,-113.0507958788174
1440,-117.96481356793353
1500,-122.87883089579421
1560,-127.79284802402702
1620,-132.7068650779473
1680,-137.62088201330442
1740,-142.53489894980333
1800,-147.4489157566519
1860,-152.36293252892466
1920,-157.27694932912124
1980,-162.19096610921528
2040,-167.10498292017846
2100,-172.0189996761176
2160,-176.93301644440933
2220,-181.84703322924113
2280,-186.76104996042497
2340,-191.6750666684424
2400,-196.5890834206454
2460,-201.50310015565947
2520,-206.4171169060055
2580,-211.33113363517785
2640,-216.24515033344758
2700,-221.15916706552616
2760,-226.073183875902
2820,-230.98720057093442
2880,-235.9012173595148
2940,-240.81523412623724
3000,-245.72925084423213
3060,-250.64326764883035
3120,-255.55728438605541
3180,-260.4713011294608
3240,-265.3853179017935
3300,-270.29933471553835
3360,-275.21335147025854
3420,-280.1273681894886
3480,-285.0413849924331
3540,-289.95540182272697
3600,-294.8694186049291
3660,-299.78343542923346
3720,-304.6974521833656
3780,-309.6114689967909
3840,-314.525485711794
3900,-319.4395024974512
3960,-324.3535192612751
4020,-329.26753600737356
4080,-334.1815527579821
4140,-339.0955694847872
4200,-344.0095862663238
4260,-348.9236030161255
4320,-353.83761976539466
4380,-358.7516365465367
4440,-363.66565329783936
4500,-368.5796700366238
4560,-373.4936868477505
4620,-378.40770364696147
4680,-383.3217203835192
4740,-388.23573713841523
4800,-393.1497539252505
4860,-398.0637706596362
4920,-402.97778744470867
4980,-407.89180417224304
5040,-412.8058209181414
5100,-417.71983770669453
5160,-422.63385441018534
5220,-427.54787118748203
5280,-432.4618879621985
5340,-437.3759047485802
5400,-442.2899214826687
5460,-447.20393820346715
5520,-452.1179549618606
5580,-457.0319717369315
5640,-461.9459883965507
5700,-466.8600051972591
5760,-471.77402196078185
5820,-476.68803873308127
5880,-481.60205554641266
5940,-486.5160723091604
6000,-491.43008906791994
6060,-496.3441058207435
6120,-501.25812260318384
6180,-506.1721392713823
6240,-511.0861560645824
6300,-516.0001728212558
6360,-520.9141896025536
6420,-525.8282063722622
6480,-530.742223084084
6540,-535.6562398555197
6600,-540.5702566131008
6660,-545.4842733322521
6720,-550.3982901968715
6780,-555.3123070093346
6840,-560.2263237513317
6900,-565.1403404201154
6960,-570.054357191087
7020,-574.9683738953925
7080,-579.8823907154961
7140,-584.796407461015
7200,-589.7104241946852
7260,-594.6244410112909
7320,-599.5384577524335
7380,-604.452474515914
7440,-609.366491305988
7500,-614.2805080868684
7560,-619.194524882181
7620,-624.1085417095203
7680,-629.0225584625027
7740,-633.936575294064
7800,-638.8505920593395
7860,-643.764608829212
7920,-648.6786255546189
7980,-653.5926423344577
8040,-658.5066590763159
8100,-663.4206757951285
8160,-668.3346925714372
8220,-673.2487093083932
8280,-678.1627261038549
8340,-683.0767428389693
8400,-687.9907596024018
8460,-692.9047763448028
8520,-697.8187931111046
8580,-702.7328098476424
8640,-707.646826594283
8700,-712.5608433591362
8760,-717.4748601169101
8820,-722.3888769187419
8880,-727.302893676648
8940,-732.2169104061821
9000,-737.1309271825553
9060,-742.0449438817905
9120,-746.958960660272
9180,-751.8729774736084
9240,-756.7869941473054
9300,-761.7010109087948
9360,-766.6150277046847
9420,-771.5290444556853
9480,-776.4430612859059
9540,-781.3570780602236
9600,-786.2710948596365
9660,-791.1851116434291
9720,-796.0991283877667
9780,-801.0131451513296
9840,-805.9271618963969
9900,-810.8411786494127
9960,-815.7551954343654
10020,-820.6692122359478
10080,-825.5832289931133
10140,-830.4972457219477
10200,-835.4112624379388
10260,-840.3252791827739
10320,-845.2392959015632
10380,-850.1533126677353
10440,-855.0673295131359
10500,-859.981346245781
10560,-864.8953630277583
10620,-869.809379809559
10680,-874.7233965322587
10740,-879.6374132783583
10800,-884.5514300104279
10860,-889.465446749066
10920,-894.3794634825832
10980,-899.293480281576
11040,-904.2074970342767
11100,-909.1215137843224
11160,-914.0355305455963
11220,-918.9495472972983
11280,-923.8635640941045
11340,-928.7775809152616
11400,-933.6915976200644
11460,-938.6056143465848
11520,-943.519631139245
11580,-948.4336478970022
11640,-953.3476646471607
11700,-958.2616814586679
11760,-963.1756981660245
11820,-968.0897149290872
11880,-973.0037316821398
11940,-977.9177484273868
12000,-982.8317652287145
12060,-987.7457820230746
12120,-992.6597987444644
12180,-997.5738155067482
12240,-1002.4878323107872
12300,-1007.4018491337827
12360,-1012.3158659293192
12420,-1017.2298826537929
12480,-1022.1438994616406
12540,-1027.0579161905669
12600,-1031.9719329608276
12660,-1036.8859497878389
12720,-1041.7999665447433
12780,-1046.7139833328456
12840,-1051.6280000597621
12900,-1056.5420168421538
12960,-1061.4560336085246
13020,-1066.3700503508683
13080,-1071.2840671001663
13140,-1076.1980838865281
13200,-1081.1121005906841
13260,-1086.0261174470136
13320,-1090.940134207761
13380,-1095.8541509611587
13440,-1100.7681677718285
13500,-1105.6821845548968
13560,-1110.5962013333865
13620,-1115.5102180632555
13680,-1120.4242348933863
13740,-1125.3382516600286
13800,-1130.2522684217279
13860,-1135.1662851631347
13920,-1140.0803019308948
