time,Energy Leak from beginning
60,-2.9214151586334083
120,-5.834451825326482
180,-8.741845524665791
240,-11.645444066701543
300,-14.546496228832098
360,-17.445842356589765
420,-20.34404636215629
480,-23.241485963794844
540,-26.138414008287782
600,-29.034999775010874
660,-31.93135648710677
720,-34.82755990870942
780,-37.72366078359994
840,-40.61969305148523
900,-43.515679357960835
960,-46.411634837751535
1020,-49.3075698105323
1080,-52.203490960394674
1140,-55.09940294561147
1200,-57.99530870496187
1260,-60.89121042853117
1320,-63.78710931647845
1380,-66.68300639392135
1440,-69.57890224824928
1500,-72.47479723295908
1560,-75.37069169017889
1620,-78.26658578051683
1680,-81.1624795964284
1740,-84.05837327278493
1800,-86.95426679961349
1860,-89.85016028797736
1920,-92.74605371495068
1980,-95.64194702494933
2040,-98.53784038045751
2100,-101.4337336748141
2160,-104.3296270116308
2220,-107.22552034037597
2280,-110.12141369570634
2340,-113.01730707205763
2400,-115.91320044095482
2460,-118.80909378154286
2520,-121.70498714589803
2580,-124.60088044717259
2640,-127.49677378416493
2700,-130.392667101911
2760,-133.2885603518339
2820,-136.18445369551625
2880,-139.08034695999254
2940,-141.97624028993255
3000,-144.87213357580515
3060,-147.76802690116108
3120,-150.6639201432149
3180,-153.55981348834734
3240,-156.45570685051734
3300,-159.35160016630311
3360,-162.2474935269795
3420,-165.14338683774565
3480,-168.03928019402622
3540,-170.9351734675771
3600,-173.8310668073991
3660,-176.7269601681229
3720,-179.6228534942495
3780,-182.51874681155994
3840,-185.41464018444003
3900,-188.3105335262586
3960,-191.2064268822577
4020,-194.1023202072306
4080,-196.9982134517959
4140,-199.8941067235554
4200,-202.7900000466143
4260,-205.6858932800717
4320,-208.58178658988197
4380,-211.47768000344422
4440,-214.3735733732923
4500,-217.26946672417648
4560,-220.165359998976
4620,-223.06125328958763
4680,-225.9571466095406
4740,-228.8530399221736
4800,-231.74893321367438
4860,-234.6448264892971
4920,-237.54071979721914
4980,-240.43661316991643
5040,-243.33250653541995
5100,-246.22839982723417
5160,-249.12429313005532
5220,-252.02018643611643
5280,-254.91607970819211
5340,-257.8119730526822
5400,-260.70786634871297
5460,-263.60375964865
5520,-266.4996529715917
5580,-269.395546287642
5640,-272.29143959046803
5700,-275.1873328713888
5760,-278.0832261712518
5820,-280.97911953139305
5880,-283.87501286906615
5940,-286.77090615460963
6000,-289.666799429389
6060,-292.56269272240036
6120,-295.4585860638796
6180,-298.3544794124422
6240,-301.2503727449931
6300,-304.14626606779416
6360,-307.04215938064647
6420,-309.9380527285655
6480,-312.8339460194759
6540,-315.7298393129031
6600,-318.625732611285
6660,-321.5216258826225
6720,-324.4175192033905
6780,-327.3134125568546
6840,-330.2093058566279
6900,-333.1051991568461
6960,-336.00109248209435
7020,-338.8969857728739
7080,-341.79287908289155
7140,-344.6887724238816
7200,-347.5846657207861
7260,-350.4805590541147
7320,-353.3764524012198
7380,-356.2723456854444
7440,-359.1682390225873
7500,-362.0641323463011
7560,-364.96002556364226
7620,-367.8559188919363
7680,-370.7518121362632
7740,-373.6477054370249
7800,-376.54359883157065
7860,-379.43949218346404
7920,-382.3353855021535
7980,-385.23127875018554
8040,-388.12717208339745
8100,-391.02306545556723
8160,-393.9189587533417
8220,-396.8148520872744
8280,-399.7107453638648
8340,-402.6066387062135
8400,-405.50253200782265
8460,-408.39842531426905
8520,-411.29431859644023
8580,-414.19021188476324
8640,-417.08610517750424
8700,-419.98199856964516
8760,-422.8778919159496
8820,-425.7737852592775
8880,-428.66967856633096
