time,Energy Leak from beginning
60,-5.312032860011868
120,-10.609503164575472
180,-15.888060536628814
240,-21.146935560767247
300,-26.38603735919878
360,-31.60492904733121
420,-36.801524188377584
480,-41.9669783210594
540,-47.040957224020644
600,-52.71727678907621
660,-57.98998256849336
720,-63.2007069212749
780,-68.37067596927534
840,-73.51737302778099
900,-78.6481083668208
960,-83.76613552163406
1020,-88.87320128923761
1080,-93.97043533566625
1140,-99.058662765789
1200,-104.13855515686305
1260,-109.21067853771785
1320,-114.27554288526915
1380,-119.33360288560061
1440,-124.38528133518753
1500,-129.43096231641425
1560,-134.47099960276023
1620,-139.50572812945893
1680,-144.53544871869155
1740,-149.560443860095
1800,-154.58097329045643
1860,-159.59727288945237
1920,-164.60956249332685
1980,-169.61804513908203
2040,-174.6229052813086
2100,-179.62431382798832
2160,-184.62242833813934
2220,-189.6173957147829
2280,-194.6093463995985
2340,-199.59840380866933
2400,-204.58468008877503
2460,-209.56828384518553
2520,-214.54930701158946
2580,-219.52784084736345
2640,-224.5039649511126
2700,-229.47776156157136
2760,-234.44929935459277
2820,-239.41865133499743
2880,-244.38588836255622
2940,-249.35107874137793
3000,-254.31429645222022
3060,-259.275619281368
3120,-264.23512671152196
3180,-269.1929099697162
3240,-274.1490672250569
3300,-279.10369689805987
3360,-284.0569085482904
3420,-289.0088128156119
3480,-293.9595199205769
3540,-298.90913893637037
3600,-303.85777405714134
3660,-308.80552328009185
3720,-313.75246922973906
3780,-318.6986868863502
3840,-323.6442390807807
3900,-328.5891678395825
3960,-333.53351536546427
4020,-338.47730121120946
4080,-343.4205470953036
4140,-348.3632625726167
4200,-353.305446510327
4260,-358.2471031417058
4320,-363.1882309835212
4380,-368.12883783927373
4440,-373.06893683084763
4500,-378.00854519525126
4560,-382.9476900679467
4620,-387.8864171571357
4680,-392.82478439077056
4740,-397.76287281905616
4800,-402.70078493032054
4860,-407.6386363130016
4920,-412.57654890683
4980,-417.51464694957644
5040,-422.45284782732665
5100,-427.39139566073925
5160,-432.3303800165014
5220,-437.2698666044055
5280,-442.20989808630895
5340,-447.1504905233545
5400,-452.0916381703578
5460,-457.03331562807637
5520,-461.9754805223761
5580,-466.91807744445134
5640,-471.8610403448007
5700,-476.8043059666793
5760,-481.74781553367063
5820,-486.6915114792131
5880,-491.6353524371649
5940,-496.5793169403132
6000,-501.52339579116494
6060,-506.4676043518481
6120,-511.41198071658414
6180,-516.3565827787371
6240,-521.3014881973214
6300,-526.2467832528729
6360,-531.1925614071632
6420,-536.1389193319511
6480,-541.0859424676672
6540,-546.0337109924781
6600,-550.9822738129297
6660,-555.9316751414095
6720,-560.8819255605497
6780,-565.8330180965481
6840,-570.784924631503
6900,-575.7376012483995
6960,-580.6910036968679
7020,-585.6450695465008
7080,-590.5997424206736
7140,-595.5549587937537
7200,-600.5106712672128
7260,-605.4668354890387
7320,-610.4234258459321
7380,-615.3804314884047
7440,-620.3378560571965
7500,-625.2957232844334
7560,-630.2540664672846
7620,-635.2129212861225
7680,-640.1723458609931
7740,-645.1323854942866
7800,-650.0930867822062
