time,Energy Leak from beginning
60,-11.68865943849596
120,-23.284561322832246
180,-34.78376157265586
240,-46.173999536048996
300,-57.340636114376025
360,-69.18515031220738
420,-80.59857692547007
480,-91.84497121536003
540,-103.00946382994948
600,-114.11850515502988
660,-125.18091646683354
720,-136.20171353204273
780,-147.18464400566756
840,-158.13285097100186
900,-169.04909595608547
960,-179.93585622528758
1020,-190.79536791402563
1080,-201.6296487989198
1140,-212.4405351756244
1200,-223.22968247999916
1260,-233.99859586995308
1320,-244.748645209776
1380,-255.48107362718565
1440,-266.19704237760425
1500,-276.8976382167815
1560,-287.5839224567751
1620,-298.2569515816358
1680,-308.91780945846665
1740,-319.5676394382199
1800,-330.20765904867415
1860,-340.83914678571955
1920,-351.4634359612262
1980,-362.08186829011504
2040,-372.69573954562975
2100,-383.3062441577082
2160,-393.91443005003646
2220,-404.5211740386118
2280,-415.12716655361885
2340,-425.7329340975442
2400,-436.33885878304795
2460,-446.9451998678851
2520,-457.55214656603846
2580,-468.15983601712844
2640,-478.76838527112454
2700,-489.3779320617807
2760,-499.98862445445786
2820,-510.6006477472105
2880,-521.2142257507153
2940,-531.8295962759615
3000,-542.4469854151945
3060,-553.0664991548506
3120,-563.6876666822432
3180,-574.2558898433003
3240,-584.8789364981451
3300,-595.5067154436566
3360,-606.1406968974441
3420,-616.7808887061389
3480,-627.4240944476576
3540,-638.0720603843934
3600,-648.7245444573338
3660,-659.3812763450458
3720,-670.04201714369
3780,-680.7065625545556
3840,-691.3747485846069
3900,-702.0464597800191
3960,-712.7216149264461
4020,-723.4001601055436
4080,-734.0820521789553
4140,-744.7672462091657
4200,-755.4556693351678
4260,-766.1472263325234
4320,-776.8417531723004
4380,-787.5389579032155
4440,-798.238246806157
4500,-808.9375800764416
4560,-819.6839081019098
4620,-830.4046918942565
4680,-841.126235435622
4740,-851.8495030732589
4800,-862.5745571581197
4860,-873.301356295188
4920,-884.029849053156
4980,-894.7599902693125
5040,-905.4917543043184
5100,-916.2251205236512
5160,-926.9600600866002
5220,-937.6965603607434
5280,-948.434581285968
5340,-959.1740894208565
5400,-969.9150068310338
5460,-980.6572874531952
5520,-991.4008611043837
5580,-1002.1456569501029
5640,-1012.8916160273141
5700,-1023.6386672856685
5760,-1034.3867642810737
5820,-1045.1358660317587
5880,-1055.8859242338917
5940,-1066.6369307699479
6000,-1077.388866300285
6060,-1088.1417309568915
6120,-1098.8955245806123
6180,-1109.6502314601125
6240,-1120.4058403928384
6300,-1131.1623387550856
6360,-1141.919662089974
6420,-1152.677791272542
6480,-1163.4366661647055
6540,-1174.1961823509932
6600,-1184.9561726404504
6660,-1195.7164512188558
6720,-1206.4766741057388
6780,-1217.2360850900009
6840,-1227.992805796011
6900,-1238.7395091596159
6960,-1249.3617999261023
7020,-1260.0405752458864
7080,-1270.8300549146538
7140,-1281.6194988518314
7200,-1292.4084736197506
7260,-1303.1968674108584
7320,-1313.9834539823128
7380,-1324.7943714633125
7440,-1335.5857281315734
7500,-1346.3757166327393
7560,-1357.1663838780541
7620,-1367.9628501817929
7680,-1378.7426560350468
7740,-1389.5309522922732
7800,-1400.3237903659924
7860,-1411.1205231195831
7920,-1421.9209373721162
7980,-1432.7248116325327
8040,-1443.5319596374666
8100,-1454.3420865665898
8160,-1465.1548979123181
8220,-1475.9700575862657
8280,-1486.787271551189
8340,-1497.6063481371912
8400,-1508.4271576829797
8460,-1519.2494560594657
8520,-1530.0728013004432
8580,-1540.8964148831744
8640,-1551.7186637455854
8700,-1562.5393664899566
8760,-1573.3567061938825
8820,-1584.1696775619168
8880,-1594.977529260345
8940,-1605.779879906318
9000,-1616.576650759017
9060,-1627.3680711516795
9120,-1638.1544480074458
9180,-1648.9363726305223
9240,-1659.7144133162747
9300,-1670.4892128854854
9360,-1681.2613860454553
9420,-1692.0314315503792
9480,-1702.7996752382091
9540,-1713.5662227841353
9600,-1724.3306004813123
9660,-1735.0919219869143
9720,-1745.8517994815088
9780,-1756.6186033959702
9840,-1767.394233005512
9900,-1778.174178723576
9960,-1788.9735256877595
10020,-1799.7755798824596
10080,-1810.561865601162
10140,-1821.3608461606648
10200,-1832.1676687616425
10260,-1842.976548623104
10320,-1853.7906202228876
10380,-1864.6074600177103
10440,-1875.3844232384554
10500,-1886.2299389408945
10560,-1897.0880999997585
10620,-1907.9569120371614
10680,-1918.8302523608095
10740,-1929.7103384334596
10800,-1940.6010960376868
10860,-1951.5055237481192
10920,-1962.426501133668
10980,-1973.3675341270568
11040,-1984.3331145096777
11100,-1995.3290455363335
11160,-2006.3606954565453
11220,-2017.419499762695
11280,-2028.4654087615613
11340,-2039.4420282902133
11400,-2050.370377386038
11460,-2061.27101778204
11520,-2072.155849267202
11580,-2083.0317491693972
11640,-2093.9028746303857
11700,-2104.7717517624947
11760,-2115.639769903204
11820,-2126.506799303797
11880,-2137.336547284823
11940,-2148.1972353893566
12000,-2159.0594483304185
12060,-2169.925700100413
12120,-2180.7967212606304
12180,-2191.6728840353658
12240,-2202.554418840364
12300,-2213.4416477944337
12360,-2224.325032051966
12420,-2235.225265608775
12480,-2246.1320356187503
12540,-2257.0445133255594
12600,-2267.961852302361
12660,-2278.9421337761723
12720,-2289.870632534054
12780,-2300.8008737567616
12840,-2311.734213015731
12900,-2322.6706310450872
12960,-2333.60977428318
13020,-2344.551141199731
13080,-2355.494060609948
13140,-2366.437818192618
13200,-2377.3817207685997
13260,-2388.32523730978
13320,-2399.26829882582
13380,-2410.2116725727956
13440,-2421.157681842724
13500,-2432.1120985843054
13560,-2443.017379726896
13620,-2453.9886256213485
13680,-2464.980992778457
13740,-2475.989982866251
13800,-2487.002444756088
13860,-2498.0347113327753
13920,-2509.076867327199
13980,-2520.1258966370924
14040,-2531.1796321691245
14100,-2542.2363750410414
14160,-2553.294711440605
14220,-2564.3535392216813
14280,-2575.4119959849722
14340,-2586.469431066218
14400,-2597.525403367598
14460,-2608.579518508939
14520,-2619.628330737401
14580,-2630.6824629138027
14640,-2641.7363648206
14700,-2652.7912503848956
14760,-2663.8482273417494
14820,-2674.909292799429
14880,-2685.9782311196864
14940,-2697.0602180872156
15000,-2708.1598068273797
15060,-2719.27915682702
15120,-2730.417588971379
15180,-2741.5587080058244
15240,-2752.7279247182505
15300,-2763.908429730721
15360,-2775.0968158532105
15420,-2786.290701324947
15480,-2797.4881357880627
15540,-2808.6873938940307
15600,-2819.8865834679104
15660,-2831.069615030223
15720,-2842.259616143008
15780,-2853.441123540951
15840,-2864.6252779344336
15900,-2875.803997403071
15960,-2886.977395699507
16020,-2898.145883780673
16080,-2909.3105207911185
16140,-2920.47335647219
16200,-2931.63707613904
16260,-2942.805036773091
16320,-2953.980341871222
16380,-2965.1643715241958
16440,-2976.3565854790286
16500,-2987.5659450108365
16560,-2998.8019317017324
16620,-3010.0572023847726
16680,-3021.3268267698068
16740,-3032.6019494020275
16800,-3043.8885789749525
16860,-3055.1819470433957
16920,-3066.4796663021707
16980,-3077.7800244605055
17040,-3089.0810535057262
17100,-3100.3796987653527
17160,-3111.646767148008
17220,-3122.9624709623677
17280,-3134.267139603604
17340,-3145.5749330776252
17400,-3156.8791489066057
17460,-3168.180552645483
17520,-3179.4792275386258
17580,-3190.775648204864
17640,-3202.0711607883436
17700,-3213.3687969156163
17760,-3224.6732313183134
17820,-3235.9899332843047
17880,-3247.323444845717
17940,-3258.6758098018336
18000,-3270.0469444548617
18060,-3281.4258667606427
18120,-3292.8272866370544
18180,-3304.24217521272
18240,-3315.6685050599744
18300,-3327.104639132983
18360,-3338.549608195005
18420,-3350.002549537109
18480,-3361.4627066181665
18540,-3372.9294220618694
18600,-3384.4013944536446
18660,-3395.8828218090457
18720,-3407.367138833884
18780,-3418.8553844172257
18840,-3430.347069073298
18900,-3441.8416476193975
18960,-3453.3386841316487
19020,-3464.8381193608857
19080,-3476.340531543535
19140,-3487.8475352297037
19200,-3499.3619122588643
19260,-3511.0073476383536
19320,-3522.4922918071725
19380,-3533.9870260796033
19440,-3545.4968364492597
19500,-3557.0227854339378
19560,-3568.5643077102477
19620,-3580.120423627075
