Elt n°,zbot,ztop,Phii,Energy,EnergyGoneSettling
1,0,1.1749095203596583e-05,0.5093513832995362,0.019983345913053924,8.311921553579438e-06
2,1.1749095203596583e-05,2.3497093145967324e-05,0.5086899838624611,-0.09638817639525898,8.414846353281539e-06
3,2.3497093145967324e-05,3.5248690204167066e-05,0.5086349852800948,-0.2131414343998213,8.404230633306122e-06
4,3.5248690204167066e-05,4.700527084067981e-05,0.5086732203724039,-0.3301158193570656,8.376522219346362e-06
5,4.700527084067981e-05,5.876541852110695e-05,0.5085385133715447,-0.4470114820853023,8.381195833783124e-06
6,5.876541852110695e-05,7.052818477462301e-05,0.5083926623692375,-0.5639502880150938,8.387366835178703e-06
7,7.052818477462301e-05,8.229342292930087e-05,0.508305821748918,-0.6810421190848768,8.382023330248387e-06
8,8.229342292930087e-05,9.406119581995071e-05,0.508234470547677,-0.7982379802631637,8.373700881422277e-06
9,9.406119581995071e-05,0.00010583148251240313,0.5081421623326601,-0.9154683781685002,8.369382403340707e-06
10,0.00010583148251240313,0.00011760419653781781,0.5080328355561914,-1.0327299556529586,8.36827455838251e-06
11,0.00011760419653781781,0.00012937926866156884,0.5079246406936185,-1.1500597275230156,8.366893735074101e-06
12,0.00012937926866156884,0.00014115667741755776,0.5078265147511337,-1.2674836246533798,8.363543781576685e-06
13,0.00014115667741755776,0.00015293643252294834,0.507735384804373,-1.3849983165514839,8.358832085959254e-06
14,0.00015293643252294834,0.00016471854873864803,0.5076440648606004,-1.5025846368929026,8.354145223895418e-06
15,0.00016471854873864803,0.00017650303193937595,0.5075481105383045,-1.6202273348682288,8.350335496514211e-06
16,0.00017650303193937595,0.0001882898787835169,0.5074475510115966,-1.737924289174356,8.34739469196052e-06
17,0.0001882898787835169,0.00020007908263744865,0.5073450623886153,-1.855683789382059,8.344807980244824e-06
18,0.00020007908263744865,0.0002118706390343003,0.5072434455571279,-1.9735166405959368,8.34203799397993e-06
19,0.0002118706390343003,0.000223664547886946,0.5071441387283838,-2.0914297333214042,8.33880939565774e-06
20,0.000223664547886946,0.00023546081285170118,0.5070470435032641,-2.2094239049200914,8.335141621418728e-06
21,0.00023546081285170118,0.00024725943940569726,0.5069511366571896,-2.327495424199241,8.331231226378973e-06
22,0.00024725943940569726,0.0002590604330282419,0.5068552301971331,-2.4456389782652423,8.327306089574602e-06
23,0.0002590604330282419,0.0002708637981558325,0.5067584898363519,-2.563850283951945,8.323526133505564e-06
24,0.0002708637981558325,0.00028266953796329906,0.5066606076173045,-2.682127392653071,8.319950414024919e-06
25,0.00028266953796329906,0.00029447765467889857,0.5065617150024592,-2.8004706891076268,8.316553853276712e-06
26,0.00029447765467889857,0.0003062881500932921,0.5064621800933904,-2.918882083821152,8.313266073607486e-06
27,0.0003062881500932921,0.0003181010260105928,0.5063624075835482,-3.037363979540547,8.310009663998622e-06
28,0.0003181010260105928,0.0003299162845110994,0.5062627079348407,-3.1559184471715063,8.30672518765131e-06
29,0.0003299162845110994,0.00034173392803868316,0.5061632465743348,-3.2745467929144434,8.303380905152078e-06
30,0.00034173392803868316,0.0003535539593631975,0.5060640533556964,-3.393249488612425,8.299970984685765e-06
31,0.0003535539593631975,0.0003653763814702362,0.5059650661270338,-3.5120263573349524,8.296507189997805e-06
32,0.0003653763814702362,0.00037720119744114527,0.5058661803890818,-3.630876858749618,8.293009397234586e-06
33,0.00037720119744114527,0.00038902841036211585,0.5057672896967822,-3.7498003638631574,8.289497878210739e-06
34,0.00038902841036211585,0.00040085802326906265,0.5056683111580017,-3.86879635708584,8.285988431975472e-06
35,0.00040085802326906265,0.00041269003913418294,0.5055691943875015,-3.9878645352465782,8.28249067496404e-06
36,0.00041269003913418294,0.0004245244608648148,0.5054699197765188,-4.107004820083233,8.279008356992488e-06
37,0.0004245244608648148,0.0004363612913142967,0.5053704908811151,-4.226217320242716,8.275540804672462e-06
38,0.0004363612913142967,0.0004482005333122733,0.50527092475256,-4.345502271812838,8.272084764000821e-06
39,0.0004482005333122733,0.00046004218968576197,0.5051712430672229,-4.464859967197471,8.268636099804995e-06
40,0.00046004218968576197,0.00047188626326659464,0.5050714663070954,-4.584290701108716,8.26519089364974e-06
41,0.00047188626326659464,0.0004837327569018138,0.5049716102642702,-4.703794738526832,8.261746109944777e-06
42,0.0004837327569018138,0.0004955816734581513,0.5048716850801308,-4.823372300263632,8.258299786464543e-06
43,0.0004955816734581513,0.0005074330158199214,0.504771695595581,-4.9430235598511025,8.254850968974046e-06
44,0.0005074330158199214,0.0005192867868869651,0.504671642419383,-5.06274865042436,8.25139950622705e-06
45,0.0005192867868869651,0.000531142989572357,0.5045715236335565,-5.182547679080964,8.247945727505712e-06
46,0.000531142989572357,0.0005430016268008246,0.5044713361730644,-5.302420739849087,8.244490188532852e-06
47,0.0005430016268008246,0.0005548627015000723,0.5043710764228385,-5.422367915954181,8.241033542415532e-06
48,0.0005548627015000723,0.0005667262166057594,0.5042707414244336,-5.542389298687478,8.237576323967447e-06
49,0.0005667262166057594,0.0005785921750587894,0.5041703288207945,-5.662484983850501,8.234118954473344e-06
50,0.0005785921750587894,0.0005904605798054333,0.5040698371448802,-5.782655076751931,8.230661683736093e-06
51,0.0005904605798054333,0.0006023314337991102,0.5039692652115934,-5.902899686530266,8.22720471430988e-06
52,0.0006023314337991102,0.0006142047399946189,0.5038686128437718,-6.023218931331296,8.223748051962476e-06
53,0.0006142047399946189,0.0006260805013528451,0.5037678801362219,-6.143612935133907,8.220291651186623e-06
54,0.0006260805013528451,0.0006379587208392461,0.5036670667926774,-6.264081816627748,8.216835541272991e-06
55,0.0006379587208392461,0.0006498394014287392,0.5035661736898848,-6.384625712246626,8.213379530980298e-06
56,0.0006498394014287392,0.000661722546102223,0.5034652008585868,-6.505244746472332,8.2099235864807e-06
57,0.000661722546102223,0.000673608157843877,0.5033641483063377,-6.625939042335648,8.206467679627902e-06
58,0.000673608157843877,0.0006854962396494235,0.5032630161140398,-6.74670872881559,8.203011770116407e-06
59,0.0006854962396494235,0.0006973867945191432,0.5031618043125485,-6.867553930806356,8.199555819100828e-06
60,0.0006973867945191432,0.0007092798254567249,0.5030605128424911,-6.988474771557548,8.196099809780852e-06
61,0.0007092798254567249,0.0007211753354751826,0.5029591417187794,-7.109471379143153,8.192643715346171e-06
62,0.0007211753354751826,0.0007330733275966116,0.5028576910090651,-7.230543882784826,8.1891874945166e-06
63,0.0007330733275966116,0.000744973804846159,0.502756160174165,-7.351692399582208,8.1857312193583e-06
64,0.000744973804846159,0.0007568767702568783,0.5026545492268765,-7.472917057894583,8.182274860683307e-06
