time,Energy Leak from beginning
60,-3.005789126085921
120,-5.975717836238687
180,-8.916519937171486
240,-11.83111219557753
300,-14.720849631315605
360,-17.586605048516333
420,-20.429140782728762
480,-23.249177586158382
540,-26.047429515383083
600,-28.824588997049915
660,-31.58132304669039
720,-34.318266129716584
780,-37.036032459228224
840,-39.73519662250119
900,-42.416302079878484
960,-45.079868016198674
1020,-47.72638226712391
1080,-50.356307291645635
1140,-52.97007516152422
1200,-55.56810417726449
1260,-58.150787842153285
1320,-60.718495011780576
1380,-63.27157955651053
1440,-65.81038010030287
1500,-68.33521646658794
1560,-70.84639487730517
1620,-73.34420357603557
1680,-75.82892379168153
1740,-78.30082007967145
1800,-80.76014910470514
1860,-83.20715680990688
1920,-85.6420714660963
1980,-88.0651220733041
2040,-90.47652123344314
2100,-92.8764772583509
2160,-95.26518463085982
2220,-97.64284731682963
2280,-100.00964094361301
2340,-102.3657430361419
2400,-104.71132838054673
2460,-107.0465655820944
2520,-109.37161059151742
2580,-111.68661673716974
2640,-113.9917353425774
2700,-116.28711012708142
2760,-118.57288368660186
2820,-120.84919013302267
2880,-123.11616013024015
2940,-125.37392395121518
3000,-127.62259915241566
3060,-129.86230724611985
3120,-132.0931623373523
3180,-134.31528277637437
3240,-136.5287762121002
3300,-138.73374817331566
3360,-140.93030159083327
3420,-143.11853756718065
3480,-145.29855481183932
3540,-147.47044509737918
3600,-149.63430539893523
3660,-151.79022559691703
3720,-153.93828982582005
3780,-156.0785836683034
3840,-158.2111972197526
3900,-160.33620672840752
3960,-162.4536928404813
4020,-164.56373178098036
4080,-166.66639826279584
4140,-168.76176508160412
4200,-170.849910215184
4260,-172.93090090653484
4320,-175.00480499020642
4380,-177.07169269962503
4440,-179.13162839075227
4500,-181.18467369622658
4560,-183.23089048237563
4620,-185.2703452572229
4680,-187.3030932142881
4740,-189.3291974710324
4800,-191.3487110046301
4860,-193.3616924610365
4920,-195.36819767466937
4980,-197.36828216879644
5040,-199.36199906021133
5100,-201.34939673251318
5160,-203.330525322822
5220,-205.30543787839366
5280,-207.27418187329914
5340,-209.23680729311755
5400,-211.19335728809094
5460,-213.1438802634132
5520,-215.08842140300823
5580,-217.0270260933958
5640,-218.95973751399498
5700,-220.8865993961393
5760,-222.80765080440767
